Year,TotalTDFDistance,Stages,Start,End,Winner of stage,Yellow Jersey,Green jersey,Polka-dot jersey,White jersey,Leader
2009,3460,17.0,Bourg Saint Maurice,le_grand_bornand,Frank Schleck  (Team Saxo Bank),Alberto Contador,Thor Hushovd,Franco Pellizotti,Andy Schleck,
2009,3460,18.0,Annecy,Annecy,Alberto Contador  (Astana),Alberto Contador,Thor Hushovd,Franco Pellizotti,Andy Schleck,
2009,3460,19.0,Bourgoin-Jallieu,Aubenas,Mark Cavendish  (Team Columbia - Htc),Alberto Contador,Thor Hushovd,Franco Pellizotti,Andy Schleck,
2009,3460,20.0,Montélimar,Mont Ventoux,Juan Manuel Garate  (Rabobank),Alberto Contador,Thor Hushovd,Franco Pellizotti,Andy Schleck,
2009,3460,21.0,Montereau-Fault-Yonne,Paris Champs-Élysées,Mark Cavendish  (Team Columbia - Htc),Alberto Contador,Thor Hushovd,Franco Pellizotti,Andy Schleck,
2008,3559,1.0,Brest,Plumelec,Alejandro Valverde  (Caisse D'Epargne),Alejandro Valverde,Philippe Gilbert,Thomas Voeckler,Riccardo Ricco,
2008,3559,2.0,Auray,Saint-Brieuc,Thor Hushovd  (Credit Agricole),Alejandro Valverde,Kim Kirchen,Thomas Voeckler,Riccardo Ricco,
2008,3559,3.0,Saint-Malo,Nantes,Samuel Dumoulin  (Cofidis Credit Par Telephone),Romain Feillu,Kim Kirchen,Thomas Voeckler,Andy Schleck,
2008,3559,4.0,Cholet,Cholet,Kim Kirchen  (Team Columbia),Stefan Schumacher,Kim Kirchen,Thomas Voeckler,Thomas Lövkvist,
2008,3559,5.0,Cholet,Chateauroux,Mark Cavendish  (Team Columbia),Stefan Schumacher,Thor Hushovd,Thomas Voeckler,Thomas Lövkvist,
2008,3559,6.0,Aigurande,Super-Besse,Alejandro Valverde  (Caisse D'Epargne),Kim Kirchen,Thor Hushovd,Sylvain Chavanel,Thomas Lövkvist,
2008,3559,7.0,Brioude,Aurillac,Luis Leon Sanchez  (Caisse D'Epargne),Kim Kirchen,Oscar Freire,David De La Fuente,Thomas Lövkvist,
2008,3559,8.0,Figeac,Toulouse,Mark Cavendish  (Team Columbia),Kim Kirchen,Oscar Freire,David De La Fuente,Thomas Lövkvist,
2008,3559,9.0,Toulouse,Bagnères-de-Bigorre,Vladimir Efimkin  (Ag2R-La Mondiale),Kim Kirchen,Oscar Freire,David De La Fuente,Andy Schleck,
2008,3559,10.0,Pau,Hautacam,Leonardo Piepoli  (Saunier Duval - Scott),Cadel Evans,Oscar Freire,Riccardo Ricco,Vincenzo Nibali,
2008,3559,11.0,Lannemezan,Foix,Kurt-Asle Arvesen  (Team Csc Saxo Bank),Cadel Evans,Oscar Freire,Nan,Vincenzo Nibali,
2008,3559,12.0,Lavelanet,Narbonne,Mark Cavendish  (Team Columbia),Cadel Evans,Oscar Freire,Sebastian Lang,Vincenzo Nibali,
2008,3559,13.0,Narbonne,Nîmes,Mark Cavendish  (Team Columbia),Cadel Evans,Oscar Freire,Sebastian Lang,Vincenzo Nibali,
2008,3559,14.0,Nîmes,Digne-les-Bains,Oscar Freire  (Rabobank),Cadel Evans,Oscar Freire,Sebastian Lang,Vincenzo Nibali,
2008,3559,15.0,Embrun,Prato Nevoso,Simon Gerrans  (Credit Agricole),Frank Schleck,Oscar Freire,Bernhard Kohl,Vincenzo Nibali,
2008,3559,16.0,Cuneo,Jausiers,Cyril Dessel  (Ag2R-La Mondiale),Frank Schleck,Oscar Freire,Bernhard Kohl,Andy Schleck,
2008,3559,17.0,Embrun,L'Alpe-d'Huez,Carlos Sastre  (Team Csc Saxo Bank),Carlos Sastre,Oscar Freire,Bernhard Kohl,Andy Schleck,
2008,3559,18.0,Bourg-d'Oisans,Saint-Etienne,Marcus Burghardt  (Team Columbia),Carlos Sastre,Oscar Freire,Bernhard Kohl,Andy Schleck,
2008,3559,19.0,Roanne,Montluçon,Sylvain Chavanel  (Cofidis Credit Par Telephone),Carlos Sastre,Oscar Freire,Bernhard Kohl,Andy Schleck,
2008,3559,20.0,Cérilly,Saint-Amand-Montrond,Fabian Cancellara  (Team Csc Saxo Bank),Carlos Sastre,Oscar Freire,Bernhard Kohl,Andy Schleck,
2008,3559,21.0,Etampes,Paris Champs-Élysées,Gert Steegmans  (Quick Step),Carlos Sastre,Oscar Freire,Bernhard Kohl,Andy Schleck,
2007,3570,0.0,Londres,Londres,Fabian Cancellara  (Team Csc),Fabian Cancellara,Fabian Cancellara,Nan,Vladimir Gusev,
2007,3570,1.0,Londres,Canterbury,Robbie Mc Ewen  (Predictor - Lotto),Fabian Cancellara,Robbie Mc Ewen,Martin Elmiger,Vladimir Gusev,
2007,3570,2.0,Dunkerque,Gand,Gert Steegmans  (Quick Step - Innergetic),Fabian Cancellara,Tom Boonen,David Millar,Vladimir Gusev,
2007,3570,3.0,Waregem,Compiègne,Fabian Cancellara  (Team Csc),Fabian Cancellara,Tom Boonen,Stéphane Auge,Vladimir Gusev,
2007,3570,4.0,villers_cotterets,Joigny,Thor Hushovd  (Credit Agricole),Fabian Cancellara,Tom Boonen,Stéphane Auge,Vladimir Gusev,
2007,3570,5.0,Chablis,Autun,Filippo Pozzato  (Liquigas),Fabian Cancellara,Erik Zabel,Sylvain Chavanel,Vladimir Gusev,
2007,3570,6.0,semur_en_auxois,Bourg-en-Bresse,Tom Boonen  (Quick Step - Innergetic),Fabian Cancellara,Tom Boonen,Sylvain Chavanel,Vladimir Gusev,
2007,3570,7.0,Bourg-en-Bresse,le_grand_bornand,Linus Gerdemann  (T-Mobile Team),Linus Gerdemann,Tom Boonen,Sylvain Chavanel,Linus Gerdemann,
2007,3570,8.0,le_grand_bornand,Tignes,Michael Rasmussen  (Rabobank),Michael Rasmussen,Tom Boonen,Michael Rasmussen,Linus Gerdemann,
2007,3570,9.0,val_d_isere,Briançon,Juan Mauricio Soler Hernandez  (Barloworld),Michael Rasmussen,Tom Boonen,Michael Rasmussen,Alberto Contador,
2007,3570,10.0,Tallard,Marseille,Cédric Vasseur  (Quick Step - Innergetic),Michael Rasmussen,Tom Boonen,Michael Rasmussen,Alberto Contador,
2007,3570,11.0,Marseille,Montpellier,Robert Hunter  (Barloworld),Michael Rasmussen,Tom Boonen,Michael Rasmussen,Alberto Contador,
2007,3570,12.0,Montpellier,Castres,Tom Boonen  (Quick Step - Innergetic),Michael Rasmussen,Tom Boonen,Michael Rasmussen,Alberto Contador,
2007,3570,13.0,Albi,Albi,Cadel Evans  (Predictor - Lotto),Michael Rasmussen,Tom Boonen,Michael Rasmussen,Alberto Contador,
2007,3570,14.0,Mazamet,plateau_de_beille,Alberto Contador  (Discovery Channel Team),Michael Rasmussen,Tom Boonen,Michael Rasmussen,Alberto Contador,
2007,3570,15.0,Foix,loudenvielle_le_louron,Kim Kirchen  (T-Mobile Team),Michael Rasmussen,Tom Boonen,Michael Rasmussen,Alberto Contador,
2007,3570,16.0,Orthez,gourette_col_d_aubisque,Michael Rasmussen  (Rabobank),Nan,Tom Boonen,Juan Mauricio Soler Hernandez,Alberto Contador,
2007,3570,17.0,Pau,Castelsarrasin,Daniele Bennati  (Lampre-Fondital),Alberto Contador,Tom Boonen,Juan Mauricio Soler Hernandez,Alberto Contador,
2007,3570,18.0,Cahors,Angoulême,Sandy Casar  (Francaise Des Jeux),Alberto Contador,Tom Boonen,Juan Mauricio Soler Hernandez,Alberto Contador,
2007,3570,19.0,Cognac,Angoulême,,Alberto Contador,Tom Boonen,Juan Mauricio Soler Hernandez,Alberto Contador,
2007,3570,20.0,Marcoussis,Paris Champs-Élysées,Daniele Bennati  (Lampre-Fondital),Alberto Contador,Tom Boonen,Juan Mauricio Soler Hernandez,Alberto Contador,
2006,3657,0.0,Strasbourg,Strasbourg,Thor Hushovd  (Credit Agricole),Thor Hushovd,Thor Hushovd,Nan,Joost Posthuma,
2006,3657,1.0,Strasbourg,Strasbourg,Jimmy Casper  (Cofidis Credit Par Telephone),Nan,Jimmy Casper,Fabian Wegmann,Benoît Vaugrenard,
2006,3657,2.0,Obernai,Esch-sur-Alzette,Robbie Mc Ewen  (Davitamon - Lotto),Thor Hushovd,Robbie Mc Ewen,David De La Fuente,Benoît Vaugrenard,
2006,3657,3.0,Esch-sur-Alzette,Valkenburg,Matthias Kessler  (T-Mobile Team),Tom Boonen,Tom Boonen,Jérôme Pineau,Benoît Vaugrenard,
2006,3657,4.0,Huy,Saint-Quentin,Robbie Mc Ewen  (Davitamon - Lotto),Tom Boonen,Robbie Mc Ewen,Jérôme Pineau,Markus Fothen,
2006,3657,5.0,Beauvais,Caen,Oscar Freire  (Rabobank),Tom Boonen,Robbie Mc Ewen,Jérôme Pineau,Markus Fothen,
2006,3657,6.0,Lisieux,Vitré,Robbie Mc Ewen  (Davitamon - Lotto),Tom Boonen,Robbie Mc Ewen,Jérôme Pineau,Benoît Vaugrenard,
2006,3657,7.0,Saint-Grégoire,Rennes,Serhiy Honchar  (T-Mobile Team),Serhiy Honchar,Robbie Mc Ewen,Jérôme Pineau,Benoît Vaugrenard,
2006,3657,8.0,Saint-Meen-le-Grand,Lorient,Sylvain Calzati  (Ag2R Prevoyance),Serhiy Honchar,Robbie Mc Ewen,Jérôme Pineau,Benoît Vaugrenard,
2006,3657,9.0,Bordeaux,Dax,Oscar Freire  (Rabobank),Serhiy Honchar,Robbie Mc Ewen,Jérôme Pineau,Benoît Vaugrenard,
2006,3657,10.0,Cambo-les-Bains,Pau,Juan Miguel Mercado  (Agritubel),Cyril Dessel,Robbie Mc Ewen,Cyril Dessel,Benoît Vaugrenard,
2006,3657,11.0,Tarbes,Val d'Aran - Pla-de-Beret,Denis Menchov  (Rabobank),Cyril Dessel,Robbie Mc Ewen,David De La Fuente,Benoît Vaugrenard,
2006,3657,12.0,Luchon,Carcassonne,Yaroslav Popovych  (Discovery Channel Team),Cyril Dessel,Robbie Mc Ewen,David De La Fuente,Benoît Vaugrenard,
2006,3657,13.0,Béziers,Montélimar,Jens Voigt  (Team Csc),Oscar Pereiro Sio,Robbie Mc Ewen,David De La Fuente,Benoît Vaugrenard,
2006,3657,14.0,Montélimar,Gap,Pierrick Fedrigo  (Bouygues Telecom),Oscar Pereiro Sio,Robbie Mc Ewen,David De La Fuente,Benoît Vaugrenard,
2006,3657,15.0,Gap,L'Alpe-d'Huez,Frank Schleck  (Team Csc),Oscar Pereiro Sio,Robbie Mc Ewen,David De La Fuente,Benoît Vaugrenard,
2006,3657,16.0,Bourg-d'Oisans,La Toussuire,Michael Rasmussen  (Rabobank),Oscar Pereiro Sio,Robbie Mc Ewen,Michael Rasmussen,Benoît Vaugrenard,
2006,3657,17.0,Saint-Jean-de-Maurienne,Morzine,Carlos Sastre  (Team Csc),Oscar Pereiro Sio,Robbie Mc Ewen,Michael Rasmussen,Benoît Vaugrenard,
2006,3657,18.0,Morzine,Macon,Matteo Tosatto  (Quick Step - Innergetic),Oscar Pereiro Sio,Robbie Mc Ewen,Michael Rasmussen,Benoît Vaugrenard,
2006,3657,19.0,Le Creusot,Montceau-les-Mines,Serhiy Honchar  (T-Mobile Team),Oscar Pereiro Sio,Robbie Mc Ewen,Michael Rasmussen,Benoît Vaugrenard,
2006,3657,20.0,Sceaux,Paris Champs-Élysées,Thor Hushovd  (Credit Agricole),Oscar Pereiro Sio,Robbie Mc Ewen,Michael Rasmussen,Damiano Cunego,
2005,3593,1.0,Fromentine,Noirmoutier-en-l'Île,,Nan,Nan,Nan,Fabian Cancellara,
2005,3593,2.0,Challans,Les Essarts,Tom Boonen  (Quick Step - Innergetic),Nan,Tom Boonen,Thomas Voeckler,Fabian Cancellara,
2005,3593,3.0,La Châtaigneraie,Tours,Tom Boonen  (Quick Step - Innergetic),Nan,Tom Boonen,Erik Dekker,Fabian Cancellara,
2005,3593,4.0,Tours,Blois,Discovery Channel Team,Nan,Tom Boonen,Erik Dekker,Yaroslav Popovych,
2005,3593,5.0,Chambord,Montargis,Robbie Mc Ewen  (Davitamon - Lotto),Nan,Tom Boonen,Erik Dekker,Yaroslav Popovych,
2005,3593,6.0,Troyes,Nancy,Lorenzo Bernucci  (Fassa Bortolo),Nan,Tom Boonen,Karsten Kroon,Yaroslav Popovych,
2005,3593,7.0,Lunéville,Karlsruhe,Robbie Mc Ewen  (Davitamon - Lotto),Nan,Tom Boonen,Fabian Wegmann,Yaroslav Popovych,
2005,3593,8.0,Pforzheim,Gérardmer,Pieter Weening  (Rabobank),Nan,Tom Boonen,Michael Rasmussen,Vladimir Karpets,
2005,3593,9.0,Gérardmer,Mulhouse,Michael Rasmussen  (Rabobank),Jens Voigt,Tom Boonen,Michael Rasmussen,Vladimir Karpets,
2005,3593,10.0,Grenoble,Courchevel,Alejandro Valverde  (Illes Balears-Caisse D Epargne),Nan,Tom Boonen,Michael Rasmussen,Alejandro Valverde,
2005,3593,11.0,Courchevel,Briançon,Alexandre Vinokourov  (T-Mobile Team),Nan,Tom Boonen,Michael Rasmussen,Alejandro Valverde,
2005,3593,12.0,Briançon,Digne-les-Bains,David Moncoutie  (Cofidis Credit Par Telephone),Nan,Thor Hushovd,Michael Rasmussen,Alejandro Valverde,
2005,3593,13.0,Miramas,Montpellier,Robbie Mc Ewen  (Davitamon - Lotto),Nan,Thor Hushovd,Michael Rasmussen,Yaroslav Popovych,
2005,3593,14.0,Le Cap d'Agde,Ax 3 Domaines,Georg Totschnig  (Gerolsteiner),Nan,Thor Hushovd,Michael Rasmussen,Yaroslav Popovych,
2005,3593,15.0,Lézat-sur-Leze,Saint-Lary-Soulan Col du Portet,,Nan,Thor Hushovd,Michael Rasmussen,Yaroslav Popovych,
2005,3593,16.0,Mourenx,Pau,Oscar Pereiro Sio  (Phonak Hearing Systems),Nan,Thor Hushovd,Michael Rasmussen,Yaroslav Popovych,
2005,3593,17.0,Pau,Revel,Paolo Savoldelli  (Discovery Channel Team),Nan,Thor Hushovd,Michael Rasmussen,Yaroslav Popovych,
2005,3593,18.0,Albi,Mende,Marcos Antonio Serrano Rodriguez  (Liberty Seguros - Würth Team),Nan,Thor Hushovd,Michael Rasmussen,Yaroslav Popovych,
2005,3593,19.0,Issoire,Le Puy-en-Velay,Giuseppe Guerini  (T-Mobile Team),Nan,Thor Hushovd,Michael Rasmussen,Yaroslav Popovych,
2005,3593,20.0,Saint-Etienne,Saint-Etienne,,Nan,Thor Hushovd,Michael Rasmussen,Yaroslav Popovych,
2005,3593,21.0,Corbeil-Essonnes,Paris,Alexandre Vinokourov  (T-Mobile Team),Nan,Thor Hushovd,Michael Rasmussen,Yaroslav Popovych,
2004,3391,0.0,Liège,Liège,Fabian Cancellara  (Fassa Bortolo),Fabian Cancellara,Fabian Cancellara,Nan,Fabian Cancellara,
2004,3391,1.0,Liège,Charleroi,Jaan Kirsipuu  (Ag2R Prevoyance),Fabian Cancellara,Thor Hushovd,Paolo Bettini,Fabian Cancellara,
2004,3391,2.0,Charleroi,Namur,Robbie Mc Ewen  (Lotto - Domo),Thor Hushovd,Thor Hushovd,Paolo Bettini,Fabian Cancellara,
2004,3391,3.0,Waterloo,Wasquehal,Jean-Patrick Nazon  (Ag2R Prevoyance),Robbie Mc Ewen,Robbie Mc Ewen,Paolo Bettini,Fabian Cancellara,
2004,3391,4.0,Cambrai,Arras Citadelle,Us Postal - Berry Floor,Nan,Robbie Mc Ewen,Paolo Bettini,Matthias Kessler,
2004,3391,5.0,Amiens,Chartres,Stuart O'Grady  (Cofidis Credit Par Telephone),Thomas Voeckler,Robbie Mc Ewen,Paolo Bettini,Thomas Voeckler,
2004,3391,6.0,Bonneval,Angers,Tom Boonen  (Quick Step - Davitamon),Thomas Voeckler,Stuart O'Grady,Paolo Bettini,Thomas Voeckler,
2004,3391,7.0,Châteaubriant,Saint-Brieuc,Filippo Pozzato  (Fassa Bortolo),Thomas Voeckler,Stuart O'Grady,Paolo Bettini,Thomas Voeckler,
2004,3391,8.0,Lamballe,Quimper,Thor Hushovd  (Credit Agricole),Thomas Voeckler,Robbie Mc Ewen,Paolo Bettini,Thomas Voeckler,
2004,3391,9.0,Saint-Léonard-de-Noblat,Guéret,Robbie Mc Ewen  (Lotto - Domo),Thomas Voeckler,Robbie Mc Ewen,Paolo Bettini,Thomas Voeckler,
2004,3391,10.0,Limoges,Saint-Flour,Richard Virenque  (Quick Step - Davitamon),Thomas Voeckler,Robbie Mc Ewen,Richard Virenque,Thomas Voeckler,
2004,3391,11.0,Saint-Flour,Figeac,David Moncoutie  (Cofidis Credit Par Telephone),Thomas Voeckler,Robbie Mc Ewen,Richard Virenque,Thomas Voeckler,
2004,3391,12.0,Castelsarrasin,La Mongie,Ivan Basso  (Team Csc),Thomas Voeckler,Robbie Mc Ewen,Richard Virenque,Thomas Voeckler,
2004,3391,13.0,Lannemezan,plateau_de_beille,,Thomas Voeckler,Robbie Mc Ewen,Richard Virenque,Thomas Voeckler,
2004,3391,14.0,Carcassonne,Nîmes,Aïtor Gonzalez  (Fassa Bortolo),Thomas Voeckler,Robbie Mc Ewen,Richard Virenque,Thomas Voeckler,
2004,3391,15.0,Valréas,Villard-de-Lans,,Nan,Robbie Mc Ewen,Richard Virenque,Thomas Voeckler,
2004,3391,16.0,Bourg-d'Oisans,L'Alpe-d'Huez,,Nan,Robbie Mc Ewen,Richard Virenque,Thomas Voeckler,
2004,3391,17.0,Bourg-d'Oisans,le_grand_bornand,,Nan,Robbie Mc Ewen,Richard Virenque,Thomas Voeckler,
2004,3391,18.0,Annemasse,Lons-le-Saunier,Juan Miguel Mercado  (Quick Step - Davitamon),Nan,Robbie Mc Ewen,Richard Virenque,Thomas Voeckler,
2004,3391,19.0,Besançon,Besançon,,Nan,Robbie Mc Ewen,Richard Virenque,Vladimir Karpets,
2004,3391,20.0,Montereau,Paris,Tom Boonen  (Quick Step - Davitamon),Nan,Robbie Mc Ewen,Richard Virenque,Vladimir Karpets,
2003,3427,0.0,Paris,Paris,Bradley Mc Gee  (Fdjeux.Com),Bradley Mc Gee,Bradley Mc Gee,Nan,Vladimir Karpets,
2003,3427,1.0,Montgeron,Meaux,Alessandro Petacchi  (Fassa Bortolo),Bradley Mc Gee,Robbie Mc Ewen,Christophe Mengin,Andy Flickinger,
2003,3427,2.0,La Ferté-sous-Jouarre,Sedan,Baden Cooke  (Fdjeux.Com),Bradley Mc Gee,Robbie Mc Ewen,Christophe Mengin,Baden Cooke,
2003,3427,3.0,Charleville-Mézières,Saint-Dizier,Alessandro Petacchi  (Fassa Bortolo),Jean-Patrick Nazon,Robbie Mc Ewen,Christophe Mengin,Baden Cooke,
2003,3427,4.0,Joinville,Saint-Dizier,Us Postal - Berry Floor,Victor Hugo Pena,Robbie Mc Ewen,Christophe Mengin,Vladimir Karpets,
2003,3427,5.0,Troyes,Nevers,Alessandro Petacchi  (Fassa Bortolo),Victor Hugo Pena,Robbie Mc Ewen,Frédéric Finot,Vladimir Karpets,
2003,3427,6.0,Nevers,Lyon,Alessandro Petacchi  (Fassa Bortolo),Victor Hugo Pena,Alessandro Petacchi,Christophe Mengin,Vladimir Karpets,
2003,3427,7.0,Lyon,Morzine,Richard Virenque  (Quick Step - Davitamon),Richard Virenque,Baden Cooke,Richard Virenque,Denis Menchov,
2003,3427,8.0,Sallanches,L'Alpe-d'Huez,Iban Mayo  (Euskaltel - Euskadi),Nan,Baden Cooke,Richard Virenque,Denis Menchov,
2003,3427,9.0,Bourg-d'Oisans,Gap,Alexandre Vinokourov  (Team Telekom),Nan,Baden Cooke,Richard Virenque,Denis Menchov,
2003,3427,10.0,Gap,Marseille,Jakob Piil  (Team Csc),Nan,Baden Cooke,Richard Virenque,Denis Menchov,
2003,3427,11.0,Narbonne,Toulouse,Juan Antonio Flecha Giannoni  (Ibanesto.Com),Nan,Baden Cooke,Richard Virenque,Denis Menchov,
2003,3427,12.0,Gaillac,Cap Découverte,Jan Ullrich  (Team Bianchi),Nan,Baden Cooke,Richard Virenque,Denis Menchov,
2003,3427,13.0,Toulouse,Ax 3 Domaines,Carlos Sastre  (Team Csc),Nan,Baden Cooke,Richard Virenque,Denis Menchov,
2003,3427,14.0,Saint-Girons,loudenvielle_le_louron,Gilberto Simoni  (Saeco - Macchine Per Caffe),Nan,Baden Cooke,Richard Virenque,Denis Menchov,
2003,3427,15.0,Bagnères-de-Bigorre,Luz-Ardiden,,Nan,Baden Cooke,Richard Virenque,Denis Menchov,
2003,3427,16.0,Pau,Bayonne,Tyler Hamilton  (Team Csc),Nan,Baden Cooke,Richard Virenque,Denis Menchov,
2003,3427,17.0,Dax,Bordeaux,Servais Knaven  (Quick Step - Davitamon),Nan,Baden Cooke,Richard Virenque,Denis Menchov,
2003,3427,18.0,Bordeaux,Saint-Maixent-L'Ecole,Pablo Lastras Garcia  (Ibanesto.Com),Nan,Robbie Mc Ewen,Richard Virenque,Denis Menchov,
2003,3427,19.0,Pornic,Nantes,David Millar  (Cofidis Credit Par Telephone),Nan,Robbie Mc Ewen,Richard Virenque,Denis Menchov,
2003,3427,20.0,Ville d'Avray,Paris,Jean-Patrick Nazon  (Jean Delatour),Nan,Baden Cooke,Richard Virenque,Denis Menchov,
2002,3278,0.0,Luxembourg,Luxembourg,,Nan,Laurent Jalabert,Nan,David Millar,
2002,3278,1.0,Luxembourg,Luxembourg,Rubens Bertogliati  (Lampre - Daikin),Rubens Bertogliati,Erik Zabel,Christophe Mengin,Rubens Bertogliati,
2002,3278,2.0,Luxembourg,Sarrebruck,Oscar Freire  (Mapei - Quick Step),Rubens Bertogliati,Erik Zabel,Stéphane Berges,Rubens Bertogliati,
2002,3278,3.0,Metz,Reims,Robbie Mc Ewen  (Lotto - Adecco),Erik Zabel,Erik Zabel,Christophe Mengin,Rubens Bertogliati,
2002,3278,4.0,Épernay,Château-Thierry,Once - Eroski,Igor Gonzalez Galdeano,Erik Zabel,Christophe Mengin,Isidro Nozal,
2002,3278,5.0,Soissons,Rouen,Jaan Kirsipuu  (Ag2R Prevoyance),Igor Gonzalez Galdeano,Erik Zabel,Christophe Mengin,Isidro Nozal,
2002,3278,6.0,Forges-les-Eaux,Alençon,Erik Zabel  (Team Telekom),Igor Gonzalez Galdeano,Erik Zabel,Christophe Mengin,Isidro Nozal,
2002,3278,7.0,Bagnoles-de-l'Orne,Avranches,Bradley Mc Gee  (Fdjeux.Com),Igor Gonzalez Galdeano,Erik Zabel,Christophe Mengin,Isidro Nozal,
2002,3278,8.0,Saint-Martin-de-Landelles,Plouay,Karsten Kroon  (Rabobank),Igor Gonzalez Galdeano,Erik Zabel,Christophe Mengin,Isidro Nozal,
2002,3278,9.0,Lanester,Lorient,Santiago Botero  (Kelme - Costa Blanca),Igor Gonzalez Galdeano,Erik Zabel,Christophe Mengin,David Millar,
2002,3278,10.0,Bazas,Pau,Patrice Halgand  (Jean Delatour),Igor Gonzalez Galdeano,Robbie Mc Ewen,Christophe Mengin,David Millar,
2002,3278,11.0,Pau,La Mongie,,Nan,Erik Zabel,Patrice Halgand,Ivan Basso,
2002,3278,12.0,Lannemezan,plateau_de_beille,,Nan,Erik Zabel,Laurent Jalabert,Ivan Basso,
2002,3278,13.0,Lavelanet,Béziers,David Millar  (Cofidis Credit Par Telephone),Nan,Robbie Mc Ewen,Laurent Jalabert,Ivan Basso,
2002,3278,14.0,Lodève,Mont Ventoux,Richard Virenque  (Domo - Farm Frites),Nan,Robbie Mc Ewen,Laurent Jalabert,Ivan Basso,
2002,3278,15.0,Vaison-la-Romaine,Les Deux Alpes,Santiago Botero  (Kelme - Costa Blanca),Nan,Robbie Mc Ewen,Laurent Jalabert,Ivan Basso,
2002,3278,16.0,Les Deux Alpes,La Plagne,Michael Boogerd  (Rabobank),Nan,Robbie Mc Ewen,Laurent Jalabert,Ivan Basso,
2002,3278,17.0,Aime,Cluses,Dario Frigo  (Tacconi Sport),Nan,Robbie Mc Ewen,Laurent Jalabert,Ivan Basso,
2002,3278,18.0,Cluses,Bourg-en-Bresse,Thor Hushovd  (Credit Agricole),Nan,Robbie Mc Ewen,Laurent Jalabert,Ivan Basso,
2002,3278,19.0,Regnier-Durette,Macon,,Nan,Robbie Mc Ewen,Laurent Jalabert,Ivan Basso,
2002,3278,20.0,Melun,Paris,Robbie Mc Ewen  (Lotto - Adecco),Nan,Robbie Mc Ewen,Laurent Jalabert,Ivan Basso,
2001,3458,0.0,Dunkerque,Dunkerque,Christophe Moreau  (Festina Watches),Christophe Moreau,Christophe Moreau,Nan,Florent Brard,
2001,3458,1.0,Saint-Omer,Boulogne-sur-Mer,Erik Zabel  (Team Deutsche Telekom),Christophe Moreau,Erik Zabel,Jacky Durand,Florent Brard,
2001,3458,2.0,Calais,Anvers,Marc Wauters  (Rabobank),Marc Wauters,Jaan Kirsipuu,Jacky Durand,Robert Hunter,
2001,3458,3.0,Anvers,Seraing,Erik Zabel  (Team Deutsche Telekom),Stuart O'Grady,Erik Zabel,Benoit Salmon,Florent Brard,
2001,3458,4.0,Huy,Verdun,Laurent Jalabert  (Csc - Tiscali),Stuart O'Grady,Erik Zabel,Patrice Halgand,Florent Brard,
2001,3458,5.0,Verdun,Bar-Le-Duc,Credit Agricole,Stuart O'Grady,Erik Zabel,Patrice Halgand,Jörg Jaksche,
2001,3458,6.0,Commercy,Strasbourg,Jaan Kirsipuu  (Ag2R Prevoyance),Stuart O'Grady,Erik Zabel,Patrice Halgand,Jörg Jaksche,
2001,3458,7.0,Strasbourg,Colmar,Laurent Jalabert  (Csc - Tiscali),Jens Voigt,Erik Zabel,Patrice Halgand,Jörg Jaksche,
2001,3458,8.0,Colmar,Pontarlier,Erik Dekker  (Rabobank),Stuart O'Grady,Stuart O'Grady,Patrice Halgand,Jörg Jaksche,
2001,3458,9.0,Pontarlier,Aix-les-Bains,Serguei Ivanov  (Fassa Bortolo),Stuart O'Grady,Stuart O'Grady,Patrice Halgand,Jörg Jaksche,
2001,3458,10.0,Aix-les-Bains,L'Alpe-d'Huez,,François Simon,Stuart O'Grady,Laurent Roux,Oscar Sevilla,
2001,3458,11.0,Grenoble,Chamrousse,,François Simon,Stuart O'Grady,Laurent Roux,Oscar Sevilla,
2001,3458,12.0,Perpignan,Ax-les-Thermes,Félix Rafel Cárdenas Ravalo  (Kelme - Costa Blanca),François Simon,Stuart O'Grady,Laurent Roux,Oscar Sevilla,
2001,3458,13.0,Foix,Saint-Lary-Soulan Col du Portet,,Nan,Stuart O'Grady,Laurent Jalabert,Oscar Sevilla,
2001,3458,14.0,Tarbes,Luz-Ardiden,Roberto Laiseka  (Euskaltel - Euskadi),Nan,Stuart O'Grady,Laurent Jalabert,Oscar Sevilla,
2001,3458,15.0,Pau,Lavaur,Rik Verbrugghe  (Lotto - Adecco),Nan,Stuart O'Grady,Laurent Jalabert,Oscar Sevilla,
2001,3458,16.0,Castelsarrasin,Sarran,Jens Voigt  (Credit Agricole),Nan,Stuart O'Grady,Laurent Jalabert,Oscar Sevilla,
2001,3458,17.0,Brive-la-Gaillarde,Montluçon,Serge Baguet  (Lotto - Adecco),Nan,Stuart O'Grady,Laurent Jalabert,Oscar Sevilla,
2001,3458,18.0,Montluçon,Saint-Amand-Montrond,,Nan,Stuart O'Grady,Laurent Jalabert,Oscar Sevilla,
2001,3458,19.0,Orléans,Evry,Erik Zabel  (Team Deutsche Telekom),Nan,Stuart O'Grady,Laurent Jalabert,Oscar Sevilla,
2001,3458,20.0,Corbeil-Essonnes,Paris,Jan Svorada  (Lampre - Daikin),Nan,Erik Zabel,Laurent Jalabert,Oscar Sevilla,
2000,3662,1.0,Futuroscope,Futuroscope,David Millar  (Cofidis . Credit Par Telephone),David Millar,David Millar,Marcel Wust,David Millar,
2000,3662,2.0,Futuroscope,Loudun,Tom Steels  (Mapei - Quick Step),David Millar,Tom Steels,Marcel Wust,David Millar,
