Year,TotalTDFDistance,Stages,Start,End,Winner of stage,Yellow Jersey,Green jersey,Polka-dot jersey,White jersey,Leader
2020,3483,18.0,Méribel,La Roche-sur-Foron,Michal Kwiatkowski  (Ineos Grenadiers),Primoz Roglic,Sam Bennett,Richard Carapaz,Tadej Pogacar,
2020,3483,19.0,Bourg-en-Bresse,Champagnole,Soren Kragh Andersen  (Team Sunweb),Primoz Roglic,Sam Bennett,Richard Carapaz,Tadej Pogacar,
2020,3483,20.0,Lure,La Planche des Belles Filles,Tadej Pogacar  (Uae Team Emirates),Tadej Pogacar,Sam Bennett,Richard Carapaz,Enric Mas Nicolau,
2020,3483,21.0,Mantes-la-Jolie,Paris Champs-Élysées,Sam Bennett  (Deceuninck - Quick - Step),Tadej Pogacar,Sam Bennett,Tadej Pogacar,Tadej Pogacar,
2019,3366,1.0,Bruxelles,Brussel,Mike Teunissen  (Team Jumbo - Visma),Mike Teunissen,Peter Sagan,Greg Van Avermaet,Caleb Ewan,
2019,3366,2.0,Bruxelles Palais Royal,Brussel Atomium,Team Jumbo - Visma,Mike Teunissen,Peter Sagan,Greg Van Avermaet,Wout Van Aert,
2019,3366,3.0,Binche,Épernay,Julian Alaphilippe  (Deceuninck - Quick - Step),Julian Alaphilippe,Peter Sagan,Tim Wellens,Wout Van Aert,
2019,3366,4.0,Reims,Nancy,Elia Viviani  (Deceuninck - Quick - Step),Julian Alaphilippe,Peter Sagan,Tim Wellens,Wout Van Aert,
2019,3366,5.0,Saint-Dié-des-Vosges,Colmar,Peter Sagan  (Bora - Hansgrohe),Julian Alaphilippe,Peter Sagan,Tim Wellens,Wout Van Aert,
2019,3366,6.0,Mulhouse,La Planche des Belles Filles,Dylan Teuns  (Bahrain - Merida),Giulio Ciccone,Peter Sagan,Tim Wellens,Egan Bernal Gomez,
2019,3366,7.0,Belfort,Chalon-sur-Saône,Dylan Groenewegen  (Team Jumbo - Visma),Giulio Ciccone,Peter Sagan,Tim Wellens,Egan Bernal Gomez,
2019,3366,8.0,Mâcon,Saint-Étienne,Thomas De Gendt  (Lotto Soudal),Julian Alaphilippe,Peter Sagan,Tim Wellens,Giulio Ciccone,
2019,3366,9.0,Saint-Étienne,Brioude,Daryl Impey  (Mitchelton - Scott),Julian Alaphilippe,Peter Sagan,Tim Wellens,Giulio Ciccone,
2019,3366,10.0,Saint-Flour,Albi,Wout Van Aert  (Team Jumbo - Visma),Julian Alaphilippe,Peter Sagan,Tim Wellens,Egan Bernal Gomez,
2019,3366,11.0,Albi,Toulouse,Caleb Ewan  (Lotto Soudal),Julian Alaphilippe,Peter Sagan,Tim Wellens,Egan Bernal Gomez,
2019,3366,12.0,Toulouse,Bagnères-de-Bigorre,Simon Philip Yates  (Mitchelton - Scott),Julian Alaphilippe,Peter Sagan,Tim Wellens,Egan Bernal Gomez,
2019,3366,13.0,Pau,Pau,Julian Alaphilippe  (Deceuninck - Quick - Step),Julian Alaphilippe,Peter Sagan,Tim Wellens,Enric Mas Nicolau,
2019,3366,14.0,Tarbes,Tourmalet Barèges,Thibaut Pinot  (Groupama - Fdj),Julian Alaphilippe,Peter Sagan,Tim Wellens,Egan Bernal Gomez,
2019,3366,15.0,Limoux,Foix Prat d'Albis,Simon Philip Yates  (Mitchelton - Scott),Julian Alaphilippe,Peter Sagan,Tim Wellens,Egan Bernal Gomez,
2019,3366,16.0,Nîmes,Nîmes,Caleb Ewan  (Lotto Soudal),Julian Alaphilippe,Peter Sagan,Tim Wellens,Egan Bernal Gomez,
