Year,Rank,Rider,Rider No.,Team,Times,Gap,B,P,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
1905,15,ANTOINE WATTELIER,55,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,16,HENRI LIGNON,9,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,17,MAURICE DECAUP,76,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,18,MAURICE CARRERE,23,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,19,GUSTAVE GUILLARME,24,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,20,LUDO LOOS,59,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,21,PINCHAU,34,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,22,EUGÈNE VENTRESQUE,35,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,23,FERNAND LALLEMENT,32,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,24,CLOVIS LACROIX,40,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1906,1,RENÉ POTTIER,48,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,2,GEORGES PASSERIEU,50,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,3,LOUIS TROUSSELIER,49,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,4,LUCIEN MAZAN DIT PETIT-BRETON,72,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,5,EMILE GEORGET,26,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,6,ALOIS CATTEAU,21,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,7,EDOUARD WATTELIER,1,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,8,LÉON GEORGET,62,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,9,EUGÈNE CHRISTOPHE,6,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,10,ANTOINE WATTELIER,39,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,11,GEORGES FLEURY,46,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,12,FERDINAND PAYAN,28,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,13,LÉON WINANT,42,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,14,GEORGES BRONCHARD,60,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1907,1,LUCIEN MAZAN DIT PETIT-BRETON,12,TDF 1907 ***,47h 00' 00'',-,,,4488,14,points,169200,0
1907,2,GUSTAVE GARRIGOU,71,TDF 1907 ***,66h 00' 00'',-,,,4488,14,points,237600,0
1907,3,EMILE GEORGET,73,TDF 1907 ***,74h 00' 00'',-,,,4488,14,points,266400,0
1907,4,GEORGES PASSERIEU,70,TDF 1907 ***,85h 00' 00'',-,,,4488,14,points,306000,0
1907,5,FRANÇOIS BEAUGENDRE,87,TDF 1907 ***,123h 00' 00'',-,,,4488,14,points,442800,0
1907,6,EBERADO PAVESI,43,TDF 1907 ***,150h 00' 00'',-,,,4488,14,points,540000,0
1907,7,FRANÇOIS FABER,4,TDF 1907 ***,156h 00' 00'',-,,,4488,14,points,561600,0
1907,8,AUGUSTINN RINGEVAL,2,TDF 1907 ***,184h 00' 00'',-,,,4488,14,points,662400,0
1907,9,ALOIS CATTEAU,89,TDF 1907 ***,189h 00' 00'',-,,,4488,14,points,680400,0
1907,10,FERDINAND PAYAN,18,TDF 1907 ***,227h 00' 00'',-,,,4488,14,points,817200,0
1907,11,PIERRE PRIVAT,86,TDF 1907 ***,251h 00' 00'',-,,,4488,14,points,903600,0
1907,12,GEORGES FLEURY,29,TDF 1907 ***,274h 00' 00'',-,,,4488,14,points,986400,0
1907,13,FRANÇOIS LAFOURCADE,84,TDF 1907 ***,299h 00' 00'',-,,,4488,14,points,1076400,0
1907,14,MARIUS VILETTE,61,TDF 1907 ***,333h 00' 00'',-,,,4488,14,points,1198800,0
1907,15,ALZIR VIVIER,46,TDF 1907 ***,340h 00' 00'',-,,,4488,14,points,1224000,0
1907,16,GASTON TUVACHE,7,TDF 1907 ***,348h 00' 00'',-,,,4488,14,points,1252800,0
1907,17,EUGÈNE DELHAYE,99,TDF 1907 ***,378h 00' 00'',-,,,4488,14,points,1360800,0
1907,18,BAPTISTE ROUX,22,TDF 1907 ***,389h 00' 00'',-,,,4488,14,points,1400400,0
1907,19,PHILIPPE PAUTRAT,88,TDF 1907 ***,393h 00' 00'',-,,,4488,14,points,1414800,0
1907,20,HENRI TIMMERMANN,31,TDF 1907 ***,411h 00' 00'',-,,,4488,14,points,1479600,0
1907,21,GEORGES BRONCHARD,30,TDF 1907 ***,414h 00' 00'',-,,,4488,14,points,1490400,0
1907,22,MARCEAU NARCY,48,TDF 1907 ***,416h 00' 00'',-,,,4488,14,points,1497600,0
1907,23,HONORÉ GENIN,53,TDF 1907 ***,434h 00' 00'',-,,,4488,14,points,1562400,0
1907,24,EDOUARD WATTELIER,105,TDF 1907 ***,436h 00' 00'',-,,,4488,14,points,1569600,0
1907,25,ALBERT BAUDET,16,TDF 1907 ***,439h 00' 00'',-,,,4488,14,points,1580400,0
1907,26,ALFRED LE BARS,57,TDF 1907 ***,479h 00' 00'',-,,,4488,14,points,1724400,0
1907,27,ALFRED QUENON,65,TDF 1907 ***,487h 00' 00'',-,,,4488,14,points,1753200,0
1907,28,LOUIS LORILLON,39,TDF 1907 ***,491h 00' 00'',-,,,4488,14,points,1767600,0
1907,29,RENÉ FLEURY,109,TDF 1907 ***,495h 00' 00'',-,,,4488,14,points,1782000,0
1907,30,OCTAVE NOEL,83,TDF 1907 ***,505h 00' 00'',-,,,4488,14,points,1818000,0
1907,31,ALBERT GERAUD,104,TDF 1907 ***,515h 00' 00'',-,,,4488,14,points,1854000,0
1907,32,MARCEL DOZOL,24,TDF 1907 ***,522h 00' 00'',-,,,4488,14,points,1879200,0
1907,33,ALBERT CHARTIER,8,TDF 1907 ***,568h 00' 00'',-,,,4488,14,points,2044800,0
1908,1,LUCIEN MAZAN DIT PETIT-BRETON,2,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,2,FRANÇOIS FABER,86,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,3,GEORGES PASSERIEU,5,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,4,GUSTAVE GARRIGOU,3,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,5,LUIGI GANNA,135,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,6,GEORGES PAULMIER,9,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,7,GEORGES FLEURY,13,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,8,HENRI CORNET (GEBOREN JARDY),7,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,9,MARCEL GODIVIER,39,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,10,GIOVANNI ROSSIGNOLI,146,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,11,PAUL DUBOC,40,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,12,CLEMENTE CANEPARI,157,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,13,OMER BEAUGENDRE,10,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,14,PAUL CHAUVET,88,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,15,EUGÈNE FORESTIER,50,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,16,ACHILLE GERMAIN,77,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,17,ANDRÉ POTTIER,37,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,18,"ERNEST, DIT ''FABER ERNEST'' PAUL",99,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,19,ALDO BETTINI,95,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,20,GIOVANNI GERBI,85,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,21,ALOIS CATTEAU,45,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,22,MARCEAU NARCY,54,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,23,MARTIN SOULIE,42,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,24,FERDINAND PAYAN,64,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,25,NOËL COMBELLES,52,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,26,GONZALES,82,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,27,ALEXANDRE BODINIER,59,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,28,EDOUARD WATTELIER,1,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,29,GEORGES BRONCHARD,105,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,30,ROBERT LECOINTE,72,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,31,ANTOINE WATTELIER,162,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,32,ELOI GUICHARD,140,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,33,LÉON RABOT,68,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,34,JEAN DARCHE,118,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,35,LOUIS DI MARIA,103,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1908,36,HENRI ANTHOINE,142,TDF 1908 ***,00h 00' 00'',-,,,4488,15,,0,0
1909,1,FRANÇOIS FABER,5,ALCYON,37h 00' 00'',-,,,4497,14,points,133200,0
1909,2,GUSTAVE GARRIGOU,6,ALCYON,57h 00' 00'',-,,,4497,14,points,205200,0
1909,3,JEAN ALAVOINE,8,ALCYON,66h 00' 00'',-,,,4497,14,points,237600,0
1909,4,PAUL DUBOC,7,ALCYON,70h 00' 00'',-,,,4497,14,points,252000,0
1909,5,CYRILLE VAN HAUWAERT,3,ALCYON,92h 00' 00'',-,,,4497,14,points,331200,0
1909,6,"ERNEST, DIT ''FABER ERNEST'' PAUL",161,ISOLES,95h 00' 00'',-,,,4497,14,points,342000,0
1909,7,CONSTANT MENAGER,15,LE GLOBE,102h 00' 00'',-,,,4497,14,points,367200,0
1909,8,LOUIS TROUSSELIER,4,ALCYON,114h 00' 00'',-,,,4497,14,points,410400,0
1909,9,EUGÈNE CHRISTOPHE,144,ISOLES,139h 00' 00'',-,,,4497,14,points,500400,0
1909,10,ALDO BETTINI,186,ISOLES,142h 00' 00'',-,,,4497,14,points,511200,0
1909,11,JULIEN MAITRON,14,LE GLOBE,148h 00' 00'',-,,,4497,14,points,532800,0
1909,12,GEORGES FLEURY,13,LE GLOBE,152h 00' 00'',-,,,4497,14,points,547200,0
1909,13,ALFRED FAURE,191,ISOLES,205h 00' 00'',-,,,4497,14,points,738000,0
1909,14,MARIO GAJONI,23,LEGNANO,210h 00' 00'',-,,,4497,14,points,756000,0
1909,15,ATTILIO ZAVATTI,25,LEGNANO,241h 00' 00'',-,,,4497,14,points,867600,0
