Year,Rank,Rider,Rider No.,Team,Times,Gap,B,P,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
1948,23,RAOUL REMY,117,SUD-EST,149h 26' 35'',+ 02h 15' 59'',,,4922,21,time,537995,8159
1948,24,BERNARD GAUTHIER,112,SUD-EST,149h 44' 55'',+ 02h 34' 19'',,,4922,21,time,539095,9259
1948,25,PAUL GIGUET,47,FRANCE,149h 48' 37'',+ 02h 38' 01'',,,4922,21,time,539317,9481
1948,26,GEORGES RAMOULUX,80,CENTRE-SUD OUEST,149h 53' 22'',+ 02h 42' 46'',,,4922,21,time,539602,9766
1948,27,PRIMO VOLPI,40,ITALIE,149h 57' 24'',+ 02h 46' 48'',,,4922,21,time,539844,10008
1948,28,ROBERT CHAPATTE,102,PARIS,150h 07' 07'',+ 02h 56' 31'',,,4922,21,time,540427,10591
1948,29,GIOVANNI CORRIERI,34,ITALIE,150h 09' 46'',+ 02h 59' 10'',,,4922,21,time,540586,10750
1948,30,FLORENT MATHIEU,4,BELGIQUE,150h 11' 30'',+ 03h 00' 54'',,,4922,21,time,540690,10854
1948,31,ATTILIO LAMBERTINI,65,ITALIE B,150h 13' 31'',+ 03h 02' 55'',,,4922,21,time,540811,10975
1948,32,ALPHONSE DEVREESE,86,ILE DE FRANCE-NORD EST,150h 17' 04'',+ 03h 06' 28'',,,4922,21,time,541024,11188
1948,33,ANTONIO BEVILACQUA,32,ITALIE,150h 17' 32'',+ 03h 06' 56'',,,4922,21,time,541052,11216
1948,34,SERIFANO BIAGIONI,33,ITALIE,150h 18' 39'',+ 03h 08' 03'',,,4922,21,time,541119,11283
1948,35,PIERRE BARATIN,81,ILE DE FRANCE-NORD EST,150h 30' 20'',+ 03h 19' 44'',,,4922,21,time,541820,11984
1948,36,JEF JANSSEN,15,PAYS-BAS/LUXEMBOURG,150h 36' 35'',+ 03h 25' 59'',,,4922,21,time,542195,12359
1948,37,PAUL NERI,28,INTERNATIONAUX,150h 37' 57'',+ 03h 27' 21'',,,4922,21,time,542277,12441
1948,39,GEORGES MARTIN,113,SUD-EST,150h 56' 49'',+ 03h 46' 13'',,,4922,21,time,543409,13573
1948,40,DANIEL THUAYRE,90,ILE DE FRANCE-NORD EST,150h 59' 49'',+ 03h 49' 13'',,,4922,21,time,543589,13753
1948,41,EGIDIO FERUGLIO,37,ITALIE,151h 00' 06'',+ 03h 49' 30'',,,4922,21,time,543606,13770
1948,42,WIM DE RUYTER,13,PAYS-BAS/LUXEMBOURG,151h 02' 17'',+ 03h 51' 41'',,,4922,21,time,543737,13901
1948,43,JEAN REY,118,SUD-EST,151h 26' 33'',+ 04h 15' 57'',,,4922,21,time,545193,15357
1948,44,VITTORIO SEGHEZZI,69,ITALIE B,151h 38' 19'',+ 04h 27' 43'',,,4922,21,time,545899,16063
1949,1,FAUSTO COPPI,4,ITALIE,149h 40' 49'',-,,,4808,21,time,538849,0
1949,2,GINO BARTALI,1,ITALIE,149h 51' 44'',+ 00h 10' 55'',,,4808,21,time,539504,655
1949,3,JACQUES MARINELLI,80,ILE DE FRANCE,150h 06' 02'',+ 00h 25' 13'',,,4808,21,time,540362,1513
1949,4,JEAN ROBIC,95,OUEST-NORD,150h 15' 17'',+ 00h 34' 28'',,,4808,21,time,540917,2068
1949,5,MARCEL DUPONT,69,BELGIQUE B,150h 19' 48'',+ 00h 38' 59'',,,4808,21,time,541188,2339
1949,6,FIORENZO MAGNI,63,ITALIE B,150h 22' 59'',+ 00h 42' 10'',,,4808,21,time,541379,2530
1949,7,STAN OCKERS,21,BELGIQUE,150h 25' 24'',+ 00h 44' 35'',,,4808,21,time,541524,2675
1949,8,JEAN GOLDSCHMIT,46,LUXEMBOURG,150h 28' 13'',+ 00h 47' 24'',,,4808,21,time,541693,2844
1949,9,JEAN-APO LAZARIDES,33,FRANCE,150h 33' 17'',+ 00h 52' 28'',,,4808,21,time,541997,3148
1949,10,PIERRE COGAN,85,OUEST-NORD,150h 49' 44'',+ 01h 08' 55'',,,4808,21,time,542984,4135
1949,11,ROGER LAMBRECHT,19,BELGIQUE,150h 58' 10'',+ 01h 17' 21'',,,4808,21,time,543490,4641
1949,12,GINO SCIARDIS,12,ITALIE,151h 02' 50'',+ 01h 22' 01'',,,4808,21,time,543770,4921
1949,13,JEAN KIRCHEN,48,LUXEMBOURG,151h 09' 03'',+ 01h 28' 14'',,,4808,21,time,544143,5294
1949,14,LUCIEN TEISSEIRE,35,FRANCE,151h 15' 45'',+ 01h 34' 56'',,,4808,21,time,544545,5696
1949,15,JEAN DIEDERICH,44,LUXEMBOURG,151h 16' 43'',+ 01h 35' 54'',,,4808,21,time,544603,5754
1949,16,ROBERT CHAPATTE,26,FRANCE,151h 19' 29'',+ 01h 38' 40'',,,4808,21,time,544769,5920
1949,17,SERIFANO BIAGIONI,2,ITALIE,151h 19' 36'',+ 01h 38' 47'',,,4808,21,time,544776,5927
1949,18,NELLO LAUREDI,114,SUD-EST,151h 24' 11'',+ 01h 43' 22'',,,4808,21,time,545051,6202
1949,19,GEORGES AESCHLIMANN,37,SUISSE,151h 28' 41'',+ 01h 47' 52'',,,4808,21,time,545321,6472
1949,20,PIERRE TACCA,83,ILE DE FRANCE,151h 28' 50'',+ 01h 48' 01'',,,4808,21,time,545330,6481
1949,21,MARCEL DEMULDER,68,BELGIQUE B,151h 30' 05'',+ 01h 49' 16'',,,4808,21,time,545405,6556
1949,22,JEAN-MARIE GOASMAT,86,OUEST-NORD,151h 41' 03'',+ 02h 00' 14'',,,4808,21,time,546063,7214
1949,23,ANDRÉ BRULE,73,ILE DE FRANCE,151h 42' 07'',+ 02h 01' 18'',,,4808,21,time,546127,7278
1949,24,BRUNO PASQUINI,8,ITALIE,151h 49' 33'',+ 02h 08' 44'',,,4808,21,time,546573,7724
1949,25,MARCEL HENDRICKX,71,BELGIQUE B,151h 50' 58'',+ 02h 10' 09'',,,4808,21,time,546658,7809
1949,26,PIERRE BRAMBILLA,109,SUD-EST,152h 03' 22'',+ 02h 22' 33'',,,4808,21,time,547402,8553
1949,27,JACQUES GEUS,70,BELGIQUE B,152h 06' 55'',+ 02h 26' 06'',,,4808,21,time,547615,8766
1949,28,RENÉ VIETTO,36,FRANCE,152h 11' 00'',+ 02h 30' 11'',,,4808,21,time,547860,9011
1949,29,RIK VAN STEENBERGEN,24,BELGIQUE,152h 12' 02'',+ 02h 31' 13'',,,4808,21,time,547922,9073
1949,30,LOUIS DEPREZ,28,FRANCE,152h 13' 45'',+ 02h 32' 56'',,,4808,21,time,548025,9176
1949,31,ROGER LEVEQUE,105,CENTRE-SUD OUEST,152h 14' 18'',+ 02h 33' 29'',,,4808,21,time,548058,9209
1949,32,LUCIEN LAZARIDES,34,FRANCE,152h 29' 24'',+ 02h 48' 35'',,,4808,21,time,548964,10115
1949,33,BRIK SCHOTTE,22,BELGIQUE,152h 31' 18'',+ 02h 50' 29'',,,4808,21,time,549078,10229
1949,34,DÉSIRÉ KETELEER,17,BELGIQUE,152h 42' 29'',+ 03h 01' 40'',,,4808,21,time,549749,10900
1949,35,GEORGES MARTIN,115,SUD-EST,152h 57' 15'',+ 03h 16' 26'',,,4808,21,time,550635,11786
1949,36,VINCENZO ROSSELLO,10,ITALIE,152h 58' 32'',+ 03h 17' 43'',,,4808,21,time,550712,11863
1949,37,FLORENT MATHIEU,20,BELGIQUE,153h 02' 30'',+ 03h 21' 41'',,,4808,21,time,550950,12101
1949,38,GIUSEPPE AUSENDA,61,ITALIE B,153h 11' 21'',+ 03h 30' 32'',,,4808,21,time,551481,12632
1949,39,PAUL PINEAU,107,CENTRE-SUD OUEST,153h 12' 08'',+ 03h 31' 19'',,,4808,21,time,551528,12679
1949,40,GOTTFRIED WEILENMANN,42,SUISSE,153h 21' 02'',+ 03h 40' 13'',,,4808,21,time,552062,13213
1949,41,MARIO RICCI,11,ITALIE,153h 21' 40'',+ 03h 40' 51'',,,4808,21,time,552100,13251
1949,42,ALBERT DOLHATS,100,CENTRE-SUD OUEST,153h 24' 27'',+ 03h 43' 38'',,,4808,21,time,552267,13418
1949,44,EDOUARD MULLER,81,ILE DE FRANCE,153h 31' 07'',+ 03h 50' 18'',,,4808,21,time,552667,13818
1949,45,ANTONIN ROLLAND,120,SUD-EST,153h 31' 35'',+ 03h 50' 46'',,,4808,21,time,552695,13846
1949,46,GEORGES RAMOULUX,108,CENTRE-SUD OUEST,153h 37' 02'',+ 03h 56' 13'',,,4808,21,time,553022,14173
1949,47,PAUL GIGUET,113,SUD-EST,154h 02' 15'',+ 04h 21' 26'',,,4808,21,time,554535,15686
1949,48,JEAN BLANC,97,CENTRE-SUD OUEST,154h 20' 40'',+ 04h 39' 51'',,,4808,21,time,555640,16791
1949,49,ANDRÉ MAHE,91,OUEST-NORD,154h 29' 29'',+ 04h 48' 40'',,,4808,21,time,556169,17320
1949,50,LUCIANO PEZZI,9,ITALIE,154h 34' 24'',+ 04h 53' 35'',,,4808,21,time,556464,17615
1949,51,ETTORE MILANO,7,ITALIE,154h 44' 40'',+ 05h 03' 51'',,,4808,21,time,557080,18231
1949,52,GIOVANNI CORRIERI,5,ITALIE,154h 52' 46'',+ 05h 11' 57'',,,4808,21,time,557566,18717
1949,53,ANGELO BRIGNOLE,3,ITALIE,155h 09' 17'',+ 05h 28' 28'',,,4808,21,time,558557,19708
1949,54,CUSTODIO DOS REIS,101,CENTRE-SUD OUEST,155h 20' 58'',+ 05h 40' 09'',,,4808,21,time,559258,20409
1949,55,GUIDO DE SANTI,6,ITALIE,155h 47' 40'',+ 06h 06' 51'',,,4808,21,time,560860,22011
1950,1,FERDI KUBLER,33,SUISSE,145h 36' 56'',-,,,4773,22,time,524216,0
1950,2,STAN OCKERS,17,BELGIQUE,145h 46' 26'',+ 00h 09' 30'',,,4773,22,time,524786,570
1950,3,LOUISON BOBET,22,FRANCE,145h 59' 15'',+ 00h 22' 19'',,,4773,22,time,525555,1339
1950,4,RAPHAËL GEMINIANI,26,FRANCE,146h 08' 10'',+ 00h 31' 14'',,,4773,22,time,526090,1874
1950,5,JEAN KIRCHEN,42,LUXEMBOURG,146h 11' 17'',+ 00h 34' 21'',,,4773,22,time,526277,2061
1950,6,KLEBER PIOT,74,ILE DE FRANCE-NORD EST,146h 18' 31'',+ 00h 41' 35'',,,4773,22,time,526711,2495
1950,7,PIERRE COGAN,92,CENTRE-SUD OUEST,146h 29' 38'',+ 00h 52' 42'',,,4773,22,time,527378,3162
1950,8,RAYMOND IMPANIS,15,BELGIQUE,146h 30' 30'',+ 00h 53' 34'',,,4773,22,time,527430,3214
1950,9,GEORGES MEUNIER,97,CENTRE-SUD OUEST,146h 31' 25'',+ 00h 54' 29'',,,4773,22,time,527485,3269
1950,10,JEAN GOLDSCHMIT,39,LUXEMBOURG,146h 32' 17'',+ 00h 55' 21'',,,4773,22,time,527537,3321
1950,11,PIERRE BRAMBILLA,102,SUD-EST,146h 34' 10'',+ 00h 57' 14'',,,4773,22,time,527650,3434
1950,12,JEAN ROBIC,89,OUEST,146h 36' 41'',+ 00h 59' 45'',,,4773,22,time,527801,3585
1950,13,ROGER LAMBRECHT,16,BELGIQUE,146h 37' 25'',+ 01h 00' 29'',,,4773,22,time,527845,3629
1950,14,ANDRÉ BRULE,72,ILE DE FRANCE-NORD EST,146h 42' 25'',+ 01h 05' 29'',,,4773,22,time,528145,3929
1950,15,MARCEL VERSCHUEREN,60,BELGIQUE B,146h 42' 46'',+ 01h 05' 50'',,,4773,22,time,528166,3950
1950,16,MARCEL DEMULDER,56,BELGIQUE B,146h 48' 34'',+ 01h 11' 38'',,,4773,22,time,528514,4298
1950,17,BERNARD GAUTHIER,105,SUD-EST,146h 50' 25'',+ 01h 13' 29'',,,4773,22,time,528625,4409
1950,18,JEAN DIEDERICH,37,LUXEMBOURG,146h 51' 54'',+ 01h 14' 58'',,,4773,22,time,528714,4498
1950,19,ROBERT CASTELLIN,104,SUD-EST,147h 02' 10'',+ 01h 25' 14'',,,4773,22,time,529330,5114
1950,20,ATTILIO REDOLFI,77,ILE DE FRANCE-NORD EST,147h 05' 55'',+ 01h 28' 59'',,,4773,22,time,529555,5339
1950,21,WILLY KEMP,41,LUXEMBOURG,147h 14' 51'',+ 01h 37' 55'',,,4773,22,time,530091,5875
1950,22,BRIK SCHOTTE,18,BELGIQUE,147h 23' 49'',+ 01h 46' 53'',,,4773,22,time,530629,6413
1950,23,ARMAND BAEYENS,55,BELGIQUE B,147h 24' 37'',+ 01h 47' 41'',,,4773,22,time,530677,6461
1950,24,PAUL GIGUET,23,FRANCE,147h 25' 03'',+ 01h 48' 07'',,,4773,22,time,530703,6487
1950,25,MARCEL HENDRICKX,14,BELGIQUE,147h 36' 17'',+ 01h 59' 21'',,,4773,22,time,531377,7161
1950,26,CUSTODIO DOS REIS,112,NORD AFRIQUE,147h 36' 54'',+ 01h 59' 58'',,,4773,22,time,531414,7198
1950,27,WIM DE RUYTER,44,PAYS-BAS,147h 38' 36'',+ 02h 01' 40'',,,4773,22,time,531516,7300
1950,28,JEAN-APO LAZARIDES,28,FRANCE,147h 39' 48'',+ 02h 02' 52'',,,4773,22,time,531588,7372
1950,29,ANTONIN ROLLAND,110,SUD-EST,147h 40' 24'',+ 02h 03' 28'',,,4773,22,time,531624,7408
1950,30,JEAN BALDASSARI,61,PARIS,147h 41' 57'',+ 02h 05' 01'',,,4773,22,time,531717,7501
1950,31,MARCEL DUSSAULT,94,CENTRE-SUD OUEST,147h 46' 54'',+ 02h 09' 58'',,,4773,22,time,532014,7798
1950,32,MAURICE DEMUER,73,ILE DE FRANCE-NORD EST,147h 48' 34'',+ 02h 11' 38'',,,4773,22,time,532114,7898
1950,33,GINO SCIARDIS,90,OUEST,147h 50' 26'',+ 02h 13' 30'',,,4773,22,time,532226,8010
1950,34,RAOUL REMY,108,SUD-EST,148h 03' 16'',+ 02h 26' 20'',,,4773,22,time,532996,8780
1950,35,JEAN-MARIE GOASMAT,86,OUEST,148h 06' 10'',+ 02h 29' 14'',,,4773,22,time,533170,8954
1950,36,PIERRE MOLINERIS,30,FRANCE,148h 06' 27'',+ 02h 29' 31'',,,4773,22,time,533187,8971
1950,37,NELLO LAUREDI,27,FRANCE,147h 59' 01'',+ 02h 22' 05'',,,4773,22,time,532741,8525
1950,38,ROBERT KALLERT,106,SUD-EST,148h 00' 24'',+ 02h 23' 28'',,,4773,22,time,532824,8608
1950,39,ROGER CRETON,84,OUEST,148h 01' 23'',+ 02h 24' 27'',,,4773,22,time,532883,8667
1950,41,GEORGES AESCHLIMANN,31,SUISSE,148h 11' 00'',+ 02h 34' 04'',,,4773,22,time,533460,9244
1950,42,SERGE BLUSSON,63,PARIS,148h 15' 09'',+ 02h 38' 13'',,,4773,22,time,533709,9493
1950,43,EMILIO CROCI-TORTI,32,SUISSE,148h 25' 35'',+ 02h 48' 39'',,,4773,22,time,534335,10119
1950,44,ROBERT BONNAVENTURE,82,OUEST,148h 27' 38'',+ 02h 50' 42'',,,4773,22,time,534458,10242
1950,45,NOËL LAJOIE,96,CENTRE-SUD OUEST,148h 29' 00'',+ 02h 52' 04'',,,4773,22,time,534540,10324
1950,46,ROBERT DESBATS,25,FRANCE,148h 33' 23'',+ 02h 56' 27'',,,4773,22,time,534803,10587
1950,47,JOSÉ BEYAERT,62,PARIS,148h 49' 03'',+ 03h 12' 07'',,,4773,22,time,535743,11527
1950,48,EMILE BAFFERT,21,FRANCE,148h 59' 47'',+ 03h 22' 51'',,,4773,22,time,536387,12171
1950,49,GILBERT BAUVIN,71,ILE DE FRANCE-NORD EST,149h 12' 35'',+ 03h 35' 39'',,,4773,22,time,537155,12939
1950,50,GOTTFRIED WEILENMANN,35,SUISSE,149h 34' 46'',+ 03h 57' 50'',,,4773,22,time,538486,14270
1950,51,FRITZ ZBINDEN,36,SUISSE,149h 43' 43'',+ 04h 06' 47'',,,4773,22,time,539023,14807
1951,1,HUGO KOBLET,3,SUISSE,142h 20' 14'',-,,,4690,24,time,512414,0
1951,2,RAPHAËL GEMINIANI,41,FRANCE,142h 42' 14'',+ 00h 22' 00'',,,4690,24,time,513734,1320
1951,3,LUCIEN LAZARIDES,45,FRANCE,142h 44' 30'',+ 00h 24' 16'',,,4690,24,time,513870,1456
1951,4,GINO BARTALI,13,ITALIE,142h 49' 23'',+ 00h 29' 09'',,,4690,24,time,514163,1749
1951,5,STAN OCKERS,32,BELGIQUE,142h 53' 07'',+ 00h 32' 53'',,,4690,24,time,514387,1973
1951,6,PIERRE BARBOTIN,38,FRANCE,142h 56' 54'',+ 00h 36' 40'',,,4690,24,time,514614,2200
1951,7,FIORENZO MAGNI,19,ITALIE,142h 59' 28'',+ 00h 39' 14'',,,4690,24,time,514768,2354
1951,8,GILBERT BAUVIN,98,EST-SUD EST,143h 06' 07'',+ 00h 45' 53'',,,4690,24,time,515167,2753
1951,9,BERNARDO RUIZ,71,ESPAGNE,143h 06' 09'',+ 00h 45' 55'',,,4690,24,time,515169,2755
1951,10,FAUSTO COPPI,15,ITALIE,143h 07' 05'',+ 00h 46' 51'',,,4690,24,time,515225,2811
1951,11,NELLO LAUREDI,43,FRANCE,143h 17' 33'',+ 00h 57' 19'',,,4690,24,time,515853,3439
1951,12,JEAN DIEDERICH,50,LUXEMBOURG,143h 19' 43'',+ 00h 59' 29'',,,4690,24,time,515983,3569
1951,13,MARCEL DEMULDER,29,BELGIQUE,143h 24' 32'',+ 01h 04' 18'',,,4690,24,time,516272,3858
1951,14,EDWARD VAN ENDE,34,BELGIQUE,143h 27' 32'',+ 01h 07' 18'',,,4690,24,time,516452,4038
1951,15,SERIFANO BIAGIONI,14,ITALIE,143h 29' 06'',+ 01h 08' 52'',,,4690,24,time,516546,4132
1951,16,GEORGES MEUNIER,117,OUEST-SUD OUEST,143h 33' 50'',+ 01h 13' 36'',,,4690,24,time,516830,4416
1951,17,ROGER DECOCK,27,BELGIQUE,143h 34' 11'',+ 01h 13' 57'',,,4690,24,time,516851,4437
1951,18,MARCEL VERSCHUEREN,36,BELGIQUE,143h 34' 50'',+ 01h 14' 36'',,,4690,24,time,516890,4476
1951,19,PIERRE COGAN,111,OUEST-SUD OUEST,143h 35' 44'',+ 01h 15' 30'',,,4690,24,time,516944,4530
1951,20,LOUISON BOBET,39,FRANCE,143h 44' 23'',+ 01h 24' 09'',,,4690,24,time,517463,5049
1951,21,JEAN-MARIE GOASMAT,113,OUEST-SUD OUEST,143h 51' 41'',+ 01h 31' 27'',,,4690,24,time,517901,5487
1951,22,ALOIS DE HERTOG,28,BELGIQUE,143h 55' 18'',+ 01h 35' 04'',,,4690,24,time,518118,5704
1951,23,JEAN DOTTO,104,EST-SUD EST,143h 56' 37'',+ 01h 36' 23'',,,4690,24,time,518197,5783
1951,24,GEORGES AESCHLIMANN,1,SUISSE,143h 59' 59'',+ 01h 39' 45'',,,4690,24,time,518399,5985
1951,25,ANDRÉ ROSSEEL,33,BELGIQUE,144h 02' 36'',+ 01h 42' 22'',,,4690,24,time,518556,6142
1951,26,BERNARD GAUTHIER,40,FRANCE,144h 11' 23'',+ 01h 51' 09'',,,4690,24,time,519083,6669
1951,27,JEAN ROBIC,84,PARIS,144h 15' 49'',+ 01h 55' 35'',,,4690,24,time,519349,6935
1951,28,HANS SOMMERS,6,SUISSE,144h 19' 01'',+ 01h 58' 47'',,,4690,24,time,519541,7127
1951,29,FRANCO FRANCHI,17,ITALIE,144h 19' 27'',+ 01h 59' 13'',,,4690,24,time,519567,7153
1951,30,ROGER LEVEQUE,115,OUEST-SUD OUEST,144h 22' 05'',+ 02h 01' 51'',,,4690,24,time,519725,7311
1951,31,LUCIEN TEISSEIRE,48,FRANCE,144h 28' 19'',+ 02h 08' 05'',,,4690,24,time,520099,7685
1951,32,ADOLPHE DELEDDA,103,EST-SUD EST,144h 29' 43'',+ 02h 09' 29'',,,4690,24,time,520183,7769
1951,33,VINCENT VITETTA,108,EST-SUD EST,144h 29' 59'',+ 02h 09' 45'',,,4690,24,time,520199,7785
1951,34,PAUL GIGUET,105,EST-SUD EST,144h 32' 37'',+ 02h 12' 23'',,,4690,24,time,520357,7943
1951,35,MARCEL HUBER,2,SUISSE,144h 33' 50'',+ 02h 13' 36'',,,4690,24,time,520430,8016
1951,36,PIERRE BRAMBILLA,99,EST-SUD EST,144h 38' 43'',+ 02h 18' 29'',,,4690,24,time,520723,8309
1951,37,LOUIS DEPREZ,88,ILE DE FRANCE,144h 45' 58'',+ 02h 25' 44'',,,4690,24,time,521158,8744
1951,38,ANDRÉA CARREA,16,ITALIE,144h 48' 15'',+ 02h 28' 01'',,,4690,24,time,521295,8881
1951,39,ROGER BUCHONNET,100,EST-SUD EST,144h 51' 47'',+ 02h 31' 33'',,,4690,24,time,521507,9093
1951,40,ARMAND BAEYENS,25,BELGIQUE,144h 54' 18'',+ 02h 34' 04'',,,4690,24,time,521658,9244
1951,41,EDOUARD MULLER,46,FRANCE,144h 55' 16'',+ 02h 35' 02'',,,4690,24,time,521716,9302
1951,42,HILAIRE COUVREUR,26,BELGIQUE,145h 03' 15'',+ 02h 43' 01'',,,4690,24,time,522195,9781
1951,43,GERMAIN DE RIJCKE,31,BELGIQUE,145h 03' 30'',+ 02h 43' 16'',,,4690,24,time,522210,9796
1951,44,MANUEL RODRIGUEZ,70,ESPAGNE,145h 05' 53'',+ 02h 45' 39'',,,4690,24,time,522353,9939
1951,45,ANDRÉ LABEYLIE,89,ILE DE FRANCE,145h 09' 52'',+ 02h 49' 38'',,,4690,24,time,522592,10178
1951,46,JOSEPH MIRANDO,106,EST-SUD EST,145h 10' 20'',+ 02h 50' 06'',,,4690,24,time,522620,10206
1951,47,LUCIANO PEZZI,22,ITALIE,145h 14' 43'',+ 02h 54' 29'',,,4690,24,time,522883,10469
1951,48,JOSEPH MORVAN,118,OUEST-SUD OUEST,145h 14' 52'',+ 02h 54' 38'',,,4690,24,time,522892,10478
1951,49,LOUIS CAPUT,75,PARIS,145h 15' 25'',+ 02h 55' 11'',,,4690,24,time,522925,10511
1951,50,GOTTFRIED WEILENMANN,7,SUISSE,145h 17' 29'',+ 02h 57' 15'',,,4690,24,time,523049,10635
1951,51,GINO SCIARDIS,96,ILE DE FRANCE,145h 25' 14'',+ 03h 05' 00'',,,4690,24,time,523514,11100
1951,52,ETTORE MILANO,20,ITALIE,145h 27' 17'',+ 03h 07' 03'',,,4690,24,time,523637,11223
1951,53,ANGELO COLINELLI,102,EST-SUD EST,145h 28' 12'',+ 03h 07' 58'',,,4690,24,time,523692,11278
1951,54,VIRGILIO SALIMBENI,23,ITALIE,145h 28' 37'',+ 03h 08' 23'',,,4690,24,time,523717,11303
1951,55,WILLY KEMP,54,LUXEMBOURG,145h 35' 16'',+ 03h 15' 02'',,,4690,24,time,524116,11702
1951,56,JEAN BALDASSARI,37,FRANCE,145h 36' 54'',+ 03h 16' 40'',,,4690,24,time,524214,11800
1951,57,ROGER WALKOWIAK,120,OUEST-SUD OUEST,145h 37' 44'',+ 03h 17' 30'',,,4690,24,time,524264,11850
1951,58,DALMACIO LANGARICA,67,ESPAGNE,145h 40' 38'',+ 03h 20' 24'',,,4690,24,time,524438,12024
1951,59,FRANCISCO MASSIP,68,ESPAGNE,145h 56' 27'',+ 03h 36' 13'',,,4690,24,time,525387,12973
1951,60,LÉO WEILENMANN,8,SUISSE,146h 04' 46'',+ 03h 44' 32'',,,4690,24,time,525886,13472
1951,61,JEAN GUEGUEN,42,FRANCE,146h 06' 01'',+ 03h 45' 47'',,,4690,24,time,525961,13547
1951,62,ALOIS VAN STEENKISTE,35,BELGIQUE,146h 12' 19'',+ 03h 52' 05'',,,4690,24,time,526339,13925
1951,63,JEAN CARLE,76,PARIS,146h 25' 07'',+ 04h 04' 53'',,,4690,24,time,527107,14693
1951,64,EMILE BAFFERT,97,EST-SUD EST,147h 01' 40'',+ 04h 41' 26'',,,4690,24,time,529300,16886
1951,65,JEAN MAYEN,125,AFRIQUE DU NORD,147h 13' 13'',+ 04h 52' 59'',,,4690,24,time,529993,17579
1951,66,ABDEL-KADER ZAAF,127,AFRIQUE DU NORD,147h 14' 32'',+ 04h 54' 18'',,,4690,24,time,530072,17658
1952,1,FAUSTO COPPI,25,ITALIE,151h 57' 20'',-,,,4898,23,time,547040,0
1952,2,STAN OCKERS,15,BELGIQUE,152h 25' 37'',+ 00h 28' 17'',,,4898,23,time,548737,1697
1952,3,BERNARDO RUIZ,57,ESPAGNE,152h 31' 58'',+ 00h 34' 38'',,,4898,23,time,549118,2078
1952,4,GINO BARTALI,22,ITALIE,152h 32' 45'',+ 00h 35' 25'',,,4898,23,time,549165,2125
1952,5,JEAN ROBIC,42,FRANCE,152h 32' 56'',+ 00h 35' 36'',,,4898,23,time,549176,2136
1952,6,FIORENZO MAGNI,29,ITALIE,152h 35' 45'',+ 00h 38' 25'',,,4898,23,time,549345,2305
1952,7,ALEXANDRE CLOSE,10,BELGIQUE,152h 35' 52'',+ 00h 38' 32'',,,4898,23,time,549352,2312
1952,8,JEAN DOTTO,34,FRANCE,152h 45' 21'',+ 00h 48' 01'',,,4898,23,time,549921,2881
1952,9,ANDRÉA CARREA,24,ITALIE,152h 47' 40'',+ 00h 50' 20'',,,4898,23,time,550060,3020
1952,10,ANTONIO GELABERT,53,ESPAGNE,152h 55' 36'',+ 00h 58' 16'',,,4898,23,time,550536,3496
1952,11,RAPHAËL GEMINIANI,36,FRANCE,153h 00' 07'',+ 01h 02' 47'',,,4898,23,time,550807,3767
1952,12,GOTTFRIED WEILENMANN,6,SUISSE,153h 01' 39'',+ 01h 04' 19'',,,4898,23,time,550899,3859
1952,13,ALOIS DE HERTOG,12,BELGIQUE,153h 04' 35'',+ 01h 07' 15'',,,4898,23,time,551075,4035
1952,14,EDWARD VAN ENDE,18,BELGIQUE,153h 14' 57'',+ 01h 17' 37'',,,4898,23,time,551697,4657
1952,15,JAN NOLTEN,47,PAYS-BAS,153h 27' 54'',+ 01h 30' 34'',,,4898,23,time,552474,5434
1952,16,JEAN GOLDSCHMIT,65,LUXEMBOURG,153h 47' 07'',+ 01h 49' 47'',,,4898,23,time,553627,6587
1952,17,WIM VAN EST,50,PAYS-BAS,153h 48' 14'',+ 01h 50' 54'',,,4898,23,time,553694,6654
1952,18,MARCEL ZELASCO,124,AFRIQUE DU NORD,153h 48' 22'',+ 01h 51' 02'',,,4898,23,time,553702,6662
1952,19,NELLO LAUREDI,37,FRANCE,153h 57' 03'',+ 01h 59' 43'',,,4898,23,time,554223,7183
1952,20,VINCENT VITETTA,104,SUD EST,153h 58' 37'',+ 02h 01' 17'',,,4898,23,time,554317,7277
1952,21,ANTONIN ROLLAND,43,FRANCE,153h 59' 58'',+ 02h 02' 38'',,,4898,23,time,554398,7358
1952,22,GERRIT VOORTING,51,PAYS-BAS,154h 04' 42'',+ 02h 07' 22'',,,4898,23,time,554682,7642
1952,23,JOSÉ SERRA,58,ESPAGNE,154h 05' 52'',+ 02h 08' 32'',,,4898,23,time,554752,7712
1952,24,ADOLPHE DELEDDA,85,NORD EST-CENTRE,154h 07' 04'',+ 02h 09' 44'',,,4898,23,time,554824,7784
1952,25,WOUT WAGTMANS,52,PAYS-BAS,154h 07' 05'',+ 02h 09' 45'',,,4898,23,time,554825,7785
1952,26,JEAN LE GUILLY,110,OUEST-SUD OUEST,154h 17' 29'',+ 02h 20' 09'',,,4898,23,time,555449,8409
1952,27,FRANCO FRANCHI,28,ITALIE,154h 21' 36'',+ 02h 24' 16'',,,4898,23,time,555696,8656
1952,28,ANDRÉ ROSSEEL,16,BELGIQUE,154h 27' 19'',+ 02h 29' 59'',,,4898,23,time,556039,8999
1952,29,MAURICE NEYT,14,BELGIQUE,154h 31' 51'',+ 02h 34' 31'',,,4898,23,time,556311,9271
