Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
67,JADE WIEL,77.0,FDJ-SUEZ,26h 15' 12'',+ 00h 57' 37'',,,2023,956,8,time,94512,3457
68,ANNA HENDERSON,32.0,TEAM JUMBO-VISMA,26h 15' 42'',+ 00h 58' 07'',,,2023,956,8,time,94542,3487
69,SIGRID HAUGSET,214.0,TEAM COOP-HITEC PRODUCTS,26h 17' 09'',+ 00h 59' 34'',,,2023,956,8,time,94629,3574
70,EMMA NORSGAARD BJERG,4.0,MOVISTAR TEAM WOMEN,26h 17' 59'',+ 01h 00' 24'',10',,2023,956,8,time,94679,3624
71,HANNAH LUDWIG,135.0,UNO-X PRO CYCLING TEAM,26h 18' 28'',+ 01h 00' 53'',,,2023,956,8,time,94708,3653
72,AMBER PATE,177.0,TEAM JAYCO ALULA,26h 18' 43'',+ 01h 01' 08'',,,2023,956,8,time,94723,3668
73,MARTHE TRUYEN,116.0,FENIX-DECEUNINCK,26h 19' 41'',+ 01h 02' 06'',,,2023,956,8,time,94781,3726
74,MORGANE COSTON,163.0,COFIDIS WOMEN TEAM,26h 19' 47'',+ 01h 02' 12'',,00' 20'',2023,956,8,time,94787,3732
75,ALEXANDRA MANLY,176.0,TEAM JAYCO ALULA,26h 20' 21'',+ 01h 02' 46'',,,2023,956,8,time,94821,3766
76,KARLIJN SWINKELS,36.0,TEAM JUMBO-VISMA,26h 20' 56'',+ 01h 03' 21'',,,2023,956,8,time,94856,3801
77,DANIELLE DE FRANCESCO,201.0,ARKEA PRO CYCLING TEAM,26h 23' 01'',+ 01h 05' 26'',,,2023,956,8,time,94981,3926
78,ERI YONAMINE,157.0,HUMAN POWERED HEALTH,26h 23' 15'',+ 01h 05' 40'',,,2023,956,8,time,94995,3940
79,ELENA HARTMANN,125.0,ISRAEL PREMIER TECH ROLAND,26h 24' 21'',+ 01h 06' 46'',,,2023,956,8,time,95061,4006
80,SARA POIDEVIN,85.0,EF EDUCATION - TIBCO - SVB,26h 26' 16'',+ 01h 08' 41'',,,2023,956,8,time,95176,4121
81,MARGOT POMPANON,147.0,ST MICHEL - MAVIC - AUBER93,26h 26' 29'',+ 01h 08' 54'',,,2023,956,8,time,95189,4134
82,JULIE DE WILDE,111.0,FENIX-DECEUNINCK,26h 27' 42'',+ 01h 10' 07'',,,2023,956,8,time,95262,4207
83,NINA BERTON,194.0,CERATIZIT - WNT PRO CYCLING TEAM,26h 27' 43'',+ 01h 10' 08'',,,2023,956,8,time,95263,4208
84,AUDE BIANNIC,2.0,MOVISTAR TEAM WOMEN,26h 28' 02'',+ 01h 10' 27'',,,2023,956,8,time,95282,4227
85,SANNE CANT,112.0,FENIX-DECEUNINCK,26h 29' 24'',+ 01h 11' 49'',,,2023,956,8,time,95364,4309
86,CAMILLE FAHY,144.0,ST MICHEL - MAVIC - AUBER93,26h 30' 22'',+ 01h 12' 47'',,,2023,956,8,time,95422,4367
87,LAURETTA HANSON,64.0,LIDL - TREK,26h 30' 25'',+ 01h 12' 50'',,,2023,956,8,time,95425,4370
88,CELIA LE MOUEL,145.0,ST MICHEL - MAVIC - AUBER93,26h 31' 13'',+ 01h 13' 38'',,,2023,956,8,time,95473,4418
89,SHEYLA GUTIERREZ RUIZ,3.0,MOVISTAR TEAM WOMEN,26h 33' 28'',+ 01h 15' 53'',,,2023,956,8,time,95608,4553
90,SARAH ROY,25.0,CANYON//SRAM RACING,26h 33' 37'',+ 01h 16' 02'',,,2023,956,8,time,95617,4562
91,MAAIKE BOOGAARD,103.0,AG INSURANCE - SOUDAL QUICK-STEP TEAM,26h 36' 55'',+ 01h 19' 20'',,,2023,956,8,time,95815,4760
92,SANDRA ALONSO,192.0,CERATIZIT - WNT PRO CYCLING TEAM,26h 37' 00'',+ 01h 19' 25'',,,2023,956,8,time,95820,4765
93,SUSANNE ANDERSEN,132.0,UNO-X PRO CYCLING TEAM,26h 40' 16'',+ 01h 22' 41'',,,2023,956,8,time,96016,4961
94,NINA KESSLER,175.0,TEAM JAYCO ALULA,26h 40' 51'',+ 01h 23' 16'',,,2023,956,8,time,96051,4996
95,ELENA CECCHINI,13.0,TEAM SD WORX,26h 41' 17'',+ 01h 23' 42'',,,2023,956,8,time,96077,5022
96,GEORGINA HOWE,174.0,TEAM JAYCO ALULA,26h 41' 59'',+ 01h 24' 24'',,,2023,956,8,time,96119,5064
97,MAGDELEINE VALLIERES,86.0,EF EDUCATION - TIBCO - SVB,26h 42' 23'',+ 01h 24' 48'',,,2023,956,8,time,96143,5088
98,ARIANNA FIDANZA,195.0,CERATIZIT - WNT PRO CYCLING TEAM,26h 42' 53'',+ 01h 25' 18'',,,2023,956,8,time,96173,5118
99,TENIEL CAMPBELL,173.0,TEAM JAYCO ALULA,26h 42' 59'',+ 01h 25' 24'',,,2023,956,8,time,96179,5124
100,KATHRIN SCHWEINBERGER,197.0,CERATIZIT - WNT PRO CYCLING TEAM,26h 43' 15'',+ 01h 25' 40'',,,2023,956,8,time,96195,5140
101,JEANNE KOREVAAR,95.0,LIV RACING TEQFIND,26h 44' 34'',+ 01h 26' 59'',,,2023,956,8,time,96274,5219
102,NATHALIE EKLUND,124.0,ISRAEL PREMIER TECH ROLAND,26h 45' 07'',+ 01h 27' 32'',,,2023,956,8,time,96307,5252
103,CORYN LABECKI,34.0,TEAM JUMBO-VISMA,26h 45' 10'',+ 01h 27' 35'',,,2023,956,8,time,96310,5255
104,EVY KUIJPERS,114.0,FENIX-DECEUNINCK,26h 47' 00'',+ 01h 29' 25'',,,2023,956,8,time,96420,5365
105,HENRIETTA CHRISTIE,153.0,HUMAN POWERED HEALTH,26h 47' 03'',+ 01h 29' 28'',,,2023,956,8,time,96423,5368
106,WILMA OLAUSSON,136.0,UNO-X PRO CYCLING TEAM,26h 48' 01'',+ 01h 30' 26'',,,2023,956,8,time,96481,5426
107,STINE DALE,212.0,TEAM COOP-HITEC PRODUCTS,26h 48' 31'',+ 01h 30' 56'',,,2023,956,8,time,96511,5456
108,ALISON JACKSON,84.0,EF EDUCATION - TIBCO - SVB,26h 49' 25'',+ 01h 31' 50'',,,2023,956,8,time,96565,5510
109,ILARIA SANGUINETI,66.0,LIDL - TREK,26h 53' 31'',+ 01h 35' 56'',,,2023,956,8,time,96811,5756
110,MARGAUX VIGIE,181.0,LIFEPLUS WAHOO,26h 54' 12'',+ 01h 36' 37'',,,2023,956,8,time,96852,5797
111,MEGAN JASTRAB,54.0,TEAM DSM-FIRMENICH,26h 55' 22'',+ 01h 37' 47'',,,2023,956,8,time,96922,5867
112,SANDRINE BIDEAU,142.0,ST MICHEL - MAVIC - AUBER93,26h 55' 38'',+ 01h 38' 03'',,,2023,956,8,time,96938,5883
113,TIRIL JØRGENSEN,215.0,TEAM COOP-HITEC PRODUCTS,26h 58' 33'',+ 01h 40' 58'',,,2023,956,8,time,97113,6058
114,VITTORIA GUAZZINI,75.0,FDJ-SUEZ,26h 58' 57'',+ 01h 41' 22'',,,2023,956,8,time,97137,6082
115,ANASTASIYA KOLESAVA,205.0,ARKEA PRO CYCLING TEAM,27h 00' 21'',+ 01h 42' 46'',,,2023,956,8,time,97221,6166
116,APRIL TACEY,185.0,LIFEPLUS WAHOO,27h 00' 50'',+ 01h 43' 15'',,,2023,956,8,time,97250,6195
117,INDIA GRANGIER,213.0,TEAM COOP-HITEC PRODUCTS,27h 02' 02'',+ 01h 44' 27'',,,2023,956,8,time,97322,6267
118,JESSICA ALLEN,172.0,TEAM JAYCO ALULA,27h 04' 36'',+ 01h 47' 01'',,,2023,956,8,time,97476,6421
119,ANTRI CHRISTOFOROU,154.0,HUMAN POWERED HEALTH,27h 09' 01'',+ 01h 51' 26'',,,2023,956,8,time,97741,6686
120,TYPHAINE LAURANCE,183.0,LIFEPLUS WAHOO,27h 09' 24'',+ 01h 51' 49'',,,2023,956,8,time,97764,6709
121,JOSIE NELSON,217.0,TEAM COOP-HITEC PRODUCTS,27h 10' 14'',+ 01h 52' 39'',,,2023,956,8,time,97814,6759
122,JOSIE TALBOT,167.0,COFIDIS WOMEN TEAM,27h 13' 36'',+ 01h 56' 01'',,,2023,956,8,time,98016,6961
123,MARJOLEIN VAN 'T GELOOF,156.0,HUMAN POWERED HEALTH,27h 27' 55'',+ 02h 10' 20'',,,2023,956,8,time,98875,7820
1,ANNEMIEK VAN VLEUTEN,11.0,MOVISTAR TEAM WOMEN,26h 55' 44'',-,23',,2022,1029,8,time,96944,0
2,DEMI VOLLERING,21.0,TEAM SD WORX,26h 59' 32'',+ 00h 03' 48'',14',,2022,1029,8,time,97172,228
3,KATARZYNA Niewiadoma-Phinney,61.0,CANYON // SRAM RACING,27h 02' 19'',+ 00h 06' 35'',06',,2022,1029,8,time,97339,395
4,JULIETTE LABOUS,51.0,TEAM DSM,27h 03' 12'',+ 00h 07' 28'',,,2022,1029,8,time,97392,448
5,SILVIA PERSICO,104.0,VALCAR - TRAVEL & SERVICE,27h 03' 44'',+ 00h 08' 00'',10',,2022,1029,8,time,97424,480
6,ELISA LONGO BORGHINI,2.0,TREK - SEGAFREDO,27h 04' 10'',+ 00h 08' 26'',04',,2022,1029,8,time,97450,506
7,CECILIE LUDWIG,31.0,FDJ SUEZ FUTUROSCOPE,27h 04' 43'',+ 00h 08' 59'',14',,2022,1029,8,time,97483,539
8,EVITA MUZIC,36.0,FDJ SUEZ FUTUROSCOPE,27h 09' 38'',+ 00h 13' 54'',08',,2022,1029,8,time,97778,834
9,VERONICA EWERS,131.0,EF EDUCATION-TIBCO-SVB,27h 10' 49'',+ 00h 15' 05'',,,2022,1029,8,time,97849,905
10,MAVI GARCIA CAÑELLAS,71.0,UAE TEAM ADQ,27h 10' 59'',+ 00h 15' 15'',,,2022,1029,8,time,97859,915
11,ELISE CHABBEY,63.0,CANYON // SRAM RACING,27h 12' 28'',+ 00h 16' 44'',,,2022,1029,8,time,97948,1004
12,RIEJANNE MARKUS,43.0,TEAM JUMBO VISMA,27h 14' 11'',+ 00h 18' 27'',,,2022,1029,8,time,98051,1107
13,YARA KASTELIJN,144.0,PLANTUR-PURA,27h 15' 37'',+ 00h 19' 53'',,,2022,1029,8,time,98137,1193
14,SHIRIN VAN ANROOIJ,5.0,TREK - SEGAFREDO,27h 21' 34'',+ 00h 25' 50'',,,2022,1029,8,time,98494,1550
15,TAMARA DRONOVA,221.0,ROLAND COGEAS EDELWEISS SQUAD,27h 24' 35'',+ 00h 28' 51'',,,2022,1029,8,time,98675,1731
16,LIANE LIPPERT,55.0,TEAM DSM,27h 25' 33'',+ 00h 29' 49'',,,2022,1029,8,time,98733,1789
17,MIE BJØRNDAL OTTESTAD,195.0,UNO-X PRO CYCLING TEAM,27h 25' 34'',+ 00h 29' 50'',,,2022,1029,8,time,98734,1790
18,ERICA MAGNALDI,76.0,UAE TEAM ADQ,27h 25' 59'',+ 00h 30' 15'',,,2022,1029,8,time,98759,1815
19,ALENA AMIALIUSIK,62.0,CANYON // SRAM RACING,27h 26' 35'',+ 00h 30' 51'',05',,2022,1029,8,time,98795,1851
20,GRACE BROWN,32.0,FDJ SUEZ FUTUROSCOPE,27h 26' 45'',+ 00h 31' 01'',,,2022,1029,8,time,98805,1861
21,MISCHA BREDEWOLD,162.0,PARKHOTEL VALKENBURG,27h 27' 15'',+ 00h 31' 31'',,,2022,1029,8,time,98835,1891
22,PAULIENA ROOIJAKKERS,66.0,CANYON // SRAM RACING,27h 30' 52'',+ 00h 35' 08'',,,2022,1029,8,time,99052,2108
23,PAULA PATIÑO BEDOYA,15.0,MOVISTAR TEAM WOMEN,27h 31' 03'',+ 00h 35' 19'',,,2022,1029,8,time,99063,2119
24,CORALIE DEMAY,214.0,ST-MICHEL AUBER 93,27h 31' 15'',+ 00h 35' 31'',,,2022,1029,8,time,99075,2131
25,NINA BUIJSMAN,232.0,HUMAN POWERED HEALTH,27h 31' 44'',+ 00h 36' 00'',,,2022,1029,8,time,99104,2160
26,MARIANNE VOS,41.0,TEAM JUMBO VISMA,27h 32' 40'',+ 00h 36' 56'',36',,2022,1029,8,time,99160,2216
27,ARLENIS SIERRA CANADILLA,16.0,MOVISTAR TEAM WOMEN,27h 36' 29'',+ 00h 40' 45'',,,2022,1029,8,time,99389,2445
28,RACHEL NEYLAN,111.0,COFIDIS WOMEN TEAM,27h 36' 43'',+ 00h 40' 59'',,,2022,1029,8,time,99403,2459
29,URŠKA ŽIGART,86.0,TEAM BIKEEXCHANGE-JAYCO,27h 36' 55'',+ 00h 41' 11'',,,2022,1029,8,time,99415,2471
30,ELLEN VAN DIJK,6.0,TREK - SEGAFREDO,27h 37' 21'',+ 00h 41' 37'',,,2022,1029,8,time,99441,2497
31,JEANNE KOREVAAR,121.0,LIV RACING XSTRA,27h 37' 58'',+ 00h 42' 14'',,,2022,1029,8,time,99478,2534
32,JULIA BORGSTRÖM,171.0,AG INSURANCE-NXTG TEAM,27h 38' 17'',+ 00h 42' 33'',,,2022,1029,8,time,99497,2553
33,KARLIJN SWINKELS,46.0,TEAM JUMBO VISMA,27h 38' 28'',+ 00h 42' 44'',,,2022,1029,8,time,99508,2564
34,KRISTA DOEBEL-HICKOK,133.0,EF EDUCATION-TIBCO-SVB,27h 39' 29'',+ 00h 43' 45'',,,2022,1029,8,time,99569,2625
35,ROMY KASPER,44.0,TEAM JUMBO VISMA,27h 41' 30'',+ 00h 45' 46'',,,2022,1029,8,time,99690,2746
36,ELIZABETH HOLDEN,151.0,LE COL-WAHOO,27h 42' 49'',+ 00h 47' 05'',,,2022,1029,8,time,99769,2825
37,ELISA BALSAMO,1.0,TREK - SEGAFREDO,27h 44' 25'',+ 00h 48' 41'',06',,2022,1029,8,time,99865,2921
38,LOTTE KOPECKY,22.0,TEAM SD WORX,27h 45' 14'',+ 00h 49' 30'',08',,2022,1029,8,time,99914,2970
39,VITTORIA GUAZZINI,34.0,FDJ SUEZ FUTUROSCOPE,27h 45' 22'',+ 00h 49' 38'',,,2022,1029,8,time,99922,2978
40,KRISTEN FAULKNER,82.0,TEAM BIKEEXCHANGE-JAYCO,27h 45' 54'',+ 00h 50' 10'',,,2022,1029,8,time,99954,3010
41,ALEXANDRA MANLY,83.0,TEAM BIKEEXCHANGE-JAYCO,27h 46' 18'',+ 00h 50' 34'',,,2022,1029,8,time,99978,3034
42,RUBY ROSEMAN-GANNON,84.0,TEAM BIKEEXCHANGE-JAYCO,27h 47' 08'',+ 00h 51' 24'',,,2022,1029,8,time,100028,3084
43,MARIE LE NET,35.0,FDJ SUEZ FUTUROSCOPE,27h 49' 09'',+ 00h 53' 25'',01',,2022,1029,8,time,100149,3205
44,SANDRA ALONSO,92.0,CERATIZIT - WNT PRO CYCLING TEAM,27h 49' 11'',+ 00h 53' 27'',,,2022,1029,8,time,100151,3207
45,MORGANE COSTON,181.0,ARKEA PRO CYCLING TEAM,27h 49' 38'',+ 00h 53' 54'',,,2022,1029,8,time,100178,3234
46,JULIE DE WILDE,141.0,PLANTUR-PURA,27h 49' 48'',+ 00h 54' 04'',,,2022,1029,8,time,100188,3244
47,JOSCELIN LOWDEN,191.0,UNO-X PRO CYCLING TEAM,27h 50' 43'',+ 00h 54' 59'',,,2022,1029,8,time,100243,3299
48,VALERIE DEMEY,124.0,LIV RACING XSTRA,27h 51' 40'',+ 00h 55' 56'',,,2022,1029,8,time,100300,3356
49,CHANTAL VAN DEN BROEK-BLAAK,26.0,TEAM SD WORX,27h 53' 01'',+ 00h 57' 17'',,,2022,1029,8,time,100381,3437
50,PFEIFFER GEORGI,52.0,TEAM DSM,27h 53' 28'',+ 00h 57' 44'',,,2022,1029,8,time,100408,3464
51,SEVERINE ERAUD,201.0,STADE ROCHELAIS CHARENTE MARITIME,27h 53' 50'',+ 00h 58' 06'',,,2022,1029,8,time,100430,3486
52,EVA VAN AGT,152.0,LE COL-WAHOO,27h 53' 52'',+ 00h 58' 08'',,,2022,1029,8,time,100432,3488
53,LEAH THOMAS,4.0,TREK - SEGAFREDO,27h 54' 13'',+ 00h 58' 29'',,,2022,1029,8,time,100453,3509
54,MAAIKE BOOGAARD,74.0,UAE TEAM ADQ,27h 54' 17'',+ 00h 58' 33'',,,2022,1029,8,time,100457,3513
55,GRETA RICHIOUD,186.0,ARKEA PRO CYCLING TEAM,27h 54' 32'',+ 00h 58' 48'',,,2022,1029,8,time,100472,3528
56,QUINTY SCHOENS,165.0,PARKHOTEL VALKENBURG,27h 54' 39'',+ 00h 58' 55'',,,2022,1029,8,time,100479,3535
57,LAURA ASENCIO,93.0,CERATIZIT - WNT PRO CYCLING TEAM,27h 56' 33'',+ 01h 00' 49'',,,2022,1029,8,time,100593,3649
58,LISA BRENNAUER,91.0,CERATIZIT - WNT PRO CYCLING TEAM,27h 56' 45'',+ 01h 01' 01'',,,2022,1029,8,time,100605,3661
59,HENRIETTA CHRISTIE,231.0,HUMAN POWERED HEALTH,27h 56' 48'',+ 01h 01' 04'',,,2022,1029,8,time,100608,3664
60,ANE SANTESTEBAN,85.0,TEAM BIKEEXCHANGE-JAYCO,27h 57' 14'',+ 01h 01' 30'',,,2022,1029,8,time,100634,3690
61,MARTA BASTIANELLI,72.0,UAE TEAM ADQ,27h 57' 38'',+ 01h 01' 54'',06',,2022,1029,8,time,100658,3714
62,SANNE CANT,142.0,PLANTUR-PURA,27h 58' 04'',+ 01h 02' 20'',,,2022,1029,8,time,100684,3740
63,MARIT RAAIJMAKERS,235.0,HUMAN POWERED HEALTH,27h 58' 40'',+ 01h 02' 56'',,,2022,1029,8,time,100720,3776
64,ALICE ARZUFFI,102.0,VALCAR - TRAVEL & SERVICE,27h 58' 43'',+ 01h 02' 59'',,,2022,1029,8,time,100723,3779
65,KATHRIN HAMMES,134.0,EF EDUCATION-TIBCO-SVB,27h 58' 57'',+ 01h 03' 13'',03',00' 20'',2022,1029,8,time,100737,3793
66,MAGDELEINE VALLIERES,136.0,EF EDUCATION-TIBCO-SVB,28h 00' 03'',+ 01h 04' 19'',,,2022,1029,8,time,100803,3859
67,TIFFANY CROMWELL,64.0,CANYON // SRAM RACING,28h 00' 15'',+ 01h 04' 31'',,,2022,1029,8,time,100815,3871
68,VICTOIRE BERTEAU,113.0,COFIDIS WOMEN TEAM,28h 00' 28'',+ 01h 04' 44'',03',,2022,1029,8,time,100828,3884
69,THALITA DE JONG,123.0,LIV RACING XSTRA,28h 00' 39'',+ 01h 04' 55'',,,2022,1029,8,time,100839,3895
70,ANTRI CHRISTOFOROU,233.0,HUMAN POWERED HEALTH,28h 01' 38'',+ 01h 05' 54'',02',,2022,1029,8,time,100898,3954
71,SIMONE BOILARD,211.0,ST-MICHEL AUBER 93,28h 02' 25'',+ 01h 06' 41'',,,2022,1029,8,time,100945,4001
72,CHRISTINE MAJERUS,23.0,TEAM SD WORX,28h 03' 23'',+ 01h 07' 39'',,,2022,1029,8,time,101003,4059
73,FEMKE MARKUS,164.0,PARKHOTEL VALKENBURG,28h 04' 28'',+ 01h 08' 44'',,,2022,1029,8,time,101068,4124
74,FEMKE GERRITSE,161.0,PARKHOTEL VALKENBURG,28h 05' 07'',+ 01h 09' 23'',,,2022,1029,8,time,101107,4163
75,MARIA GIULIA CONFALONIERI,94.0,CERATIZIT - WNT PRO CYCLING TEAM,28h 05' 33'',+ 01h 09' 49'',,,2022,1029,8,time,101133,4189
76,AMANDINE FOUQUENET,184.0,ARKEA PRO CYCLING TEAM,28h 06' 36'',+ 01h 10' 52'',,,2022,1029,8,time,101196,4252
77,SORAYA PALADIN,65.0,CANYON // SRAM RACING,28h 06' 50'',+ 01h 11' 06'',,,2022,1029,8,time,101210,4266
78,AUDREY CORDON RAGOT,3.0,TREK - SEGAFREDO,28h 07' 17'',+ 01h 11' 33'',02',,2022,1029,8,time,101237,4293
79,SILKE SMULDERS,125.0,LIV RACING XSTRA,28h 07' 50'',+ 01h 12' 06'',,,2022,1029,8,time,101270,4326
80,CHRISTINA SCHWEINBERGER,145.0,PLANTUR-PURA,28h 08' 27'',+ 01h 12' 43'',,,2022,1029,8,time,101307,4363
81,JULIE LETH,193.0,UNO-X PRO CYCLING TEAM,28h 08' 45'',+ 01h 13' 01'',,,2022,1029,8,time,101325,4381
82,MARGOT POMPANON,216.0,ST-MICHEL AUBER 93,28h 08' 54'',+ 01h 13' 10'',,,2022,1029,8,time,101334,4390
83,JESSE VANDENBULCKE,155.0,LE COL-WAHOO,28h 10' 16'',+ 01h 14' 32'',,,2022,1029,8,time,101416,4472
84,MAIKE VAN DER DUIN,153.0,LE COL-WAHOO,28h 11' 46'',+ 01h 16' 02'',,,2022,1029,8,time,101506,4562
85,BARBARA FONSECA,215.0,ST-MICHEL AUBER 93,28h 11' 49'',+ 01h 16' 05'',,,2022,1029,8,time,101509,4565
86,SABRINA STULTIENS,126.0,LIV RACING XSTRA,28h 12' 54'',+ 01h 17' 10'',,,2022,1029,8,time,101574,4630
87,SANDRINE BIDEAU,213.0,ST-MICHEL AUBER 93,28h 13' 22'',+ 01h 17' 38'',,,2022,1029,8,time,101602,4658
88,VALENTINE FORTIN,115.0,COFIDIS WOMEN TEAM,28h 14' 49'',+ 01h 19' 05'',,,2022,1029,8,time,101689,4745
89,SANDRA LEVENEZ,116.0,COFIDIS WOMEN TEAM,28h 15' 56'',+ 01h 20' 12'',,,2022,1029,8,time,101756,4812
90,ILARIA SANGUINETI,105.0,VALCAR - TRAVEL & SERVICE,28h 16' 15'',+ 01h 20' 31'',,,2022,1029,8,time,101775,4831
91,ANNE DORTHE YSLAND,196.0,UNO-X PRO CYCLING TEAM,28h 17' 07'',+ 01h 21' 23'',,,2022,1029,8,time,101827,4883
92,CAROLINE BAUR,222.0,ROLAND COGEAS EDELWEISS SQUAD,28h 17' 18'',+ 01h 21' 34'',,,2022,1029,8,time,101838,4894
93,ILSE PLUIMERS,175.0,AG INSURANCE-NXTG TEAM,28h 18' 28'',+ 01h 22' 44'',,,2022,1029,8,time,101908,4964
94,AUDE BIANNIC,12.0,MOVISTAR TEAM WOMEN,28h 18' 44'',+ 01h 23' 00'',,,2022,1029,8,time,101924,4980
95,PAULINE ALLIN,182.0,ARKEA PRO CYCLING TEAM,28h 21' 09'',+ 01h 25' 25'',,,2022,1029,8,time,102069,5125
96,SHEYLA GUTIERREZ RUIZ,13.0,MOVISTAR TEAM WOMEN,28h 22' 28'',+ 01h 26' 44'',,,2022,1029,8,time,102148,5204
97,OLGA ZABELINSKAYA,226.0,ROLAND COGEAS EDELWEISS SQUAD,28h 22' 45'',+ 01h 27' 01'',,,2022,1029,8,time,102165,5221
98,LILY WILLIAMS,236.0,HUMAN POWERED HEALTH,28h 24' 51'',+ 01h 29' 07'',,,2022,1029,8,time,102291,5347
99,KATHRIN SCHWEINBERGER,96.0,CERATIZIT - WNT PRO CYCLING TEAM,28h 25' 35'',+ 01h 29' 51'',,,2022,1029,8,time,102335,5391
100,HANNAH BARNES,192.0,UNO-X PRO CYCLING TEAM,28h 27' 05'',+ 01h 31' 21'',,,2022,1029,8,time,102425,5481
101,ROTEM GAFINOVITZ,224.0,ROLAND COGEAS EDELWEISS SQUAD,28h 28' 34'',+ 01h 32' 50'',,,2022,1029,8,time,102514,5570
102,LONE MEERTENS,174.0,AG INSURANCE-NXTG TEAM,28h 29' 02'',+ 01h 33' 18'',,,2022,1029,8,time,102542,5598
103,EUGENIA BUJAK,75.0,UAE TEAM ADQ,28h 29' 50'',+ 01h 34' 06'',,,2022,1029,8,time,102590,5646
104,OLIVIA BARIL,101.0,VALCAR - TRAVEL & SERVICE,28h 30' 06'',+ 01h 34' 22'',,,2022,1029,8,time,102606,5662
105,NOEMI RÜEGG,45.0,TEAM JUMBO VISMA,28h 31' 21'',+ 01h 35' 37'',,,2022,1029,8,time,102681,5737
106,HANNAH LUDWIG,194.0,UNO-X PRO CYCLING TEAM,28h 34' 25'',+ 01h 38' 41'',,,2022,1029,8,time,102865,5921
107,ANYA LOUW,172.0,AG INSURANCE-NXTG TEAM,28h 37' 44'',+ 01h 42' 00'',,,2022,1029,8,time,103064,6120
108,ALISON AVOINE,212.0,ST-MICHEL AUBER 93,28h 40' 13'',+ 01h 44' 29'',,,2022,1029,8,time,103213,6269
109,KIM DE BAAT,143.0,PLANTUR-PURA,28h 49' 50'',+ 01h 54' 06'',,,2022,1029,8,time,103790,6846
