Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
35,VICTORIE GUILMAN,164.0,ST MICHEL - MAVIC - AUBER93,25h 14' 29'',+ 00h 38' 22'',,,2024,946,8,time,90869,2302
36,KIM LE COURT PIENAAR,44.0,AG INSURANCE - SOUDAL TEAM,25h 15' 21'',+ 00h 39' 14'',,,2024,946,8,time,90921,2354
37,AMBER KRAAK,56.0,FDJ-SUEZ,25h 18' 13'',+ 00h 42' 06'',,,2024,946,8,time,91093,2526
38,KRISTEN FAULKNER,101.0,EF - OATLY - CANNONDALE,25h 19' 43'',+ 00h 43' 36'',,,2024,946,8,time,91183,2616
39,KARLIJN SWINKELS,127.0,UAE TEAM ADQ,25h 21' 04'',+ 00h 44' 57'',,,2024,946,8,time,91264,2697
40,MAEVA SQUIBAN,177.0,ARKEA - B&B HOTELS WOMEN,25h 23' 27'',+ 00h 47' 20'',06',,2024,946,8,time,91407,2840
41,OLIVIA BARIL,112.0,MOVISTAR TEAM,25h 25' 30'',+ 00h 49' 23'',,,2024,946,8,time,91530,2963
42,NOEMI RÜEGG,106.0,EF - OATLY - CANNONDALE,25h 26' 05'',+ 00h 49' 58'',,,2024,946,8,time,91565,2998
43,FEM VAN EMPEL,66.0,TEAM VISMA | LEASE A BIKE,25h 27' 34'',+ 00h 51' 27'',02',,2024,946,8,time,91654,3087
44,RIEJANNE MARKUS,64.0,TEAM VISMA | LEASE A BIKE,25h 28' 15'',+ 00h 52' 08'',,,2024,946,8,time,91695,3128
45,ANE SANTESTEBAN,81.0,LABORAL KUTXA - FUNDACION EUSKADI,25h 30' 25'',+ 00h 54' 18'',,,2024,946,8,time,91825,3258
46,SARA MARTIN MARTIN,116.0,MOVISTAR TEAM,25h 30' 31'',+ 00h 54' 24'',,,2024,946,8,time,91831,3264
47,YANINA KUSKOVA,211.0,TASHKENT CITY WOMEN PROFESSIONAL CYCLING TEAM,25h 31' 59'',+ 00h 55' 52'',,,2024,946,8,time,91919,3352
48,SIMONE BOILARD,193.0,UNO-X MOBILITY,25h 32' 18'',+ 00h 56' 11'',,,2024,946,8,time,91938,3371
49,MAAIKE COLJÉ,173.0,ARKEA - B&B HOTELS WOMEN,25h 33' 09'',+ 00h 57' 02'',,,2024,946,8,time,91989,3422
50,FRANZISKA KOCH,25.0,TEAM DSM-FIRMENICH POSTNL,25h 33' 42'',+ 00h 57' 35'',,,2024,946,8,time,92022,3455
51,FRANCESCA BARALE,22.0,TEAM DSM-FIRMENICH POSTNL,25h 36' 26'',+ 01h 00' 19'',,,2024,946,8,time,92186,3619
52,FLOORTJE MACKAIJ,115.0,MOVISTAR TEAM,25h 37' 25'',+ 01h 01' 18'',,,2024,946,8,time,92245,3678
53,LOES ADEGEEST,52.0,FDJ-SUEZ,25h 37' 54'',+ 01h 01' 47'',04',,2024,946,8,time,92274,3707
54,MISCHA BREDEWOLD,2.0,TEAM SD WORX - PROTIME,25h 40' 02'',+ 01h 03' 55'',,,2024,946,8,time,92402,3835
55,FEMKE DE VRIES,62.0,TEAM VISMA | LEASE A BIKE,25h 40' 25'',+ 01h 04' 18'',,,2024,946,8,time,92425,3858
56,MARTE BERG EDSETH,195.0,UNO-X MOBILITY,25h 40' 44'',+ 01h 04' 37'',,,2024,946,8,time,92444,3877
57,YARA KASTELIJN,131.0,FENIX-DECEUNINCK,25h 41' 19'',+ 01h 05' 12'',,,2024,946,8,time,92479,3912
58,CHRISTINE MAJERUS,5.0,TEAM SD WORX - PROTIME,25h 43' 37'',+ 01h 07' 30'',,,2024,946,8,time,92617,4050
59,ELLEN VAN DIJK,37.0,LIDL - TREK,25h 44' 45'',+ 01h 08' 38'',,,2024,946,8,time,92685,4118
60,GAIA MASETTI,42.0,AG INSURANCE - SOUDAL TEAM,25h 45' 28'',+ 01h 09' 21'',,,2024,946,8,time,92728,4161
61,ELISA BALSAMO,32.0,LIDL - TREK,25h 45' 42'',+ 01h 09' 35'',04',,2024,946,8,time,92742,4175
62,LORENA WIEBES,7.0,TEAM SD WORX - PROTIME,25h 45' 48'',+ 01h 09' 41'',06',,2024,946,8,time,92748,4181
63,BLANKA VAS,6.0,TEAM SD WORX - PROTIME,25h 47' 44'',+ 01h 11' 37'',10',,2024,946,8,time,92864,4297
64,QUINTY TON,77.0,LIV-ALULA-JAYCO,25h 48' 43'',+ 01h 12' 36'',,,2024,946,8,time,92923,4356
65,CELIA LE MOUEL,165.0,ST MICHEL - MAVIC - AUBER93,25h 49' 00'',+ 01h 12' 53'',,,2024,946,8,time,92940,4373
66,VICTOIRE BERTEAU,141.0,COFIDIS WOMEN TEAM,25h 49' 09'',+ 01h 13' 02'',,,2024,946,8,time,92949,4382
