Tour de France 1983

Number of stages 22
Distance (km) 3 809
Average speed 36.230

All about year 1983

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider           Rider No.                   Team                       Times            Gap       B P
35    DIDIER VANOVERSCHEDE      80         LA REDOUTE-MOTOBECANE                   106h 32' 11''  + 01h 24' 19''
36    PATRICK CLERC             96         SEM-MAVIC-REYDEL                        106h 33' 32''  + 01h 25' 40''
37    ADRI VAN DER POEL         70         AERNOUDT-HOONVED-ZEEP MARC              106h 37' 45''  + 01h 29' 53''
38    PATRICK BONNET            83         WOLBER                                  106h 39' 45''  + 01h 31' 53''
39    ALFIO VANDI               120        METAUROBILI-PINARELLO                   106h 40' 51''  + 01h 32' 59''
40    DOMINIQUE GARDE           36         PEUGEOT-SHELL-MICHELIN                  106h 41' 42''  + 01h 33' 50''
41    PHILIPPE LELEU            87         WOLBER                                  106h 42' 00''  + 01h 34' 08''
42    FRITS PIRARD              118        METAUROBILI-PINARELLO                   106h 47' 14''  + 01h 39' 22''
43    RAYMOND MARTIN            8          COOP-MERCIER-MAVIC                      106h 48' 17''  + 01h 40' 25''
44    ABELARDO RIOS             128        VARTA                                   106h 48' 51''  + 01h 40' 59''
45    CHRISTIAN JOURDAN         77         LA REDOUTE-MOTOBECANE                   106h 50' 37''  + 01h 42' 45''
46    CELESTINO PRIETO          139        REYNOLDS                                106h 54' 00''  + 01h 46' 08''
47    PHILIPPE CHEVALLIER       13         RENAULT-ELF-GITANE                      106h 58' 02''  + 01h 50' 10''
48    LUDWIG WIJNANTS           60         BOULE D'OR-COLNAGO-CAMPAGNOLO           106h 58' 04''  + 01h 50' 12''
49    PAUL HAGHEDOOREN          105        SPLENDOR- EURO SHOP-MONDIAL MOQUETTE    106h 59' 09''  + 01h 51' 17''
50    HUBERT LINARD             37         PEUGEOT-SHELL-MICHELIN                  107h 01' 07''  + 01h 53' 15''
51    ANASTASIO GRECIANO        135        REYNOLDS                                107h 01' 24''  + 01h 53' 32''
52    LUCIEN DIDIER             14         RENAULT-ELF-GITANE                      107h 02' 37''  + 01h 54' 45''
53    BERNARD BOURREAU          33         PEUGEOT-SHELL-MICHELIN                  107h 02' 38''  + 01h 54' 46''
54    JÉSUS HERNANDEZ-UBEDA     137        REYNOLDS                                107h 06' 31''  + 01h 58' 39''
55    CARLOS HERNANDEZ          136        REYNOLDS                                107h 06' 38''  + 01h 58' 46''
56    CHARLY BERARD             12         RENAULT-ELF-GITANE                      107h 06' 57''  + 01h 59' 05''
57    SAMUEL CABRERA            122        VARTA                                   107h 11' 40''  + 02h 03' 48''
58    BERNARD VALLET            78         LA REDOUTE-MOTOBECANE                   107h 11' 54''  + 02h 04' 02''
59    GILBERT DUCLOS-LASSALLE   35         PEUGEOT-SHELL-MICHELIN                  107h 13' 10''  + 02h 05' 18''
60    CLAUDE MOREAU             10         COOP-MERCIER-MAVIC                      107h 14' 02''  + 02h 06' 10''
61    PASCAL JULES              17         RENAULT-ELF-GITANE                      107h 14' 21''  + 02h 06' 29''
62    JACQUES BOSSIS            32         PEUGEOT-SHELL-MICHELIN                  107h 14' 42''  + 02h 06' 50''
63    HENDRIK DEVOS             103        SPLENDOR- EURO SHOP-MONDIAL MOQUETTE    107h 15' 38''  + 02h 07' 46''
64    ALFONSO LOPEZ             126        VARTA                                   107h 17' 34''  + 02h 09' 42''
65    DOMINIQUE GAIGNE          16         RENAULT-ELF-GITANE                      107h 17' 50''  + 02h 09' 58''
66    JEAN-FRANÇOIS RODRIGUEZ   88         WOLBER                                  107h 18' 21''  + 02h 10' 29''
67    RUDY ROGIERS              68         AERNOUDT-HOONVED-ZEEP MARC              107h 18' 30''  + 02h 10' 38''
68    JAN WIJNANTS              59         BOULE D'OR-COLNAGO-CAMPAGNOLO           107h 18' 45''  + 02h 10' 53''
69    GRAHAM JONES              86         WOLBER                                  107h 22' 55''  + 02h 15' 03''
70    EUGÈNE URBANY             56         BOULE D'OR-COLNAGO-CAMPAGNOLO           107h 24' 35''  + 02h 16' 43''
71    SERGE DEMIERRE            43         CILO-AUFINA                             107h 27' 25''  + 02h 19' 33''
72    JOHAN LAMMERTS            24         TI-RALEIGH-CAMPAGNOLO                   107h 29' 07''  + 02h 21' 15''
73    LUDO DE KEULENAER         22         TI-RALEIGH-CAMPAGNOLO                   107h 30' 29''  + 02h 22' 37''
74    ERIC DALL'ARMELINA        97         SEM-MAVIC-REYDEL                        107h 33' 46''  + 02h 25' 54''
75    GONZALO AJA               132        REYNOLDS                                107h 37' 41''  + 02h 29' 49''
76    JEAN-LOUIS GAUTHIER       5          COOP-MERCIER-MAVIC                      107h 40' 07''  + 02h 32' 15''
77    GUY JANISZEWSKI           53         BOULE D'OR-COLNAGO-CAMPAGNOLO           107h 43' 11''  + 02h 35' 19''
78    FRÉDERIC BRUN             34         PEUGEOT-SHELL-MICHELIN                  107h 51' 52''  + 02h 44' 00''
79    LAURENT BIONDI            72         LA REDOUTE-MOTOBECANE                   107h 51' 56''  + 02h 44' 04''
80    JAN VAN HOUWELINGEN       57         BOULE D'OR-COLNAGO-CAMPAGNOLO           107h 53' 39''  + 02h 45' 47''
81    HENRI MANDERS             66         AERNOUDT-HOONVED-ZEEP MARC              108h 04' 38''  + 02h 56' 46''
82    MARC DIERICKX             62         AERNOUDT-HOONVED-ZEEP MARC              108h 05' 08''  + 02h 57' 16''
83    JULIUS THALMAN            50         CILO-AUFINA                             108h 09' 00''  + 03h 01' 08''
84    ERICH MAECHLER            47         CILO-AUFINA                             108h 24' 23''  + 03h 16' 31''
85    GILBERT GLAUS             46         CILO-AUFINA                             108h 41' 48''  + 03h 33' 56''
86    GUY GALLOPIN              75         LA REDOUTE-MOTOBECANE                   108h 42' 49''  + 03h 34' 57''
87    MARCEL RUSSENBERGER       48         CILO-AUFINA                             108h 49' 59''  + 03h 42' 07''
88    MARCEL LAURENS            64         AERNOUDT-HOONVED-ZEEP MARC              109h 10' 38''  + 04h 02' 46''

Next rankings
