Tour de France 1967

Number of stages 22
Distance (km) 4 779
Average speed 34.756

All about year 1967

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank           Rider           Rider No.         Team             Times            Gap        B P
65   LUCIANO DALLA BONA        53         ITALIA              138h 12' 11''  + 01h 18' 21''
66   ROGER MILLIOT             116        BLEUETS DE FRANCE   138h 13' 35''  + 01h 19' 45''
67   JOS VAN DER VLEUTEN       69         NEDERLAND           138h 14' 18''  + 01h 20' 28''
68   GIANCARLO FERRETTI        55         ITALIA              138h 15' 30''  + 01h 21' 40''
69   ARTHUR METCALFE           48         GREAT BRITAIN       138h 16' 27''  + 01h 22' 37''
70   LOUIS PFENNINGER          75         SUISSE-LUXEMBOURG   138h 18' 53''  + 01h 25' 03''
71   HUBERTUS ZILVERBERG       70         NEDERLAND           138h 23' 16''  + 01h 29' 26''
72   RAYMOND RIOTTE            9          FRANCE              138h 25' 49''  + 01h 31' 59''
73   BERNARD VIFIAN            74         SUISSE-LUXEMBOURG   138h 26' 23''  + 01h 32' 33''
74   JOSÉ-MANUEL LASA          97         ESPERANZA           138h 27' 59''  + 01h 34' 09''
75   HUUB HARINGS              63         NEDERLAND           138h 29' 56''  + 01h 36' 06''
76   JOHAN DE ROO              61         NEDERLAND           138h 30' 03''  + 01h 36' 13''
77   MICHEL JACQUEMIN          84         DIABLES ROUGES      138h 34' 49''  + 01h 40' 59''
78   WILLY SPUHLER             79         SUISSE-LUXEMBOURG   138h 37' 01''  + 01h 43' 11''
78   PAUL LEMETAYER            5          FRANCE              138h 35' 34''  + 01h 41' 44''
80   ADRIANO DURANTE           54         ITALIA              138h 40' 28''  + 01h 46' 38''
81   JEAN STABLINSKI           10         FRANCE              138h 43' 57''  + 01h 50' 07''
83   EDOUARD DELBERGHE         2          FRANCE              138h 53' 26''  + 01h 59' 36''
84   COLIN LEWIS               47         GREAT BRITAIN       138h 53' 40''  + 01h 59' 50''
85   RAMON SAEZ                38         ESPANA              138h 58' 16''  + 02h 04' 26''
86   FRANCIS BLANC             72         SUISSE-LUXEMBOURG   138h 59' 29''  + 02h 05' 39''
87   MARIO MINIERI             57         ITALIA              139h 01' 45''  + 02h 07' 55''
88   JEAN-PIERRE GENET         4          FRANCE              139h 14' 51''  + 02h 21' 01''

Next rankings
