Tour de France 2009

Number of stages 21
Distance (km) 3 460
Average speed 40.315

All about year 2009

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank               Rider               Rider No.              Team                  Times           Gap       B P
46   MATTHEW LLOYD                     14         SILENCE - LOTTO               86h 57' 40''  + 01h 09' 05''
47   YURY TROFIMOV                     149        BBOX BOUYGUES TELECOM         86h 57' 58''  + 01h 09' 23''
48   JÉRÉMY ROY                        107        FRANCAISE DES JEUX            86h 57' 58''  + 01h 09' 23''
49   RYDER HESJEDAL                    54         GARMIN - SLIPSTREAM           87h 02' 38''  + 01h 14' 03''
50   GUSTAV LARSSON                    34         TEAM SAXO BANK                87h 03' 57''  + 01h 15' 22''
52   RIGOBERTO URAN URAN               119        CAISSE D’EPARGNE              87h 08' 55''  + 01h 20' 20''
53   DAVID LOOSLI                      135        LAMPRE - N.G.C                87h 10' 31''  + 01h 21' 56''
54   GRISCHA NIERMANN                  47         RABOBANK                      87h 10' 34''  + 01h 21' 59''
55   SYLVAIN CALZATI                   173        AGRITUBEL                     87h 14' 22''  + 01h 25' 47''
56   PIERRICK FEDRIGO                  144        BBOX BOUYGUES TELECOM         87h 14' 42''  + 01h 26' 07''
57   KIM KIRCHEN                       75         TEAM COLUMBIA - HTC           87h 15' 27''  + 01h 26' 52''
58   DAVID MONCOUTIE                   121        COFIDIS LE CREDIT EN LIGNE    87h 17' 10''  + 01h 28' 35''
59   CHARLES WEGELIUS                  19         SILENCE - LOTTO               87h 18' 12''  + 01h 29' 37''
60   LAURENS TEN DAM                   49         RABOBANK                      87h 23' 32''  + 01h 34' 57''
61   GORKA VERDUGO                     69         EUSKALTEL - EUSKADI           87h 24' 24''  + 01h 35' 49''
62   JUAN MANUEL GARATE                45         RABOBANK                      87h 25' 54''  + 01h 37' 19''
63   CARLOS BARREDO                    152        QUICK STEP                    87h 27' 05''  + 01h 38' 30''
64   GEOFFROY LEQUATRE                 178        AGRITUBEL                     87h 28' 44''  + 01h 40' 09''
65   AMAEL MOINARD                     128        COFIDIS LE CREDIT EN LIGNE    87h 31' 03''  + 01h 42' 28''
66   IGOR ANTON HERNANDEZ              62         EUSKALTEL - EUSKADI           87h 33' 14''  + 01h 44' 39''
67   THOMAS VOECKLER                   141        BBOX BOUYGUES TELECOM         87h 36' 15''  + 01h 47' 40''
68   NICOLAS VOGONDY                   179        AGRITUBEL                     87h 39' 44''  + 01h 51' 09''
69   DAVID ARROYO DURAN                112        CAISSE D’EPARGNE              87h 40' 27''  + 01h 51' 52''
70   MAXIME BOUET                      172        AGRITUBEL                     87h 41' 39''  + 01h 53' 04''
71   JOSÉ IVAN GUTIERREZ PALACIOS      115        CAISSE D’EPARGNE              87h 42' 43''  + 01h 54' 08''
72   RUBEN PEREZ MORENO                67         EUSKALTEL - EUSKADI           87h 46' 04''  + 01h 57' 29''
73   JOOST POSTHUMA                    48         RABOBANK                      87h 47' 00''  + 01h 58' 25''
74   JOAN HORRACH                      163        TEAM KATUSHA                  87h 47' 27''  + 01h 58' 52''
75   CHRISTOPHE KERN                   126        COFIDIS LE CREDIT EN LIGNE    87h 47' 55''  + 01h 59' 20''
76   SEBASTIAN LANG                    13         SILENCE - LOTTO               87h 49' 27''  + 02h 00' 52''
77   DAVID ZABRISKIE                   59         GARMIN - SLIPSTREAM           87h 51' 11''  + 02h 02' 36''
78   JOHANNES FRÖHLINGER               184        TEAM MILRAM                   87h 53' 28''  + 02h 04' 53''
79   HAYDEN ROULSTON                   9          CERVELO TEST TEAM             87h 56' 33''  + 02h 07' 58''
80   MARZIO BRUSEGHIN                  133        LAMPRE - N.G.C                87h 57' 17''  + 02h 08' 42''
81   JOSÉ LUIS ARRIETA                 82         AG2R LA MONDIALE              88h 00' 04''  + 02h 11' 29''
82   CHRISTOPHE RIBLON                 88         AG2R LA MONDIALE              88h 01' 18''  + 02h 12' 43''
83   STIJN DEVOLDER                    155        QUICK STEP                    88h 02' 31''  + 02h 13' 56''
84   JOSÉ ROJAS                        117        CAISSE D’EPARGNE              88h 02' 51''  + 02h 14' 16''
85   DAVID MILLAR                      56         GARMIN - SLIPSTREAM           88h 03' 39''  + 02h 15' 04''
86   FREDERIK WILLEMS                  99         LIQUIGAS                      88h 04' 46''  + 02h 16' 11''
