Tour de France 1991

Number of stages 22
Distance (km) 3 914
Average speed 38.747

All about year 1991

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider             Rider No.           Team               Times            Gap        B P
1    MIGUEL INDURAIN              35         BANESTO                 101h 01' 20''
2    GIANNI BUGNO                 51         GATORADE-CHATEAU D'AX   101h 04' 56''  + 00h 03' 36''
3    CLAUDIO CHIAPPUCCI           11         CARRERA JEANS           101h 07' 16''  + 00h 05' 56''
4    CHARLY MOTTET                131        RMO-MAVIC               101h 08' 57''  + 00h 07' 37''
5    LUC LEBLANC                  95         CASTORAMA               101h 11' 30''  + 00h 10' 10''
6    LAURENT FIGNON               91         CASTORAMA               101h 12' 47''  + 00h 11' 27''
7    GREG LEMOND                  1          Z                       101h 14' 33''  + 00h 13' 13''
8    ANDREW ''ANDY'' HAMPSTEN     71         MOTOROLA                101h 15' 00''  + 00h 13' 40''
9    PEDRO DELGADO                31         BANESTO                 101h 21' 30''  + 00h 20' 10''
10   GÉRARD RUE                   107        HELVETIA                101h 21' 33''  + 00h 20' 13''
11   EDUARDO CHOZAS OLMO          42         ONCE                    101h 22' 20''  + 00h 21' 00''
12   ABELARDO RONDON              39         BANESTO                 101h 28' 07''  + 00h 26' 47''
13   GERT-JAN THEUNISSE           141        TVM                     101h 28' 30''  + 00h 27' 10''
14   JEAN-FRANÇOIS BERNARD        34         BANESTO                 101h 30' 17''  + 00h 28' 57''
15   MAURIZIO FONDRIEST           153        PANASONIC-SPORTLIFE     101h 31' 29''  + 00h 30' 09''
16   DENIS ROUX                   189        TOSHIBA                 101h 32' 00''  + 00h 30' 40''
17   ERIC CARITOUX                132        RMO-MAVIC               101h 33' 59''  + 00h 32' 39''
18   ALBERTO LUIS CAMARGO         112        RYALCAO-POSTOBON        101h 34' 14''  + 00h 32' 54''
19   ALVARO MEJIA                 116        RYALCAO-POSTOBON        101h 35' 12''  + 00h 33' 52''
20   FRÉDÉRIC VICHOT              99         CASTORAMA               101h 38' 03''  + 00h 36' 43''
21   GILLES DELION                101        HELVETIA                101h 40' 03''  + 00h 38' 43''
22   JAVIER MURGUIALDAY           86         AMAYA SEGUROS           101h 40' 31''  + 00h 39' 11''
23   JÉRÔME SIMON                 9          Z                       101h 40' 34''  + 00h 39' 14''
24   FABRICE PHILIPOT             37         BANESTO                 101h 43' 16''  + 00h 41' 56''
25   THIERRY BOURGUIGNON          183        TOSHIBA                 101h 43' 52''  + 00h 42' 32''
26   STEVEN ROOKS                 191        BUCKLER                 101h 46' 09''  + 00h 44' 49''
27   THIERRY CLAVEYROLAT          133        RMO-MAVIC               101h 46' 09''  + 00h 44' 49''
28   PATRICE ESNAULT              82         AMAYA SEGUROS           101h 47' 34''  + 00h 46' 14''
29   ROBERTO CONTI                124        TDF 1991 ARI            101h 48' 01''  + 00h 46' 41''
30   MARCO GIOVANNETTI            53         GATORADE-CHATEAU D'AX   101h 48' 26''  + 00h 47' 06''
31   LUIS ''LUCHO'' HERRERA       111        RYALCAO-POSTOBON        101h 49' 18''  + 00h 47' 58''
32   UWE AMPLER                   171        HISTOR-SIGMA            101h 50' 31''  + 00h 49' 11''
33   PELLO RUIZ-CABESTANY         211        CLAS-CAJASTUR           101h 54' 41''  + 00h 53' 21''
34   GERRIT DE VRIES              192        BUCKLER                 101h 56' 07''  + 00h 54' 47''
35   JOHAN BRUYNEEL               61         LOTTO-SUPERCLUB-MBK     101h 58' 48''  + 00h 57' 28''
36   JEAN-CLAUDE BAGOT            93         CASTORAMA               102h 00' 00''  + 00h 58' 40''
37   ANSELMO FUERTE               44         ONCE                    102h 00' 40''  + 00h 59' 20''
38   ERIC BOYER                   2          Z                       102h 01' 11''  + 00h 59' 51''
39   ALBERTO LEANIZBARRUTIA       217        CLAS-CAJASTUR           102h 04' 29''  + 01h 03' 09''
40   ALESSANDRO GIANELLI          14         CARRERA JEANS           102h 05' 12''  + 01h 03' 52''
41   RONAN PENSEC                 88         AMAYA SEGUROS           102h 07' 24''  + 01h 06' 04''
42   VJATCESLAV EKIMOV            152        PANASONIC-SPORTLIFE     102h 07' 37''  + 01h 06' 17''
43   HENRY CARDENAS ORDUZ         113        RYALCAO-POSTOBON        102h 08' 43''  + 01h 07' 23''
44   PHILIPPE LOUVIOT             187        TOSHIBA                 102h 08' 51''  + 01h 07' 31''
45   PHIL ANDERSON                72         MOTOROLA                102h 09' 33''  + 01h 08' 13''
46   GÉRARDO MONCADA              117        RYALCAO-POSTOBON        102h 10' 05''  + 01h 08' 45''
47   MAURO RIBEIRO                138        RMO-MAVIC               102h 11' 05''  + 01h 09' 45''
48   OSCAR DE JÉSUS VARGAS        119        RYALCAO-POSTOBON        102h 12' 24''  + 01h 11' 04''
49   PASCAL RICHARD               106        HELVETIA                102h 12' 36''  + 01h 11' 16''
50   DIDIER VIRVALEIX             179        HISTOR-SIGMA            102h 13' 25''  + 01h 12' 05''
51   LAURENT PILLON               208        TONTON TAPIS-CORONA     102h 13' 47''  + 01h 12' 27''
52   DIMITRI KONYSHEV             145        TVM                     102h 18' 16''  + 01h 16' 56''
53   MARINO LEJARETTA             41         ONCE                    102h 19' 28''  + 01h 18' 08''
54   BRUNO CORNILLET              4          Z                       102h 20' 19''  + 01h 18' 59''
55   FRANCISCO JAVIER MAULEON     218        CLAS-CAJASTUR           102h 21' 48''  + 01h 20' 28''
56   BRUNO CENGHIALTA             123        TDF 1991 ARI            102h 22' 02''  + 01h 20' 42''
57   PASCAL SIMON                 98         CASTORAMA               102h 23' 37''  + 01h 22' 17''
58   REYNEL MONTOYA               118        RYALCAO-POSTOBON        102h 24' 35''  + 01h 23' 15''
59   MORENO ARGENTIN              121        TDF 1991 ARI            102h 24' 41''  + 01h 23' 21''
60   JOSÉ-MANUEL OLIVEIRA         219        CLAS-CAJASTUR           102h 28' 17''  + 01h 26' 57''
61   INAKI GASTON                 216        CLAS-CAJASTUR           102h 30' 03''  + 01h 28' 43''
62   GUY NULENS                   155        PANASONIC-SPORTLIFE     102h 30' 30''  + 01h 29' 10''
63   DOMINIK KRIEGER              104        HELVETIA                102h 30' 41''  + 01h 29' 21''
64   MELCHOR MAURI                47         ONCE                    102h 30' 45''  + 01h 29' 25''
65   ANDRÉAS KAPPES               174        HISTOR-SIGMA            102h 30' 58''  + 01h 29' 38''
66   FRANCISCO ESPINOSA           215        CLAS-CAJASTUR           102h 32' 15''  + 01h 30' 55''
67   STEPHEN HODGE                45         ONCE                    102h 34' 12''  + 01h 32' 52''
68   DOMINIQUE ARNOULD            92         CASTORAMA               102h 34' 40''  + 01h 33' 20''
69   GUIDO WINTERBERG             109        HELVETIA                102h 35' 55''  + 01h 34' 35''
70   PASCAL LINO                  135        RMO-MAVIC               102h 35' 58''  + 01h 34' 38''
71   LAURENT JALABERT             181        TOSHIBA                 102h 37' 25''  + 01h 36' 05''
72   ROBERT MILLAR                8          Z                       102h 37' 26''  + 01h 36' 06''
73   OLAF LURVIK                  188        TOSHIBA                 102h 40' 51''  + 01h 39' 31''
74   JÉSUS MONTOYA                85         AMAYA SEGUROS           102h 42' 41''  + 01h 41' 21''
75   HERMINIO DIAZ ZABALA         43         ONCE                    102h 43' 33''  + 01h 42' 13''
76   MIGUEL MARTINEZ              46         ONCE                    102h 43' 34''  + 01h 42' 14''
77   DOMINIQUE ARNAUD             33         BANESTO                 102h 43' 52''  + 01h 42' 32''
78   MARC VAN ORSOUW              158        PANASONIC-SPORTLIFE     102h 45' 05''  + 01h 43' 45''
79   ROLF GOLZ                    126        TDF 1991 ARI            102h 45' 07''  + 01h 43' 47''
80   JEAN-CLAUDE COLOTTI          203        TONTON TAPIS-CORONA     102h 46' 14''  + 01h 44' 54''
81   MARC SERGEANT                156        PANASONIC-SPORTLIFE     102h 46' 19''  + 01h 44' 59''
82   PATRICK JACOBS               205        TONTON TAPIS-CORONA     102h 47' 15''  + 01h 45' 55''
83   ROLF JAERMANN                166        WEINMANN-EDDY MERCKX    102h 48' 05''  + 01h 46' 45''
85   DJAMOLIDINE ABDOUJAPAROV     12         CARRERA JEANS           102h 50' 25''  + 01h 49' 05''
86   DIMITRI ZHDANOV              159        PANASONIC-SPORTLIFE     102h 50' 52''  + 01h 49' 32''
87   PHILIPPE CASADO              3          Z                       102h 50' 52''  + 01h 49' 32''
88   VLADIMIR POULNIKOV           18         CARRERA JEANS           102h 52' 10''  + 01h 50' 50''
89   VALERIO TEBALDI              58         GATORADE-CHATEAU D'AX   102h 54' 21''  + 01h 53' 01''
90   FRANCK VAN DEN ABEELE        67         LOTTO-SUPERCLUB-MBK     102h 54' 47''  + 01h 53' 27''
91   ALBERTO ELLI                 125        TDF 1991 ARI            102h 56' 55''  + 01h 55' 35''
92   CHRISTOPHE LAVAINNE          94         CASTORAMA               102h 57' 36''  + 01h 56' 16''
93   ENRICO ZAINA                 19         CARRERA JEANS           102h 58' 58''  + 01h 57' 38''
94   PETER STEVENHAAGEN           108        HELVETIA                102h 59' 23''  + 01h 58' 03''
95   WILFRIED PEETERS             176        HISTOR-SIGMA            103h 00' 12''  + 01h 58' 52''
96   GUIDO BONTEMPI               13         CARRERA JEANS           103h 01' 49''  + 02h 00' 29''
97   STEVE BAUER                  73         MOTOROLA                103h 02' 17''  + 02h 00' 57''
98   MAURO GIANETTI               103        HELVETIA                103h 03' 23''  + 02h 02' 03''
99   PASCAL LANCE                 186        TOSHIBA                 103h 04' 55''  + 02h 03' 35''
100  JÉSUS RODRIGUEZ-MAGRO        38         BANESTO                 103h 05' 41''  + 02h 04' 21''
101  FRANÇOIS LEMARCHAND          7          Z                       103h 05' 50''  + 02h 04' 30''
102  THIERRY LAURENT              134        RMO-MAVIC               103h 07' 27''  + 02h 06' 07''
103  EDWIG VAN HOOYDONCK          197        BUCKLER                 103h 08' 03''  + 02h 06' 43''
104  ARSENIO CHAPARRO CARDOSO     114        RYALCAO-POSTOBON        103h 08' 08''  + 02h 06' 48''
105  MICHEL DERNIES               164        WEINMANN-EDDY MERCKX    103h 08' 23''  + 02h 07' 03''
106  ROLAND LE CLERC              84         AMAYA SEGUROS           103h 08' 46''  + 02h 07' 26''
107  BJARNE RIIS                  97         CASTORAMA               103h 09' 21''  + 02h 08' 01''
108  HENRI ABADIE                 182        TOSHIBA                 103h 09' 23''  + 02h 08' 03''
109  RUDY VERDONCK                168        WEINMANN-EDDY MERCKX    103h 11' 14''  + 02h 09' 54''
110  CHRISTIAN CHAUBET            184        TOSHIBA                 103h 12' 42''  + 02h 11' 22''
111  THIERRY MARIE                96         CASTORAMA               103h 03' 57''  + 02h 02' 37''
112  DAVIDE CASSANI               122        TDF 1991 ARI            103h 13' 58''  + 02h 12' 38''
113  WERNER STUTZ                 167        WEINMANN-EDDY MERCKX    103h 14' 08''  + 02h 12' 48''
114  OLAF LUDWIG                  154        PANASONIC-SPORTLIFE     103h 14' 14''  + 02h 12' 54''
115  MARC MADIOT                  136        RMO-MAVIC               103h 14' 42''  + 02h 13' 22''
116  URS ZIMMERMANN               79         MOTOROLA                103h 15' 18''  + 02h 13' 58''
117  HENK NIJDAM                  194        BUCKLER                 103h 16' 25''  + 02h 15' 05''
118  MICHEL VERMOTE               139        RMO-MAVIC               103h 16' 52''  + 02h 15' 32''
119  JAVIER LUKIN                 36         BANESTO                 103h 17' 43''  + 02h 16' 23''
120  GIANCARLO PERINI             17         CARRERA JEANS           103h 18' 07''  + 02h 16' 47''
121  VASSILI JDANOV               144        TVM                     103h 18' 12''  + 02h 16' 52''
122  JAVIER DUCH                  213        CLAS-CAJASTUR           103h 18' 24''  + 02h 17' 04''
123  MARINO ALONSO                32         BANESTO                 103h 21' 04''  + 02h 19' 44''
124  BRIAN HOLM                   173        HISTOR-SIGMA            103h 21' 36''  + 02h 20' 16''
125  ETIENNE DE WILDE             172        HISTOR-SIGMA            103h 21' 41''  + 02h 20' 21''
126  ANDY BISHOP                  74         MOTOROLA                103h 21' 50''  + 02h 20' 30''
127  ERIC VANDERAERDEN            198        BUCKLER                 103h 22' 03''  + 02h 20' 43''
128  ERICH MAECHLER               15         CARRERA JEANS           103h 22' 25''  + 02h 21' 05''
129  FRANS MAASSEN                193        BUCKLER                 103h 22' 51''  + 02h 21' 31''
130  PATRICK VERSCHUEREN          69         LOTTO-SUPERCLUB-MBK     103h 25' 09''  + 02h 23' 49''
131  ROBERTO GUSMEROLI            54         GATORADE-CHATEAU D'AX   103h 26' 50''  + 02h 25' 30''
132  FRANCIS MOREAU               206        TONTON TAPIS-CORONA     103h 27' 26''  + 02h 26' 06''
133  GERRIT SOLLEVELD             196        BUCKLER                 103h 28' 07''  + 02h 26' 47''
134  JURE PAVLIC                  16         CARRERA JEANS           103h 28' 16''  + 02h 26' 56''
135  PER PEDERSEN                 87         AMAYA SEGUROS           103h 29' 31''  + 02h 28' 11''
136  SERGEI USLAMINE              149        TVM                     103h 30' 41''  + 02h 29' 21''
137  PETER DECLERCQ               62         LOTTO-SUPERCLUB-MBK     103h 30' 46''  + 02h 29' 26''
138  RON KIEFEL                   76         MOTOROLA                103h 32' 44''  + 02h 31' 24''
139  JAN SCHUR                    57         GATORADE-CHATEAU D'AX   103h 33' 05''  + 02h 31' 45''
140  HENDRIK REDANT               66         LOTTO-SUPERCLUB-MBK     103h 33' 31''  + 02h 32' 11''
141  STEFANO ZANATTA              59         GATORADE-CHATEAU D'AX   103h 33' 47''  + 02h 32' 27''
142  RIK VAN SLIJCKE              68         LOTTO-SUPERCLUB-MBK     103h 39' 45''  + 02h 38' 25''
143  ENRIQUE GUERRIKAGOÏTIA       83         AMAYA SEGUROS           103h 41' 08''  + 02h 39' 48''
144  HENRI MANDERS                105        HELVETIA                103h 44' 54''  + 02h 43' 34''
145  ALFRED ACHERMANN             162        WEINMANN-EDDY MERCKX    103h 45' 58''  + 02h 44' 38''
146  JAN SIEMONS                  147        TVM                     103h 46' 18''  + 02h 44' 58''
147  MAURO-ANTONIO SANTAROMITA    56         GATORADE-CHATEAU D'AX   103h 46' 24''  + 02h 45' 04''
149  GUISEPPE CALCATERRA          52         GATORADE-CHATEAU D'AX   103h 49' 31''  + 02h 48' 11''
150  LUDWIG WILLEMS               169        WEINMANN-EDDY MERCKX    103h 59' 30''  + 02h 58' 10''
151  CARLOS JARAMILLO             115        RYALCAO-POSTOBON        104h 00' 07''  + 02h 58' 47''
152  EDDY SCHURER                 146        TVM                     104h 00' 15''  + 02h 58' 55''
153  LAWRENCE ROCHE               209        TONTON TAPIS-CORONA     104h 00' 45''  + 02h 59' 25''
154  TWAN POELS                   195        BUCKLER                 104h 01' 35''  + 03h 00' 15''
155  THOMAS WEGMULLER             161        WEINMANN-EDDY MERCKX    104h 01' 46''  + 03h 00' 26''
156  THOMAS BARTH                 142        TVM                     104h 06' 53''  + 03h 05' 33''
