Tour de France 1972

Number of stages 20
Distance (km) 3 846
Average speed 35.514

All about year 1972

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider            Rider No.                 Team                     Times            Gap       B P
60    GERBEN KARSTENS             81         ROKADO                              110h 29' 55''  + 02h 12' 37''
61    WIM PRINSEN                 104        GOUDSMIT-HOFF                       110h 32' 01''  + 02h 14' 43''
62    RONNY VAN MARCKE            20         BEAULIEU-FLANDRIA                   110h 33' 49''  + 02h 16' 31''
63    WILFRIED PEFFGEN            84         ROKADO                              110h 33' 04''  + 02h 15' 46''
64    JEAN-CLAUDE GENTY           58         BIC                                 110h 33' 08''  + 02h 15' 50''
65    WILLY ABBELOOS              45         DE GRIBALDY-MAGNIFLEX-VAN CAUTER    110h 34' 37''  + 02h 17' 19''
66    WILLY TEIRLINCK             31         SONOLOR                             110h 38' 14''  + 02h 20' 56''
67    EDDY VERSTRAETEN            132        WATNEY-AVIA                         110h 39' 12''  + 02h 21' 54''
68    MARC SOHET                  128        WATNEY-AVIA                         110h 42' 35''  + 02h 25' 17''
69    PAUL AERTS                  122        WATNEY-AVIA                         110h 43' 54''  + 02h 26' 36''
70    BARRY HOBAN                 72         GAN-MERCIER-HUTCHINSON              110h 44' 35''  + 02h 27' 17''
71    GÉRARD VIANEN               109        GOUDSMIT-HOFF                       110h 44' 42''  + 02h 27' 24''
72    JEAN-CLAUDE DAUNAT          115        GITANE                              110h 46' 21''  + 02h 29' 03''
73    JOS VAN DER VLEUTEN         106        GOUDSMIT-HOFF                       110h 46' 56''  + 02h 29' 38''
74    PIETRO CAMPAGNARI           90         SALVARANI                           110h 47' 57''  + 02h 30' 39''
75    PIERRE MATIGNON             118        GITANE                              110h 48' 25''  + 02h 31' 07''
76    RÉGIS DELEPINE              68         GAN-MERCIER-HUTCHINSON              110h 51' 47''  + 02h 34' 29''
77    NOËL VAN CLOOSTER           129        WATNEY-AVIA                         110h 53' 39''  + 02h 36' 21''
78    JAN KREKELS                 103        GOUDSMIT-HOFF                       110h 54' 14''  + 02h 36' 56''
79    PIETER NASSEN               125        WATNEY-AVIA                         110h 56' 07''  + 02h 38' 49''
80    RIK VAN LINDEN              54         DE GRIBALDY-MAGNIFLEX-VAN CAUTER    110h 56' 39''  + 02h 39' 21''
81    BERNARD GUYOT               24         SONOLOR                             110h 56' 44''  + 02h 39' 26''
82    MARINO BASSO                89         SALVARANI                           111h 02' 05''  + 02h 44' 47''
83    EVERT DOLMAN                16         BEAULIEU-FLANDRIA                   111h 03' 51''  + 02h 46' 33''
84    LÉON-PAUL MENARD            119        GITANE                              111h 03' 56''  + 02h 46' 38''
85    LUIGI CASTELLETTI           91         SALVARANI                           111h 05' 27''  + 02h 48' 09''
86    PIETRO GUERRA               94         SALVARANI                           111h 09' 52''  + 02h 52' 34''
87    ROBERT MINTKIEWICZ          26         SONOLOR                             111h 24' 59''  + 03h 07' 41''
88    ALAIN BELLOUIS              111        GITANE                              112h 20' 51''  + 04h 03' 33''

Next rankings
