Tour de France 1971

Number of stages 20
Distance (km) 3 608
Average speed 38.084

All about year 1971

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider             Rider No.          Team              Times           Gap        B P
67   FRANCISCO JULIA              130        WERNER                98h 45' 07''  + 01h 59' 53''
68   PIETRO GUERRA                55         SALVARANI             98h 47' 43''  + 02h 02' 29''
69   YVES RAVALEU                 87         HOOVER-DE GRIBALDY    98h 49' 15''  + 02h 04' 01''
70   WILLY VAN NESTE              19         MARS-FLANDRIA         98h 50' 19''  + 02h 05' 05''
71   ROLF WOLFSHOHL               50         FAGOR-MERCIER         98h 50' 45''  + 02h 05' 31''
72   JOSE-MANUEL FUENTE           61         KAS                   98h 50' 56''  + 02h 05' 42''
73   FRANCISCO GALDEANO           62         KAS                   98h 51' 30''  + 02h 06' 16''
74   WILLY TEIRLINCK              39         SONOLOR-LEJEUNE       98h 53' 18''  + 02h 08' 04''
75   JAN JANSSEN                  13         MARS-FLANDRIA         98h 53' 39''  + 02h 08' 25''
76   MATHIJS DE KONING            112        GOUDSMIT              98h 53' 59''  + 02h 08' 45''
77   RAYMOND DELISLE              75         PEUGEOT-BP-MICHELIN   98h 54' 35''  + 02h 09' 21''
78   ADRIANO PELLA                108        SCIC                  98h 58' 29''  + 02h 13' 15''
79   PIERRE GHISELINI             85         HOOVER-DE GRIBALDY    98h 59' 03''  + 02h 13' 49''
80   HENK BENJAMINS               111        GOUDSMIT              98h 59' 57''  + 02h 14' 43''
81   RENÉ GRELIN                  45         FAGOR-MERCIER         99h 04' 25''  + 02h 19' 11''
82   HUUB HARINGS                 113        GOUDSMIT              99h 11' 23''  + 02h 26' 09''
83   CELESTINO VERCELLI           109        SCIC                  99h 14' 40''  + 02h 29' 26''
84   ROBERT MINTKIEWICZ           36         SONOLOR-LEJEUNE       99h 20' 54''  + 02h 35' 40''
85   SANDRO QUINTARELLI           28         FERRETTI              99h 21' 33''  + 02h 36' 19''
86   SILVANO DAVO                 52         SALVARANI             99h 23' 05''  + 02h 37' 51''
87   JAN VAN KATWIJK              120        GOUDSMIT              99h 26' 51''  + 02h 41' 37''
88   EDDY PEELMAN                 47         FAGOR-MERCIER         99h 27' 04''  + 02h 41' 50''
89   PIERRE MARTELOZZO            78         PEUGEOT-BP-MICHELIN   99h 30' 59''  + 02h 45' 45''
90   JULIEN STEVENS               6          MOLTENI               99h 32' 35''  + 02h 47' 21''
91   ERIC LEMAN                   14         MARS-FLANDRIA         99h 36' 52''  + 02h 51' 38''
92   ROBERTO BALLINI              22         FERRETTI              99h 37' 40''  + 02h 52' 26''
93   PIETER NASSEN                16         MARS-FLANDRIA         99h 43' 02''  + 02h 57' 48''
94   GEORGES CHAPPE               41         FAGOR-MERCIER         99h 50' 08''  + 03h 04' 54''

Next rankings
