Tour de France 1981

Number of stages 22
Distance (km) 3 753
Average speed 38.960

All about year 1981

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank                   Rider                  Rider No.              Team                  Times           Gap       B P
59    LUDO PEETERS                            6          TI-RALEIGH-CREDA              93h 17' 19''  + 01h 43' 05''
60    HUBERT ARBES                            132        RENAULT-GITANE                93h 17' 59''  + 01h 43' 45''
61    ROGER LEGEAY                            18         PEUGEOT-ESSO-MICHELIN         93h 18' 10''  + 01h 43' 56''
62    RONALD DE WITTE                         123        SUNAIR-COLNAGO                93h 18' 21''  + 01h 44' 07''
63    JACQUES BOSSIS                          13         PEUGEOT-ESSO-MICHELIN         93h 18' 53''  + 01h 44' 39''
64    ISMAËL LEJARETTA                        97         TEKA                          93h 19' 03''  + 01h 44' 49''
65    RUDY COLMAN                             33         WICKES-SPLENDOR-EUROP DECOR   93h 21' 07''  + 01h 46' 53''
66    FREDDY MAERTENS                         124        SUNAIR-COLNAGO                93h 21' 48''  + 01h 47' 34''
67    JOS DE SCHOENMACKER                     145        VERMEER THIJS-GIOS            93h 22' 08''  + 01h 47' 54''
68    BERNARD BECAAS                          133        RENAULT-GITANE                93h 22' 19''  + 01h 48' 05''
69    BERNARDO ALFONSEL                       92         TEKA                          93h 23' 25''  + 01h 49' 11''
70    JEAN CHASSANG                           73         PUCH-WOLBER                   93h 24' 48''  + 01h 50' 34''
71    YVES HEZARD                             75         PUCH-WOLBER                   93h 26' 29''  + 01h 52' 15''
72    BERNARD BOURREAU                        14         PEUGEOT-ESSO-MICHELIN         93h 30' 46''  + 01h 56' 32''
73    HUBERT MATHIS                           29         MIKO-MERCIER-VIVAGEL          93h 32' 43''  + 01h 58' 29''
74    LUDO DELCROIX                           63         CAPRI SONNE- KOGA MIYATA      93h 34' 13''  + 01h 59' 59''
75    RUDY PEVENAGE                           66         CAPRI SONNE- KOGA MIYATA      93h 34' 48''  + 02h 00' 34''
76    LOUIS LUYTEN                            147        VERMEER THIJS-GIOS            93h 36' 15''  + 02h 02' 01''
77    CHRISTIAN LEVAVASSEUR                   28         MIKO-MERCIER-VIVAGEL          93h 36' 50''  + 02h 02' 36''
78    PATRICK MOERLEN                         48         SEM-FRANCE-LOIRE              93h 37' 34''  + 02h 03' 20''
79    JOSÉ BEYAERT                            142        VERMEER THIJS-GIOS            93h 37' 39''  + 02h 03' 25''
80    HENNIE STAMSNIJDER                      109        DAF TRUCKS-COTE D'OR          93h 39' 45''  + 02h 05' 31''
81    ADRI VAN HOUWELINGEN                    149        VERMEER THIJS-GIOS            93h 40' 34''  + 02h 06' 20''
82    JEAN-LUC VANDENBROUCKE                  58         LA REDOUTE-MOTOBECANE         93h 41' 28''  + 02h 07' 14''
83    RENÉ MARTENS                            106        DAF TRUCKS-COTE D'OR          93h 41' 55''  + 02h 07' 41''
84    JOS JACOBS                              65         CAPRI SONNE- KOGA MIYATA      93h 42' 35''  + 02h 08' 21''
85    YVON BERTIN                             135        RENAULT-GITANE                93h 44' 22''  + 02h 10' 08''
86    JOËL GALLOPIN                           25         MIKO-MERCIER-VIVAGEL          93h 44' 36''  + 02h 10' 22''
87    ROGER DE CNIJF                          82         BOSTON-MAVIC                  93h 45' 01''  + 02h 10' 47''
88    JEAN-FRANÇOIS PESCHEUX                  55         LA REDOUTE-MOTOBECANE         93h 46' 18''  + 02h 12' 04''
89    FRANKY DE GENDT                         144        VERMEER THIJS-GIOS            93h 46' 56''  + 02h 12' 42''
90    PATRICK HOSOTTE                         45         SEM-FRANCE-LOIRE              93h 47' 03''  + 02h 12' 49''
91    PAULINO MARTINEZ                        98         TEKA                          93h 47' 26''  + 02h 13' 12''
92    MARC DURANT                             53         LA REDOUTE-MOTOBECANE         93h 48' 05''  + 02h 13' 51''
93    WILLIAM TACKAERT                        110        DAF TRUCKS-COTE D'OR          93h 56' 04''  + 02h 21' 50''
94    FRITS PIRARD                            125        SUNAIR-COLNAGO                93h 57' 54''  + 02h 23' 40''
95    FRANK HOSTE                             3          TI-RALEIGH-CREDA              93h 58' 10''  + 02h 23' 56''
96    EUGÈNE URBANY                           39         WICKES-SPLENDOR-EUROP DECOR   93h 59' 15''  + 02h 25' 01''
97    JÉSUS GUZMAN                            115        KELME                         93h 59' 52''  + 02h 25' 38''
98    JEAN-PAUL HOSOTTE                       44         SEM-FRANCE-LOIRE              94h 02' 23''  + 02h 28' 09''
99    FERDI VAN DEN HAUTE                     59         LA REDOUTE-MOTOBECANE         94h 02' 25''  + 02h 28' 11''
100   JAIME VILAMAJO                          120        KELME                         94h 03' 55''  + 02h 29' 41''
101   EULALIO GARCIA                          96         TEKA                          94h 04' 57''  + 02h 30' 43''
102   LÉO WELLENS                             129        SUNAIR-COLNAGO                94h 05' 00''  + 02h 30' 46''
103   FRANCISCO-RAMON ALBEDA                  112        KELME                         94h 08' 08''  + 02h 33' 54''
104   IMANOL MURGA                            117        KELME                         94h 09' 59''  + 02h 35' 45''
105   JÉSUS SUAREZ-CUEVAS                     119        KELME                         94h 12' 00''  + 02h 37' 46''
106   MARC DIERICKX                           103        DAF TRUCKS-COTE D'OR          94h 12' 24''  + 02h 38' 10''
107   DIRK WAYENBERG                          68         CAPRI SONNE- KOGA MIYATA      94h 14' 41''  + 02h 40' 27''
108   EDDY VERSTRAETEN                        150        VERMEER THIJS-GIOS            94h 18' 36''  + 02h 44' 22''
109   ALBERT ZWEIFEL                          49         SEM-FRANCE-LOIRE              94h 18' 38''  + 02h 44' 24''
110   MARCEL LAURENS                          105        DAF TRUCKS-COTE D'OR          94h 19' 35''  + 02h 45' 21''
111   WILLY TEIRLINCK                         89         BOSTON-MAVIC                  94h 20' 58''  + 02h 46' 44''
112   GERHARD SCHONBACHER                     78         PUCH-WOLBER                   94h 25' 44''  + 02h 51' 30''
113   JOHNNY BROERS                           32         WICKES-SPLENDOR-EUROP DECOR   94h 36' 12''  + 03h 01' 58''
114   LUC DE GRAUWE                           83         BOSTON-MAVIC                  94h 40' 05''  + 03h 05' 51''
115   AAD VAN DEN HOEK                        8          TI-RALEIGH-CREDA              94h 45' 43''  + 03h 11' 29''
116   JAN JONKERS                             85         BOSTON-MAVIC                  94h 49' 35''  + 03h 15' 21''
117   JOHAN WELLENS                           130        SUNAIR-COLNAGO                94h 50' 16''  + 03h 16' 02''
118   JORGE RUIZ-CABESTANY                    100        TEKA                          94h 50' 27''  + 03h 16' 13''
119   ALAIN DE ROO                            122        SUNAIR-COLNAGO                94h 53' 21''  + 03h 19' 07''
120   PHILIPPE TESNIERES                      88         BOSTON-MAVIC                  95h 49' 13''  + 04h 14' 59''
121   FAUSTINO CUELI ARCE                     93         TEKA                          96h 04' 08''  + 04h 29' 54''

Next rankings
