Tour de France 2012

Number of stages 20
Distance (km) 3 497
Average speed 39.883

All about year 2012

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank               Rider               Rider No.               Team                  Times           Gap       B P
61   CYRIL GAUTIER                     24         TEAM EUROPCAR                  89h 33' 42''  + 01h 58' 55''
62   MIKAEL CHEREL                     73         AG2R LA MONDIALE               89h 34' 40''  + 01h 59' 53''
63   DMITRIY FOFONOV                   183        ASTANA PRO TEAM                89h 38' 42''  + 02h 03' 55''
64   LUIS LEÓN SANCHEZ                 155        RABOBANK CYCLING TEAM          89h 40' 30''  + 02h 05' 43''
65   SÉBASTIEN MINARD                  77         AG2R LA MONDIALE               89h 41' 19''  + 02h 06' 32''
66   JÉRÉMY ROY                        148        FDJ-BIGMAT                     89h 45' 04''  + 02h 10' 17''
67   MARCO MARCATO                     125        VACANSOLEIL-DCM                89h 46' 23''  + 02h 11' 36''
68   DRIES DEVENYNS                    194        OMEGA PHARMA-QUICK STEP        89h 47' 09''  + 02h 12' 22''
69   SIMONE STORTONI                   48         LAMPRE - ISD                   89h 48' 26''  + 02h 13' 39''
70   KEVIN DE WEERT                    193        OMEGA PHARMA-QUICK STEP        89h 48' 36''  + 02h 13' 49''
71   SYLVESTER SZMYD                   58         LIQUIGAS-CANNONDALE            89h 51' 02''  + 02h 16' 15''
72   PIETER WEENING                    209        ORICA GREENEDGE                89h 52' 17''  + 02h 17' 30''
73   CHRISTOPHE RIBLON                 78         AG2R LA MONDIALE               89h 52' 18''  + 02h 17' 31''
74   JORGE AZANZA SOTO                 33         EUSKALTEL - EUSKADI            89h 53' 45''  + 02h 18' 58''
75   GUILLAUME LEVARLET                97         SAUR-SOJASUN                   89h 54' 30''  + 02h 19' 43''
76   YAROSLAV POPOVYCH                 17         RADIOSHACK-NISSAN              89h 56' 43''  + 02h 21' 56''
77   VASILI KIRYIENKA                  167        MOVISTAR TEAM                  89h 56' 49''  + 02h 22' 02''
78   ANDREY KASHECHKIN                 186        ASTANA PRO TEAM                89h 57' 56''  + 02h 23' 09''
79   SIMON GERRANS                     201        ORICA GREENEDGE                89h 59' 22''  + 02h 24' 35''
80   MARCO MARZANO                     46         LAMPRE - ISD                   89h 59' 33''  + 02h 24' 46''
81   ADAM JAMES HANSEN                 115        LOTTO-BELISOL TEAM             90h 00' 16''  + 02h 25' 29''
82   CHRISTIAN KNEES                   106        SKY PROCYCLING                 90h 01' 30''  + 02h 26' 43''
83   CHRISTOPHE KERN                   27         TEAM EUROPCAR                  90h 03' 48''  + 02h 29' 01''
84   YUKIYA ARASHIRO                   22         TEAM EUROPCAR                  90h 04' 00''  + 02h 29' 13''
85   MATTHIEU LADAGNOUS                144        FDJ-BIGMAT                     90h 08' 01''  + 02h 33' 14''
86   DANILO HONDO                      43         LAMPRE - ISD                   90h 12' 42''  + 02h 37' 55''
87   RUBEN PEREZ MORENO                36         EUSKALTEL - EUSKADI            90h 12' 43''  + 02h 37' 56''
88   MARTIN VELITS                     198        OMEGA PHARMA-QUICK STEP        90h 15' 34''  + 02h 40' 47''
89   BLEL KADRI                        76         AG2R LA MONDIALE               90h 16' 01''  + 02h 41' 14''
90   ROMAIN ZINGLE                     89         COFIDIS LE CREDIT EN LIGNE     90h 16' 31''  + 02h 41' 44''
91   BRICE FEILLU                      94         SAUR-SOJASUN                   90h 16' 37''  + 02h 41' 50''
92   JULIEN SIMON                      99         SAUR-SOJASUN                   90h 20' 51''  + 02h 46' 04''
93   MICHAEL MØRKØV                    175        TEAM SAXO BANK-TINKOFF BANK    90h 21' 01''  + 02h 46' 14''
94   ARTHUR VICHOT                     149        FDJ-BIGMAT                     90h 21' 38''  + 02h 46' 51''
95   STEPHEN CUMMINGS                  3          BMC RACING TEAM                90h 21' 50''  + 02h 47' 03''
96   LARS BAK YTTING                   112        LOTTO-BELISOL TEAM             90h 22' 52''  + 02h 48' 05''
97   STUART O'GRADY                    208        ORICA GREENEDGE                90h 25' 18''  + 02h 50' 31''
98   KRISTIJAN KOREN                   54         LIQUIGAS-CANNONDALE            90h 26' 21''  + 02h 51' 34''
99   NICKI SORENSEN                    179        TEAM SAXO BANK-TINKOFF BANK    90h 27' 58''  + 02h 53' 11''
100  DAVID ZABRISKIE                   69         GARMIN-SHARP                   90h 28' 13''  + 02h 53' 26''
101  RUBEN PLAZA MOLINA                168        MOVISTAR TEAM                  90h 28' 22''  + 02h 53' 35''
102  FRANCIS DE GREEF                  113        LOTTO-BELISOL TEAM             90h 28' 39''  + 02h 53' 52''
103  KOEN DE KORT                      213        TEAM ARGOS-SHIMANO             90h 29' 00''  + 02h 54' 13''
104  JURGEN ROELANDTS                  117        LOTTO-BELISOL TEAM             90h 29' 51''  + 02h 55' 04''
105  DANIEL OSS                        56         LIQUIGAS-CANNONDALE            90h 30' 11''  + 02h 55' 24''
106  DAVID MILLAR                      66         GARMIN-SHARP                   90h 30' 11''  + 02h 55' 24''
107  SAMUEL DUMOULIN                   83         COFIDIS LE CREDIT EN LIGNE     90h 30' 49''  + 02h 56' 02''
108  LUCA PAOLINI                      137        KATUSHA TEAM                   90h 31' 08''  + 02h 56' 21''
109  MANUEL QUINZIATO                  7          BMC RACING TEAM                90h 31' 14''  + 02h 56' 27''
110  MICHAEL ALBASINI                  202        ORICA GREENEDGE                90h 32' 07''  + 02h 57' 20''
111  DARYL IMPEY                       205        ORICA GREENEDGE                90h 32' 16''  + 02h 57' 29''
112  JÉRÔME PINEAU                     197        OMEGA PHARMA-QUICK STEP        90h 32' 45''  + 02h 57' 58''
113  MATTHIEU SPRICK                   217        TEAM ARGOS-SHIMANO             90h 33' 02''  + 02h 58' 15''
