Tour de France 2014

Number of stages 21
Distance (km) 3 659
Average speed 40.662

All about year 2014

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank               Rider               Rider No.                Team                    Times           Gap       B P
62   FLORIAN GUILLOU                   217        BRETAGNE - SECHE ENVIRONNEMENT    92h 52' 26''  + 02h 53' 20''
63   MARKEL IRIZAR ARRANBURU           164        TREK FACTORY RACING               92h 52' 50''  + 02h 53' 44''
64   ADAM JAMES HANSEN                 136        LOTTO-BELISOL                     92h 53' 24''  + 02h 54' 18''
65   YUKIYA ARASHIRO                   152        TEAM EUROPCAR                     92h 54' 33''  + 02h 55' 27''
66   MATTEO MONTAGUTI                  88         AG2R LA MONDIALE                  92h 54' 53''  + 02h 55' 47''
67   JENS KEUKELEIRE                   186        ORICA GREENEDGE                   92h 55' 18''  + 02h 56' 12''
68   BARTOSZ HUZARSKI                  205        TEAM NETAPP-ENDURA                92h 57' 06''  + 02h 58' 00''
69   DANIEL OSS                        145        BMC RACING TEAM                   92h 57' 47''  + 02h 58' 41''
70   MICHAEL ALBASINI                  182        ORICA GREENEDGE                   93h 04' 57''  + 03h 05' 51''
71   JAN BARTA                         202        TEAM NETAPP-ENDURA                93h 06' 24''  + 03h 07' 18''
72   TIAGO MACHADO                     206        TEAM NETAPP-ENDURA                93h 07' 09''  + 03h 08' 03''
73   KÉVIN REZA                        158        TEAM EUROPCAR                     93h 07' 18''  + 03h 08' 12''
74   JOHAN VAN SUMMEREN                99         GARMIN - SHARP                    93h 07' 46''  + 03h 08' 40''
75   MARTIN ELMIGER                    193        IAM CYCLING                       93h 11' 16''  + 03h 12' 10''
76   MATTHIEU LADAGNOUS                125        FDJ.FR                            93h 13' 47''  + 03h 14' 41''
77   NICOLAS EDET                      172        COFIDIS, SOLUTIONS CREDITS        93h 18' 40''  + 03h 19' 34''
78   ANTHONY DELAPLACE                 213        BRETAGNE - SECHE ENVIRONNEMENT    93h 19' 54''  + 03h 20' 48''
79   LIEUWE WESTRA                     49         ASTANA PRO TEAM                   93h 20' 10''  + 03h 21' 04''
80   MARCO MARCATO                     56         CANNONDALE                        93h 20' 22''  + 03h 21' 16''
81   IMANOL ERVITI                     12         MOVISTAR TEAM                     93h 21' 54''  + 03h 22' 48''
82   LARS BAK YTTING                   132        LOTTO-BELISOL                     93h 22' 47''  + 03h 23' 41''
83   PERRIG QUEMENEUR                  157        TEAM EUROPCAR                     93h 24' 52''  + 03h 25' 46''
84   BLEL KADRI                        86         AG2R LA MONDIALE                  93h 25' 29''  + 03h 26' 23''
85   SÉBASTIEN REICHENBACH             198        IAM CYCLING                       93h 26' 58''  + 03h 27' 52''
86   VASILI KIRYIENKA                  3          TEAM SKY                          93h 29' 29''  + 03h 30' 23''
87   NELSON OLIVEIRA                   116        LAMPRE - MERIDA                   93h 29' 42''  + 03h 30' 36''
88   REIN TAARAMÄE                     179        COFIDIS, SOLUTIONS CREDITS        93h 34' 07''  + 03h 35' 01''
89   SERGIO MIGUEL MOREIRA PAULINHO    36         TINKOFF-SAXO                      93h 35' 39''  + 03h 36' 33''
90   SAMUEL DUMOULIN                   84         AG2R LA MONDIALE                  93h 37' 10''  + 03h 38' 04''
91   RUBEN PLAZA MOLINA                17         MOVISTAR TEAM                     93h 37' 33''  + 03h 38' 27''
92   KOEN DE KORT                      103        TEAM GIANT-SHIMANO                93h 37' 58''  + 03h 38' 52''
93   MATTEO TRENTIN                    79         OMEGA PHARMA-QUICK STEP           93h 38' 02''  + 03h 38' 56''
94   NIKI TERPSTRA                     78         OMEGA PHARMA-QUICK STEP           93h 38' 10''  + 03h 39' 04''
95   ANDREY GRIVKO                     43         ASTANA PRO TEAM                   93h 38' 34''  + 03h 39' 28''
96   DANIELE BENNATI                   32         TINKOFF-SAXO                      93h 39' 52''  + 03h 40' 46''
97   LARS BOOM                         62         BELKIN PRO CYCLING                93h 40' 30''  + 03h 41' 24''
98   MATTHEW BUSCHE                    162        TREK FACTORY RACING               93h 41' 04''  + 03h 41' 58''
