Tour de France 1985

Number of stages 22
Distance (km) 4 109
Average speed 36.232

All about year 1985

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider             Rider No.                 Team                     Times            Gap       B P
100   RÉGIS SIMON                  108        LA REDOUTE                          115h 33' 26''  + 02h 09' 03''
101   RUDY DHAENENS                64         HITACHI-SUNAIR-SPLENDOR             115h 33' 46''  + 02h 09' 23''
102   GUY GALLOPIN                 34         SKIL-SEM-KAS-MIKO                   115h 33' 46''  + 02h 09' 23''
103   ALOIS WOUTERS                180        TDF 1985 TON                        115h 33' 59''  + 02h 09' 36''
104   JAN VAN HOUWELINGEN          148        VERANDALUX-NISSAN-DRIES-ROSSIN      115h 34' 53''  + 02h 10' 30''
105   GIANCARLO PERINI             99         CARRERA JEANS-INOXPRAN              115h 35' 03''  + 02h 10' 40''
106   AD WIJNANDS                  120        KWANTUM HALLEN-DECOSOL              115h 35' 31''  + 02h 11' 08''
107   VICENTE OTIN                 157        SEAT-ORBEA                          115h 36' 23''  + 02h 12' 00''
108   PATRICK TOELEN               68         HITACHI-SUNAIR-SPLENDOR             115h 36' 44''  + 02h 12' 21''
109   ANSELMO FUERTE               124        ZOR                                 115h 36' 45''  + 02h 12' 22''
110   GERRIT SOLLEVELD             117        KWANTUM HALLEN-DECOSOL              115h 36' 55''  + 02h 12' 32''
111   RUDY PATRY                   174        TDF 1985 TON                        115h 41' 09''  + 02h 16' 46''
112   GUIDO BONTEMPI               92         CARRERA JEANS-INOXPRAN              115h 41' 38''  + 02h 17' 15''
113   GUY NULENS                   76         PANASONIC-RALEIGH                   115h 44' 03''  + 02h 19' 40''
114   ERICH MAECHLER               96         CARRERA JEANS-INOXPRAN              115h 44' 38''  + 02h 20' 15''
115   JELLE NIJDAM                 114        KWANTUM HALLEN-DECOSOL              115h 46' 02''  + 02h 21' 39''
116   DOMINIQUE GAIGNE             2          RENAULT-ELF                         115h 47' 46''  + 02h 23' 23''
117   JEAN-MARIE WAMPERS           70         HITACHI-SUNAIR-SPLENDOR             115h 49' 22''  + 02h 24' 59''
118   NESTOR MORA                  88         CAFÉ DE COLOMBIA-VARTA-MAVIC        115h 52' 44''  + 02h 28' 21''
119   FERDI VAN DEN HAUTE          110        LA REDOUTE                          115h 53' 17''  + 02h 28' 54''
120   BERTRAM SEGER                175        TDF 1985 TON                        116h 00' 48''  + 02h 36' 25''
121   ALAIN BONDUE                 102        LA REDOUTE                          116h 01' 29''  + 02h 37' 06''
122   SEAN YATES                   30         PEUGEOT-SHELL-MICHELIN              116h 01' 59''  + 02h 37' 36''
123   ANDRÉ LURQUIN                172        TDF 1985 TON                        116h 02' 27''  + 02h 38' 04''
124   JOS JACOBS                   145        VERANDALUX-NISSAN-DRIES-ROSSIN      116h 03' 17''  + 02h 38' 54''
125   JOSÉ DEL RAMO                152        SEAT-ORBEA                          116h 04' 03''  + 02h 39' 40''
126   LUDO DE KEULENAER            72         PANASONIC-RALEIGH                   116h 04' 15''  + 02h 39' 52''
127   ERIC McKENZIE                136        LOTTO-EDDY MERCKX-CAMPAGNOLO        116h 05' 04''  + 02h 40' 41''
128   JOSÉ-SALVADOR SANCHIS        159        SEAT-ORBEA                          116h 06' 01''  + 02h 41' 38''
129   BENNY VAN BRABANT            176        TDF 1985 TON                        116h 12' 38''  + 02h 48' 15''
130   JOS LIECKENS                 131        LOTTO-EDDY MERCKX-CAMPAGNOLO        116h 12' 38''  + 02h 48' 15''
131   ETIENNE DE BEULE             143        VERANDALUX-NISSAN-DRIES-ROSSIN      116h 15' 41''  + 02h 51' 18''
132   FRANCIS CASTAING             23         PEUGEOT-SHELL-MICHELIN              116h 21' 31''  + 02h 57' 08''
133   MICHEL BIBOLLET              55         FAGOR                               116h 24' 52''  + 03h 00' 29''
135   RUDY MATTHIJS                65         HITACHI-SUNAIR-SPLENDOR             116h 27' 36''  + 03h 03' 13''
136   JAN BAEYENS                  132        LOTTO-EDDY MERCKX-CAMPAGNOLO        116h 33' 59''  + 03h 09' 36''
137   JAN BOGAERT                  142        VERANDALUX-NISSAN-DRIES-ROSSIN      116h 35' 58''  + 03h 11' 35''
138   PHILIPPE LAURAIRE            59         FAGOR                               116h 39' 23''  + 03h 15' 00''
139   GIULIANO PAVANELLO           169        SANTINI-SELLE ITALIA-CONTI-GALLI    116h 41' 03''  + 03h 16' 40''
140   PETER PIETERS                126        ZOR                                 116h 50' 07''  + 03h 25' 44''
141   PAUL SHERWEN                 106        LA REDOUTE                          116h 52' 36''  + 03h 28' 13''
142   PATRICK ONNOCKX              137        LOTTO-EDDY MERCKX-CAMPAGNOLO        116h 53' 48''  + 03h 29' 25''
143   ROBERTO BRESSAN              162        SANTINI-SELLE ITALIA-CONTI-GALLI    117h 09' 43''  + 03h 45' 20''
144   MANRICO RONCHIATO            170        SANTINI-SELLE ITALIA-CONTI-GALLI    117h 38' 11''  + 04h 13' 48''

Next rankings
