TDF 1996

Number of stages 21
Distance (km) 3 765
Average speed 39.227

All about year 1996

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider             Rider No.              Team                  Times           Gap       B P
89   FEDERICO MUNOZ               188        KELME-ARTIACH-COSTA BLANCA    98h 14' 41''  + 02h 17' 25''
90   ROLF JAERMANN                45         MG-TECHNOGYM                  98h 17' 44''  + 02h 20' 28''
91   FRANÇOIS LEMARCHAND          93         GAN                           98h 18' 31''  + 02h 21' 15''
92   JOSÉ-RAMON URIARTE           9          BANESTO                       98h 21' 15''  + 02h 23' 59''
93   MARIANO PICCOLI              191        BRESCIALAT                    98h 21' 45''  + 02h 24' 29''
94   CRISTIAN SALVATO             168        CERAMICHE REFIN-MOBILVETTA    98h 24' 15''  + 02h 26' 59''
95   JOHAN MUSEEUW                36         MAPEI-GB                      98h 26' 18''  + 02h 29' 02''
96   CHEPE GONZALEZ PICO          187        KELME-ARTIACH-COSTA BLANCA    98h 26' 29''  + 02h 29' 13''
97   ROSSANO BRASI                113        TEAM POLTI                    98h 27' 36''  + 02h 30' 20''
98   FABIO ROSCIOLI               167        CERAMICHE REFIN-MOBILVETTA    98h 28' 22''  + 02h 31' 06''
99   BART VOSKAMP                 159        TVM                           98h 28' 47''  + 02h 31' 31''
100  FRANCESCO FRATTINI           55         GEWISS-PLAYBUS                98h 29' 22''  + 02h 32' 06''
101  SCOTT SUNDERLAND             177        LOTTO-ISOGLASS                98h 30' 10''  + 02h 32' 54''
102  FRANCISCO CABELLO            184        KELME-ARTIACH-COSTA BLANCA    98h 33' 38''  + 02h 36' 22''
103  CHRISTIANO FRATTINI          195        BRESCIALAT                    98h 35' 12''  + 02h 37' 56''
104  THIERRY LAURENT              206        AGRIGEL-LA CREUSE-FENIOUX     98h 35' 13''  + 02h 37' 57''
105  OMAR PUMAR                   198        BRESCIALAT                    98h 35' 26''  + 02h 38' 10''
106  FRÉDÉRIC MONCASSIN           94         GAN                           98h 36' 13''  + 02h 38' 57''
107  BRIAN HOLM                   26         TEAM DEUTSCHE TELEKOM         98h 37' 07''  + 02h 39' 51''
108  FRÉDÉRIC GUESDON             117        TEAM POLTI                    98h 40' 05''  + 02h 42' 49''
109  JOSÉ ANGEL VIDAL             189        KELME-ARTIACH-COSTA BLANCA    98h 40' 14''  + 02h 42' 58''
110  WILFRIED PEETERS             38         MAPEI-GB                      98h 44' 03''  + 02h 46' 47''
111  FRANKIE ANDREU               62         MOTOROLA                      98h 46' 02''  + 02h 48' 46''
112  ALESSANDRO BARONTI           122        CERAMICHE PANARIA-VINAVIL     98h 49' 53''  + 02h 52' 37''
113  TOBIAS STEINHAUSER           169        CERAMICHE REFIN-MOBILVETTA    98h 51' 50''  + 02h 54' 34''
114  THIERRY GOUVENOU             214        AUBERVILLIERS 93-PEUGEOT      98h 51' 51''  + 02h 54' 35''
115  JACKY DURAND                 201        AGRIGEL-LA CREUSE-FENIOUX     98h 51' 55''  + 02h 54' 39''
116  PETER VAN PETEGEM            158        TVM                           98h 53' 26''  + 02h 56' 10''
117  DARIO BOTTARO                52         GEWISS-PLAYBUS                98h 53' 54''  + 02h 56' 38''
118  GILLES TALMANT               218        AUBERVILLIERS 93-PEUGEOT      98h 54' 51''  + 02h 57' 35''
119  GERRIT DE VRIES              114        TEAM POLTI                    99h 02' 01''  + 03h 04' 45''
120  PAUL VAN HYFTE               178        LOTTO-ISOGLASS                99h 03' 59''  + 03h 06' 43''
121  IVAN CERIOLI                 54         GEWISS-PLAYBUS                99h 05' 06''  + 03h 07' 50''
122  PETER FARAZIJN               173        LOTTO-ISOGLASS                99h 11' 22''  + 03h 14' 06''
123  NICO MATTAN                  176        LOTTO-ISOGLASS                99h 12' 05''  + 03h 14' 49''
124  MARC WAUTERS                 179        LOTTO-ISOGLASS                99h 13' 02''  + 03h 15' 46''
125  MARIO CHIESA                 132        CARRERA BLUE JEANS-LONGONI    99h 15' 18''  + 03h 18' 02''
126  SIMONE BIASCI                102        SAECO                         99h 19' 32''  + 03h 22' 16''
127  EROS POLI                    108        SAECO                         99h 31' 54''  + 03h 34' 38''
128  JEROEN BLIJLEVENS            152        TVM                           99h 32' 28''  + 03h 35' 12''
129  JEAN-LUC MASDUPUY            208        AGRIGEL-LA CREUSE-FENIOUX     99h 37' 08''  + 03h 39' 52''

Next rankings
