Tour de France 1963

Number of stages 21
Distance (km) 4 138
Average speed 37.092

All about year 1963

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider           Rider No.                   Team                       Times            Gap       B P
57    ANDRÉ FOUCHER             64         PELFORTH-SAUVAGE-LEJEUNE-WOLBER         115h 16' 46''  + 01h 46' 41''
58    MARCEL ONGENAE            26         FAEMA-FLANDRIA                          115h 16' 46''  + 01h 46' 41''
59    ANATOLE NOVAK             8          V.C. XII-SAINT RAPHAEL-GITANE-DUNLOP    115h 18' 29''  + 01h 48' 24''
60    ALPHONSE HELLEMANS        14         MERCIER-BP-HUTCHINSON                   115h 23' 14''  + 01h 53' 09''
61    SEAMUS ELLIOTT            3          V.C. XII-SAINT RAPHAEL-GITANE-DUNLOP    115h 24' 55''  + 01h 54' 50''
62    JOSEPH THOMIN             49         MARGNAT-PALOMA-MOTUL-DUNLOP             115h 26' 36''  + 01h 56' 31''
63    PIERRE EVERAERT           4          V.C. XII-SAINT RAPHAEL-GITANE-DUNLOP    115h 28' 42''  + 01h 58' 37''
64    GEORGES GROUSSARD         66         PELFORTH-SAUVAGE-LEJEUNE-WOLBER         115h 32' 13''  + 02h 02' 08''
65    LOUIS PROOST              127        SOLO-TERROT-ENGLEBERT                   115h 32' 43''  + 02h 02' 38''
66    RAYMOND IMPANIS           116        PEUGEOT-BP-ENGLEBERT                    115h 34' 55''  + 02h 04' 50''
67    EMILE DAEMS               113        PEUGEOT-BP-ENGLEBERT                    115h 36' 51''  + 02h 06' 46''
68    JEAN MILESI               16         MERCIER-BP-HUTCHINSON                   115h 40' 31''  + 02h 10' 26''
69    ROBERT LELANGUE           126        SOLO-TERROT-ENGLEBERT                   115h 44' 52''  + 02h 14' 47''
70    JEAN PAUL SIMON           117        PEUGEOT-BP-ENGLEBERT                    115h 48' 03''  + 02h 17' 58''
71    RAUL REY                  78         FERRYS                                  115h 51' 22''  + 02h 21' 17''
72    JEAN GRACZYK              46         MARGNAT-PALOMA-MOTUL-DUNLOP             115h 52' 36''  + 02h 22' 31''
73    ROGER DE BREUKER          122        SOLO-TERROT-ENGLEBERT                   115h 52' 47''  + 02h 22' 42''
74    AUGUSTE VERHAEGEN         20         MERCIER-BP-HUTCHINSON                   115h 56' 05''  + 02h 26' 00''
76    WILLY DERBOVEN            83         G.B.C-LIBERTAS                          116h 15' 15''  + 02h 45' 10''

Next rankings
