Tour de France 2015

Number of stages 21
Distance (km) 3 354
Average speed 39.567

All about year 2015

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank                Rider                 Rider No.                Team                    Times           Gap       B P
1    CHRIS FROOME                         31         TEAM SKY                          84h 46' 14''
2    NAIRO QUINTANA                       51         MOVISTAR TEAM                     84h 47' 26''  + 00h 01' 12''
3    ALEJANDRO VALVERDE                   59         MOVISTAR TEAM                     84h 51' 39''  + 00h 05' 25''
4    VINCENZO NIBALI                      1          ASTANA PRO TEAM                   84h 54' 50''  + 00h 08' 36''
5    ALBERTO CONTADOR                     41         TINKOFF-SAXO                      84h 56' 02''  + 00h 09' 48''
6    ROBERT GESINK                        131        TEAM LOTTO NL - JUMBO             84h 57' 01''  + 00h 10' 47''
7    BAUKE MOLLEMA                        141        TREK FACTORY RACING               85h 01' 28''  + 00h 15' 14''
8    MATHIAS FRANK                        181        IAM CYCLING                       85h 01' 53''  + 00h 15' 39''
9    ROMAIN BARDET                        12         AG2R LA MONDIALE                  85h 02' 14''  + 00h 16' 00''
10   PIERRE ROLLAND                       121        TEAM EUROPCAR                     85h 03' 44''  + 00h 17' 30''
11   ANDREW TALANSKY                      161        TEAM CANNONDALE-GARMIN            85h 08' 20''  + 00h 22' 06''
12   SAMUEL SANCHEZ                       66         BMC RACING TEAM                   85h 09' 04''  + 00h 22' 50''
13   SERGE PAUWELS                        218        MTN-QHUBEKA                       85h 17' 17''  + 00h 31' 03''
14   WARREN BARGUIL                       82         TEAM GIANT-ALPECIN                85h 17' 29''  + 00h 31' 15''
15   GERAINT THOMAS                       39         TEAM SKY                          85h 17' 53''  + 00h 31' 39''
16   THIBAUT PINOT                        21         FDJ                               85h 25' 06''  + 00h 38' 52''
17   ROMAN KREUZIGER                      44         TINKOFF-SAXO                      85h 49' 05''  + 01h 02' 51''
18   MIKAEL CHEREL                        14         AG2R LA MONDIALE                  85h 51' 14''  + 01h 05' 00''
19   JARLINSON PANTANO GOMEZ              188        IAM CYCLING                       85h 55' 22''  + 01h 09' 08''
20   JAN BAKELANTS                        13         AG2R LA MONDIALE                  86h 02' 50''  + 01h 16' 36''
21   STEVEN KRUIJSWIJK                    133        TEAM LOTTO NL - JUMBO             86h 07' 41''  + 01h 21' 27''
22   TANEL KANGERT                        6          ASTANA PRO TEAM                   86h 11' 12''  + 01h 24' 58''
23   JAKOB FUGLSANG                       3          ASTANA PRO TEAM                   86h 11' 37''  + 01h 25' 23''
24   JONATHAN CASTROVIEJO                 53         MOVISTAR TEAM                     86h 12' 19''  + 01h 26' 05''
25   JAN BARTA                            192        BORA-ARGON 18                     86h 13' 10''  + 01h 26' 56''
26   ALEXIS VUILLERMOZ                    19         AG2R LA MONDIALE                  86h 14' 43''  + 01h 28' 29''
27   BOB JUNGELS                          147        TREK FACTORY RACING               86h 19' 35''  + 01h 33' 21''
28   RAFAL MAJKA                          45         TINKOFF-SAXO                      86h 21' 20''  + 01h 35' 06''
29   JOAQUIN RODRIGUEZ OLIVER             91         TEAM KATUSHA                      86h 22' 21''  + 01h 36' 07''
30   RUBEN PLAZA MOLINA                   156        LAMPRE - MERIDA                   86h 24' 36''  + 01h 38' 22''
31   TONY GALLOPIN                        71         LOTTO-SOUDAL                      86h 26' 58''  + 01h 40' 44''
32   GORKA IZAGUIRRE INSAUSTI             57         MOVISTAR TEAM                     86h 27' 48''  + 01h 41' 34''
33   ROMAIN SICARD                        127        TEAM EUROPCAR                     86h 37' 46''  + 01h 51' 32''
34   CYRIL GAUTIER                        123        TEAM EUROPCAR                     86h 38' 05''  + 01h 51' 51''
35   NICOLAS ROCHE                        36         TEAM SKY                          86h 40' 22''  + 01h 54' 08''
36   MICHAEL ROGERS                       46         TINKOFF-SAXO                      86h 42' 27''  + 01h 56' 13''
37   LARS BAK YTTING                      72         LOTTO-SOUDAL                      86h 43' 11''  + 01h 56' 57''
38   SIMON GESCHKE                        86         TEAM GIANT-ALPECIN                86h 44' 28''  + 01h 58' 14''
39   DANIEL MARTIN                        167        TEAM CANNONDALE-GARMIN            86h 49' 51''  + 02h 03' 37''
40   RYDER HESJEDAL                       164        TEAM CANNONDALE-GARMIN            86h 50' 51''  + 02h 04' 37''
41   MICHELE SCARPONI                     7          ASTANA PRO TEAM                   86h 51' 17''  + 02h 05' 03''
42   RIGOBERTO URAN URAN                  118        ETIXX-QUICK STEP                  86h 54' 34''  + 02h 08' 20''
43   LUIS ANGEL MATE MARDONES             174        COFIDIS, SOLUTIONS CREDITS        86h 56' 26''  + 02h 10' 12''
44   WOUT POELS                           34         TEAM SKY                          86h 58' 58''  + 02h 12' 44''
45   THOMAS VOECKLER                      129        TEAM EUROPCAR                     87h 00' 22''  + 02h 14' 08''
46   PETER SAGAN                          47         TINKOFF-SAXO                      87h 01' 09''  + 02h 14' 55''
47   NELSON OLIVEIRA                      155        LAMPRE - MERIDA                   87h 01' 46''  + 02h 15' 32''
48   RICHIE PORTE                         35         TEAM SKY                          87h 02' 19''  + 02h 16' 05''
49   DANIEL TEKLEHAIMANOT                 219        MTN-QHUBEKA                       87h 02' 29''  + 02h 16' 15''
50   ADAM YATES                           108        ORICA GREENEDGE                   87h 02' 50''  + 02h 16' 36''
51   JACQUES WILLEM JANSE VAN RENSBURG    214        MTN-QHUBEKA                       87h 04' 30''  + 02h 18' 16''
52   PIERRICK FEDRIGO                     204        BRETAGNE - SECHE ENVIRONNEMENT    87h 09' 08''  + 02h 22' 54''
53   DAMIANO CARUSO                       62         BMC RACING TEAM                   87h 12' 46''  + 02h 26' 32''
54   SYLVAIN CHAVANEL                     183        IAM CYCLING                       87h 15' 42''  + 02h 29' 28''
55   BRAM TANKINK                         136        TEAM LOTTO NL - JUMBO             87h 16' 26''  + 02h 30' 12''
56   MICHAEL SCHÄR                        67         BMC RACING TEAM                   87h 17' 27''  + 02h 31' 13''
57   WINNER ANDREW ANACONA GOMEZ          52         MOVISTAR TEAM                     87h 17' 28''  + 02h 31' 14''
58   ALBERTO LOSADA ALGUACIL              97         TEAM KATUSHA                      87h 18' 44''  + 02h 32' 30''
59   STEF CLEMENT                         184        IAM CYCLING                       87h 19' 56''  + 02h 33' 42''
60   MARCEL WYSS                          189        IAM CYCLING                       87h 20' 52''  + 02h 34' 38''
61   JEAN-CHRISTOPHE PÉRAUD               11         AG2R LA MONDIALE                  87h 21' 24''  + 02h 35' 10''
62   HAIMAR ZUBELDIA AGIRRE               149        TREK FACTORY RACING               87h 23' 04''  + 02h 36' 50''
63   DANILO WYSS                          69         BMC RACING TEAM                   87h 23' 31''  + 02h 37' 17''
64   ANDREY GRIVKO                        4          ASTANA PRO TEAM                   87h 24' 20''  + 02h 38' 06''
65   JOSE HERRADA LOPEZ                   56         MOVISTAR TEAM                     87h 26' 20''  + 02h 40' 06''
66   DANIEL NAVARRO GARCIA                175        COFIDIS, SOLUTIONS CREDITS        87h 29' 48''  + 02h 43' 34''
67   THOMAS DE GENDT                      73         LOTTO-SOUDAL                      87h 34' 16''  + 02h 48' 02''
68   CHRISTOPHE RIBLON                    17         AG2R LA MONDIALE                  87h 34' 33''  + 02h 48' 19''
