TDF 1998

Number of stages 21
Distance (km) 3 875
Average speed 39.983

All about year 1998

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank           Rider          Rider No.                   Team                       Times           Gap       B P
52    SIMONE BORGHERESI       23         MERCATONE UNO - BIANCHI                 94h 29' 50''  + 01h 40' 04''
53    GEORGE HINCAPIE         187        US POSTAL SERVICE                       94h 30' 25''  + 01h 40' 39''
54    STUART O'GRADY          84         GAN                                     94h 35' 50''  + 01h 46' 04''
55    FILIPPO SIMEONI         158        ASICS - CGA                             94h 37' 05''  + 01h 47' 19''
56    JENS HEPPNER            6          TEAM DEUTSCHE TELEKOM                   94h 40' 29''  + 01h 50' 43''
57    FRANÇOIS SIMON          87         GAN                                     94h 42' 27''  + 01h 52' 41''
58    FRANKIE ANDREU          182        US POSTAL SERVICE                       94h 43' 30''  + 01h 53' 44''
59    THIERRY GOUVENOU        206        BIG.MAT - AUBER 93                      94h 45' 06''  + 01h 55' 20''
60    ROBERTO CONTI           24         MERCATONE UNO - BIANCHI                 94h 45' 19''  + 01h 55' 33''
61    LAURENT DESBIENS        132        COFIDIS . LE CREDIT PAR TELEPHONE       94h 46' 14''  + 01h 56' 28''
62    ERIK ZABEL              9          TEAM DEUTSCHE TELEKOM                   94h 46' 43''  + 01h 56' 57''
63    ROBBIE MC EWEN          57         RABOBANK                                94h 47' 16''  + 01h 57' 30''
64    PAUL VAN HYFTE          97         LOTTO - MOBISTAR                        94h 47' 48''  + 01h 58' 02''
65    JACKY DURAND            65         CASINO                                  94h 49' 28''  + 01h 59' 42''
66    CHRISTOPHE MENGIN       127        LA FRANCAISE DES JEUX                   94h 50' 21''  + 02h 00' 35''
67    FRÉDÉRIC GUESDON        123        LA FRANCAISE DES JEUX                   94h 54' 54''  + 02h 05' 08''
68    WILFRIED PEETERS        35         MAPEI - BRICOBI                         94h 56' 02''  + 02h 06' 16''
69    RIK VERBRUGGHE          98         LOTTO - MOBISTAR                        94h 56' 03''  + 02h 06' 17''
70    MAGNUS BACKSTEDT        82         GAN                                     94h 58' 16''  + 02h 08' 30''
71    EDDY MAZZOLENI          116        SAECO MACCHINE DA CAFFE - CANNONDALE    95h 00' 05''  + 02h 10' 19''
72    FABIANO FONTANELLI      25         MERCATONE UNO - BIANCHI                 95h 01' 23''  + 02h 11' 37''
73    STEFANO ZANINI          39         MAPEI - BRICOBI                         95h 01' 57''  + 02h 12' 11''
74    ALAIN TURICCHIA         159        ASICS - CGA                             95h 03' 58''  + 02h 14' 12''
