Tour de France 1987

Number of stages 25
Distance (km) 4 231
Average speed 36.645

All about year 1987

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank              Rider             Rider No.                   Team                      Times            Gap       B P
60    BERNARD VALLET                108        RMO-MERAL-MAVIC                        117h 32' 21''  + 02h 04' 39''
61    GUY NULENS                    156        PANASONIC-ISOSTAR                      117h 33' 28''  + 02h 05' 46''
62    KIM ANDERSEN                  2          TOSHIBA-LOOK-LA VIE CLAIRE             117h 33' 30''  + 02h 05' 48''
63    NESTOR MORA                   97         RYALCAO-MANZANA-POSTOBON               117h 33' 49''  + 02h 06' 07''
64    ACACIO DA SILVA               173        KAS-MIKO-MAVIC                         117h 41' 09''  + 02h 13' 27''
65    MARTIN EARLEY                 125        FAGOR                                  117h 42' 04''  + 02h 14' 22''
66    PHILIPPE BOUVATIER            43         B.H.                                   117h 43' 32''  + 02h 15' 50''
67    PASCAL POISSON                69         SYSTEME U                              117h 43' 47''  + 02h 16' 05''
68    JORGEN PEDERSEN               16         CARRERA JEANS                          117h 44' 27''  + 02h 16' 45''
69    ARGEMIRO BOHORQUEZ            133        CAFÉ DE COLOMBIA                       117h 46' 37''  + 02h 18' 55''
70    ADRIAN TIMMIS                 228        A.N.C-HALFORDS-LYCRA                   117h 47' 03''  + 02h 19' 21''
71    JOS HAEX                      25         HITACHI-MARC-ROSSIN-MAVIC              117h 48' 31''  + 02h 20' 49''
72    RÉGIS CLERE                   85         TEKA                                   117h 49' 03''  + 02h 21' 21''
73    YVON MADIOT                   66         SYSTEME U                              117h 49' 39''  + 02h 21' 57''
74    STEVE BAUER                   3          TOSHIBA-LOOK-LA VIE CLAIRE             117h 52' 23''  + 02h 24' 41''
75    FRANÇOIS LEMARCHAND           128        FAGOR                                  117h 54' 39''  + 02h 26' 57''
76    JEAN-PHILIPPE VANDENBRANDE    28         HITACHI-MARC-ROSSIN-MAVIC              117h 56' 40''  + 02h 28' 58''
77    JEAN-FRNÇOIS RAULT            107        RMO-MERAL-MAVIC                        117h 57' 48''  + 02h 30' 06''
78    JÉSUS RODRIGUEZ-MAGRO         89         TEKA                                   117h 57' 50''  + 02h 30' 08''
79    MARC GOMEZ                    74         REYNOLDS-SEUR-SADA                     117h 58' 42''  + 02h 31' 00''
80    GILBERT DUCLOS-LASSALLE       34         Z-PEUGEOT                              117h 59' 03''  + 02h 31' 21''
81    ALESSANDRO POZZI              167        DEL TONGO-COLNAGO                      117h 59' 30''  + 02h 31' 48''
82    RON KIEFEL                    195        SEVEN ELEVEN-HOONVED                   118h 01' 16''  + 02h 33' 34''
83    JULIAN GOROSPE                75         REYNOLDS-SEUR-SADA                     118h 03' 53''  + 02h 36' 11''
84    TEUN VAN VLIET                159        PANASONIC-ISOSTAR                      118h 07' 16''  + 02h 39' 34''
85    ERICH MAECHLER                15         CARRERA JEANS                          118h 07' 43''  + 02h 40' 01''
86    ALFRED ACHERMANN              172        KAS-MIKO-MAVIC                         118h 09' 18''  + 02h 41' 36''
87    THIERRY MARIE                 67         SYSTEME U                              118h 09' 43''  + 02h 42' 01''
88    JEFF PIERCE                   198        SEVEN ELEVEN-HOONVED                   118h 10' 04''  + 02h 42' 22''
89    GERRIE KNETEMANN              52         PDM                                    118h 10' 49''  + 02h 43' 07''
90    RAIMUND DIETZEN               81         TEKA                                   118h 11' 01''  + 02h 43' 19''
91    THÉO DE ROOY                  153        PANASONIC-ISOSTAR                      118h 11' 25''  + 02h 43' 43''
92    FRÉDERIC BRUN                 32         Z-PEUGEOT                              118h 12' 14''  + 02h 44' 32''
93    STEFAN MORJEAN                27         HITACHI-MARC-ROSSIN-MAVIC              118h 15' 37''  + 02h 47' 55''
94    ANGEL OCANA                   79         REYNOLDS-SEUR-SADA                     118h 16' 21''  + 02h 48' 39''
95    HENK LUBBERDING               154        PANASONIC-ISOSTAR                      118h 18' 50''  + 02h 51' 08''
97    MIGUEL INDURAIN               78         REYNOLDS-SEUR-SADA                     118h 20' 53''  + 02h 53' 11''
98    JONATHAN BOYER                193        SEVEN ELEVEN-HOONVED                   118h 21' 29''  + 02h 53' 47''
99    JÖRG MULLER                   54         PDM                                    118h 21' 46''  + 02h 54' 04''
100   CELESTINO PRIETO              178        KAS-MIKO-MAVIC                         118h 22' 44''  + 02h 55' 02''
101   CHRISTOBAL PEREZ              138        CAFÉ DE COLOMBIA                       118h 26' 02''  + 02h 58' 20''
102   GIANCARLO PERINI              17         CARRERA JEANS                          118h 26' 20''  + 02h 58' 38''
103   KVETOSLAV PALOV               225        A.N.C-HALFORDS-LYCRA                   118h 26' 46''  + 02h 59' 04''
104   LUC ROOSEN                    146        SUPERCONFEX-KWANTUM-YOKO-COLNAGO       118h 27' 12''  + 02h 59' 30''
105   ADRI VAN DER POEL             59         PDM                                    118h 27' 26''  + 02h 59' 44''
106   PETER HILSE                   88         TEKA                                   118h 29' 08''  + 03h 01' 26''
107   ROLAND LE CLERC               115        CAJA RURAL-ORBEA                       118h 30' 46''  + 03h 03' 04''
108   JÉSUS HERNANDEZ-UBEDA         77         REYNOLDS-SEUR-SADA                     118h 31' 51''  + 03h 04' 09''
109   MASSIMO GHIROTTO              14         CARRERA JEANS                          118h 32' 39''  + 03h 04' 57''
110   BRIAN SÖRENSEN                207        ROLAND-SKALA-CHIORI-COLNAGO            118h 35' 55''  + 03h 08' 13''
111   DAVIDE CASSANI                13         CARRERA JEANS                          118h 38' 15''  + 03h 10' 33''
112   GUIDO WINTERBERG              9          TOSHIBA-LOOK-LA VIE CLAIRE             118h 40' 08''  + 03h 12' 26''
113   JOSÉ-LUIS NAVARRO             47         B.H.                                   118h 40' 20''  + 03h 12' 38''
114   PASCAL JULES                  114        CAJA RURAL-ORBEA                       118h 40' 29''  + 03h 12' 47''
115   MICHEL DERNIES                183        JOKER-EMERXIL-EDDY MERCKX              118h 40' 35''  + 03h 12' 53''
116   RUDY PATRY                    205        ROLAND-SKALA-CHIORI-COLNAGO            118h 42' 27''  + 03h 14' 45''
117   FRANCISCO-JOSÉ ANTEQUERA      42         B.H.                                   118h 43' 55''  + 03h 16' 13''
118   MANUEL-JORGE DOMINGUEZ        45         B.H.                                   118h 44' 20''  + 03h 16' 38''
119   GUIDO BONTEMPI                12         CARRERA JEANS                          118h 44' 23''  + 03h 16' 41''
