Tour de France 1990

Number of stages 21
Distance (km) 3 504
Average speed 38.621

All about year 1990

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider             Rider No.            Team               Times           Gap        B P
95   MASSIMO GHIROTTO             174        CARRERA JEANS-VAGABOND   92h 30' 17''  + 01h 46' 57''
96   MARINO ALONSO                22         BANESTO                  92h 30' 39''  + 01h 47' 19''
97   WIM VAN EYNDE                158        LOTTO-SUPERCLUB          92h 31' 08''  + 01h 47' 48''
98   JUAN MARTINEZ-OLIVER         27         BANESTO                  92h 31' 54''  + 01h 48' 34''
99   GIANCARLO PERINI             178        CARRERA JEANS-VAGABOND   92h 32' 37''  + 01h 49' 17''
100  ERIC VAN LANCKER             68         PANASONIC-SPORTLIFE      92h 33' 31''  + 01h 50' 11''
101  EDWIG VAN HOOYDONCK          181        BUCKLER                  92h 36' 25''  + 01h 53' 05''
102  BRUNO CENGHIALTA             194        ARIOSTEA                 92h 37' 06''  + 01h 53' 46''
103  LAURENT PILLON               149        HISTOR-SIGMA             92h 37' 18''  + 01h 53' 58''
104  FRANÇOIS LEMARCHAND          6          Z-PEUGEOT                92h 37' 32''  + 01h 54' 12''
105  JAN SCHUR                    78         CHATEAU D'AX             92h 37' 33''  + 01h 54' 13''
106  PAUL HAGHEDOOREN             144        HISTOR-SIGMA             92h 37' 49''  + 01h 54' 29''
107  THIERRY LAURENT              57         RMO- MAVIC-LIBERIA       92h 39' 03''  + 01h 55' 43''
108  ACACIO DA SILVA              173        CARRERA JEANS-VAGABOND   92h 39' 45''  + 01h 56' 25''
109  VALERIO PIVA                 198        ARIOSTEA                 92h 40' 51''  + 01h 57' 31''
110  CARLO BOMANS                 103        WEINMANN-S.M.M. USTER    92h 41' 44''  + 01h 58' 24''
111  ADRI VAN DER POEL            101        WEINMANN-S.M.M. USTER    92h 41' 51''  + 01h 58' 31''
112  THOMAS WEGMULLER             109        WEINMANN-S.M.M. USTER    92h 42' 23''  + 01h 59' 03''
113  HENRI MANDERS                117        HELVETIA-LA SUISSE       92h 42' 35''  + 01h 59' 15''
114  JAN GOESSENS                 106        WEINMANN-S.M.M. USTER    92h 44' 39''  + 02h 01' 19''
115  TWAN POELS                   185        BUCKLER                  92h 45' 48''  + 02h 02' 28''
116  ANDY BISHOP                  84         SEVEN ELEVEN-HOONVED     92h 46' 30''  + 02h 03' 10''
117  GERRIT SOLLEVELD             186        BUCKLER                  92h 48' 10''  + 02h 04' 50''
118  GUISEPPE CALCATERRA          72         CHATEAU D'AX             92h 48' 11''  + 02h 04' 51''
119  SEAN YATES                   89         SEVEN ELEVEN-HOONVED     92h 49' 13''  + 02h 05' 53''
120  WILFRIED PEETERS             148        HISTOR-SIGMA             92h 49' 03''  + 02h 05' 43''
121  THIERRY MARIE                15         CASTORAMA-RALEIGH        92h 50' 18''  + 02h 06' 58''
122  GUIDO BONTEMPI               172        CARRERA JEANS-VAGABOND   92h 51' 25''  + 02h 08' 05''
123  PATRICK TOLHOEK              187        BUCKLER                  92h 51' 30''  + 02h 08' 10''
124  PABLO MORENO                 95         SEUR                     92h 52' 18''  + 02h 08' 58''
125  JOS VAN AERT                 39         PDM                      92h 52' 51''  + 02h 09' 31''
126  ALEXANDRE TROBINE            217        ALFA LUM                 92h 54' 21''  + 02h 11' 01''
127  JELLE NIJDAM                 184        BUCKLER                  92h 54' 32''  + 02h 11' 12''
128  MARTIN SCHALKERS             166        TVM                      92h 55' 52''  + 02h 12' 32''
129  PATRICK VERSCHUEREN          159        LOTTO-SUPERCLUB          92h 56' 26''  + 02h 13' 06''
130  ERICH MAECHLER               177        CARRERA JEANS-VAGABOND   92h 57' 18''  + 02h 13' 58''
131  MAURO-ANTONIO SANTAROMITA    77         CHATEAU D'AX             92h 58' 05''  + 02h 14' 45''
132  BOB ROLL                     88         SEVEN ELEVEN-HOONVED     92h 58' 10''  + 02h 14' 50''
133  VINCENT BARTEAU              12         CASTORAMA-RALEIGH        93h 01' 01''  + 02h 17' 41''
134  ADRIANO BAFFI                192        ARIOSTEA                 93h 01' 59''  + 02h 18' 39''
135  GIUSEPPE SARONNI             209        KELME                    93h 03' 42''  + 02h 20' 22''
136  ANDRÉAS KAPPES               124        TOSHIBA                  93h 04' 15''  + 02h 20' 55''
137  PETER DECLERCQ               153        LOTTO-SUPERCLUB          93h 04' 46''  + 02h 21' 26''
138  ANTONIO-MIGUEL DIAZ          202        KELME                    93h 05' 57''  + 02h 22' 37''
139  JEAN-CLAUDE LECLERCQ         115        HELVETIA-LA SUISSE       93h 06' 56''  + 02h 23' 36''
140  GERT JAKOBS                  36         PDM                      93h 07' 24''  + 02h 24' 04''
141  OLAF LUDWIG                  63         PANASONIC-SPORTLIFE      93h 09' 53''  + 02h 26' 33''
142  NORMAN AILVIS                82         SEVEN ELEVEN-HOONVED     93h 10' 01''  + 02h 26' 41''
143  JAN SIEMONS                  168        TVM                      93h 10' 50''  + 02h 27' 30''
144  MICHEL VERMOTE               59         RMO- MAVIC-LIBERIA       93h 15' 32''  + 02h 32' 12''
145  DJAMOLIDINE ABDOUJAPAROV     212        ALFA LUM                 93h 16' 08''  + 02h 32' 48''
146  JEAN-PAUL VAN POPPEL         69         PANASONIC-SPORTLIFE      93h 18' 15''  + 02h 34' 55''
147  GIOVANNI FIDANZA             73         CHATEAU D'AX             93h 18' 31''  + 02h 35' 11''
148  VASSILI JDANOV               215        ALFA LUM                 93h 26' 13''  + 02h 42' 53''
149  CHRISTIAN CHAUBET            123        TOSHIBA                  93h 27' 00''  + 02h 43' 40''
150  HENDRIK REDANT               156        LOTTO-SUPERCLUB          93h 31' 13''  + 02h 47' 53''
151  NIKOLAI GOLOVATENKO          213        ALFA LUM                 93h 32' 28''  + 02h 49' 08''
152  JÉSUS ROSADO                 208        KELME                    93h 39' 31''  + 02h 56' 11''
153  DAVIS PHINNEY                87         SEVEN ELEVEN-HOONVED     93h 42' 49''  + 02h 59' 29''
154  MAXIMILIAN SCIANDRI          179        CARRERA JEANS-VAGABOND   93h 43' 31''  + 03h 00' 11''
155  ANTONIO ESPEJO               203        KELME                    93h 56' 47''  + 03h 13' 27''
156  RODOLFO MASSI                197        ARIOSTEA                 93h 59' 46''  + 03h 16' 26''

Next rankings
