Tour de France 1992

Number of stages 21
Distance (km) 3 983
Average speed 39.504

All about year 1992

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider             Rider No.           Team               Times            Gap        B P
66   MARC SERGEANT                 107        PANASONIC-SPORTLIFE     102h 59' 25''  + 02h 09' 55''
67   YVON MADIOT                   158        TELECOM                 102h 59' 44''  + 02h 10' 14''
68   CARLOS JARAMILLO              114        RYALCAO-POSTOBON        103h 00' 39''  + 02h 11' 09''
69   JÉSUS MONTOYA                 124        AMAYA SEGUROS           103h 00' 47''  + 02h 11' 17''
70   MARC MADIOT                   157        TELECOM                 103h 02' 03''  + 02h 12' 33''
71   ARTURAS KASPUTIS              115        RYALCAO-POSTOBON        103h 02' 03''  + 02h 12' 33''
72   PELLO RUIZ-CABESTANY          17         GATORADE-CHATEAU D'AX   103h 02' 05''  + 02h 12' 35''
73   JOHAN MUSEEUW                 171        LOTTO-BELGACOM          103h 03' 36''  + 02h 14' 06''
74   NEIL STEPHENS                 87         ONCE                    103h 05' 12''  + 02h 15' 42''
75   GUIDO BONTEMPI                23         CARRERA JEANS-TASSONI   103h 05' 38''  + 02h 16' 08''
76   BRIAN HOLM                    203        TULIP-COMPUTERS         103h 05' 48''  + 02h 16' 18''
77   GUY NULENS                    106        PANASONIC-SPORTLIFE     103h 07' 36''  + 02h 18' 06''
78   MARIO KUMMER                  216        PDM-CONCORDE            103h 09' 30''  + 02h 20' 00''
79   THIERRY LAURENT               33         RMO-MAVIC               103h 09' 49''  + 02h 20' 19''
80   MARTIN EARLEY                 215        PDM-CONCORDE            103h 10' 55''  + 02h 21' 25''
81   PHIL ANDERSON                 62         MOTOROLA                103h 13' 00''  + 02h 23' 30''
82   RAMON GONZALEZ-ARRIETA        185        FESTINA                 103h 13' 48''  + 02h 24' 18''
83   SEAN YATES                    69         MOTOROLA                103h 14' 14''  + 02h 24' 44''
84   ROBERTO CONTI                 144        ARIOSTEA                103h 16' 28''  + 02h 26' 58''
85   CARLOS HERNANDEZ              186        FESTINA                 103h 18' 36''  + 02h 29' 06''
86   DIRK DE WOLF                  13         GATORADE-CHATEAU D'AX   103h 19' 47''  + 02h 30' 17''
87   JOS VAN AERT                  218        PDM-CONCORDE            103h 22' 08''  + 02h 32' 38''
88   LAURENT PILLON                196        GB-MG-MAGLIFICIO        103h 22' 20''  + 02h 32' 50''
89   PER PEDERSEN                  127        AMAYA SEGUROS           103h 24' 05''  + 02h 34' 35''
90   FABIO ROSCIOLI                29         CARRERA JEANS-TASSONI   103h 24' 25''  + 02h 34' 55''
91   FRANS MAASSEN                 135        BUCKLER                 103h 24' 57''  + 02h 35' 27''
92   MAARTEN DEN BAKKER            214        PDM-CONCORDE            103h 25' 25''  + 02h 35' 55''
93   STEPHEN HODGE                 83         ONCE                    103h 26' 25''  + 02h 36' 55''
94   JÖRG MULLER                   79         HELVETIA-COMMODORE      103h 27' 37''  + 02h 38' 07''
95   JEAN-CLAUDE COLOTTI           54         Z                       103h 35' 55''  + 02h 46' 25''
96   OLAF LUDWIG                   104        PANASONIC-SPORTLIFE     103h 36' 47''  + 02h 47' 17''
97   HERMINIO DIAZ ZABALA          81         ONCE                    103h 37' 14''  + 02h 47' 44''
98   MARINO ALONSO                 2          BANESTO                 103h 39' 02''  + 02h 49' 32''
99   SOREN LILHOLT                 205        TULIP-COMPUTERS         103h 40' 03''  + 02h 50' 33''
100  SAMMIE MOREELS                173        LOTTO-BELGACOM          103h 41' 46''  + 02h 52' 16''
101  MIGUEL MARTINEZ               86         ONCE                    103h 41' 52''  + 02h 52' 22''
102  JOHNNY WELTZ                  88         ONCE                    103h 43' 27''  + 02h 53' 57''
103  GIOVANNI FIDANZA              14         GATORADE-CHATEAU D'AX   103h 48' 23''  + 02h 58' 53''
104  FRANÇOIS LEMARCHAND           58         Z                       103h 48' 58''  + 02h 59' 28''
105  CHRISTOPHE MANIN              35         RMO-MAVIC               103h 49' 30''  + 03h 00' 00''
106  MICHEL DERNIES                66         MOTOROLA                103h 53' 13''  + 03h 03' 43''
107  MARIO SCIREA                  18         GATORADE-CHATEAU D'AX   103h 53' 57''  + 03h 04' 27''
108  AITOR GARMENDIA               6          BANESTO                 103h 56' 06''  + 03h 06' 36''
109  FRANCISCO-JOSÉ ANTEQUERA      122        AMAYA SEGUROS           103h 58' 17''  + 03h 08' 47''
110  FRANKIE ANDREU                63         MOTOROLA                104h 01' 35''  + 03h 12' 05''
111  HERMAN FRISON                 202        TULIP-COMPUTERS         104h 02' 07''  + 03h 12' 37''
112  ANDREA CHIURATO               12         GATORADE-CHATEAU D'AX   104h 02' 28''  + 03h 12' 58''
113  HENK NIJDAM                   136        BUCKLER                 104h 03' 10''  + 03h 13' 40''
114  THIERRY MARIE                 47         CASTORAMA               104h 03' 48''  + 03h 14' 18''
115  FRANCO BALLERINI              192        GB-MG-MAGLIFICIO        104h 03' 56''  + 03h 14' 26''
116  XAVIER ALDANONDO LUZURIAQA    82         ONCE                    104h 06' 26''  + 03h 16' 56''
117  MARIO CHIESA                  24         CARRERA JEANS-TASSONI   104h 07' 13''  + 03h 17' 43''
118  MARTIN KOKKELKOREN            134        BUCKLER                 104h 10' 57''  + 03h 21' 27''
119  JACKY DURAND                  45         CASTORAMA               104h 13' 14''  + 03h 23' 44''
120  ETIENNE DE WILDE              153        TELECOM                 104h 16' 10''  + 03h 26' 40''
121  PETER ROES                    176        LOTTO-BELGACOM          104h 17' 46''  + 03h 28' 16''
122  HENDRIK REDANT                175        LOTTO-BELGACOM          104h 22' 21''  + 03h 32' 51''
123  PETER DECLERCQ                172        LOTTO-BELGACOM          104h 23' 43''  + 03h 34' 13''
124  RIK VAN SLIJCKE               177        LOTTO-BELGACOM          104h 27' 27''  + 03h 37' 57''
125  JULIO-CESAR ORTEGON           117        RYALCAO-POSTOBON        104h 28' 58''  + 03h 39' 28''
126  ALAN PEIPER                   206        TULIP-COMPUTERS         104h 29' 51''  + 03h 40' 21''
127  JEAN-PAUL VAN POPPEL          219        PDM-CONCORDE            104h 32' 53''  + 03h 43' 23''
128  ANDRÉAS KAPPES                156        TELECOM                 104h 37' 15''  + 03h 47' 45''
129  HENRI MANDERS                 78         HELVETIA-COMMODORE      104h 47' 23''  + 03h 57' 53''
130  FERNANDO QUEVEDO              128        AMAYA SEGUROS           105h 01' 41''  + 04h 12' 11''

Next rankings
