Tour de France 1984

Number of stages 23
Distance (km) 4 021
Average speed 35.882

All about year 1984

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank              Rider              Rider No.                  Team                      Times            Gap       B P
42   JEAN-PHILIPPE VANDENBRANDE      97         SPLENDOR-MONDIAL MOQUETTE             113h 27' 53''  + 01h 24' 13''
43   BEAT BREU                       111        CILO-AUFINA                           113h 29' 01''  + 01h 25' 21''
44   PIERRE LE BIGAULT               109        COOP-HOONVED-ROSSIN                   113h 30' 31''  + 01h 26' 51''
45   FRANCISCO RODRIGUEZ             95         SPLENDOR-MONDIAL MOQUETTE             113h 32' 15''  + 01h 28' 35''
46   YVON MADIOT                     7          RENAULT-ELF                           113h 33' 19''  + 01h 29' 39''
47   ALAIN VIGNERON                  140        LA VIE CLAIRE-TERRAILLON              113h 33' 29''  + 01h 29' 49''
48   MARC SERGEANT                   158        BOULE D'OR-EUROP DECOR-EDDY MERCKX    113h 34' 53''  + 01h 31' 13''
49   CHRISTIAN JOURDAN               134        LA VIE CLAIRE-TERRAILLON              113h 36' 55''  + 01h 33' 15''
50   KIM ANDERSEN                    101        COOP-HOONVED-ROSSIN                   113h 37' 03''  + 01h 33' 23''
51   GONZALO AJA                     12         REYNOLDS-PAPEL ALUMINIO               113h 37' 33''  + 01h 33' 53''
52   JULIAN GOROSPE                  14         REYNOLDS-PAPEL ALUMINIO               113h 41' 03''  + 01h 37' 23''
53   CARLOS HERNANDEZ                16         REYNOLDS-PAPEL ALUMINIO               113h 41' 10''  + 01h 37' 30''
54   DOMINIQUE ARNAUD                132        LA VIE CLAIRE-TERRAILLON              113h 41' 30''  + 01h 37' 50''
55   PIERRE-HENRI MENTHEOUR          8          RENAULT-ELF                           113h 42' 31''  + 01h 38' 51''
56   HENNIE KUIPER                   123        KWANTUM HALLEN-DECOSOL                113h 43' 10''  + 01h 39' 30''
58   URS ZIMMERMANN                  120        CILO-AUFINA                           113h 44' 19''  + 01h 40' 39''
59   THÉO DE ROOY                    23         PANASONIC-RALEIGH                     113h 46' 00''  + 01h 42' 20''
60   HERMAN LOAIZA                   148        VARTA                                 113h 47' 35''  + 01h 43' 55''
61   ANTONIO FERRETTI                114        CILO-AUFINA                           113h 51' 04''  + 01h 47' 24''
62   MAURICE LE GUILLOUX             135        LA VIE CLAIRE-TERRAILLON              113h 52' 18''  + 01h 48' 38''
63   GUY GALLOPIN                    56         SKIL-REYDEL-SEM                       113h 52' 47''  + 01h 49' 07''
64   RAIMUND DIETZEN                 86         TEKA                                  113h 53' 11''  + 01h 49' 31''
65   ALFONSO LOPEZ                   149        VARTA                                 113h 53' 39''  + 01h 49' 59''
66   ANTONIO COLL PONTANILLA         83         TEKA                                  113h 55' 44''  + 01h 52' 04''
67   ANDRÉ CHAPPUIS                  43         SYSTEME U                             113h 55' 44''  + 01h 52' 04''
68   RENÉ MARTENS                    89         TEKA                                  113h 56' 05''  + 01h 52' 25''
69   YVAN FREBERT                    45         SYSTEME U                             113h 57' 38''  + 01h 53' 58''
70   GLAUCO SANTONI                  169        CARRERA-INOXPRAN                      113h 58' 08''  + 01h 54' 28''
71   JÉSUS HERNANDEZ-UBEDA           17         REYNOLDS-PAPEL ALUMINIO               113h 58' 57''  + 01h 55' 17''
72   LUCIEN DIDIER                   3          RENAULT-ELF                           114h 00' 19''  + 01h 56' 39''
73   BERNARD VALLET                  139        LA VIE CLAIRE-TERRAILLON              114h 02' 03''  + 01h 58' 23''
74   FONS DE WOLF                    151        BOULE D'OR-EUROP DECOR-EDDY MERCKX    114h 02' 18''  + 01h 58' 38''
75   LÉO VAN VLIET                   129        KWANTUM HALLEN-DECOSOL                114h 02' 32''  + 01h 58' 52''
76   BRUNO LEALI                     165        CARRERA-INOXPRAN                      114h 07' 20''  + 02h 03' 40''
77   MARCO ANTONIO CHAGAS MARTINS    71         SPORTING LISBONNE-RAPOSEIRA           114h 11' 53''  + 02h 08' 13''
79   PATRICK CLERC                   55         SKIL-REYDEL-SEM                       114h 15' 09''  + 02h 11' 29''
80   PASCAL POISSON                  9          RENAULT-ELF                           114h 15' 17''  + 02h 11' 37''
81   GIANCARLO PERINI                168        CARRERA-INOXPRAN                      114h 15' 48''  + 02h 12' 08''
82   JEAN-FRNÇOIS RAULT              137        LA VIE CLAIRE-TERRAILLON              114h 15' 57''  + 02h 12' 17''
83   ALAIN DITHURBIDE                74         SPORTING LISBONNE-RAPOSEIRA           114h 16' 42''  + 02h 13' 02''
84   ERICH MAECHLER                  117        CILO-AUFINA                           114h 19' 03''  + 02h 15' 23''
85   PATRICK BONNET                  42         SYSTEME U                             114h 20' 58''  + 02h 17' 18''
86   BERNARD BOURREAU                63         PEUGEOT-SHELL-MICHELIN                114h 24' 09''  + 02h 20' 29''
87   ANASTASIO GRECIANO              15         REYNOLDS-PAPEL ALUMINIO               114h 24' 31''  + 02h 20' 51''
88   HENDRIK DEVOS                   92         SPLENDOR-MONDIAL MOQUETTE             114h 27' 35''  + 02h 23' 55''
89   FRÉDERIC BRUN                   64         PEUGEOT-SHELL-MICHELIN                114h 28' 48''  + 02h 25' 08''
90   ERIC VANDERAERDEN               29         PANASONIC-RALEIGH                     114h 29' 54''  + 02h 26' 14''
91   SEAN YATES                      70         PEUGEOT-SHELL-MICHELIN                114h 30' 21''  + 02h 26' 41''
92   LUDO DE KEULENAER               22         PANASONIC-RALEIGH                     114h 32' 29''  + 02h 28' 49''
93   CZESLAW LANG                    164        CARRERA-INOXPRAN                      114h 33' 01''  + 02h 29' 21''
94   MANUEL ZEFERINO                 80         SPORTING LISBONNE-RAPOSEIRA           114h 33' 06''  + 02h 29' 26''
95   ALAN PEIPER                     69         PEUGEOT-SHELL-MICHELIN                114h 35' 08''  + 02h 31' 28''
96   PATRICK MOERLEN                 59         SKIL-REYDEL-SEM                       114h 35' 13''  + 02h 31' 33''
97   JEAN-LOUIS GAUTHIER             107        COOP-HOONVED-ROSSIN                   114h 37' 50''  + 02h 34' 10''
98   BERNARDO ALFONSEL               82         TEKA                                  114h 39' 05''  + 02h 35' 25''
99   ALAIN BONDUE                    33         LA REDOUTE                            114h 40' 25''  + 02h 36' 45''
100  FRANK HOSTE                     155        BOULE D'OR-EUROP DECOR-EDDY MERCKX    114h 41' 48''  + 02h 38' 08''
101  JACQUES HANEGRAAF               122        KWANTUM HALLEN-DECOSOL                114h 47' 44''  + 02h 44' 04''
102  JACQUES BOSSIS                  62         PEUGEOT-SHELL-MICHELIN                114h 48' 06''  + 02h 44' 26''
103  GERRIE KNETEMANN                156        BOULE D'OR-EUROP DECOR-EDDY MERCKX    114h 51' 38''  + 02h 47' 58''
104  MARC DIERICKX                   152        BOULE D'OR-EUROP DECOR-EDDY MERCKX    114h 53' 00''  + 02h 49' 20''
105  FRANCIS CASTAING                65         PEUGEOT-SHELL-MICHELIN                114h 55' 39''  + 02h 51' 59''
106  FERDI VAN DEN HAUTE             40         LA REDOUTE                            114h 56' 28''  + 02h 52' 48''
107  HENRI MANDERS                   124        KWANTUM HALLEN-DECOSOL                115h 02' 41''  + 02h 59' 01''
108  AD WIJNANDS                     130        KWANTUM HALLEN-DECOSOL                115h 04' 44''  + 03h 01' 04''
109  LUC GOVAERTS                    153        BOULE D'OR-EUROP DECOR-EDDY MERCKX    115h 05' 19''  + 03h 01' 39''
110  CHRISTIAN LEVAVASSEUR           35         LA REDOUTE                            115h 06' 44''  + 03h 03' 04''
111  RÉGIS SIMON                     38         LA REDOUTE                            115h 08' 05''  + 03h 04' 25''
112  HUBERT LINARD                   67         PEUGEOT-SHELL-MICHELIN                115h 10' 04''  + 03h 06' 24''
113  VALERIO LUALDI                  167        CARRERA-INOXPRAN                      115h 10' 30''  + 03h 06' 50''
114  CLAUDE MOREAU                   110        COOP-HOONVED-ROSSIN                   115h 11' 14''  + 03h 07' 34''
115  PATRICE THEVENARD               78         SPORTING LISBONNE-RAPOSEIRA           115h 12' 56''  + 03h 09' 16''
116  PAUL SHERWEN                    36         LA REDOUTE                            115h 28' 28''  + 03h 24' 48''
117  MICHEL CHARREARD                72         SPORTING LISBONNE-RAPOSEIRA           115h 28' 58''  + 03h 25' 18''
118  EDUARDO MANUEL CORREIA          73         SPORTING LISBONNE-RAPOSEIRA           115h 29' 17''  + 03h 25' 37''
119  JOSÉ XAVIER                     79         SPORTING LISBONNE-RAPOSEIRA           115h 31' 06''  + 03h 27' 26''
120  MODESTO URRUTIBEASCOA           90         TEKA                                  115h 33' 51''  + 03h 30' 11''
121  DOMINIQUE GAIGNE                4          RENAULT-ELF                           115h 39' 19''  + 03h 35' 39''
122  CARLOS MARTA                    77         SPORTING LISBONNE-RAPOSEIRA           115h 43' 45''  + 03h 40' 05''
123  MARCEL RUSSENBERGER             118        CILO-AUFINA                           116h 04' 10''  + 04h 00' 30''
124  GILBERT GLAUS                   116        CILO-AUFINA                           116h 04' 57''  + 04h 01' 17''

Next rankings
