Stages,Parcours,Winner of stage,Year,Start,Finish,Rider,Team
16.1,Briançon > Bonneval-sur-Arc,PIERRE JAMINET  (FRANCE),1939,Briançon,Bonneval-sur-Arc,PIERRE JAMINET,FRANCE
16.2,Bonneval-sur-Arc > Bourg Saint Maurice,SYLVÈRE MAES  (BELGIQUE),1939,Bonneval-sur-Arc,Bourg Saint Maurice,SYLVÈRE MAES,BELGIQUE
16.3,Bourg Saint Maurice > Annecy,ANTOON VAN SCHENDEL  (PAYS-BAS),1939,Bourg Saint Maurice,Annecy,ANTOON VAN SCHENDEL,PAYS-BAS
17.1,Annecy > Dole,FRANÇOIS NEUENS  (LUXEMBOURG),1939,Annecy,Dole,FRANÇOIS NEUENS,LUXEMBOURG
17.2,Dole > Dijon,MAURICE ARCHAMBAUD  (NORD EST-ILE DE FRANCE),1939,Dole,Dijon,MAURICE ARCHAMBAUD,NORD EST-ILE DE FRANCE
18.1,Dijon > Troyes,RENÉ LE GREVES  (OUEST),1939,Dijon,Troyes,RENÉ LE GREVES,OUEST
18.2,Troyes > Paris,MARCEL KINT  (BELGIQUE),1939,Troyes,Paris,MARCEL KINT,BELGIQUE
1.0,Paris > Lille,FERDI KUBLER  (SUISSE/LUXEMBOURG),1947,Paris,Lille,FERDI KUBLER,SUISSE/LUXEMBOURG
2.0,Lille > Bruxelles,RENÉ VIETTO  (FRANCE),1947,Lille,Bruxelles,RENÉ VIETTO,FRANCE
3.0,Bruxelles > Luxembourg,ALDO RONCONI  (ITALIE),1947,Bruxelles,Luxembourg,ALDO RONCONI,ITALIE
4.0,Luxembourg > Strasbourg,JEAN ROBIC  (OUEST),1947,Luxembourg,Strasbourg,JEAN ROBIC,OUEST
5.0,Strasbourg > Besançon,FERDI KUBLER  (SUISSE/LUXEMBOURG),1947,Strasbourg,Besançon,FERDI KUBLER,SUISSE/LUXEMBOURG
6.0,Besançon > Lyon,LUCIEN TEISSEIRE  (FRANCE),1947,Besançon,Lyon,LUCIEN TEISSEIRE,FRANCE
7.0,Lyon > Grenoble,JEAN ROBIC  (OUEST),1947,Lyon,Grenoble,JEAN ROBIC,OUEST
8.0,Grenoble > Briançon,FERMO CAMELLINI  (PAYS-BAS/ETRANGERS DE FRANCE),1947,Grenoble,Briançon,FERMO CAMELLINI,PAYS-BAS/ETRANGERS DE FRANCE
9.0,Briançon > Digne-les-Bains,RENÉ VIETTO  (FRANCE),1947,Briançon,Digne-les-Bains,RENÉ VIETTO,FRANCE
10.0,Digne-les-Bains > Nice,FERMO CAMELLINI  (PAYS-BAS/ETRANGERS DE FRANCE),1947,Digne-les-Bains,Nice,FERMO CAMELLINI,PAYS-BAS/ETRANGERS DE FRANCE
11.0,Nice > Marseille,EDOUARD FACHLEITNER  (FRANCE),1947,Nice,Marseille,EDOUARD FACHLEITNER,FRANCE
12.0,Marseille > Montpellier,HENRI MASSAL  (FRANCE),1947,Marseille,Montpellier,HENRI MASSAL,FRANCE
13.0,Montpellier > Carcassonne,LUCIEN TEISSEIRE  (FRANCE),1947,Montpellier,Carcassonne,LUCIEN TEISSEIRE,FRANCE
14.0,Carcassonne > Luchon,ALBERT BOURLON  (CENTRE-SUD OUEST),1947,Carcassonne,Luchon,ALBERT BOURLON,CENTRE-SUD OUEST
15.0,Luchon > Pau,JEAN ROBIC  (OUEST),1947,Luchon,Pau,JEAN ROBIC,OUEST
16.0,Pau > Bordeaux,PIERRE TACCA  (ITALIE),1947,Pau,Bordeaux,PIERRE TACCA,ITALIE
17.0,Bordeaux > Les Sables,ELOI TASSIN  (OUEST),1947,Bordeaux,Les Sables,ELOI TASSIN,OUEST
18.0,Les Sables > Nantes,PIETRO TARCHINI  (SUISSE/LUXEMBOURG),1947,Les Sables,Nantes,PIETRO TARCHINI,SUISSE/LUXEMBOURG
19.0,Vannes > Saint-Brieuc,RAYMOND IMPANIS  (BELGIQUE),1947,Vannes,Saint-Brieuc,RAYMOND IMPANIS,BELGIQUE
20.0,Saint-Brieuc > Caen,MAURICE DIOT  (ILE DE FRANCE),1947,Saint-Brieuc,Caen,MAURICE DIOT,ILE DE FRANCE
21.0,Caen > Paris,BRIK SCHOTTE  (BELGIQUE),1947,Caen,Paris,BRIK SCHOTTE,BELGIQUE
1.0,Paris > Trouville,GINO BARTALI  (ITALIE),1948,Paris,Trouville,GINO BARTALI,ITALIE
2.0,Trouville > Dinard,VINCENZO ROSSELLO  (ITALIE),1948,Trouville,Dinard,VINCENZO ROSSELLO,ITALIE
3.0,Dinard > Nantes,GUY LAPEBIE  (CENTRE-SUD OUEST),1948,Dinard,Nantes,GUY LAPEBIE,CENTRE-SUD OUEST
4.0,Nantes > La Rochelle,JACQUES PRAS  (CENTRE-SUD OUEST),1948,Nantes,La Rochelle,JACQUES PRAS,CENTRE-SUD OUEST
5.0,La Rochelle > Bordeaux,RAOUL REMY  (SUD-EST),1948,La Rochelle,Bordeaux,RAOUL REMY,SUD-EST
6.0,Bordeaux > Biarritz,LOUISON BOBET  (FRANCE),1948,Bordeaux,Biarritz,LOUISON BOBET,FRANCE
7.0,Biarritz > Lourdes,GINO BARTALI  (ITALIE),1948,Biarritz,Lourdes,GINO BARTALI,ITALIE
8.0,Lourdes > Toulouse,GINO BARTALI  (ITALIE),1948,Lourdes,Toulouse,GINO BARTALI,ITALIE
9.0,Toulouse > Montpellier,RAYMOND IMPANIS  (BELGIQUE),1948,Toulouse,Montpellier,RAYMOND IMPANIS,BELGIQUE
10.0,Montpellier > Marseille,RAYMOND IMPANIS  (BELGIQUE),1948,Montpellier,Marseille,RAYMOND IMPANIS,BELGIQUE
11.0,Marseille > San Remo,GINO SCIARDIS  (INTERNATIONAUX),1948,Marseille,San Remo,GINO SCIARDIS,INTERNATIONAUX
12.0,San Remo > Cannes,LOUISON BOBET  (FRANCE),1948,San Remo,Cannes,LOUISON BOBET,FRANCE
13.0,Cannes > Briançon,GINO BARTALI  (ITALIE),1948,Cannes,Briançon,GINO BARTALI,ITALIE
14.0,Briançon > Aix-les-Bains,GINO BARTALI  (ITALIE),1948,Briançon,Aix-les-Bains,GINO BARTALI,ITALIE
15.0,Aix-les-Bains > Lausanne,GINO BARTALI  (ITALIE),1948,Aix-les-Bains,Lausanne,GINO BARTALI,ITALIE
16.0,Lausanne > Mulhouse,EDWARD VAN DIJCK  (BELGIQUE),1948,Lausanne,Mulhouse,EDWARD VAN DIJCK,BELGIQUE
17.0,Mulhouse > Strasbourg,ROGER LAMBRECHT  (INTERNATIONAUX),1948,Mulhouse,Strasbourg,ROGER LAMBRECHT,INTERNATIONAUX
18.0,Strasbourg > Metz,GIOVANNI CORRIERI  (ITALIE),1948,Strasbourg,Metz,GIOVANNI CORRIERI,ITALIE
19.0,Metz > Liège,GINO BARTALI  (ITALIE),1948,Metz,Liège,GINO BARTALI,ITALIE
20.0,Liège > Roubaix,BERNARD GAUTHIER  (SUD-EST),1948,Liège,Roubaix,BERNARD GAUTHIER,SUD-EST
21.0,Roubaix > Paris,GIOVANNI CORRIERI  (ITALIE),1948,Roubaix,Paris,GIOVANNI CORRIERI,ITALIE
1.0,Paris > Reims,MARCEL DUSSAULT  (CENTRE-SUD OUEST),1949,Paris,Reims,MARCEL DUSSAULT,CENTRE-SUD OUEST
2.0,Reims > Bruxelles,ROGER LAMBRECHT  (BELGIQUE),1949,Reims,Bruxelles,ROGER LAMBRECHT,BELGIQUE
3.0,Bruxelles > Boulogne-sur-Mer,NORBERT CALLENS  (BELGIQUE),1949,Bruxelles,Boulogne-sur-Mer,NORBERT CALLENS,BELGIQUE
4.0,Boulogne-sur-Mer > Rouen,LUCIEN TEISSEIRE  (FRANCE),1949,Boulogne-sur-Mer,Rouen,LUCIEN TEISSEIRE,FRANCE
5.0,Rouen > Saint-Malo,FERDI KUBLER  (SUISSE),1949,Rouen,Saint-Malo,FERDI KUBLER,SUISSE
6.0,Saint-Malo > Les Sables,ADOLPHE DELEDDA  (SUD-EST),1949,Saint-Malo,Les Sables,ADOLPHE DELEDDA,SUD-EST
7.0,Les Sables > La Rochelle,FAUSTO COPPI  (ITALIE),1949,Les Sables,La Rochelle,FAUSTO COPPI,ITALIE
8.0,La Rochelle > Bordeaux,GUY LAPEBIE  (FRANCE),1949,La Rochelle,Bordeaux,GUY LAPEBIE,FRANCE
9.0,Bordeaux > Saint-Sébastien,LOUIS CAPUT  (ILE DE FRANCE),1949,Bordeaux,Saint-Sébastien,LOUIS CAPUT,ILE DE FRANCE
10.0,Saint-Sébastien > Pau,FIORENZO MAGNI  (ITALIE B),1949,Saint-Sébastien,Pau,FIORENZO MAGNI,ITALIE B
11.0,Pau > Luchon,BERNARDO RUIZ  (ESPAGNE),1949,Pau,Luchon,BERNARDO RUIZ,ESPAGNE
12.0,Luchon > Toulouse,RIK VAN STEENBERGEN  (BELGIQUE),1949,Luchon,Toulouse,RIK VAN STEENBERGEN,BELGIQUE
13.0,Toulouse > Nimes,EMILE IDEE  (ILE DE FRANCE),1949,Toulouse,Nimes,EMILE IDEE,ILE DE FRANCE
14.0,Nimes > Marseille,JEAN GOLDSCHMIT  (LUXEMBOURG),1949,Nimes,Marseille,JEAN GOLDSCHMIT,LUXEMBOURG
15.0,Marseille > Cannes,DÉSIRÉ KETELEER  (BELGIQUE),1949,Marseille,Cannes,DÉSIRÉ KETELEER,BELGIQUE
16.0,Cannes > Briançon,GINO BARTALI  (ITALIE),1949,Cannes,Briançon,GINO BARTALI,ITALIE
17.0,Briançon > Aoste,FAUSTO COPPI  (ITALIE),1949,Briançon,Aoste,FAUSTO COPPI,ITALIE
18.0,Aoste > Lausanne,VINCENZO ROSSELLO  (ITALIE),1949,Aoste,Lausanne,VINCENZO ROSSELLO,ITALIE
19.0,Lausanne > Colmar,RAPHAËL GEMINIANI  (FRANCE),1949,Lausanne,Colmar,RAPHAËL GEMINIANI,FRANCE
20.0,Colmar > Nancy,FAUSTO COPPI  (ITALIE),1949,Colmar,Nancy,FAUSTO COPPI,ITALIE
21.0,Nancy > Paris,RIK VAN STEENBERGEN  (BELGIQUE),1949,Nancy,Paris,RIK VAN STEENBERGEN,BELGIQUE
1.0,Paris > Metz,JEAN GOLDSCHMIT  (LUXEMBOURG),1950,Paris,Metz,JEAN GOLDSCHMIT,LUXEMBOURG
2.0,Metz > Liège,ADOLFO LEONI  (ITALIE B),1950,Metz,Liège,ADOLFO LEONI,ITALIE B
3.0,Liège > Lille,REMO SABATINI  (ITALIE B),1950,Liège,Lille,REMO SABATINI,ITALIE B
4.0,Lille > Rouen,STAN OCKERS  (BELGIQUE),1950,Lille,Rouen,STAN OCKERS,BELGIQUE
5.0,Rouen > Dinard,GIOVANNI CORRIERI  (ITALIE),1950,Rouen,Dinard,GIOVANNI CORRIERI,ITALIE
6.0,Dinard > Saint-Brieuc,FERDI KUBLER  (SUISSE),1950,Dinard,Saint-Brieuc,FERDI KUBLER,SUISSE
7.0,Saint-Brieuc > Angers,NELLO LAUREDI  (FRANCE),1950,Saint-Brieuc,Angers,NELLO LAUREDI,FRANCE
8.0,Angers > Niort,FIORENZO MAGNI  (ITALIE),1950,Angers,Niort,FIORENZO MAGNI,ITALIE
9.0,Niort > Bordeaux,ALFREDO PASOTTI  (ITALIE B),1950,Niort,Bordeaux,ALFREDO PASOTTI,ITALIE B
10.0,Bordeaux > Pau,MARCEL DUSSAULT  (CENTRE-SUD OUEST),1950,Bordeaux,Pau,MARCEL DUSSAULT,CENTRE-SUD OUEST
11.0,Pau > Saint Gaudens,GINO BARTALI  (ITALIE),1950,Pau,Saint Gaudens,GINO BARTALI,ITALIE
12.0,Saint Gaudens > Perpignan,MAURICE BLOMME  (BELGIQUE),1950,Saint Gaudens,Perpignan,MAURICE BLOMME,BELGIQUE
13.0,Perpignan > Nimes,MARCEL MOLINES  (NORD AFRIQUE),1950,Perpignan,Nimes,MARCEL MOLINES,NORD AFRIQUE
14.0,Nimes > Toulon,CUSTODIO DOS REIS  (NORD AFRIQUE),1950,Nimes,Toulon,CUSTODIO DOS REIS,NORD AFRIQUE
15.0,Toulon > Menton,JEAN DIEDERICH  (LUXEMBOURG),1950,Toulon,Menton,JEAN DIEDERICH,LUXEMBOURG
16.0,Menton > Nice,FERDI KUBLER  (SUISSE),1950,Menton,Nice,FERDI KUBLER,SUISSE
17.0,Nice > Gap,RAPHAËL GEMINIANI  (FRANCE),1950,Nice,Gap,RAPHAËL GEMINIANI,FRANCE
18.0,Gap > Briançon,LOUISON BOBET  (FRANCE),1950,Gap,Briançon,LOUISON BOBET,FRANCE
19.0,Briançon > Saint-Etienne,RAPHAËL GEMINIANI  (FRANCE),1950,Briançon,Saint-Etienne,RAPHAËL GEMINIANI,FRANCE
20.0,Saint-Etienne > Lyon,FERDI KUBLER  (SUISSE),1950,Saint-Etienne,Lyon,FERDI KUBLER,SUISSE
21.0,Lyon > Dijon,GINO SCIARDIS  (OUEST),1950,Lyon,Dijon,GINO SCIARDIS,OUEST
22.0,Dijon > Paris,EMILE BAFFERT  (FRANCE),1950,Dijon,Paris,EMILE BAFFERT,FRANCE
1.0,Metz > Reims,GIOVANNI ROSSI  (SUISSE),1951,Metz,Reims,GIOVANNI ROSSI,SUISSE
2.0,Reims > Gand,JEAN DIEDERICH  (LUXEMBOURG),1951,Reims,Gand,JEAN DIEDERICH,LUXEMBOURG
3.0,Gand > Le Tréport,GEORGES MEUNIER  (OUEST-SUD OUEST),1951,Gand,Le Tréport,GEORGES MEUNIER,OUEST-SUD OUEST
4.0,Le Tréport > Paris,ROGER LEVEQUE  (OUEST-SUD OUEST),1951,Le Tréport,Paris,ROGER LEVEQUE,OUEST-SUD OUEST
5.0,Paris > Caen,SERIFANO BIAGIONI  (ITALIE),1951,Paris,Caen,SERIFANO BIAGIONI,ITALIE
6.0,Caen > Rennes,EDOUARD MULLER  (FRANCE),1951,Caen,Rennes,EDOUARD MULLER,FRANCE
7.0,La Guerche > Angers,HUGO KOBLET  (SUISSE),1951,La Guerche,Angers,HUGO KOBLET,SUISSE
8.0,Angers > Limoges,LOUISON BOBET  (FRANCE),1951,Angers,Limoges,LOUISON BOBET,FRANCE
9.0,Limoges > Clermont-Ferrand,RAPHAËL GEMINIANI  (FRANCE),1951,Limoges,Clermont-Ferrand,RAPHAËL GEMINIANI,FRANCE
10.0,Clermont-Ferrand > Brive-la-Gaillarde,BERNARDO RUIZ  (ESPAGNE),1951,Clermont-Ferrand,Brive-la-Gaillarde,BERNARDO RUIZ,ESPAGNE
11.0,Brive-la-Gaillarde > Agen,HUGO KOBLET  (SUISSE),1951,Brive-la-Gaillarde,Agen,HUGO KOBLET,SUISSE
12.0,Agen > Dax,WIM VAN EST  (PAYS-BAS),1951,Agen,Dax,WIM VAN EST,PAYS-BAS
13.0,Dax > Tarbes,SERIFANO BIAGIONI  (ITALIE),1951,Dax,Tarbes,SERIFANO BIAGIONI,ITALIE
14.0,Tarbes > Luchon,HUGO KOBLET  (SUISSE),1951,Tarbes,Luchon,HUGO KOBLET,SUISSE
15.0,Luchon > Carcassonne,ANDRÉ ROSSEEL  (BELGIQUE),1951,Luchon,Carcassonne,ANDRÉ ROSSEEL,BELGIQUE
16.0,Carcassonne > Montpellier,HUGO KOBLET  (SUISSE),1951,Carcassonne,Montpellier,HUGO KOBLET,SUISSE
17.0,Montpellier > Avignon,LOUISON BOBET  (FRANCE),1951,Montpellier,Avignon,LOUISON BOBET,FRANCE
18.0,Avignon > Marseille,FIORENZO MAGNI  (ITALIE),1951,Avignon,Marseille,FIORENZO MAGNI,ITALIE
19.0,Marseille > Gap,ARMAND BAEYENS  (BELGIQUE),1951,Marseille,Gap,ARMAND BAEYENS,BELGIQUE
20.0,Gap > Briançon,FAUSTO COPPI  (ITALIE),1951,Gap,Briançon,FAUSTO COPPI,ITALIE
21.0,Briançon > Aix-les-Bains,BERNARDO RUIZ  (ESPAGNE),1951,Briançon,Aix-les-Bains,BERNARDO RUIZ,ESPAGNE
22.0,Aix-les-Bains > Genève,HUGO KOBLET  (SUISSE),1951,Aix-les-Bains,Genève,HUGO KOBLET,SUISSE
23.0,Genève > Dijon,GERMAIN DE RIJCKE  (BELGIQUE),1951,Genève,Dijon,GERMAIN DE RIJCKE,BELGIQUE
24.0,Dijon > Paris,ADOLPHE DELEDDA  (EST-SUD EST),1951,Dijon,Paris,ADOLPHE DELEDDA,EST-SUD EST
1.0,Brest > Rennes,RIK VAN STEENBERGEN  (BELGIQUE),1952,Brest,Rennes,RIK VAN STEENBERGEN,BELGIQUE
2.0,Rennes > Le Mans,ANDRÉ ROSSEEL  (BELGIQUE),1952,Rennes,Le Mans,ANDRÉ ROSSEEL,BELGIQUE
3.0,Le Mans > Rouen,NELLO LAUREDI  (FRANCE),1952,Le Mans,Rouen,NELLO LAUREDI,FRANCE
4.0,Rouen > Roubaix,PIERRE MOLINERIS  (SUD EST),1952,Rouen,Roubaix,PIERRE MOLINERIS,SUD EST
5.0,Roubaix > Namur,JEAN DIEDERICH  (LUXEMBOURG),1952,Roubaix,Namur,JEAN DIEDERICH,LUXEMBOURG
6.0,Namur > Metz,FIORENZO MAGNI  (ITALIE),1952,Namur,Metz,FIORENZO MAGNI,ITALIE
7.0,Metz > Nancy,FAUSTO COPPI  (ITALIE),1952,Metz,Nancy,FAUSTO COPPI,ITALIE
8.0,Nancy > Mulhouse,RAPHAËL GEMINIANI  (FRANCE),1952,Nancy,Mulhouse,RAPHAËL GEMINIANI,FRANCE
9.0,Mulhouse > Lausanne,WALTER DIGGELMANN  (SUISSE),1952,Mulhouse,Lausanne,WALTER DIGGELMANN,SUISSE
10.0,Lausanne > Alpe d'Huez,FAUSTO COPPI  (ITALIE),1952,Lausanne,Alpe d'Huez,FAUSTO COPPI,ITALIE
11.0,Bourg-d'Oisans > Sestrières,FAUSTO COPPI  (ITALIE),1952,Bourg-d'Oisans,Sestrières,FAUSTO COPPI,ITALIE
12.0,Sestrières > Monaco,JAN NOLTEN  (PAYS-BAS),1952,Sestrières,Monaco,JAN NOLTEN,PAYS-BAS
13.0,Monaco > Aix en Provence,RAOUL REMY  (FRANCE),1952,Monaco,Aix en Provence,RAOUL REMY,FRANCE
14.0,Aix en Provence > Avignon,JEAN ROBIC  (FRANCE),1952,Aix en Provence,Avignon,JEAN ROBIC,FRANCE
15.0,Avignon > Perpignan,GEORGES DECAUX  (PARIS),1952,Avignon,Perpignan,GEORGES DECAUX,PARIS
16.0,Perpignan > Toulouse,ANDRÉ ROSSEEL  (BELGIQUE),1952,Perpignan,Toulouse,ANDRÉ ROSSEEL,BELGIQUE
17.0,Toulouse > Bagnères-de-Bigorre,RAPHAËL GEMINIANI  (FRANCE),1952,Toulouse,Bagnères-de-Bigorre,RAPHAËL GEMINIANI,FRANCE
18.0,Bagnères-de-Bigorre > Pau,FAUSTO COPPI  (ITALIE),1952,Bagnères-de-Bigorre,Pau,FAUSTO COPPI,ITALIE
19.0,Pau > Bordeaux,HANS DEKKERS  (PAYS-BAS),1952,Pau,Bordeaux,HANS DEKKERS,PAYS-BAS
20.0,Bordeaux > Limoges,JACQUES VIVIER  (OUEST-SUD OUEST),1952,Bordeaux,Limoges,JACQUES VIVIER,OUEST-SUD OUEST
21.0,Limoges > Puy de Dôme,FAUSTO COPPI  (ITALIE),1952,Limoges,Puy de Dôme,FAUSTO COPPI,ITALIE
22.0,Puy de Dôme > Vichy,FIORENZO MAGNI  (ITALIE),1952,Puy de Dôme,Vichy,FIORENZO MAGNI,ITALIE
23.0,Vichy > Paris,ANTONIN ROLLAND  (FRANCE),1952,Vichy,Paris,ANTONIN ROLLAND,FRANCE
1.0,Strasbourg > Metz,FRITZ SCHAER  (SUISSE),1953,Strasbourg,Metz,FRITZ SCHAER,SUISSE
2.0,Metz > Liège,FRITZ SCHAER  (SUISSE),1953,Metz,Liège,FRITZ SCHAER,SUISSE
3.0,Liège > Lille,STANISLAS BOBER  (ILE DE FRANCE),1953,Liège,Lille,STANISLAS BOBER,ILE DE FRANCE
4.0,Lille > Dieppe,GERRIT VOORTING  (PAYS-BAS),1953,Lille,Dieppe,GERRIT VOORTING,PAYS-BAS
5.0,Dieppe > Caen,JEAN MALLEJAC  (OUEST),1953,Dieppe,Caen,JEAN MALLEJAC,OUEST
6.0,Caen > Le Mans,MARTIN VAN GENEUGDEN  (BELGIQUE),1953,Caen,Le Mans,MARTIN VAN GENEUGDEN,BELGIQUE
7.0,Le Mans > Nantes,LIVIO ISOTI  (ITALIE),1953,Le Mans,Nantes,LIVIO ISOTI,ITALIE
8.0,Nantes > Bordeaux,JAN NOLTEN  (PAYS-BAS),1953,Nantes,Bordeaux,JAN NOLTEN,PAYS-BAS
9.0,Bordeaux > Pau,FIORENZO MAGNI  (ITALIE),1953,Bordeaux,Pau,FIORENZO MAGNI,ITALIE
10.0,Pau > Cauterets,JÉSUS LORONO  (ESPAGNE),1953,Pau,Cauterets,JÉSUS LORONO,ESPAGNE
11.0,Cauterets > Luchon,JEAN ROBIC  (OUEST),1953,Cauterets,Luchon,JEAN ROBIC,OUEST
12.0,Luchon > Albi,ANDRÉ DARRIGADE  (SUD-OUEST),1953,Luchon,Albi,ANDRÉ DARRIGADE,SUD-OUEST
13.0,Albi > Béziers,NELLO LAUREDI  (FRANCE),1953,Albi,Béziers,NELLO LAUREDI,FRANCE
14.0,Béziers > Nimes,BERNARD QUENNEHEN  (NORD EST-CENTRE),1953,Béziers,Nimes,BERNARD QUENNEHEN,NORD EST-CENTRE
15.0,Nimes > Marseille,MAURICE QUENTIN  (ILE DE FRANCE),1953,Nimes,Marseille,MAURICE QUENTIN,ILE DE FRANCE
16.0,Marseille > Monaco,WIM VAN EST  (PAYS-BAS),1953,Marseille,Monaco,WIM VAN EST,PAYS-BAS
17.0,Monaco > Gap,WOUT WAGTMANS  (PAYS-BAS),1953,Monaco,Gap,WOUT WAGTMANS,PAYS-BAS
18.0,Gap > Briançon,LOUISON BOBET  (FRANCE),1953,Gap,Briançon,LOUISON BOBET,FRANCE
19.0,Briançon > Lyon,GEORGES MEUNIER  (NORD EST-CENTRE),1953,Briançon,Lyon,GEORGES MEUNIER,NORD EST-CENTRE
20.0,Lyon > Saint-Etienne,LOUISON BOBET  (FRANCE),1953,Lyon,Saint-Etienne,LOUISON BOBET,FRANCE
21.0,Saint-Etienne > Montluçon,WOUT WAGTMANS  (PAYS-BAS),1953,Saint-Etienne,Montluçon,WOUT WAGTMANS,PAYS-BAS
22.0,Montluçon > Paris,FIORENZO MAGNI  (ITALIE),1953,Montluçon,Paris,FIORENZO MAGNI,ITALIE
1.0,Amsterdam > Anvers Brasschaat,WOUT WAGTMANS  (PAYS-BAS),1954,Amsterdam,Anvers Brasschaat,WOUT WAGTMANS,PAYS-BAS
2.0,Anvers Brasschaat > Lille,LOUISON BOBET  (FRANCE),1954,Anvers Brasschaat,Lille,LOUISON BOBET,FRANCE
3.0,Lille > Rouen,MARCEL DUSSAULT  (SUD-OUEST),1954,Lille,Rouen,MARCEL DUSSAULT,SUD-OUEST
4.1,Rouen > Les Essarts,SUISSE,1954,Rouen,Les Essarts,SUISSE,SUISSE
4.2,Les Essarts > Caen,WIM VAN EST  (PAYS-BAS),1954,Les Essarts,Caen,WIM VAN EST,PAYS-BAS
5.0,Caen > Saint-Brieuc,FERDI KUBLER  (SUISSE),1954,Caen,Saint-Brieuc,FERDI KUBLER,SUISSE
6.0,Saint-Brieuc > Brest,DOMINIQUE FORLINI  (ILE DE FRANCE),1954,Saint-Brieuc,Brest,DOMINIQUE FORLINI,ILE DE FRANCE
7.0,Brest > Vannes,JACQUES VIVIER  (SUD-OUEST),1954,Brest,Vannes,JACQUES VIVIER,SUD-OUEST
8.0,Vannes > Angers,FRED DE BRUYNE  (BELGIQUE),1954,Vannes,Angers,FRED DE BRUYNE,BELGIQUE
9.0,Angers > Bordeaux,HENK FAANHOF  (PAYS-BAS),1954,Angers,Bordeaux,HENK FAANHOF,PAYS-BAS
10.0,Bordeaux > Bayonne,GILBERT BAUVIN  (NORD EST-CENTRE),1954,Bordeaux,Bayonne,GILBERT BAUVIN,NORD EST-CENTRE
11.0,Bayonne > Pau,STAN OCKERS  (BELGIQUE),1954,Bayonne,Pau,STAN OCKERS,BELGIQUE
12.0,Pau > Luchon,GILBERT BAUVIN  (NORD EST-CENTRE),1954,Pau,Luchon,GILBERT BAUVIN,NORD EST-CENTRE
13.0,Luchon > Toulouse,FRED DE BRUYNE  (BELGIQUE),1954,Luchon,Toulouse,FRED DE BRUYNE,BELGIQUE
14.0,Toulouse > Millau,FERDI KUBLER  (SUISSE),1954,Toulouse,Millau,FERDI KUBLER,SUISSE
15.0,Millau > Le Puy en Velay,DOMINIQUE FORLINI  (ILE DE FRANCE),1954,Millau,Le Puy en Velay,DOMINIQUE FORLINI,ILE DE FRANCE
16.0,Le Puy en Velay > Lyon,JEAN FORESTIER  (FRANCE),1954,Le Puy en Velay,Lyon,JEAN FORESTIER,FRANCE
17.0,Lyon > Grenoble,LUCIEN LAZARIDES  (SUD EST),1954,Lyon,Grenoble,LUCIEN LAZARIDES,SUD EST
18.0,Grenoble > Briançon,LOUISON BOBET  (FRANCE),1954,Grenoble,Briançon,LOUISON BOBET,FRANCE
19.0,Briançon > Aix-les-Bains,JEAN DOTTO  (SUD EST),1954,Briançon,Aix-les-Bains,JEAN DOTTO,SUD EST
20.0,Aix-les-Bains > Besançon,LUCIEN TEISSEIRE  (FRANCE),1954,Aix-les-Bains,Besançon,LUCIEN TEISSEIRE,FRANCE
21.1,Besançon > Epinal,FRANÇOIS MAHE  (OUEST),1954,Besançon,Epinal,FRANÇOIS MAHE,OUEST
21.2,Epinal > Nancy,LOUISON BOBET  (FRANCE),1954,Epinal,Nancy,LOUISON BOBET,FRANCE
22.0,Nancy > Troyes,FRED DE BRUYNE  (BELGIQUE),1954,Nancy,Troyes,FRED DE BRUYNE,BELGIQUE
23.0,Troyes > Paris,ROBERT VARNAJO  (OUEST),1954,Troyes,Paris,ROBERT VARNAJO,OUEST
1.1,Le Havre > Dieppe,MIGUEL POBLET  (ESPAGNE),1955,Le Havre,Dieppe,MIGUEL POBLET,ESPAGNE
1.2,Dieppe > Dieppe,PAYS-BAS,1955,Dieppe,Dieppe,PAYS-BAS,PAYS-BAS
2.0,Dieppe > Roubaix,ANTONIN ROLLAND  (FRANCE),1955,Dieppe,Roubaix,ANTONIN ROLLAND,FRANCE
3.0,Roubaix > Namur,LOUISON BOBET  (FRANCE),1955,Roubaix,Namur,LOUISON BOBET,FRANCE
4.0,Namur > Metz,WILLY KEMP  (LUXEMBOURG MIXTE),1955,Namur,Metz,WILLY KEMP,LUXEMBOURG MIXTE
5.0,Metz > Colmar,ROGER HASSENFORDER  (NORD EST-CENTRE),1955,Metz,Colmar,ROGER HASSENFORDER,NORD EST-CENTRE
6.0,Colmar > Zurich,ANDRÉ DARRIGADE  (FRANCE),1955,Colmar,Zurich,ANDRÉ DARRIGADE,FRANCE
7.0,Zurich > Thonon,JOS HINSEN  (PAYS-BAS),1955,Zurich,Thonon,JOS HINSEN,PAYS-BAS
8.0,Thonon > Briançon,CHARLY GAUL  (LUXEMBOURG MIXTE),1955,Thonon,Briançon,CHARLY GAUL,LUXEMBOURG MIXTE
9.0,Briançon > Monaco,RAPHAËL GEMINIANI  (FRANCE),1955,Briançon,Monaco,RAPHAËL GEMINIANI,FRANCE
10.0,Monaco > Marseille,LUCIEN LAZARIDES  (SUD EST),1955,Monaco,Marseille,LUCIEN LAZARIDES,SUD EST
11.0,Marseille > Avignon,LOUISON BOBET  (FRANCE),1955,Marseille,Avignon,LOUISON BOBET,FRANCE
12.0,Avignon > Millau,ALESSANDRO FANTINI  (ITALIE),1955,Avignon,Millau,ALESSANDRO FANTINI,ITALIE
