Stages,Date,Start,Finish,Year
Stage 4,1910-07-09,Belfort,Lyon,1910
Stage 5,1910-07-11,Lyon,Grenoble,1910
Stage 6,1910-07-13,Grenoble,Nice,1910
Stage 7,1910-07-15,Nice,Nimes,1910
Stage 8,1910-07-17,Nimes,Perpignan,1910
Stage 9,1910-07-19,Perpignan,Luchon,1910
Stage 10,1910-07-21,Luchon,Bayonne,1910
Stage 11,1910-07-23,Bayonne,Bordeaux,1910
Stage 12,1910-07-25,Bordeaux,Nantes,1910
Stage 13,1910-07-27,Nantes,Brest,1910
Stage 14,1910-07-29,Brest,Caen,1910
Stage 15,1910-07-31,Caen,Paris,1910
Stage 1,1911-07-02,Paris,Dunkerque,1911
Stage 2,1911-07-04,Dunkerque,Longwy,1911
Stage 3,1911-07-06,Longwy,Belfort,1911
Stage 4,1911-07-08,Belfort,Chamonix,1911
Stage 5,1911-07-10,Chamonix,Grenoble,1911
Stage 6,1911-07-12,Grenoble,Nice,1911
Stage 7,1911-07-14,Nice,Marseille,1911
Stage 8,1911-07-16,Marseille,Perpignan,1911
Stage 9,1911-07-18,Perpignan,Luchon,1911
Stage 10,1911-07-20,Luchon,Bayonne,1911
Stage 11,1911-07-22,Bayonne,La Rochelle,1911
Stage 12,1911-07-23,La Rochelle,Brest,1911
Stage 13,1911-07-26,Brest,Cherbourg-en-Cotentin,1911
Stage 14,1911-07-28,Cherbourg-en-Cotentin,Le Havre,1911
Stage 15,1911-07-30,Le Havre,Paris,1911
Stage 1,1912-06-30,Paris,Dunkerque,1912
Stage 2,1912-07-02,Dunkerque,Longwy,1912
Stage 3,1912-07-04,Longwy,Belfort,1912
Stage 4,1912-07-06,Belfort,Chamonix,1912
Stage 5,1912-07-08,Chamonix,Grenoble,1912
Stage 6,1912-07-10,Grenoble,Nice,1912
Stage 7,1912-07-12,Nice,Marseille,1912
Stage 8,1912-07-14,Marseille,Perpignan,1912
Stage 9,1912-07-16,Perpignan,Luchon,1912
Stage 10,1912-07-18,Luchon,Bayonne,1912
Stage 11,1912-07-20,Bayonne,La Rochelle,1912
Stage 12,1912-07-22,La Rochelle,Brest,1912
Stage 13,1912-07-24,Brest,Cherbourg-en-Cotentin,1912
Stage 14,1912-07-26,Cherbourg-en-Cotentin,Le Havre,1912
Stage 15,1912-07-28,Le Havre,Paris,1912
Stage 1,1913-06-29,Paris,Le Havre,1913
Stage 2,1913-07-01,Le Havre,Cherbourg-en-Cotentin,1913
Stage 3,1913-07-03,Cherbourg-en-Cotentin,Brest,1913
Stage 4,1913-07-05,Brest,La Rochelle,1913
Stage 5,1913-07-07,La Rochelle,Bayonne,1913
Stage 6,1913-07-09,Bayonne,Luchon,1913
Stage 7,1913-07-11,Luchon,Perpignan,1913
Stage 8,1913-07-13,Perpignan,Aix en Provence,1913
Stage 9,1913-07-15,Aix en Provence,Nice,1913
Stage 10,1913-07-17,Nice,Grenoble,1913
Stage 11,1913-07-19,Grenoble,Genève,1913
Stage 12,1913-07-21,Genève,Belfort,1913
Stage 13,1913-07-23,Belfort,Longwy,1913
Stage 14,1913-07-25,Longwy,Dunkerque,1913
Stage 15,1913-07-27,Dunkerque,Paris,1913
Stage 1,1914-06-28,Paris,Le Havre,1914
Stage 2,1914-06-30,Le Havre,Cherbourg-en-Cotentin,1914
Stage 3,1914-07-02,Cherbourg-en-Cotentin,Brest,1914
Stage 4,1914-07-04,Brest,La Rochelle,1914
Stage 5,1914-07-06,La Rochelle,Bayonne,1914
Stage 6,1914-07-08,Bayonne,Luchon,1914
Stage 7,1914-07-10,Luchon,Perpignan,1914
Stage 8,1914-07-12,Perpignan,Marseille,1914
Stage 9,1914-07-14,Marseille,Nice,1914
Stage 10,1914-07-16,Nice,Grenoble,1914
Stage 11,1914-07-18,Grenoble,Genève,1914
Stage 12,1914-07-20,Genève,Belfort,1914
Stage 13,1914-07-22,Belfort,Longwy,1914
Stage 14,1914-07-24,Longwy,Dunkerque,1914
Stage 15,1914-07-26,Dunkerque,Paris,1914
Stage 1,1919-06-29,Paris,Le Havre,1919
Stage 2,1919-07-01,Le Havre,Cherbourg-en-Cotentin,1919
Stage 3,1919-07-03,Cherbourg-en-Cotentin,Brest,1919
Stage 4,1919-07-05,Brest,Les Sables,1919
Stage 5,1919-07-07,Les Sables,Bayonne,1919
Stage 6,1919-07-09,Bayonne,Luchon,1919
Stage 7,1919-07-11,Luchon,Perpignan,1919
Stage 8,1919-07-13,Perpignan,Marseille,1919
