Stages,Date,Start,Finish,Year
Stage 13.2,1936-07-22,Nimes,Montpellier,1936
Stage 14.1,1936-07-23,Montpellier,Narbonne,1936
Stage 14.2,1936-07-23,Narbonne,Perpignan,1936
Stage 15,1936-07-25,Perpignan,Luchon,1936
Stage 16,1936-07-27,Luchon,Pau,1936
Stage 17,1936-07-29,Pau,Bordeaux,1936
Stage 18.1,1936-07-30,Bordeaux,Saintes,1936
Stage 18.2,1936-07-30,Saintes,La Rochelle,1936
Stage 19.1,1936-07-31,La Rochelle,La Roche-sur-Yon,1936
Stage 19.2,1936-07-31,La Roche-sur-Yon,Cholet,1936
Stage 19.3,1936-07-31,Cholet,Angers,1936
Stage 20.1,1936-08-01,Angers,Vire,1936
Stage 20.2,1936-08-01,Vire,Caen,1936
Stage 21,1936-08-02,Caen,Paris,1936
Stage 1,1937-06-30,Paris,Lille,1937
Stage 2,1937-07-01,Lille,Charleville-Mézières,1937
Stage 3,1937-07-02,Charleville-Mézières,Metz,1937
Stage 4,1937-07-03,Metz,Belfort,1937
Stage 5.1,1937-07-04,Belfort,Lons-le-Saunier,1937
Stage 5.2,1937-07-04,Lons-le-Saunier,Champagnole,1937
Stage 5.3,1937-07-04,Champagnole,Genève,1937
Stage 6,1937-07-06,Genève,Aix-les-Bains,1937
Stage 7,1937-07-07,Aix-les-Bains,Grenoble,1937
Stage 8,1937-07-08,Grenoble,Briançon,1937
Stage 9,1937-07-09,Briançon,Digne-les-Bains,1937
Stage 10,1937-07-11,Digne-les-Bains,Nice,1937
Stage 11.1,1937-07-13,Nice,Toulon,1937
Stage 11.2,1937-07-13,Toulon,Marseille,1937
Stage 12.1,1937-07-14,Marseille,Nimes,1937
Stage 12.2,1937-07-14,Nimes,Montpellier,1937
Stage 13.1,1937-07-15,Montpellier,Narbonne,1937
Stage 13.2,1937-07-15,Narbonne,Perpignan,1937
Stage 14.1,1937-07-17,Perpignan,Bourg-Madame,1937
Stage 14.2,1937-07-17,Bourg-Madame,Ax-les-Thermes,1937
Stage 14.3,1937-07-17,Ax-les-Thermes,Luchon,1937
Stage 15,1937-07-19,Luchon,Pau,1937
Stage 16,1937-07-21,Pau,Bordeaux,1937
Stage 17.1,1937-07-22,Bordeaux,Royan,1937
Stage 17.2,1937-07-22,Royan,Saintes,1937
Stage 17.3,1937-07-22,Saintes,La Rochelle,1937
Stage 18.1,1937-07-23,La Rochelle,La Roche-sur-Yon,1937
Stage 18.2,1937-07-23,La Roche-sur-Yon,Rennes,1937
Stage 19.1,1937-07-24,Rennes,Vire,1937
Stage 19.2,1937-07-24,Vire,Caen,1937
Stage 20,1937-07-25,Caen,Paris,1937
Stage 1,1938-07-05,Paris,Caen,1938
Stage 2,1938-07-06,Caen,Saint-Brieuc,1938
Stage 3,1938-07-07,Saint-Brieuc,Nantes,1938
Stage 4.1,1938-07-08,Nantes,La Roche-sur-Yon,1938
Stage 4.2,1938-07-08,La Roche-sur-Yon,La Rochelle,1938
Stage 4.3,1938-07-08,La Rochelle,Royan,1938
Stage 5,1938-07-10,Royan,Bordeaux,1938
Stage 6.1,1938-07-11,Bordeaux,Arcachon,1938
Stage 6.2,1938-07-11,Arcachon,Bayonne,1938
Stage 7,1938-07-12,Bayonne,Pau,1938
Stage 8,1938-07-14,Pau,Luchon,1938
Stage 9,1938-07-16,Luchon,Perpignan,1938
Stage 10.1,1938-07-17,Perpignan,Narbonne,1938
Stage 10.2,1938-07-17,Narbonne,Béziers,1938
Stage 10.3,1938-07-17,Béziers,Montpellier,1938
Stage 11,1938-07-18,Montpellier,Marseille,1938
Stage 12,1938-07-19,Marseille,Cannes,1938
Stage 13,1938-07-21,Cannes,Digne-les-Bains,1938
Stage 14,1938-07-22,Digne-les-Bains,Briançon,1938
Stage 15,1938-07-23,Briançon,Aix-les-Bains,1938
Stage 16,1938-07-25,Aix-les-Bains,Besançon,1938
Stage 17.2,1938-07-26,Belfort,Strasbourg,1938
Stage 17.1,1938-07-26,Besançon,Belfort,1938
Stage 18,1938-07-27,Strasbourg,Metz,1938
Stage 19,1938-07-28,Metz,Reims,1938
Stage 20.1,1938-07-30,Reims,Laon,1938
Stage 20.2,1938-07-30,Laon,St-Quentin,1938
Stage 20.3,1938-07-30,St-Quentin,Lille,1938
Stage 21,1938-07-31,Lille,Paris,1938
Stage 1,1939-07-10,Paris,Caen,1939
Stage 2.1,1939-07-11,Caen,Vire,1939
Stage 2.2,1939-07-11,Vire,Rennes,1939
Stage 3,1939-07-12,Rennes,Brest,1939
Stage 4,1939-07-13,Brest,Lorient,1939
Stage 5,1939-07-14,Lorient,Nantes,1939
Stage 6.1,1939-07-15,Nantes,La Rochelle,1939
Stage 6.2,1939-07-15,La Rochelle,Royan,1939
Stage 7,1939-07-17,Royan,Bordeaux,1939
Stage 8.1,1939-07-18,Bordeaux,Salies-de-Béarn,1939
Stage 8.2,1939-07-18,Salies-de-Béarn,Pau,1939
Stage 9,1939-07-19,Pau,Toulouse,1939
Stage 10.1,1939-07-21,Toulouse,Narbonne,1939
Stage 10.2,1939-07-21,Narbonne,Béziers,1939
Stage 10.3,1939-07-21,Béziers,Montpellier,1939
Stage 11,1939-07-22,Montpellier,Marseille,1939
Stage 12.1,1939-07-23,Marseille,Saint-Raphaël,1939
Stage 12.2,1939-07-23,Saint-Raphaël,Monaco,1939
Stage 13,1939-07-24,Monaco,Monaco,1939
Stage 14,1939-07-25,Monaco,Digne-les-Bains,1939
Stage 15,1939-07-26,Digne-les-Bains,Briançon,1939
Stage 16.1,1939-07-27,Briançon,Bonneval-sur-Arc,1939
Stage 16.2,1939-07-27,Bonneval-sur-Arc,Bourg Saint Maurice,1939
Stage 16.3,1939-07-27,Bourg Saint Maurice,Annecy,1939
Stage 17.1,1939-07-29,Annecy,Dole,1939
Stage 17.2,1939-07-29,Dole,Dijon,1939
Stage 18.1,1939-07-30,Dijon,Troyes,1939
Stage 18.2,1939-07-30,Troyes,Paris,1939
Stage 1,1947-06-25,Paris,Lille,1947
Stage 2,1947-06-26,Lille,Bruxelles,1947
Stage 3,1947-06-27,Bruxelles,Luxembourg,1947
Stage 4,1947-06-28,Luxembourg,Strasbourg,1947
Stage 5,1947-06-29,Strasbourg,Besançon,1947
Stage 6,1947-07-01,Besançon,Lyon,1947
Stage 7,1947-07-02,Lyon,Grenoble,1947
Stage 8,1947-07-03,Grenoble,Briançon,1947
Stage 9,1947-07-05,Briançon,Digne-les-Bains,1947
Stage 10,1947-07-06,Digne-les-Bains,Nice,1947
Stage 11,1947-07-08,Nice,Marseille,1947
Stage 12,1947-07-09,Marseille,Montpellier,1947
Stage 13,1947-07-10,Montpellier,Carcassonne,1947
Stage 14,1947-07-11,Carcassonne,Luchon,1947
Stage 15,1947-07-13,Luchon,Pau,1947
Stage 16,1947-07-14,Pau,Bordeaux,1947
Stage 17,1947-07-15,Bordeaux,Les Sables,1947
Stage 18,1947-07-16,Les Sables,Nantes,1947
Stage 19,1947-07-18,Vannes,Saint-Brieuc,1947
Stage 20,1947-07-19,Saint-Brieuc,Caen,1947
Stage 21,1947-07-20,Caen,Paris,1947
Stage 1,1948-06-30,Paris,Trouville,1948
Stage 2,1948-07-01,Trouville,Dinard,1948
Stage 3,1948-07-02,Dinard,Nantes,1948
Stage 4,1948-07-03,Nantes,La Rochelle,1948
Stage 5,1948-07-04,La Rochelle,Bordeaux,1948
Stage 6,1948-07-05,Bordeaux,Biarritz,1948
Stage 7,1948-07-07,Biarritz,Lourdes,1948
Stage 8,1948-07-08,Lourdes,Toulouse,1948
Stage 9,1948-07-10,Toulouse,Montpellier,1948
Stage 10,1948-07-11,Montpellier,Marseille,1948
Stage 11,1948-07-12,Marseille,San Remo,1948
Stage 12,1948-07-13,San Remo,Cannes,1948
Stage 13,1948-07-15,Cannes,Briançon,1948
Stage 14,1948-07-16,Briançon,Aix-les-Bains,1948
Stage 15,1948-07-18,Aix-les-Bains,Lausanne,1948
Stage 16,1948-07-19,Lausanne,Mulhouse,1948
Stage 17,1948-07-21,Mulhouse,Strasbourg,1948
Stage 18,1948-07-22,Strasbourg,Metz,1948
Stage 19,1948-07-23,Metz,Liège,1948
Stage 20,1948-07-24,Liège,Roubaix,1948
Stage 21,1948-07-25,Roubaix,Paris,1948
Stage 1,1949-06-30,Paris,Reims,1949
Stage 2,1949-07-01,Reims,Bruxelles,1949
Stage 3,1949-07-02,Bruxelles,Boulogne-sur-Mer,1949
Stage 4,1949-07-03,Boulogne-sur-Mer,Rouen,1949
Stage 5,1949-07-04,Rouen,Saint-Malo,1949
Stage 6,1949-07-05,Saint-Malo,Les Sables,1949
Stage 7,1949-07-07,Les Sables,La Rochelle,1949
Stage 8,1949-07-08,La Rochelle,Bordeaux,1949
Stage 9,1949-07-09,Bordeaux,Saint-Sébastien,1949
Stage 10,1949-07-10,Saint-Sébastien,Pau,1949
Stage 11,1949-07-12,Pau,Luchon,1949
Stage 12,1949-07-13,Luchon,Toulouse,1949
Stage 13,1949-07-14,Toulouse,Nimes,1949
Stage 14,1949-07-15,Nimes,Marseille,1949
Stage 15,1949-07-16,Marseille,Cannes,1949
Stage 16,1949-07-18,Cannes,Briançon,1949
Stage 17,1949-07-19,Briançon,Aoste,1949
Stage 18,1949-07-21,Aoste,Lausanne,1949
Stage 19,1949-07-22,Lausanne,Colmar,1949
Stage 20,1949-07-23,Colmar,Nancy,1949
Stage 21,1949-07-24,Nancy,Paris,1949
Stage 1,1950-07-13,Paris,Metz,1950
Stage 2,1950-07-14,Metz,Liège,1950
Stage 3,1950-07-15,Liège,Lille,1950
Stage 4,1950-07-16,Lille,Rouen,1950
Stage 5,1950-07-17,Rouen,Dinard,1950
Stage 6,1950-07-19,Dinard,Saint-Brieuc,1950
Stage 7,1950-07-20,Saint-Brieuc,Angers,1950
Stage 8,1950-07-21,Angers,Niort,1950
Stage 9,1950-07-22,Niort,Bordeaux,1950
Stage 10,1950-07-23,Bordeaux,Pau,1950
Stage 11,1950-07-25,Pau,Saint Gaudens,1950
Stage 12,1950-07-26,Saint Gaudens,Perpignan,1950
Stage 13,1950-07-27,Perpignan,Nimes,1950
Stage 14,1950-07-28,Nimes,Toulon,1950
Stage 15,1950-07-29,Toulon,Menton,1950
Stage 16,1950-07-30,Menton,Nice,1950
Stage 17,1950-08-01,Nice,Gap,1950
Stage 18,1950-08-02,Gap,Briançon,1950
Stage 19,1950-08-03,Briançon,Saint-Etienne,1950
Stage 20,1950-08-05,Saint-Etienne,Lyon,1950
Stage 21,1950-08-06,Lyon,Dijon,1950
Stage 22,1950-08-07,Dijon,Paris,1950
Stage 1,1951-07-04,Metz,Reims,1951
Stage 2,1951-07-05,Reims,Gand,1951
Stage 3,1951-07-06,Gand,Le Tréport,1951
Stage 4,1951-07-07,Le Tréport,Paris,1951
Stage 5,1951-07-08,Paris,Caen,1951
Stage 6,1951-07-09,Caen,Rennes,1951
Stage 7,1951-07-10,La Guerche,Angers,1951
Stage 8,1951-07-11,Angers,Limoges,1951
Stage 9,1951-07-13,Limoges,Clermont-Ferrand,1951
Stage 10,1951-07-14,Clermont-Ferrand,Brive-la-Gaillarde,1951
Stage 11,1951-07-15,Brive-la-Gaillarde,Agen,1951
Stage 12,1951-07-16,Agen,Dax,1951
Stage 13,1951-07-17,Dax,Tarbes,1951
Stage 14,1951-07-18,Tarbes,Luchon,1951
Stage 15,1951-07-19,Luchon,Carcassonne,1951
Stage 16,1951-07-20,Carcassonne,Montpellier,1951
Stage 17,1951-07-22,Montpellier,Avignon,1951
Stage 18,1951-07-23,Avignon,Marseille,1951
Stage 19,1951-07-24,Marseille,Gap,1951
Stage 20,1951-07-25,Gap,Briançon,1951
Stage 21,1951-07-26,Briançon,Aix-les-Bains,1951
Stage 22,1951-07-27,Aix-les-Bains,Genève,1951
Stage 23,1951-07-28,Genève,Dijon,1951
Stage 24,1951-07-29,Dijon,Paris,1951
Stage 1,1952-06-25,Brest,Rennes,1952
Stage 2,1952-06-26,Rennes,Le Mans,1952
Stage 3,1952-06-27,Le Mans,Rouen,1952
Stage 4,1952-06-28,Rouen,Roubaix,1952
Stage 5,1952-06-29,Roubaix,Namur,1952
Stage 6,1952-06-30,Namur,Metz,1952
Stage 7,1952-07-01,Metz,Nancy,1952
Stage 8,1952-07-02,Nancy,Mulhouse,1952
Stage 9,1952-07-03,Mulhouse,Lausanne,1952
Stage 10,1952-07-04,Lausanne,Alpe d'Huez,1952
Stage 11,1952-07-06,Bourg-d'Oisans,Sestrières,1952
Stage 12,1952-07-07,Sestrières,Monaco,1952
Stage 13,1952-07-08,Monaco,Aix en Provence,1952
Stage 14,1952-07-09,Aix en Provence,Avignon,1952
Stage 15,1952-07-10,Avignon,Perpignan,1952
Stage 16,1952-07-11,Perpignan,Toulouse,1952
Stage 17,1952-07-13,Toulouse,Bagnères-de-Bigorre,1952
Stage 18,1952-07-14,Bagnères-de-Bigorre,Pau,1952
Stage 19,1952-07-15,Pau,Bordeaux,1952
Stage 20,1952-07-16,Bordeaux,Limoges,1952
Stage 21,1952-07-17,Limoges,Puy de Dôme,1952
Stage 22,1952-07-18,Puy de Dôme,Vichy,1952
Stage 23,1952-07-19,Vichy,Paris,1952
Stage 1,1953-07-03,Strasbourg,Metz,1953
Stage 2,1953-07-04,Metz,Liège,1953
Stage 3,1953-07-05,Liège,Lille,1953
Stage 4,1953-07-06,Lille,Dieppe,1953
Stage 5,1953-07-07,Dieppe,Caen,1953
Stage 6,1953-07-08,Caen,Le Mans,1953
Stage 7,1953-07-09,Le Mans,Nantes,1953
Stage 8,1953-07-10,Nantes,Bordeaux,1953
Stage 9,1953-07-12,Bordeaux,Pau,1953
Stage 10,1953-07-13,Pau,Cauterets,1953
Stage 11,1953-07-14,Cauterets,Luchon,1953
Stage 12,1953-07-15,Luchon,Albi,1953
Stage 13,1953-07-16,Albi,Béziers,1953
Stage 14,1953-07-17,Béziers,Nimes,1953
Stage 15,1953-07-18,Nimes,Marseille,1953
Stage 16,1953-07-19,Marseille,Monaco,1953
Stage 17,1953-07-21,Monaco,Gap,1953
Stage 18,1953-07-22,Gap,Briançon,1953
Stage 19,1953-07-23,Briançon,Lyon,1953
Stage 20,1953-07-24,Lyon,Saint-Etienne,1953
Stage 21,1953-07-25,Saint-Etienne,Montluçon,1953
Stage 22,1953-07-26,Montluçon,Paris,1953
Stage 1,1954-07-08,Amsterdam,Anvers Brasschaat,1954
Stage 2,1954-07-09,Anvers Brasschaat,Lille,1954
Stage 3,1954-07-10,Lille,Rouen,1954
Stage 4.1,1954-07-11,Rouen,Les Essarts,1954
Stage 4.2,1954-07-11,Les Essarts,Caen,1954
Stage 5,1954-07-12,Caen,Saint-Brieuc,1954
Stage 6,1954-07-13,Saint-Brieuc,Brest,1954
Stage 7,1954-07-14,Brest,Vannes,1954
Stage 8,1954-07-15,Vannes,Angers,1954
Stage 9,1954-07-16,Angers,Bordeaux,1954
Stage 10,1954-07-18,Bordeaux,Bayonne,1954
Stage 11,1954-07-19,Bayonne,Pau,1954
Stage 12,1954-07-20,Pau,Luchon,1954
Stage 13,1954-07-21,Luchon,Toulouse,1954
Stage 14,1954-07-22,Toulouse,Millau,1954
Stage 15,1954-07-23,Millau,Le Puy en Velay,1954
Stage 16,1954-07-24,Le Puy en Velay,Lyon,1954
Stage 17,1954-07-26,Lyon,Grenoble,1954
Stage 18,1954-07-27,Grenoble,Briançon,1954
Stage 19,1954-07-28,Briançon,Aix-les-Bains,1954
Stage 20,1954-07-29,Aix-les-Bains,Besançon,1954
Stage 21.1,1954-07-30,Besançon,Epinal,1954
Stage 21.2,1954-07-30,Epinal,Nancy,1954
Stage 22,1954-07-31,Nancy,Troyes,1954
Stage 23,1954-08-01,Troyes,Paris,1954
Stage 1.1,1955-07-07,Le Havre,Dieppe,1955
Stage 1.2,1955-07-07,Dieppe,Dieppe,1955
Stage 2,1955-07-08,Dieppe,Roubaix,1955
Stage 3,1955-07-09,Roubaix,Namur,1955
Stage 4,1955-07-10,Namur,Metz,1955
Stage 5,1955-07-11,Metz,Colmar,1955
Stage 6,1955-07-12,Colmar,Zurich,1955
Stage 7,1955-07-13,Zurich,Thonon,1955
Stage 8,1955-07-14,Thonon,Briançon,1955
Stage 9,1955-07-15,Briançon,Monaco,1955
Stage 10,1955-07-17,Monaco,Marseille,1955
Stage 11,1955-07-18,Marseille,Avignon,1955
Stage 12,1955-07-19,Avignon,Millau,1955
Stage 13,1955-07-20,Millau,Albi,1955
Stage 14,1955-07-21,Albi,Narbonne,1955
Stage 15,1955-07-22,Narbonne,Ax-les-Thermes,1955
Stage 16,1955-07-24,Ax-les-Thermes,Toulouse,1955
Stage 17,1955-07-25,Toulouse,Saint Gaudens,1955
Stage 18,1955-07-26,Saint Gaudens,Pau,1955
Stage 19,1955-07-27,Pau,Bordeaux,1955
Stage 20,1955-07-28,Bordeaux,Poitiers,1955
Stage 21,1955-07-29,Châtellerault,Tours,1955
Stage 22,1955-07-30,Tours,Paris,1955
Stage 1,1956-07-05,Reims,Liège,1956
Stage 2,1956-07-06,Liège,Lille,1956
Stage 3.1,1956-07-07,Lille,Rouen,1956
Stage 3.2,1956-07-07,Les Essarts,Les Essarts,1956
Stage 4,1956-07-08,Rouen,Caen,1956
Stage 5,1956-07-09,Caen,Saint-Malo,1956
Stage 6,1956-07-10,Saint-Malo,Lorient,1956
Stage 7,1956-07-11,Lorient,Angers,1956
Stage 8,1956-07-12,Angers,La Rochelle,1956
Stage 9,1956-07-13,La Rochelle,Bordeaux,1956
Stage 10,1956-07-15,Bordeaux,Bayonne,1956
Stage 11,1956-07-16,Bayonne,Pau,1956
Stage 12,1956-07-17,Pau,Luchon,1956
Stage 13,1956-07-18,Luchon,Toulouse,1956
Stage 14,1956-07-19,Toulouse,Montpellier,1956
Stage 15,1956-07-20,Montpellier,Aix en Provence,1956
Stage 16,1956-07-22,Aix en Provence,Gap,1956
Stage 17,1956-07-23,Gap,Turin,1956
Stage 18,1956-07-24,Turin,Grenoble,1956
Stage 19,1956-07-25,Grenoble,Saint-Etienne,1956
Stage 20,1956-07-26,Saint-Etienne,Lyon,1956
Stage 21,1956-07-27,Lyon,Montluçon,1956
Stage 22,1956-07-28,Montluçon,Paris,1956
Stage 1,1957-06-27,Nantes,Granville,1957
Stage 2,1957-06-28,Granville,Caen,1957
Stage 3.1,1957-06-29,Caen,Caen,1957
Stage 3.2,1957-06-29,Caen,Rouen,1957
Stage 4,1957-06-30,Rouen,Roubaix,1957
Stage 5,1957-07-01,Roubaix,Charleroi,1957
Stage 6,1957-07-02,Charleroi,Metz,1957
Stage 7,1957-07-03,Metz,Colmar,1957
Stage 8,1957-07-04,Colmar,Besançon,1957
Stage 9,1957-07-05,Besançon,Thonon,1957
Stage 10,1957-07-07,Thonon,Briançon,1957
Stage 11,1957-07-08,Briançon,Cannes,1957
Stage 12,1957-07-09,Cannes,Marseille,1957
Stage 13,1957-07-10,Marseille,Alès,1957
Stage 14,1957-07-11,Alès,Perpignan,1957
Stage 15.1,1957-07-12,Perpignan,Barcelone,1957
Stage 15.2,1957-07-12,Barcelone,Barcelone,1957
Stage 16,1957-07-14,Barcelone,Ax-les-Thermes,1957
Stage 17,1957-07-15,Ax-les-Thermes,Saint Gaudens,1957
Stage 18,1957-07-16,Saint Gaudens,Pau,1957
Stage 19,1957-07-17,Pau,Bordeaux,1957
Stage 20,1957-07-18,Bordeaux,Libourne,1957
Stage 21,1957-07-19,Libourne,Tours,1957
Stage 22,1957-07-20,Tours,Paris,1957
Stage 1,1958-06-26,Bruxelles,Gand,1958
Stage 2,1958-06-27,Gand,Dunkerque,1958
Stage 3,1958-06-28,Dunkerque,Le Tréport,1958
Stage 4,1958-06-29,Le Tréport,Versailles,1958
Stage 5,1958-06-30,Versailles,Caen,1958
Stage 6,1958-07-01,Caen,Saint-Brieuc,1958
Stage 7,1958-07-02,Saint-Brieuc,Brest,1958
Stage 8,1958-07-03,Chateaulin,Chateaulin,1958
Stage 9,1958-07-04,Quimper,Saint Nazaire,1958
Stage 10,1958-07-05,Saint Nazaire,Royan,1958
Stage 11,1958-07-06,Royan,Bordeaux,1958
Stage 12,1958-07-07,Bordeaux,Dax,1958
Stage 13,1958-07-08,Dax,Pau,1958
Stage 14,1958-07-09,Pau,Luchon,1958
Stage 15,1958-07-10,Luchon,Toulouse,1958
Stage 16,1958-07-11,Toulouse,Béziers,1958
Stage 17,1958-07-12,Béziers,Nimes,1958
Stage 18,1958-07-13,Mont Ventoux,Mont Ventoux,1958
Stage 19,1958-07-14,Carpentras,Gap,1958
Stage 20,1958-07-15,Gap,Briançon,1958
Stage 21,1958-07-16,Briançon,Aix-les-Bains,1958
Stage 22,1958-07-17,Aix-les-Bains,Besançon,1958
Stage 23,1958-07-18,Besançon,Dijon,1958
Stage 24,1958-07-19,Dijon,Paris,1958
Stage 1,1959-06-25,Mulhouse,Metz,1959
Stage 2,1959-06-26,Metz,Namur,1959
Stage 3,1959-06-27,Namur,Roubaix,1959
Stage 4,1959-06-28,Roubaix,Rouen,1959
Stage 5,1959-06-29,Rouen,Rennes,1959
Stage 6,1959-06-30,Blain,Nantes,1959
Stage 7,1959-07-01,Nantes,La Rochelle,1959
Stage 8,1959-07-02,La Rochelle,Bordeaux,1959
Stage 9,1959-07-03,Bordeaux,Bayonne,1959
Stage 10,1959-07-05,Bayonne,Bagnères-de-Bigorre,1959
Stage 11,1959-07-06,Bagnères-de-Bigorre,Saint Gaudens,1959
Stage 12,1959-07-07,Saint Gaudens,Albi,1959
Stage 13,1959-07-08,Albi,Aurillac,1959
Stage 14,1959-07-09,Aurillac,Clermont-Ferrand,1959
Stage 15,1959-07-10,Clermont-Ferrand,Puy de Dôme,1959
Stage 16,1959-07-11,Clermont-Ferrand,Saint-Etienne,1959
Stage 17,1959-07-13,Saint-Etienne,Grenoble,1959
Stage 18,1959-07-14,Grenoble,Saint-Vincent d'Aoste,1959
Stage 19,1959-07-15,Saint-Vincent d'Aoste,Annecy,1959
Stage 20,1959-07-16,Annecy,Chalon-sur-Saône,1959
Stage 21,1959-07-17,Seurre,Dijon,1959
Stage 22,1959-07-18,Dijon,Paris,1959
Stage 1.1,1960-06-26,Lille,Bruxelles,1960
Stage 1.2,1960-06-26,Bruxelles,Bruxelles,1960
Stage 2,1960-06-27,Bruxelles,Dunkerque,1960
Stage 3,1960-06-28,Dunkerque,Dieppe,1960
Stage 4,1960-06-29,Dieppe,Caen,1960
Stage 5,1960-06-30,Caen,Saint-Malo,1960
Stage 6,1960-07-01,Saint-Malo,Lorient,1960
Stage 7,1960-07-02,Lorient,Angers,1960
Stage 8,1960-07-03,Angers,Limoges,1960
Stage 9,1960-07-04,Limoges,Bordeaux,1960
Stage 10,1960-07-05,Mont de Marsan,Pau,1960
Stage 11,1960-07-06,Pau,Luchon,1960
Stage 12,1960-07-07,Luchon,Toulouse,1960
Stage 13,1960-07-08,Toulouse,Millau,1960
Stage 14,1960-07-10,Millau,Avignon,1960
Stage 15,1960-07-11,Avignon,Gap,1960
Stage 16,1960-07-12,Gap,Briançon,1960
Stage 17,1960-07-13,Briançon,Aix-les-Bains,1960
Stage 18,1960-07-14,Aix-les-Bains,Thonon,1960
Stage 19,1960-07-15,Pontarlier,Besançon,1960
Stage 20,1960-07-16,Besançon,Troyes,1960
Stage 21,1960-07-17,Troyes,Paris,1960
Stage 1.1,1961-06-25,Rouen,Versailles,1961
Stage 1.2,1961-06-25,Versailles,Versailles,1961
Stage 2,1961-06-26,Pontoise,Roubaix,1961
Stage 3,1961-06-27,Roubaix,Charleroi,1961
Stage 4,1961-06-28,Charleroi,Metz,1961
Stage 5,1961-06-29,Metz,Strasbourg,1961
Stage 6,1961-06-30,Strasbourg,Belfort,1961
Stage 7,1961-07-01,Belfort,Chalon-sur-Saône,1961
Stage 8,1961-07-02,Chalon-sur-Saône,Saint-Etienne,1961
Stage 9,1961-07-03,Saint-Etienne,Grenoble,1961
Stage 10,1961-07-04,Grenoble,Turin,1961
Stage 11,1961-07-05,Turin,Antibes,1961
Stage 12,1961-07-06,Antibes,Aix en Provence,1961
Stage 13,1961-07-07,Aix en Provence,Montpellier,1961
Stage 14,1961-07-09,Montpellier,Perpignan,1961
Stage 15,1961-07-10,Perpignan,Toulouse,1961
Stage 16,1961-07-11,Toulouse,Superbagnères,1961
Stage 17,1961-07-12,Luchon,Pau,1961
Stage 18,1961-07-13,Pau,Bordeaux,1961
Stage 19,1961-07-14,Bergerac,Périgueux,1961
Stage 20,1961-07-15,Périgueux,Tours,1961
Stage 21,1961-07-16,Tours,Paris,1961
Stage 1,1962-06-24,Nancy,Spa,1962
Stage 2.1,1962-06-25,Spa,Herenthals,1962
Stage 2.2,1962-06-25,Herenthals,Herenthals,1962
Stage 3,1962-06-26,Bruxelles,Amiens,1962
Stage 4,1962-06-27,Amiens,Le Havre,1962
Stage 5,1962-06-28,Pont l'Evêque,Saint-Malo,1962
Stage 6,1962-06-29,Dinard,Brest,1962
Stage 7,1962-06-30,Quimper,Saint Nazaire,1962
Stage 8.1,1962-07-01,Saint Nazaire,Luçon,1962
Stage 8.2,1962-07-01,Luçon,La Rochelle,1962
Stage 9,1962-07-02,La Rochelle,Bordeaux,1962
Stage 10,1962-07-03,Bordeaux,Bayonne,1962
Stage 11,1962-07-04,Bayonne,Pau,1962
Stage 12,1962-07-05,Pau,Saint Gaudens,1962
Stage 13,1962-07-06,Luchon,Superbagnères,1962
Stage 14,1962-07-07,Luchon,Carcassonne,1962
Stage 15,1962-07-08,Carcassonne,Montpellier,1962
Stage 16,1962-07-09,Montpellier,Aix en Provence,1962
Stage 17,1962-07-10,Aix en Provence,Antibes,1962
Stage 18,1962-07-11,Antibes,Briançon,1962
Stage 19,1962-07-12,Briançon,Aix-les-Bains,1962
Stage 20,1962-07-13,Bourgoin,Lyon,1962
Stage 21,1962-07-14,Lyon,Nevers,1962
Stage 22,1962-07-15,Nevers,Paris,1962
Stage 1,1963-06-23,Paris,Épernay,1963
Stage 2.1,1963-06-24,Reims,Jambes,1963
Stage 2.2,1963-06-24,Jambes,Jambes,1963
Stage 3,1963-06-25,Jambes,Roubaix,1963
Stage 4,1963-06-26,Roubaix,Rouen,1963
Stage 5,1963-06-27,Rouen,Rennes,1963
Stage 6.1,1963-06-28,Rennes,Angers,1963
Stage 6.2,1963-06-28,Angers,Angers,1963
Stage 7,1963-06-29,Angers,Limoges,1963
Stage 8,1963-06-30,Limoges,Bordeaux,1963
Stage 9,1963-07-01,Bordeaux,Pau,1963
Stage 10,1963-07-02,Pau,Bagnères-de-Bigorre,1963
Stage 11,1963-07-03,Bagnères-de-Bigorre,Luchon,1963
Stage 12,1963-07-04,Luchon,Toulouse,1963
Stage 13,1963-07-06,Toulouse,Aurillac,1963
Stage 14,1963-07-07,Aurillac,Saint-Etienne,1963
Stage 15,1963-07-08,Saint-Etienne,Grenoble,1963
Stage 16,1963-07-09,Grenoble,val_d_isere,1963
Stage 17,1963-07-10,val_d_isere,Chamonix,1963
Stage 18,1963-07-11,Chamonix,Lons-le-Saunier,1963
Stage 19,1963-07-12,Arbois,Besançon,1963
Stage 20,1963-07-13,Besançon,Troyes,1963
Stage 21,1963-07-14,Troyes,Paris,1963
Stage 1,1964-06-22,Rennes,Lisieux,1964
Stage 2,1964-06-23,Lisieux,Amiens,1964
Stage 3.1,1964-06-24,Amiens,Forest,1964
Stage 3.2,1964-06-24,Forest,Forest,1964
Stage 4,1964-06-25,Forest,Metz,1964
Stage 5,1964-06-26,Lunéville,Fribourg,1964
Stage 6,1964-06-27,Fribourg,Besançon,1964
Stage 7,1964-06-28,Champagnole,Thonon,1964
Stage 8,1964-06-29,Thonon,Briançon,1964
Stage 9,1964-06-30,Briançon,Monaco,1964
