Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Duration (seconds),Gap (seconds),Result type
18,ILDEBRANDO GAMBERINI,39,FELSINA,305h 00' 00'',-,,,1909,1098000,0,points
19,ALFRED LE BARS,102,ISOLES,317h 00' 00'',-,,,1909,1141200,0,points
20,EMILE LACHAISE,216,ISOLES,327h 00' 00'',-,,,1909,1177200,0,points
21,LUCIEN LEMAN,146,ISOLES,341h 00' 00'',-,,,1909,1227600,0,points
22,LÉON RABOT,127,ISOLES,343h 00' 00'',-,,,1909,1234800,0,points
23,GEORGES OUDIN,247,ISOLES,345h 00' 00'',-,,,1909,1242000,0,points
24,AMÉDÉE DUTIRON,185,ISOLES,351h 00' 00'',-,,,1909,1263600,0,points
26,PIERRE LANGLADE,222,ISOLES,404h 00' 00'',-,,,1909,1454400,0,points
27,ANGELO MAGNANOLI,40,FELSINA,407h 00' 00'',-,,,1909,1465200,0,points
28,ANTOINE WATTELIER,256,ISOLES,411h 00' 00'',-,,,1909,1479600,0,points
29,ALFRED VAIDIS,155,ISOLES,450h 00' 00'',-,,,1909,1620000,0,points
30,HENRI ALAVOINE,212,ISOLES,467h 00' 00'',-,,,1909,1681200,0,points
31,PAUL BOILLAT,128,ISOLES,471h 00' 00'',-,,,1909,1695600,0,points
32,AMLETO BELLONI,208,ISOLES,477h 00' 00'',-,,,1909,1717200,0,points
33,RENÉ CHAUDE,122,ISOLES,479h 00' 00'',-,,,1909,1724400,0,points
34,JOSEPH LEBLANC,238,ISOLES,481h 00' 00'',-,,,1909,1731600,0,points
35,AUGUSTE DENIZOT,183,ISOLES,484h 00' 00'',-,,,1909,1742400,0,points
36,AUGUSTE DUFOUR,196,ISOLES,491h 00' 00'',-,,,1909,1767600,0,points
37,ANTOINE FAURE,137,ISOLES,495h 00' 00'',-,,,1909,1782000,0,points
38,ALBERT LAGARNIER,103,ISOLES,518h 00' 00'',-,,,1909,1864800,0,points
39,RODOLPHE MEILI,158,ISOLES,548h 00' 00'',-,,,1909,1972800,0,points
40,LOUIS GARDENT,164,ISOLES,549h 00' 00'',-,,,1909,1976400,0,points
41,ROGER RIVIERE,104,ISOLES,556h 00' 00'',-,,,1909,2001600,0,points
42,FRANÇOIS ROCHE,235,ISOLES,561h 00' 00'',-,,,1909,2019600,0,points
43,LUCIEN COLIN,175,ISOLES,569h 00' 00'',-,,,1909,2048400,0,points
44,ANDRÉ HERBELIN,130,ISOLES,573h 00' 00'',-,,,1909,2062800,0,points
45,JEAN PERRUCA,159,ISOLES,579h 00' 00'',-,,,1909,2084400,0,points
46,EUGÈNE LEROY,108,ISOLES,596h 31' 23'',-,,,1909,2147483,0,points
47,CAMILLE MATHIEU,150,ISOLES,596h 31' 23'',-,,,1909,2147483,0,points
48,CHARLES PONSON,160,ISOLES,596h 31' 23'',-,,,1909,2147483,0,points
