Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Duration (seconds),Gap (seconds),Result type
45,HARRY STEEVENS,127,CABALLERO-LAURENS,120h 55' 10'',+ 01h 23' 21'',,,1970,435310,5001,time
46,JOSEPH SPRUYT,6,FAEMA-FAEMINO,120h 58' 19'',+ 01h 26' 30'',,,1970,435499,5190,time
47,GÉRARD VIANEN,128,CABALLERO-LAURENS,120h 58' 53'',+ 01h 27' 04'',,,1970,435533,5224,time
48,FLORENT VAN VLIERBERGHE,139,FERRETTI,121h 02' 54'',+ 01h 31' 05'',,,1970,435774,5465,time
49,GIACINTO SANTAMBROGIO,67,MOLTENI,121h 05' 42'',+ 01h 33' 53'',,,1970,435942,5633,time
51,WALTER RICCI,97,SONOLOR-LEJEUNE-WOLBER,121h 07' 48'',+ 01h 35' 59'',,,1970,436068,5759,time
52,CHRISTIAN RAYMOND,19,PEUGEOT-BP-MICHELIN,121h 08' 16'',+ 01h 36' 27'',,,1970,436096,5787,time
53,FRANCO MORI,65,MOLTENI,121h 09' 01'',+ 01h 37' 12'',,,1970,436141,5832,time
54,ANDRÉ POPPE,106,MANN-GRUNDIG,121h 10' 16'',+ 01h 38' 27'',,,1970,436216,5907,time
55,MARIO ANNI,61,MOLTENI,121h 10' 38'',+ 01h 38' 49'',,,1970,436238,5929,time
56,JOSÉ-ANTONIO GONZALEZ-LINARES,45,KAS-KASKOL,121h 10' 50'',+ 01h 39' 01'',,,1970,436250,5941,time
57,JOS DE SCHOENMACKER,102,MANN-GRUNDIG,121h 12' 06'',+ 01h 40' 17'',,,1970,436326,6017,time
58,JEAN-PIERRE PARENTEAU,17,PEUGEOT-BP-MICHELIN,121h 12' 56'',+ 01h 41' 07'',,,1970,436376,6067,time
59,MORGENS FREY,73,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,121h 12' 59'',+ 01h 41' 10'',,,1970,436379,6070,time
60,ATTILIO BENFATTO,142,SCIC,121h 17' 20'',+ 01h 45' 31'',,,1970,436640,6331,time
61,MAURICE IZIER,78,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,121h 19' 15'',+ 01h 47' 26'',,,1970,436755,6446,time
62,CYRILLE GUIMARD,23,FAGOR-MERCIER-HUTCHINSON,121h 22' 00'',+ 01h 50' 11'',,,1970,436920,6611,time
63,MARINO BASSO,62,MOLTENI,121h 24' 24'',+ 01h 52' 35'',,,1970,437064,6755,time
64,JEAN-PIERRE DANGUILLAUME,12,PEUGEOT-BP-MICHELIN,121h 24' 50'',+ 01h 53' 01'',,,1970,437090,6781,time
65,EDDY REYNIERS,107,MANN-GRUNDIG,121h 27' 01'',+ 01h 55' 12'',,,1970,437221,6912,time
66,GABRIEL MASCARO,48,KAS-KASKOL,121h 27' 07'',+ 01h 55' 18'',,,1970,437227,6918,time
67,DANIEL VAN RYCKEGHEM,109,MANN-GRUNDIG,121h 28' 33'',+ 01h 56' 44'',,,1970,437313,7004,time
68,VICTOR VAN SCHIL,9,FAEMA-FAEMINO,121h 31' 53'',+ 02h 00' 04'',,,1970,437513,7204,time
69,GÉRARD DAVID,113,FLANDRIA-DE CLERCK-KRUGER,121h 34' 44'',+ 02h 02' 55'',,,1970,437684,7375,time
70,JOSÉ CATIEAU,94,SONOLOR-LEJEUNE-WOLBER,121h 41' 23'',+ 02h 09' 34'',,,1970,438083,7774,time
71,PIETRO GUERRA,35,SALVARANI,121h 41' 56'',+ 02h 10' 07'',,,1970,438116,7807,time
72,RAYMOND RIOTTE,98,SONOLOR-LEJEUNE-WOLBER,121h 42' 43'',+ 02h 10' 54'',,,1970,438163,7854,time
73,GIANCARLO POLIDORI,148,SCIC,121h 43' 46'',+ 02h 11' 57'',,,1970,438226,7917,time
74,NEMESIO JIMENEZ,46,KAS-KASKOL,121h 44' 15'',+ 02h 12' 26'',,,1970,438255,7946,time
75,FRANS MINTJENS,5,FAEMA-FAEMINO,121h 45' 04'',+ 02h 13' 15'',,,1970,438304,7995,time
76,ROGER PINGEON,18,PEUGEOT-BP-MICHELIN,121h 51' 48'',+ 02h 19' 59'',,,1970,438708,8399,time
77,ROLAND BERLAND,81,BIC,121h 52' 17'',+ 02h 20' 28'',,,1970,438737,8428,time
78,HARM OTTENBROS,54,WILLEM II-GAZELLE,121h 52' 41'',+ 02h 20' 52'',,,1970,438761,8452,time
79,MICHEL PERIN,26,FAGOR-MERCIER-HUTCHINSON,121h 53' 22'',+ 02h 21' 33'',,,1970,438802,8493,time
80,JAN VAN KATWIJK,59,WILLEM II-GAZELLE,121h 53' 55'',+ 02h 22' 06'',,,1970,438835,8526,time
81,EDDY BEUGELS,111,FLANDRIA-DE CLERCK-KRUGER,121h 54' 39'',+ 02h 22' 50'',,,1970,438879,8570,time
82,JEAN-PIERRE GENET,22,FAGOR-MERCIER-HUTCHINSON,121h 58' 11'',+ 02h 26' 22'',,,1970,439091,8782,time
83,JEAN-MARIE LEBLANC,85,BIC,121h 59' 52'',+ 02h 28' 03'',,,1970,439192,8883,time
84,GEORGES CHAPPE,21,FAGOR-MERCIER-HUTCHINSON,122h 02' 19'',+ 02h 30' 30'',,,1970,439339,9030,time
85,MICHEL COULON,112,FLANDRIA-DE CLERCK-KRUGER,122h 03' 24'',+ 02h 31' 35'',,,1970,439404,9095,time
86,CEES ZOONTJENS,130,CABALLERO-LAURENS,122h 04' 15'',+ 02h 32' 26'',,,1970,439455,9146,time
87,ETIENNE ANTHEUNIS,2,FAEMA-FAEMINO,122h 04' 54'',+ 02h 33' 05'',,,1970,439494,9185,time
88,PIETER NASSEN,119,FLANDRIA-DE CLERCK-KRUGER,122h 05' 06'',+ 02h 33' 17'',,,1970,439506,9197,time
89,WILLY IN'T VEN,104,MANN-GRUNDIG,122h 06' 16'',+ 02h 34' 27'',,,1970,439576,9267,time
90,DOMINGO PERURENA,27,FAGOR-MERCIER-HUTCHINSON,122h 13' 46'',+ 02h 41' 57'',,,1970,440026,9717,time
91,MARC LIEVENS,118,FLANDRIA-DE CLERCK-KRUGER,122h 16' 41'',+ 02h 44' 52'',,,1970,440201,9892,time
92,CEES RENTMEESTER,125,CABALLERO-LAURENS,122h 18' 56'',+ 02h 47' 07'',,,1970,440336,10027,time
93,ROMANO TUMELLERO,138,FERRETTI,122h 22' 29'',+ 02h 50' 40'',,,1970,440549,10240,time
94,RENÉ DE BIE,101,MANN-GRUNDIG,122h 30' 39'',+ 02h 58' 50'',,,1970,441039,10730,time
95,SYLVAIN VASSEUR,90,BIC,122h 33' 50'',+ 03h 02' 01'',,,1970,441230,10921,time
96,LUCIANO DALLA BONA,33,SALVARANI,122h 51' 45'',+ 03h 19' 56'',,,1970,442305,11996,time
97,PIERRE GHISELINI,75,FRIMATIC-DE GRIBALDY-VIVA-WOLBER,122h 53' 38'',+ 03h 21' 49'',,,1970,442418,12109,time
98,JACQUES DE BOEVER,114,FLANDRIA-DE CLERCK-KRUGER,122h 55' 46'',+ 03h 23' 57'',,,1970,442546,12237,time
99,ADRIANO DURANTE,144,SCIC,123h 03' 29'',+ 03h 31' 40'',,,1970,443009,12700,time
100,FRITS HOOGERHEIDE,52,WILLEM II-GAZELLE,123h 26' 01'',+ 03h 54' 12'',,,1970,444361,14052,time
1,EDDY MERCKX,1,MOLTENI,96h 45' 14'',-,,,1971,348314,0,time
2,JOOP ZOETEMELK,20,MARS-FLANDRIA,96h 55' 05'',+ 00h 09' 51'',,,1971,348905,591,time
3,LUCIEN VAN IMPE,40,SONOLOR-LEJEUNE,96h 56' 20'',+ 00h 11' 06'',,,1971,348980,666,time
4,BERNARD THEVENET,80,PEUGEOT-BP-MICHELIN,97h 00' 04'',+ 00h 14' 50'',,,1971,349204,890,time
5,JOAQUIM AGOSTINHO,81,HOOVER-DE GRIBALDY,97h 06' 14'',+ 00h 21' 00'',,,1971,349574,1260,time
6,LEIF MORTENSEN,97,BIC,97h 06' 52'',+ 00h 21' 38'',,,1971,349612,1298,time
7,VIRGINIO LEVATI,56,SALVARANI,97h 08' 12'',+ 00h 22' 58'',,,1971,349692,1378,time
8,BERNARD LABOURDETTE,95,BIC,97h 15' 19'',+ 00h 30' 05'',,,1971,350119,1805,time
9,LUCIEN AIMAR,31,SONOLOR-LEJEUNE,97h 17' 57'',+ 00h 32' 43'',,,1971,350277,1963,time
10,VICENTE LOPEZ-CARRIL,66,KAS,97h 21' 12'',+ 00h 35' 58'',,,1971,350472,2158,time
11,FRANCISCO GALDOS,63,KAS,97h 27' 11'',+ 00h 41' 57'',,,1971,350831,2517,time
12,PRIMO MORI,57,SALVARANI,97h 32' 56'',+ 00h 47' 42'',,,1971,351176,2862,time
13,ANTONIO MARTOS,127,WERNER,97h 33' 25'',+ 00h 48' 11'',,,1971,351205,2891,time
14,HERMAN VANSPRINGEL,9,MOLTENI,97h 33' 32'',+ 00h 48' 18'',,,1971,351212,2898,time
15,AUGUSTIN TAMAMES,129,WERNER,97h 34' 31'',+ 00h 49' 17'',,,1971,351271,2957,time
16,MARINUS ''RINI'' WAGTMANS,10,MOLTENI,97h 38' 02'',+ 00h 52' 48'',,,1971,351482,3168,time
17,DÉSIRÉ LETORT,96,BIC,97h 43' 05'',+ 00h 57' 51'',,,1971,351785,3471,time
18,JEAN-PIERRE DANGUILLAUME,73,PEUGEOT-BP-MICHELIN,97h 44' 23'',+ 00h 59' 09'',,,1971,351863,3549,time
19,MAURO SIMONETTI,29,FERRETTI,97h 48' 19'',+ 01h 03' 05'',,,1971,352099,3785,time
20,JEAN DUMONT,76,PEUGEOT-BP-MICHELIN,97h 49' 02'',+ 01h 03' 48'',,,1971,352142,3828,time
21,VICTOR VAN SCHIL,8,MOLTENI,97h 52' 41'',+ 01h 07' 27'',,,1971,352361,4047,time
22,JOHNNY SCHLECK,99,BIC,97h 53' 48'',+ 01h 08' 34'',,,1971,352428,4114,time
23,MICHEL PERIN,48,FAGOR-MERCIER,97h 54' 32'',+ 01h 09' 18'',,,1971,352472,4158,time
24,LUIS-PEDRO SANTAMARINA,128,WERNER,97h 54' 41'',+ 01h 09' 27'',,,1971,352481,4167,time
25,OTTAVIO CREPALDI,51,SALVARANI,97h 56' 13'',+ 01h 10' 59'',,,1971,352573,4259,time
26,JEAN-PIERRE GENET,44,FAGOR-MERCIER,97h 59' 05'',+ 01h 13' 51'',,,1971,352745,4431,time
27,JOSEPH HUYSMANS,3,MOLTENI,97h 59' 54'',+ 01h 14' 40'',,,1971,352794,4480,time
28,BERNARD GUYOT,34,SONOLOR-LEJEUNE,98h 00' 54'',+ 01h 15' 40'',,,1971,352854,4540,time
29,FLORENT VAN VLIERBERGHE,30,FERRETTI,98h 02' 00'',+ 01h 16' 46'',,,1971,352920,4606,time
30,JOS VAN DER VLEUTEN,119,GOUDSMIT,98h 02' 01'',+ 01h 16' 47'',,,1971,352921,4607,time
31,MARIANO MARTINEZ,86,HOOVER-DE GRIBALDY,98h 03' 44'',+ 01h 18' 30'',,,1971,353024,4710,time
32,CHRISTIAN RAYMOND,79,PEUGEOT-BP-MICHELIN,98h 08' 37'',+ 01h 23' 23'',,,1971,353317,5003,time
33,VENTURA DIAZ,123,WERNER,98h 09' 43'',+ 01h 24' 29'',,,1971,353383,5069,time
34,RAYMOND RIOTTE,37,SONOLOR-LEJEUNE,98h 10' 26'',+ 01h 25' 12'',,,1971,353426,5112,time
35,ROGER SWERTS,7,MOLTENI,98h 12' 05'',+ 01h 26' 51'',,,1971,353525,5211,time
36,FRANCIS DUCREUX,92,BIC,98h 12' 54'',+ 01h 27' 40'',,,1971,353574,5260,time
37,ROLAND BERLAND,91,BIC,98h 15' 10'',+ 01h 29' 56'',,,1971,353710,5396,time
38,GABRIEL MASCARO,68,KAS,98h 17' 21'',+ 01h 32' 07'',,,1971,353841,5527,time
39,JEAN-CLAUDE GENTY,93,BIC,98h 18' 10'',+ 01h 32' 56'',,,1971,353890,5576,time
40,BARRY HOBAN,35,SONOLOR-LEJEUNE,98h 18' 12'',+ 01h 32' 58'',,,1971,353892,5578,time
41,ROBERT BOULOUX,71,PEUGEOT-BP-MICHELIN,98h 19' 32'',+ 01h 34' 18'',,,1971,353972,5658,time
42,GEORGES VANDENBERGHE,60,SALVARANI,98h 19' 55'',+ 01h 34' 41'',,,1971,353995,5681,time
43,JOSÉ CATIEAU,33,SONOLOR-LEJEUNE,98h 20' 25'',+ 01h 35' 11'',,,1971,354025,5711,time
44,JOSEPH SPRUYT,5,MOLTENI,98h 20' 49'',+ 01h 35' 35'',,,1971,354049,5735,time
45,LUIS BALAGUE,121,WERNER,98h 21' 28'',+ 01h 36' 14'',,,1971,354088,5774,time
46,JEAN-CLAUDE DAUNAT,83,HOOVER-DE GRIBALDY,98h 22' 51'',+ 01h 37' 37'',,,1971,354171,5857,time
47,KURT RUB,89,HOOVER-DE GRIBALDY,98h 24' 54'',+ 01h 39' 40'',,,1971,354294,5980,time
48,CHARLY GROSSKOST,94,BIC,98h 25' 39'',+ 01h 40' 25'',,,1971,354339,6025,time
49,JOSÉ-LUIS URIBEZUBIA,69,KAS,98h 26' 18'',+ 01h 41' 04'',,,1971,354378,6064,time
50,JAN KREKELS,115,GOUDSMIT,98h 27' 00'',+ 01h 41' 46'',,,1971,354420,6106,time
51,JEAN VIDAMENT,90,HOOVER-DE GRIBALDY,98h 27' 50'',+ 01h 42' 36'',,,1971,354470,6156,time
52,JOSÉ LOPEZ CANO,126,WERNER,98h 28' 10'',+ 01h 42' 56'',,,1971,354490,6176,time
53,JÉSUS MANZANEQUE,67,KAS,98h 28' 27'',+ 01h 43' 13'',,,1971,354507,6193,time
54,JEAN JACQUES SANQUER,38,SONOLOR-LEJEUNE,98h 28' 48'',+ 01h 43' 34'',,,1971,354528,6214,time
55,EDDY SCHUTZ,17,MARS-FLANDRIA,98h 29' 04'',+ 01h 43' 50'',,,1971,354544,6230,time
56,FRANÇOIS COQUERY,42,FAGOR-MERCIER,98h 30' 18'',+ 01h 45' 04'',,,1971,354618,6304,time
57,FRANS MINTJENS,4,MOLTENI,98h 31' 32'',+ 01h 46' 18'',,,1971,354692,6378,time
58,FERDINAND BRACKE,72,PEUGEOT-BP-MICHELIN,98h 31' 53'',+ 01h 46' 39'',,,1971,354713,6399,time
59,WIM PRINSEN,116,GOUDSMIT,98h 33' 39'',+ 01h 48' 25'',,,1971,354819,6505,time
60,JOSEPH BRUYERE,2,MOLTENI,98h 33' 48'',+ 01h 48' 34'',,,1971,354828,6514,time
61,NEMESIO JIMENEZ,65,KAS,98h 33' 59'',+ 01h 48' 45'',,,1971,354839,6525,time
62,ERIC DE VLAEMINCK,11,MARS-FLANDRIA,98h 34' 22'',+ 01h 49' 08'',,,1971,354862,6548,time
63,GERBEN KARSTENS,114,GOUDSMIT,98h 36' 00'',+ 01h 50' 46'',,,1971,354960,6646,time
64,WILMO FRANCIONI,25,FERRETTI,98h 36' 23'',+ 01h 51' 09'',,,1971,354983,6669,time
65,ALAIN VASSEUR,100,BIC,98h 41' 21'',+ 01h 56' 07'',,,1971,355281,6967,time
66,LUCIANO ARMANI,101,SCIC,98h 43' 23'',+ 01h 58' 09'',,,1971,355403,7089,time
67,FRANCISCO JULIA,130,WERNER,98h 45' 07'',+ 01h 59' 53'',,,1971,355507,7193,time
68,PIETRO GUERRA,55,SALVARANI,98h 47' 43'',+ 02h 02' 29'',,,1971,355663,7349,time
69,YVES RAVALEU,87,HOOVER-DE GRIBALDY,98h 49' 15'',+ 02h 04' 01'',,,1971,355755,7441,time
70,WILLY VAN NESTE,19,MARS-FLANDRIA,98h 50' 19'',+ 02h 05' 05'',,,1971,355819,7505,time
71,ROLF WOLFSHOHL,50,FAGOR-MERCIER,98h 50' 45'',+ 02h 05' 31'',,,1971,355845,7531,time
72,JOSE-MANUEL FUENTE,61,KAS,98h 50' 56'',+ 02h 05' 42'',,,1971,355856,7542,time
73,FRANCISCO GALDEANO,62,KAS,98h 51' 30'',+ 02h 06' 16'',,,1971,355890,7576,time
74,WILLY TEIRLINCK,39,SONOLOR-LEJEUNE,98h 53' 18'',+ 02h 08' 04'',,,1971,355998,7684,time
75,WARD Jansens,13,MARS-FLANDRIA,98h 53' 39'',+ 02h 08' 25'',,,1971,356019,7705,time
76,MATHIJS DE KONING,112,GOUDSMIT,98h 53' 59'',+ 02h 08' 45'',,,1971,356039,7725,time
77,RAYMOND DELISLE,75,PEUGEOT-BP-MICHELIN,98h 54' 35'',+ 02h 09' 21'',,,1971,356075,7761,time
78,ADRIANO PELLA,108,SCIC,98h 58' 29'',+ 02h 13' 15'',,,1971,356309,7995,time
79,PIERRE GHISELINI,85,HOOVER-DE GRIBALDY,98h 59' 03'',+ 02h 13' 49'',,,1971,356343,8029,time
80,HENK BENJAMINS,111,GOUDSMIT,98h 59' 57'',+ 02h 14' 43'',,,1971,356397,8083,time
81,RENÉ GRELIN,45,FAGOR-MERCIER,99h 04' 25'',+ 02h 19' 11'',,,1971,356665,8351,time
82,HUUB HARINGS,113,GOUDSMIT,99h 11' 23'',+ 02h 26' 09'',,,1971,357083,8769,time
83,CELESTINO VERCELLI,109,SCIC,99h 14' 40'',+ 02h 29' 26'',,,1971,357280,8966,time
84,ROBERT MINTKIEWICZ,36,SONOLOR-LEJEUNE,99h 20' 54'',+ 02h 35' 40'',,,1971,357654,9340,time
85,SANDRO QUINTARELLI,28,FERRETTI,99h 21' 33'',+ 02h 36' 19'',,,1971,357693,9379,time
86,SILVANO DAVO,52,SALVARANI,99h 23' 05'',+ 02h 37' 51'',,,1971,357785,9471,time
87,JAN VAN KATWIJK,120,GOUDSMIT,99h 26' 51'',+ 02h 41' 37'',,,1971,358011,9697,time
88,EDDY PEELMAN,47,FAGOR-MERCIER,99h 27' 04'',+ 02h 41' 50'',,,1971,358024,9710,time
89,PIERRE MARTELOZZO,78,PEUGEOT-BP-MICHELIN,99h 30' 59'',+ 02h 45' 45'',,,1971,358259,9945,time
90,JULIEN STEVENS,6,MOLTENI,99h 32' 35'',+ 02h 47' 21'',,,1971,358355,10041,time
91,ERIC LEMAN,14,MARS-FLANDRIA,99h 36' 52'',+ 02h 51' 38'',,,1971,358612,10298,time
92,ROBERTO BALLINI,22,FERRETTI,99h 37' 40'',+ 02h 52' 26'',,,1971,358660,10346,time
93,PIETER NASSEN,16,MARS-FLANDRIA,99h 43' 02'',+ 02h 57' 48'',,,1971,358982,10668,time
94,GEORGES CHAPPE,41,FAGOR-MERCIER,99h 50' 08'',+ 03h 04' 54'',,,1971,359408,11094,time
1,EDDY MERCKX,1,MOLTENI,108h 17' 18'',-,,,1972,389838,0,time
2,FELICE GIMONDI,92,SALVARANI,108h 27' 59'',+ 00h 10' 41'',,,1972,390479,641,time
3,RAYMOND POULIDOR,76,GAN-MERCIER-HUTCHINSON,108h 28' 52'',+ 00h 11' 34'',,,1972,390532,694,time
4,LUCIEN VAN IMPE,32,SONOLOR,108h 34' 03'',+ 00h 16' 45'',,,1972,390843,1005,time
5,JOOP ZOETEMELK,22,BEAULIEU-FLANDRIA,108h 36' 27'',+ 00h 19' 09'',,,1972,390987,1149,time
6,MARIANO MARTINEZ,50,DE GRIBALDY-MAGNIFLEX-VAN CAUTER,108h 38' 49'',+ 00h 21' 31'',,,1972,391129,1291,time
7,YVES HEZARD,25,SONOLOR,108h 39' 10'',+ 00h 21' 52'',,,1972,391150,1312,time
8,JOAQUIM AGOSTINHO,46,DE GRIBALDY-MAGNIFLEX-VAN CAUTER,108h 51' 34'',+ 00h 34' 16'',,,1972,391894,2056,time
9,BERNARD THEVENET,43,PEUGEOT-BP-MICHELIN,108h 54' 29'',+ 00h 37' 11'',,,1972,392069,2231,time
10,WARD Jansens,48,DE GRIBALDY-MAGNIFLEX-VAN CAUTER,108h 59' 51'',+ 00h 42' 33'',,,1972,392391,2553,time
11,RAYMOND DELISLE,37,PEUGEOT-BP-MICHELIN,109h 03' 45'',+ 00h 46' 27'',,,1972,392625,2787,time
12,LEIF MORTENSEN,61,BIC,109h 03' 57'',+ 00h 46' 39'',,,1972,392637,2799,time
13,TONY HOUBRECHTS,95,SALVARANI,109h 04' 59'',+ 00h 47' 41'',,,1972,392699,2861,time
14,ROGER SWERTS,9,MOLTENI,109h 06' 46'',+ 00h 49' 28'',,,1972,392806,2968,time
15,MARTIN VAN DEN BOSSCHE,10,MOLTENI,109h 16' 51'',+ 00h 59' 33'',,,1972,393411,3573,time
16,FRANS VEERBECK,131,WATNEY-AVIA,109h 17' 27'',+ 01h 00' 09'',,,1972,393447,3609,time
17,LUCIEN AIMAR,78,ROKADO,109h 20' 59'',+ 01h 03' 41'',,,1972,393659,3821,time
18,TINO TABAK,105,GOUDSMIT-HOFF,109h 21' 27'',+ 01h 04' 09'',,,1972,393687,3849,time
19,MICHEL PERIN,75,GAN-MERCIER-HUTCHINSON,109h 23' 37'',+ 01h 06' 19'',,,1972,393817,3979,time
20,KARL-HEINZ KUNDE,82,ROKADO,109h 27' 27'',+ 01h 10' 09'',,,1972,394047,4209,time
21,JEAN-PIERRE DANGUILLAUME,35,PEUGEOT-BP-MICHELIN,109h 32' 09'',+ 01h 14' 51'',,,1972,394329,4491,time
22,JOS DE SCHOENMACKER,3,MOLTENI,109h 38' 46'',+ 01h 21' 28'',,,1972,394726,4888,time
23,HERMANN Beyssens,47,DE GRIBALDY-MAGNIFLEX-VAN CAUTER,109h 41' 09'',+ 01h 23' 51'',,,1972,394869,5031,time
24,ROLF WOLFSHOHL,88,ROKADO,109h 42' 17'',+ 01h 24' 59'',,,1972,394937,5099,time
25,MATHIEU PUSTJENS,27,SONOLOR,109h 43' 51'',+ 01h 26' 33'',,,1972,395031,5193,time
26,JOSEPH BRUYERE,2,MOLTENI,109h 44' 38'',+ 01h 27' 20'',,,1972,395078,5240,time
27,WALTER RICCI,28,SONOLOR,109h 47' 30'',+ 01h 30' 12'',,,1972,395250,5412,time
28,JOSEPH HUYSMANS,4,MOLTENI,109h 48' 47'',+ 01h 31' 29'',,,1972,395327,5489,time
29,GUY SANTY,64,BIC,109h 48' 53'',+ 01h 31' 35'',,,1972,395333,5495,time
30,JOHNNY SCHLECK,65,BIC,109h 49' 24'',+ 01h 32' 06'',,,1972,395364,5526,time
31,RONALD DE WITTE,38,PEUGEOT-BP-MICHELIN,109h 51' 40'',+ 01h 34' 22'',,,1972,395500,5662,time
32,JOËL MILLARD,51,DE GRIBALDY-MAGNIFLEX-VAN CAUTER,109h 54' 46'',+ 01h 37' 28'',,,1972,395686,5848,time
33,WILLY VAN NESTE,21,BEAULIEU-FLANDRIA,109h 56' 29'',+ 01h 39' 11'',,,1972,395789,5951,time
34,GILBERT BELLONE,79,ROKADO,109h 56' 57'',+ 01h 39' 39'',,,1972,395817,5979,time
35,SYLVAIN VASSEUR,66,BIC,109h 58' 31'',+ 01h 41' 13'',,,1972,395911,6073,time
36,GÉRARD MONEYRON,73,GAN-MERCIER-HUTCHINSON,109h 59' 04'',+ 01h 41' 46'',,,1972,395944,6106,time
37,FRANS MINTJENS,7,MOLTENI,109h 29' 11'',+ 01h 11' 53'',,,1972,394151,4313,time
38,JEAN-PIERRE PARENTEAU,40,PEUGEOT-BP-MICHELIN,110h 01' 35'',+ 01h 44' 17'',,,1972,396095,6257,time
39,PRIMO MORI,96,SALVARANI,110h 02' 09'',+ 01h 44' 51'',,,1972,396129,6291,time
40,ROLAND BERLAND,57,BIC,110h 03' 06'',+ 01h 45' 48'',,,1972,396186,6348,time
41,WILFRIED DAVID,36,PEUGEOT-BP-MICHELIN,110h 06' 10'',+ 01h 48' 52'',,,1972,396370,6532,time
42,DIETER PUSCHEL,85,ROKADO,110h 07' 27'',+ 01h 50' 09'',,,1972,396447,6609,time
43,MARC LIEVENS,6,MOLTENI,110h 07' 59'',+ 01h 50' 41'',,,1972,396479,6641,time
44,WALTER GODEFROOT,39,PEUGEOT-BP-MICHELIN,110h 11' 11'',+ 01h 53' 53'',,,1972,396671,6833,time
45,JÜRGEN TSCHAN,44,PEUGEOT-BP-MICHELIN,110h 13' 15'',+ 01h 55' 57'',,,1972,396795,6957,time
46,JEAN-CLAUDE LARGEAU,52,DE GRIBALDY-MAGNIFLEX-VAN CAUTER,110h 16' 56'',+ 01h 59' 38'',,,1972,397016,7178,time
47,CHRISTIAN RAYMOND,42,PEUGEOT-BP-MICHELIN,110h 18' 15'',+ 02h 00' 57'',,,1972,397095,7257,time
48,RAYMOND RIOTTE,29,SONOLOR,110h 18' 40'',+ 02h 01' 22'',,,1972,397120,7282,time
49,LUDO VAN STAEYEN,55,DE GRIBALDY-MAGNIFLEX-VAN CAUTER,110h 19' 56'',+ 02h 02' 38'',,,1972,397196,7358,time
50,GEORGES CHAPPE,114,GITANE,110h 19' 59'',+ 02h 02' 41'',,,1972,397199,7361,time
51,WILLY IN'T VEN,5,MOLTENI,110h 20' 26'',+ 02h 03' 08'',,,1972,397226,7388,time
52,KARL-HEINZ MUDDEMAN,83,ROKADO,110h 21' 19'',+ 02h 04' 01'',,,1972,397279,7441,time
53,GIACINTO SANTAMBROGIO,98,SALVARANI,110h 21' 22'',+ 02h 04' 04'',,,1972,397282,7444,time
54,MARINUS ''RINI'' WAGTMANS,110,GOUDSMIT-HOFF,110h 22' 20'',+ 02h 05' 02'',,,1972,397340,7502,time
55,MICHAËL WRIGHT,121,GITANE,110h 25' 46'',+ 02h 08' 28'',,,1972,397546,7708,time
56,JÉSUS ARANZABAL,56,BIC,110h 27' 59'',+ 02h 10' 41'',,,1972,397679,7841,time
57,RENÉ GRENIER,116,GITANE,110h 28' 44'',+ 02h 11' 26'',,,1972,397724,7886,time
58,JACKY MOURIOUX,74,GAN-MERCIER-HUTCHINSON,110h 28' 52'',+ 02h 11' 34'',,,1972,397732,7894,time
59,GÉRARD DAVID,13,BEAULIEU-FLANDRIA,110h 29' 08'',+ 02h 11' 50'',,,1972,397748,7910,time
60,GERBEN KARSTENS,81,ROKADO,110h 29' 55'',+ 02h 12' 37'',,,1972,397795,7957,time
61,WIM PRINSEN,104,GOUDSMIT-HOFF,110h 32' 01'',+ 02h 14' 43'',,,1972,397921,8083,time
62,RONNY VAN MARCKE,20,BEAULIEU-FLANDRIA,110h 33' 49'',+ 02h 16' 31'',,,1972,398029,8191,time
63,WILFRIED PEFFGEN,84,ROKADO,110h 33' 04'',+ 02h 15' 46'',,,1972,397984,8146,time
64,JEAN-CLAUDE GENTY,58,BIC,110h 33' 08'',+ 02h 15' 50'',,,1972,397988,8150,time
65,WILLY ABBELOOS,45,DE GRIBALDY-MAGNIFLEX-VAN CAUTER,110h 34' 37'',+ 02h 17' 19'',,,1972,398077,8239,time
66,WILLY TEIRLINCK,31,SONOLOR,110h 38' 14'',+ 02h 20' 56'',,,1972,398294,8456,time
67,EDDY VERSTRAETEN,132,WATNEY-AVIA,110h 39' 12'',+ 02h 21' 54'',,,1972,398352,8514,time
68,MARC SOHET,128,WATNEY-AVIA,110h 42' 35'',+ 02h 25' 17'',,,1972,398555,8717,time
69,PAUL AERTS,122,WATNEY-AVIA,110h 43' 54'',+ 02h 26' 36'',,,1972,398634,8796,time
70,BARRY HOBAN,72,GAN-MERCIER-HUTCHINSON,110h 44' 35'',+ 02h 27' 17'',,,1972,398675,8837,time
71,GÉRARD VIANEN,109,GOUDSMIT-HOFF,110h 44' 42'',+ 02h 27' 24'',,,1972,398682,8844,time
72,JEAN-CLAUDE DAUNAT,115,GITANE,110h 46' 21'',+ 02h 29' 03'',,,1972,398781,8943,time
73,JOS VAN DER VLEUTEN,106,GOUDSMIT-HOFF,110h 46' 56'',+ 02h 29' 38'',,,1972,398816,8978,time
74,PIETRO CAMPAGNARI,90,SALVARANI,110h 47' 57'',+ 02h 30' 39'',,,1972,398877,9039,time
