,Rank,Rider,Team,Times,Gap,B,P,Year,Distance (km),Number of stages,TotalSeconds,GapSeconds,ResultType
0,1,MAURICE GARIN,TDF 1903 ***,94h 33' 14'',-,,,1903,2428,6,340394,0,time
1,2,LUCIEN POTHIER,TDF 1903 ***,97h 32' 35'',+ 02h 59' 21'',,,1903,2428,6,351155,10761,time
2,3,FERNAND AUGEREAU,TDF 1903 ***,99h 02' 38'',+ 04h 29' 24'',,,1903,2428,6,356558,16164,time
3,4,RODOLPHE MULLER,TDF 1903 ***,99h 12' 44'',+ 04h 39' 30'',,,1903,2428,6,357164,16770,time
4,5,JEAN-BAPTISTE FISCHER,TDF 1903 ***,99h 41' 58'',+ 05h 08' 44'',,,1903,2428,6,358918,18524,time
5,6,MARCEL KERFF,TDF 1903 ***,101h 37' 38'',+ 07h 04' 24'',,,1903,2428,6,365858,25464,time
6,7,DIT SAMSON JULIEN LOOTENS,TDF 1903 ***,104h 06' 22'',+ 09h 33' 08'',,,1903,2428,6,374782,34388,time
7,8,GEORGES PASQUIER,TDF 1903 ***,105h 59' 18'',+ 11h 26' 04'',,,1903,2428,6,381558,41164,time
8,9,FRANÇOIS BEAUGENDRE,TDF 1903 ***,106h 27' 28'',+ 11h 54' 14'',,,1903,2428,6,383248,42854,time
9,10,ALOIS CATTEAU,TDF 1903 ***,108h 20' 11'',+ 13h 46' 57'',,,1903,2428,6,390011,49617,time
10,11,JEAN DARGASSIES,TDF 1903 ***,109h 25' 05'',+ 14h 51' 51'',,,1903,2428,6,393905,53511,time
11,12,FERDINAND PAYAN,TDF 1903 ***,109h 44' 27'',+ 15h 11' 13'',,,1903,2428,6,395067,54673,time
12,13,JULIEN GIRBE,TDF 1903 ***,113h 52' 17'',+ 19h 19' 03'',,,1903,2428,6,409937,69543,time
13,14,ISIDORE LE CHARTIER,TDF 1903 ***,114h 40' 38'',+ 20h 07' 24'',,,1903,2428,6,412838,72444,time
14,15,JOSEF FISCHER,TDF 1903 ***,115h 49' 51'',+ 21h 16' 37'',,,1903,2428,6,416991,76597,time
15,16,ALEXANDRE FOUREAUX,TDF 1903 ***,122h 26' 17'',+ 27h 53' 03'',,,1903,2428,6,440777,100383,time
16,17,RENÉ SALAIS,TDF 1903 ***,123h 10' 08'',+ 28h 36' 54'',,,1903,2428,6,443408,103014,time
17,18,EMILE MOULIN,TDF 1903 ***,140h 16' 40'',+ 45h 43' 26'',,,1903,2428,6,505000,164606,time
18,19,GEORGES BOROT,TDF 1903 ***,142h 11' 14'',+ 47h 38' 00'',,,1903,2428,6,511874,171480,time
19,20,PIERRE DESVAGES,TDF 1903 ***,153h 27' 30'',+ 58h 54' 16'',,,1903,2428,6,552450,0,time
20,21,ARSÈNE MILLOCHEAU,TDF 1903 ***,155h 30' 44'',+ 60h 57' 30'',,,1903,2428,6,559844,0,time
21,1,HENRI CORNET (GEBOREN JARDY),TDF 1904 ***,96h 05' 55'',-,,,1904,2428,6,345955,0,time
22,2,JEAN-BAPTISTE DORTIGNACQ,TDF 1904 ***,98h 22' 09'',+ 02h 16' 14'',,,1904,2428,6,354129,8174,time
23,3,ALOIS CATTEAU,TDF 1904 ***,105h 07' 20'',+ 09h 01' 25'',,,1904,2428,6,378440,32485,time
24,4,JEAN DARGASSIES,TDF 1904 ***,107h 10' 25'',+ 11h 04' 30'',,,1904,2428,6,385825,39870,time
25,5,JULIEN MAITRON,TDF 1904 ***,113h 12' 10'',+ 17h 06' 15'',,,1904,2428,6,407530,61575,time
26,6,AUGUSTE DAUMAIN,TDF 1904 ***,116h 50' 31'',+ 20h 44' 36'',,,1904,2428,6,420631,74676,time
27,7,LOUIS COLSAET,TDF 1904 ***,117h 50' 15'',+ 21h 44' 20'',,,1904,2428,6,424215,78260,time
28,8,ACHILLE COLAS,TDF 1904 ***,119h 15' 45'',+ 23h 09' 50'',,,1904,2428,6,429345,83390,time
29,9,RENÉ SAGET,TDF 1904 ***,120h 01' 11'',+ 23h 55' 16'',,,1904,2428,6,432071,86116,time
30,10,GUSTAVE DRIOUL,TDF 1904 ***,125h 00' 34'',+ 28h 54' 39'',,,1904,2428,6,450034,104079,time
31,11,HENRI PARET,TDF 1904 ***,126h 24' 24'',+ 30h 18' 29'',,,1904,2428,6,455064,109109,time
32,12,AUGUSTE GAUTHIER,TDF 1904 ***,127h 19' 47'',+ 31h 13' 52'',,,1904,2428,6,458387,112432,time
33,13,AUGUSTE RIST,TDF 1904 ***,129h 07' 05'',+ 33h 01' 10'',,,1904,2428,6,464825,118870,time
34,14,NICOLAS DAMELINCOURT,TDF 1904 ***,142h 44' 48'',+ 46h 38' 53'',,,1904,2428,6,513888,167933,time
35,15,ANTOINE DEFLOTRIERE,TDF 1904 ***,196h 34' 37'',+ 100h 28' 42'',,,1904,2428,6,707677,0,time
36,1,LOUIS TROUSSELIER,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
37,2,HIPPOLYTE AUCOUTURIER,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
38,3,JEAN-BAPTISTE DORTIGNACQ,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
39,4,EMILE GEORGET,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
40,5,LUCIEN MAZAN DIT PETIT-BRETON,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
41,6,AUGUSTINN RINGEVAL,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
42,7,PAUL CHAUVET,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
43,8,PHILIPPE PAUTRAT,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
44,9,JULIEN GABORY,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
45,10,JULIEN MAITRON,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
46,11,ALOIS CATTEAU,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
47,12,MARTIN SOULIE,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
48,13,LÉON LEYGOUTTE,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
49,14,CAMILLE FILY,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
50,15,ANTOINE WATTELIER,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
51,16,HENRI LIGNON,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
52,17,MAURICE DECAUP,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
53,18,MAURICE CARRERE,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
54,19,GUSTAVE GUILLARME,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
55,20,LUDO LOOS,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
56,21,PINCHAU,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
57,22,EUGÈNE VENTRESQUE,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
58,23,FERNAND LALLEMENT,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
59,24,CLOVIS LACROIX,TDF 1905 ***,00h 00' 00'',-,,,1905,2994,11,0,0,null
60,1,RENÉ POTTIER,TDF 1906 ***,00h 00' 00'',-,,,1906,4637,14,0,0,null
61,2,GEORGES PASSERIEU,TDF 1906 ***,00h 00' 00'',-,,,1906,4637,14,0,0,null
62,3,LOUIS TROUSSELIER,TDF 1906 ***,00h 00' 00'',-,,,1906,4637,14,0,0,null
63,4,LUCIEN MAZAN DIT PETIT-BRETON,TDF 1906 ***,00h 00' 00'',-,,,1906,4637,14,0,0,null
64,5,EMILE GEORGET,TDF 1906 ***,00h 00' 00'',-,,,1906,4637,14,0,0,null
65,6,ALOIS CATTEAU,TDF 1906 ***,00h 00' 00'',-,,,1906,4637,14,0,0,null
66,7,EDOUARD WATTELIER,TDF 1906 ***,00h 00' 00'',-,,,1906,4637,14,0,0,null
67,8,LÉON GEORGET,TDF 1906 ***,00h 00' 00'',-,,,1906,4637,14,0,0,null
68,9,EUGÈNE CHRISTOPHE,TDF 1906 ***,00h 00' 00'',-,,,1906,4637,14,0,0,null
69,10,ANTOINE WATTELIER,TDF 1906 ***,00h 00' 00'',-,,,1906,4637,14,0,0,null
70,11,GEORGES FLEURY,TDF 1906 ***,00h 00' 00'',-,,,1906,4637,14,0,0,null
71,12,FERDINAND PAYAN,TDF 1906 ***,00h 00' 00'',-,,,1906,4637,14,0,0,null
72,13,LÉON WINANT,TDF 1906 ***,00h 00' 00'',-,,,1906,4637,14,0,0,null
73,14,GEORGES BRONCHARD,TDF 1906 ***,00h 00' 00'',-,,,1906,4637,14,0,0,null
74,1,LUCIEN MAZAN DIT PETIT-BRETON,TDF 1907 ***,47h 00' 00'',-,,,1907,4488,14,169200,0,points
75,2,GUSTAVE GARRIGOU,TDF 1907 ***,66h 00' 00'',-,,,1907,4488,14,237600,0,points
76,3,EMILE GEORGET,TDF 1907 ***,74h 00' 00'',-,,,1907,4488,14,266400,0,points
77,4,GEORGES PASSERIEU,TDF 1907 ***,85h 00' 00'',-,,,1907,4488,14,306000,0,points
78,5,FRANÇOIS BEAUGENDRE,TDF 1907 ***,123h 00' 00'',-,,,1907,4488,14,442800,0,points
79,6,EBERADO PAVESI,TDF 1907 ***,150h 00' 00'',-,,,1907,4488,14,540000,0,points
80,7,FRANÇOIS FABER,TDF 1907 ***,156h 00' 00'',-,,,1907,4488,14,561600,0,points
81,8,AUGUSTINN RINGEVAL,TDF 1907 ***,184h 00' 00'',-,,,1907,4488,14,662400,0,points
82,9,ALOIS CATTEAU,TDF 1907 ***,189h 00' 00'',-,,,1907,4488,14,680400,0,points
83,10,FERDINAND PAYAN,TDF 1907 ***,227h 00' 00'',-,,,1907,4488,14,817200,0,points
84,11,PIERRE PRIVAT,TDF 1907 ***,251h 00' 00'',-,,,1907,4488,14,903600,0,points
85,12,GEORGES FLEURY,TDF 1907 ***,274h 00' 00'',-,,,1907,4488,14,986400,0,points
86,13,FRANÇOIS LAFOURCADE,TDF 1907 ***,299h 00' 00'',-,,,1907,4488,14,1076400,0,points
87,14,MARIUS VILETTE,TDF 1907 ***,333h 00' 00'',-,,,1907,4488,14,1198800,0,points
88,15,ALZIR VIVIER,TDF 1907 ***,340h 00' 00'',-,,,1907,4488,14,1224000,0,points
89,16,GASTON TUVACHE,TDF 1907 ***,348h 00' 00'',-,,,1907,4488,14,1252800,0,points
90,17,EUGÈNE DELHAYE,TDF 1907 ***,378h 00' 00'',-,,,1907,4488,14,1360800,0,points
91,18,BAPTISTE ROUX,TDF 1907 ***,389h 00' 00'',-,,,1907,4488,14,1400400,0,points
92,19,PHILIPPE PAUTRAT,TDF 1907 ***,393h 00' 00'',-,,,1907,4488,14,1414800,0,points
93,20,HENRI TIMMERMANN,TDF 1907 ***,411h 00' 00'',-,,,1907,4488,14,1479600,0,points
94,21,GEORGES BRONCHARD,TDF 1907 ***,414h 00' 00'',-,,,1907,4488,14,1490400,0,points
95,22,MARCEAU NARCY,TDF 1907 ***,416h 00' 00'',-,,,1907,4488,14,1497600,0,points
96,23,HONORÉ GENIN,TDF 1907 ***,434h 00' 00'',-,,,1907,4488,14,1562400,0,points
97,24,EDOUARD WATTELIER,TDF 1907 ***,436h 00' 00'',-,,,1907,4488,14,1569600,0,points
98,25,ALBERT BAUDET,TDF 1907 ***,439h 00' 00'',-,,,1907,4488,14,1580400,0,points
99,26,ALFRED LE BARS,TDF 1907 ***,479h 00' 00'',-,,,1907,4488,14,1724400,0,points
100,27,ALFRED QUENON,TDF 1907 ***,487h 00' 00'',-,,,1907,4488,14,1753200,0,points
101,28,LOUIS LORILLON,TDF 1907 ***,491h 00' 00'',-,,,1907,4488,14,1767600,0,points
102,29,RENÉ FLEURY,TDF 1907 ***,495h 00' 00'',-,,,1907,4488,14,1782000,0,points
103,30,OCTAVE NOEL,TDF 1907 ***,505h 00' 00'',-,,,1907,4488,14,1818000,0,points
104,31,ALBERT GERAUD,TDF 1907 ***,515h 00' 00'',-,,,1907,4488,14,1854000,0,points
105,32,MARCEL DOZOL,TDF 1907 ***,522h 00' 00'',-,,,1907,4488,14,1879200,0,points
106,33,ALBERT CHARTIER,TDF 1907 ***,568h 00' 00'',-,,,1907,4488,14,2044800,0,points
107,1,LUCIEN MAZAN DIT PETIT-BRETON,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
108,2,FRANÇOIS FABER,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
109,3,GEORGES PASSERIEU,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
110,4,GUSTAVE GARRIGOU,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
111,5,LUIGI GANNA,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
112,6,GEORGES PAULMIER,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
113,7,GEORGES FLEURY,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
114,8,HENRI CORNET (GEBOREN JARDY),TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
115,9,MARCEL GODIVIER,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
116,10,GIOVANNI ROSSIGNOLI,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
117,11,PAUL DUBOC,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
118,12,CLEMENTE CANEPARI,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
119,13,OMER BEAUGENDRE,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
120,14,PAUL CHAUVET,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
121,15,EUGÈNE FORESTIER,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
122,16,ACHILLE GERMAIN,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
123,17,ANDRÉ POTTIER,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
124,18,"ERNEST, DIT ''FABER ERNEST'' PAUL",TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
125,19,ALDO BETTINI,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
126,20,GIOVANNI GERBI,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
127,21,ALOIS CATTEAU,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
128,22,MARCEAU NARCY,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
129,23,MARTIN SOULIE,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
130,24,FERDINAND PAYAN,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
131,25,NOËL COMBELLES,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
132,26,GONZALES,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
133,27,ALEXANDRE BODINIER,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
134,28,EDOUARD WATTELIER,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
135,29,GEORGES BRONCHARD,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
136,30,ROBERT LECOINTE,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
137,31,ANTOINE WATTELIER,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
138,32,ELOI GUICHARD,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
139,33,LÉON RABOT,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
140,34,JEAN DARCHE,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
141,35,LOUIS DI MARIA,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
142,36,HENRI ANTHOINE,TDF 1908 ***,00h 00' 00'',-,,,1908,4488,15,0,0,null
143,1,FRANÇOIS FABER,ALCYON,37h 00' 00'',-,,,1909,4497,14,133200,0,points
144,2,GUSTAVE GARRIGOU,ALCYON,57h 00' 00'',-,,,1909,4497,14,205200,0,points
145,3,JEAN ALAVOINE,ALCYON,66h 00' 00'',-,,,1909,4497,14,237600,0,points
146,4,PAUL DUBOC,ALCYON,70h 00' 00'',-,,,1909,4497,14,252000,0,points
147,5,CYRILLE VAN HAUWAERT,ALCYON,92h 00' 00'',-,,,1909,4497,14,331200,0,points
148,6,"ERNEST, DIT ''FABER ERNEST'' PAUL",ISOLES,95h 00' 00'',-,,,1909,4497,14,342000,0,points
149,7,CONSTANT MENAGER,LE GLOBE,102h 00' 00'',-,,,1909,4497,14,367200,0,points
150,8,LOUIS TROUSSELIER,ALCYON,114h 00' 00'',-,,,1909,4497,14,410400,0,points
151,9,EUGÈNE CHRISTOPHE,ISOLES,139h 00' 00'',-,,,1909,4497,14,500400,0,points
152,10,ALDO BETTINI,ISOLES,142h 00' 00'',-,,,1909,4497,14,511200,0,points
153,11,JULIEN MAITRON,LE GLOBE,148h 00' 00'',-,,,1909,4497,14,532800,0,points
154,12,GEORGES FLEURY,LE GLOBE,152h 00' 00'',-,,,1909,4497,14,547200,0,points
155,13,ALFRED FAURE,ISOLES,205h 00' 00'',-,,,1909,4497,14,738000,0,points
156,14,MARIO GAJONI,LEGNANO,210h 00' 00'',-,,,1909,4497,14,756000,0,points
157,15,ATTILIO ZAVATTI,LEGNANO,241h 00' 00'',-,,,1909,4497,14,867600,0,points
158,16,JULES DELOFFRE,NIL-SUPRA,252h 00' 00'',-,,,1909,4497,14,907200,0,points
159,17,JOSEPH HABIERRE,ISOLES,296h 00' 00'',-,,,1909,4497,14,1065600,0,points
160,18,ILDEBRANDO GAMBERINI,FELSINA,305h 00' 00'',-,,,1909,4497,14,1098000,0,points
161,19,ALFRED LE BARS,ISOLES,317h 00' 00'',-,,,1909,4497,14,1141200,0,points
162,20,EMILE LACHAISE,ISOLES,327h 00' 00'',-,,,1909,4497,14,1177200,0,points
163,21,LUCIEN LEMAN,ISOLES,341h 00' 00'',-,,,1909,4497,14,1227600,0,points
164,22,LÉON RABOT,ISOLES,343h 00' 00'',-,,,1909,4497,14,1234800,0,points
165,23,GEORGES OUDIN,ISOLES,345h 00' 00'',-,,,1909,4497,14,1242000,0,points
166,24,AMÉDÉE DUTIRON,ISOLES,351h 00' 00'',-,,,1909,4497,14,1263600,0,points
167,26,PIERRE LANGLADE,ISOLES,404h 00' 00'',-,,,1909,4497,14,1454400,0,points
168,27,ANGELO MAGNANOLI,FELSINA,407h 00' 00'',-,,,1909,4497,14,1465200,0,points
169,28,ANTOINE WATTELIER,ISOLES,411h 00' 00'',-,,,1909,4497,14,1479600,0,points
170,29,ALFRED VAIDIS,ISOLES,450h 00' 00'',-,,,1909,4497,14,1620000,0,points
171,30,HENRI ALAVOINE,ISOLES,467h 00' 00'',-,,,1909,4497,14,1681200,0,points
172,31,PAUL BOILLAT,ISOLES,471h 00' 00'',-,,,1909,4497,14,1695600,0,points
173,32,AMLETO BELLONI,ISOLES,477h 00' 00'',-,,,1909,4497,14,1717200,0,points
174,33,RENÉ CHAUDE,ISOLES,479h 00' 00'',-,,,1909,4497,14,1724400,0,points
175,34,JOSEPH LEBLANC,ISOLES,481h 00' 00'',-,,,1909,4497,14,1731600,0,points
176,35,AUGUSTE DENIZOT,ISOLES,484h 00' 00'',-,,,1909,4497,14,1742400,0,points
177,36,AUGUSTE DUFOUR,ISOLES,491h 00' 00'',-,,,1909,4497,14,1767600,0,points
178,37,ANTOINE FAURE,ISOLES,495h 00' 00'',-,,,1909,4497,14,1782000,0,points
179,38,ALBERT LAGARNIER,ISOLES,518h 00' 00'',-,,,1909,4497,14,1864800,0,points
180,39,RODOLPHE MEILI,ISOLES,548h 00' 00'',-,,,1909,4497,14,1972800,0,points
181,40,LOUIS GARDENT,ISOLES,549h 00' 00'',-,,,1909,4497,14,1976400,0,points
182,41,ROGER RIVIERE,ISOLES,556h 00' 00'',-,,,1909,4497,14,2001600,0,points
183,42,FRANÇOIS ROCHE,ISOLES,561h 00' 00'',-,,,1909,4497,14,2019600,0,points
184,43,LUCIEN COLIN,ISOLES,569h 00' 00'',-,,,1909,4497,14,2048400,0,points
185,44,ANDRÉ HERBELIN,ISOLES,573h 00' 00'',-,,,1909,4497,14,2062800,0,points
186,45,JEAN PERRUCA,ISOLES,579h 00' 00'',-,,,1909,4497,14,2084400,0,points
187,46,EUGÈNE LEROY,ISOLES,596h 31' 23'',-,,,1909,4497,14,2147483,0,points
188,47,CAMILLE MATHIEU,ISOLES,596h 31' 23'',-,,,1909,4497,14,2147483,0,points
189,48,CHARLES PONSON,ISOLES,596h 31' 23'',-,,,1909,4497,14,2147483,0,points
190,49,PAUL PIETROIS,ISOLES,596h 31' 23'',-,,,1909,4497,14,2147483,0,points
191,50,LOUIS DI MARIA,ISOLES,596h 31' 23'',-,,,1909,4497,14,2147483,0,points
192,51,HENRI ANTHOINE,ISOLES,596h 31' 23'',-,,,1909,4497,14,2147483,0,points
193,52,HENRI ORY,ISOLES,596h 31' 23'',-,,,1909,4497,14,2147483,0,points
194,53,ERNEST GOUJON,ISOLES,596h 31' 23'',-,,,1909,4497,14,2147483,0,points
195,54,ALFRED GUIDEZ,ISOLES,596h 31' 23'',-,,,1909,4497,14,2147483,0,points
196,55,GEORGES DEVILLY,ISOLES,596h 31' 23'',-,,,1909,4497,14,2147483,0,points
197,1,OCTAVE LAPIZE,ALCYON,63h 00' 00'',-,,,1910,4734,15,226800,0,points
198,2,FRANÇOIS FABER,ALCYON,67h 00' 00'',-,,,1910,4734,15,241200,0,points
199,3,GUSTAVE GARRIGOU,ALCYON,86h 00' 00'',-,,,1910,4734,15,309600,0,points
200,4,CYRILLE VAN HAUWAERT,ALCYON,97h 00' 00'',-,,,1910,4734,15,349200,0,points
201,5,CHARLES CRUCHON,ISOLES,119h 00' 00'',-,,,1910,4734,15,428400,0,points
202,6,CHARLES CRUPELANDT,LE GLOBE,146h 00' 00'',-,,,1910,4734,15,525600,0,points
203,7,"ERNEST, DIT ''FABER ERNEST'' PAUL",ISOLES,154h 00' 00'',-,,,1910,4734,15,554400,0,points
204,8,ANDRÉ BLAISE,ALCYON,166h 00' 00'',-,,,1910,4734,15,597600,0,points
205,9,JULIEN MAITRON,LE GLOBE,171h 00' 00'',-,,,1910,4734,15,615600,0,points
206,10,ALDO BETTINI,ALCYON,175h 00' 00'',-,,,1910,4734,15,630000,0,points
207,11,PIERINO ALBINI,LEGNANO,176h 00' 00'',-,,,1910,4734,15,633600,0,points
208,12,GEORGES PAULMIER,LE GLOBE,182h 00' 00'',-,,,1910,4734,15,655200,0,points
209,13,ERNESTO AZZINI,LEGNANO,194h 00' 00'',-,,,1910,4734,15,698400,0,points
210,14,FRANÇOIS LAFOURCADE,ISOLES,205h 00' 00'',-,,,1910,4734,15,738000,0,points
211,15,JULES DELOFFRE,LE GLOBE,213h 00' 00'',-,,,1910,4734,15,766800,0,points
212,16,HENRI CORNET (GEBOREN JARDY),LE GLOBE,214h 00' 00'',-,,,1910,4734,15,770400,0,points
213,17,LUIGI AZZINI,LEGNANO,220h 00' 00'',-,,,1910,4734,15,792000,0,points
214,18,CONSTANT MENAGER,LEGNANO,222h 00' 00'',-,,,1910,4734,15,799200,0,points
215,19,AUGUSTINN RINGEVAL,ISOLES,241h 00' 00'',-,,,1910,4734,15,867600,0,points
216,20,FRÉDÉRIC SAILLOT,LE GLOBE,258h 00' 00'',-,,,1910,4734,15,928800,0,points
217,21,MAURICE PARDON,ISOLES,316h 00' 00'',-,,,1910,4734,15,1137600,0,points
218,22,JOSEPH LEBLANC,ISOLES,346h 00' 00'',-,,,1910,4734,15,1245600,0,points
219,23,GEORGES FLEURY,ISOLES,357h 00' 00'',-,,,1910,4734,15,1285200,0,points
220,24,JOSEPH HABIERRE,ISOLES,382h 00' 00'',-,,,1910,4734,15,1375200,0,points
221,25,JEAN RIOU,ISOLES,399h 00' 00'',-,,,1910,4734,15,1436400,0,points
222,26,AUGUSTE GUYON,ISOLES,403h 00' 00'',-,,,1910,4734,15,1450800,0,points
223,27,JEAN BOUILLET,ISOLES,406h 00' 00'',-,,,1910,4734,15,1461600,0,points
224,28,LUCIEN POTHIER,ISOLES,411h 00' 00'',-,,,1910,4734,15,1479600,0,points
225,29,MAURICE DECAUP,LEGNANO,429h 00' 00'',-,,,1910,4734,15,1544400,0,points
226,30,LUCIEN LEMAN,ISOLES,433h 00' 00'',-,,,1910,4734,15,1558800,0,points
227,31,GABRIEL MATHONAT,ISOLES,444h 00' 00'',-,,,1910,4734,15,1598400,0,points
228,32,ROBERT CHOPARD,ISOLES,448h 00' 00'',-,,,1910,4734,15,1612800,0,points
229,33,PIETRO GHISLOTTI,ISOLES,492h 00' 00'',-,,,1910,4734,15,1771200,0,points
230,34,LUCIEN ROQUEBERT,ISOLES,502h 00' 00'',-,,,1910,4734,15,1807200,0,points
231,35,CAMILLE BIERE,ISOLES,510h 00' 00'',-,,,1910,4734,15,1836000,0,points
232,36,GEORGES CAUVRY,ISOLES,510h 00' 00'',-,,,1910,4734,15,1836000,0,points
233,37,AUGUSTE DUFOUR,ISOLES,525h 00' 00'',-,,,1910,4734,15,1890000,0,points
234,38,LOUIS JOUIN,ISOLES,531h 00' 00'',-,,,1910,4734,15,1911600,0,points
235,39,RENÉ CHAUDE,ISOLES,549h 00' 00'',-,,,1910,4734,15,1976400,0,points
236,40,LOUIS PICARD,ISOLES,568h 00' 00'',-,,,1910,4734,15,2044800,0,points
237,41,CONSTANT COLLET,ISOLES,580h 00' 00'',-,,,1910,4734,15,2088000,0,points
238,1,GUSTAVE GARRIGOU,ALCYON,43h 00' 00'',-,,,1911,5343,15,154800,0,points
239,2,PAUL DUBOC,LA FRANCAISE,61h 00' 00'',-,,,1911,5343,15,219600,0,points
240,3,EMILE GEORGET,LA FRANCAISE,84h 00' 00'',-,,,1911,5343,15,302400,0,points
241,4,CHARLES CRUPELANDT,LA FRANCAISE,119h 00' 00'',-,,,1911,5343,15,428400,0,points
242,5,LOUIS HEUSGHEM,ALCYON,135h 00' 00'',-,,,1911,5343,15,486000,0,points
243,6,MARCEL GODIVIER,LA FRANCAISE,141h 00' 00'',-,,,1911,5343,15,507600,0,points
244,7,CHARLES CRUCHON,LA FRANCAISE,145h 00' 00'',-,,,1911,5343,15,522000,0,points
245,8,"ERNEST, DIT ''FABER ERNEST'' PAUL",ALCYON,153h 00' 00'',-,,,1911,5343,15,550800,0,points
246,9,ALBERT DUPONT,LE GLOBE,157h 00' 00'',-,,,1911,5343,15,565200,0,points
247,10,HENRI DEVROYE,LE GLOBE,171h 00' 00'',-,,,1911,5343,15,615600,0,points
248,11,FIRMIN LAMBOT,LE GLOBE,178h 00' 00'',-,,,1911,5343,15,640800,0,points
249,12,HENRI CORNET (GEBOREN JARDY),LE GLOBE,190h 00' 00'',-,,,1911,5343,15,684000,0,points
250,13,PAUL DEMAN,ISOLES,198h 00' 00'',-,,,1911,5343,15,712800,0,points
251,14,JULIEN MAITRON,LA FRANCAISE,216h 00' 00'',-,,,1911,5343,15,777600,0,points
252,15,JULES DELOFFRE,ISOLES,217h 00' 00'',-,,,1911,5343,15,781200,0,points
253,16,GEORGES PAULMIER,AUTOMOTO,226h 00' 00'',-,,,1911,5343,15,813600,0,points
