Team,Rider,Country,Year
TDF 1903 ***,MAURICE GARIN,FRA,1903
TDF 1903 ***,GEORGES PASQUIER,FRA,1903
TDF 1903 ***,LUCIEN BARROY,FRA,1903
TDF 1903 ***,ALEXANDRE FOUREAUX,FRA,1903
TDF 1903 ***,HENRI GAUBAN,FRA,1903
TDF 1903 ***,LOUIS BARBREL,FRA,1903
TDF 1903 ***,HIPPOLYTE AUCOUTURIER,FRA,1903
TDF 1903 ***,MARCEL KERFF,BEL,1903
TDF 1903 ***,LÉON GEORGET,FRA,1903
TDF 1903 ***,EUGÈNE BRANGE,FRA,1903
TDF 1903 ***,JEAN-BAPTISTE FISCHER,FRA,1903
TDF 1903 ***,ISIDORE LE CHARTIER,FRA,1903
TDF 1903 ***,BENJAMIN MOUNIER,FRA,1903
TDF 1903 ***,EMILE PAGIE,FRA,1903
TDF 1903 ***,JEAN DARGASSIES,FRA,1903
TDF 1903 ***,EMILE MOULIN,FRA,1903
TDF 1903 ***,JULES SALES,BEL,1903
TDF 1903 ***,PAUL EMILE,FRA,1903
TDF 1903 ***,EDOUARD WATTELIER,FRA,1903
TDF 1903 ***,CLAUDE CHAPPERON,FRA,1903
TDF 1903 ***,DIT SAMSON JULIEN LOOTENS,BEL,1903
TDF 1903 ***,RENÉ SALAIS,FRA,1903
TDF 1903 ***,LÉON HABETS,FRA,1903
TDF 1903 ***,VICTOR DUPRE,FRA,1903
TDF 1903 ***,RODOLPHE MULLER,ITA,1903
TDF 1903 ***,BEDENE,FRA,1903
TDF 1903 ***,LUCIEN POTHIER,FRA,1903
TDF 1903 ***,ARMAND PERIN,FRA,1903
TDF 1903 ***,FERNAND AUGEREAU,FRA,1903
TDF 1903 ***,EUGÈNE GEAY,FRA,1903
TDF 1903 ***,ERNEST PIVIN,FRA,1903
TDF 1903 ***,PAUL MERCIER,SUI,1903
TDF 1903 ***,PIERRE DESVAGES,FRA,1903
TDF 1903 ***,LÉON PERNETTE,FRA,1903
TDF 1903 ***,FRANÇOIS BEAUGENDRE,FRA,1903
TDF 1903 ***,ANTON JAECK,SUI,1903
TDF 1903 ***,FRANÇOIS POUSSEL,FRA,1903
TDF 1903 ***,JOSEF FISCHER,GER,1903
TDF 1903 ***,LUDWIG BARTHELMANN,GER,1903
TDF 1903 ***,JULIEN GIRBE,FRA,1903
TDF 1903 ***,CHARLES LAESER,SUI,1903
TDF 1903 ***,GEORGES BOROT,FRA,1903
TDF 1903 ***,LÉON DURANDEAU,FRA,1903
TDF 1903 ***,LÉON RICHE,FRA,1903
TDF 1903 ***,A. LASSARTIGUE,FRA,1903
TDF 1903 ***,L. FOUGERE,FRA,1903
TDF 1903 ***,EMILE TORISANI,FRA,1903
TDF 1903 ***,HENRI CHARRIER,FRA,1903
TDF 1903 ***,FERDINAND PAYAN,FRA,1903
TDF 1903 ***,PAUL TRIPPIER,FRA,1903
TDF 1903 ***,H. ELLINAMOUR,FRA,1903
TDF 1903 ***,JEAN-BAPTISTE ZIMMERMANN,FRA,1903
TDF 1903 ***,MARCEL LEQUATRE,SUI,1903
TDF 1903 ***,ARSÈNE MILLOCHEAU,FRA,1903
TDF 1903 ***,FRANÇOIS MONACHON,FRA,1903
TDF 1903 ***,ALOIS CATTEAU,BEL,1903
TDF 1903 ***,VICTOR LEFEVRE,FRA,1903
TDF 1903 ***,AUGUSTE DAUMAIN,FRA,1903
TDF 1903 ***,GUSTAVE GUILLARME,FRA,1903
TDF 1903 ***,QUETIER,FRA,1903
TDF 1903 ***,PHILIPPE DE BALADE,FRA,1903
TDF 1903 ***,ELIE MONGE,FRA,1903
TDF 1903 ***,GARROT,FRA,1903
TDF 1903 ***,CABANNA,FRA,1903
TDF 1903 ***,PAUL ARMBRUSTER,FRA,1903
TDF 1903 ***,BOISSEAU,FRA,1903
TDF 1903 ***,ARMANTE,FRA,1903
TDF 1903 ***,HONORÉ FOSSIER,FRA,1903
TDF 1903 ***,LOUIS FABRE,FRA,1903
TDF 1903 ***,CAMILLE BIERE,FRA,1903
TDF 1903 ***,MAURICE DARTIGUE,FRA,1903
TDF 1903 ***,JEAN-BAPTISTE DORTIGNACQ,FRA,1903
TDF 1903 ***,DAVID DUPONT,FRA,1903
TDF 1903 ***,PAUL AERMBRUSTER,FRA,1903
TDF 1903 ***,ANDRÉ DESBORDES,FRA,1903
TDF 1903 ***,EDOUARD CHAUDRON,FRA,1903
TDF 1903 ***,GEORGES LORGEOU,FRA,1903
TDF 1903 ***,GOYON,FRA,1903
TDF 1903 ***,FLORANE,FRA,1903
TDF 1903 ***,PUJOL,FRA,1903
TDF 1903 ***,AMBROISE GARIN,FRA,1903
TDF 1903 ***,R. MAGDELEIN,FRA,1903
TDF 1903 ***,DANIEL ROQUES,FRA,1903
TDF 1903 ***,H. LESUR,FRA,1903
TDF 1904 ***,MAURICE GARIN,FRA,1904
TDF 1904 ***,VICTOR DEVEZE,FRA,1904
TDF 1904 ***,HIPPOLYTE AUCOUTURIER,FRA,1904
TDF 1904 ***,FRANÇOIS BEAUGENDRE,FRA,1904
TDF 1904 ***,MICHEL FREDERICK,SUI,1904
TDF 1904 ***,PIERRE CHEVALIER,FRA,1904
TDF 1904 ***,LUCIEN POTHIER,FRA,1904
TDF 1904 ***,FERDINAND PAYAN,FRA,1904
TDF 1904 ***,ADRIEN BLANQUI,FRA,1904
TDF 1904 ***,JEAN DARGASSIES,FRA,1904
TDF 1904 ***,HENRI GAUBAN,FRA,1904
TDF 1904 ***,ALOIS CATTEAU,BEL,1904
TDF 1904 ***,L. TREUVELOT,FRA,1904
TDF 1904 ***,AUGUSTE MAISONNEUVE,FRA,1904
TDF 1904 ***,PIERRE DESVAGES,FRA,1904
TDF 1904 ***,GIOVANNI GERBI,ITA,1904
TDF 1904 ***,PHILIPPE JOUSSELIN,FRA,1904
TDF 1904 ***,EDOUARD PILLON,FRA,1904
TDF 1904 ***,GRIMENWALD,FRA,1904
TDF 1904 ***,P. HIBON,FRA,1904
TDF 1904 ***,JULES SALES,BEL,1904
TDF 1904 ***,LUDO LOOS,BEL,1904
TDF 1904 ***,AUGUSTE LAPREE,FRA,1904
TDF 1904 ***,EMILE MOULIN,FRA,1904
TDF 1904 ***,MARCASTEL,FRA,1904
TDF 1904 ***,VASSELA,FRA,1904
TDF 1904 ***,LÉON RICHE,FRA,1904
TDF 1904 ***,HENRI PARET,FRA,1904
TDF 1904 ***,MAURICE CARRERE,FRA,1904
TDF 1904 ***,ANTON JAECK,SUI,1904
TDF 1904 ***,CHARLES LAESER,SUI,1904
TDF 1904 ***,LOUIS COLSAET,BEL,1904
TDF 1904 ***,HUBERT DOME,BEL,1904
TDF 1904 ***,LAMOULINE,FRA,1904
TDF 1904 ***,JOSEPH ACHTEN,BEL,1904
TDF 1904 ***,JEAN-BAPTISTE JACQUET,FRA,1904
TDF 1904 ***,FRANZ BREIDENBACH,GER,1904
TDF 1904 ***,EUGÈNE VENTRESQUE,FRA,1904
TDF 1904 ***,CÉSAR GARIN,FRA,1904
TDF 1904 ***,ALBERT NIEPCERON,FRA,1904
TDF 1904 ***,GIOVANNI ROSSIGNOLI,ITA,1904
TDF 1904 ***,EMILE LOMBARD,BEL,1904
TDF 1904 ***,ANTOINE DEFLOTRIERE,FRA,1904
TDF 1904 ***,LIPMAN,FRA,1904
TDF 1904 ***,LOUIS LECUONA,FRA,1904
TDF 1904 ***,PHILIPPE DE BALADE,FRA,1904
TDF 1904 ***,JULIEN GABORY,FRA,1904
TDF 1904 ***,JEAN-BAPTISTE DORTIGNACQ,FRA,1904
TDF 1904 ***,MAURICE DARTIGUE,FRA,1904
TDF 1904 ***,LÉON HABETS,FRA,1904
TDF 1904 ***,ALFRED FAURE,FRA,1904
TDF 1904 ***,DIEUDONNÉ JAMAR,BEL,1904
TDF 1904 ***,GEORGES FLEURY,FRA,1904
TDF 1904 ***,EUGÈNE BRANGE,FRA,1904
TDF 1904 ***,STÉPHANE CHAPUT,FRA,1904
TDF 1904 ***,P. DUFRAIX,FRA,1904
TDF 1904 ***,ROMAIN LARDILLIER,FRA,1904
TDF 1904 ***,AUGUSTE RIST,FRA,1904
TDF 1904 ***,PIERRE CNOPS,BEL,1904
TDF 1904 ***,EMILE LAMBOEUF,FRA,1904
TDF 1904 ***,RENÉ SAGET,FRA,1904
TDF 1904 ***,NOËL PREVOST,FRA,1904
TDF 1904 ***,AUGUSTE GAUTHIER,FRA,1904
TDF 1904 ***,GUSTAVE DRIOUL,BEL,1904
TDF 1904 ***,LEGAUX,BEL,1904
TDF 1904 ***,EUGÈNE DELHAYE,BEL,1904
TDF 1904 ***,EMILE POUPIN,FRA,1904
TDF 1904 ***,HENRI CORNET (GEBOREN JARDY),FRA,1904
TDF 1904 ***,JULIEN LEROY,FRA,1904
TDF 1904 ***,NICOLAS DAMELINCOURT,FRA,1904
TDF 1904 ***,OCTAVE DOURY,FRA,1904
TDF 1904 ***,LAURENT TACHET,FRA,1904
TDF 1904 ***,CHARLES DELMILHAC,FRA,1904
TDF 1904 ***,EUGÈNE GEAY,FRA,1904
TDF 1904 ***,JULIEN MAITRON,FRA,1904
TDF 1904 ***,CHARLES PREVOST,FRA,1904
TDF 1904 ***,FÉLIX BOYER,FRA,1904
TDF 1904 ***,HENRI BOYER,FRA,1904
TDF 1904 ***,CAMILLE FILY,FRA,1904
TDF 1904 ***,MONIN,FRA,1904
TDF 1904 ***,AUGUSTE DAUMAIN,FRA,1904
TDF 1904 ***,CIST,FRA,1904
TDF 1904 ***,ACHILLE COLAS,FRA,1904
TDF 1904 ***,EUGÈNE PREVOST,FRA,1904
TDF 1904 ***,ANGE VARALDE,FRA,1904
TDF 1904 ***,A. DURAND,FRA,1904
TDF 1904 ***,GEORGES NEMO,BEL,1904
TDF 1904 ***,G. SYLVAIN,FRA,1904
TDF 1905 ***,J. MECHIN,FRA,1905
TDF 1905 ***,HENRI PEPIN,FRA,1905
TDF 1905 ***,CAMILLE FILY,FRA,1905
TDF 1905 ***,LÉON RICHE,FRA,1905
TDF 1905 ***,LÉON LEYGOUTTE,FRA,1905
TDF 1905 ***,PIERRE DESVAGES,FRA,1905
TDF 1905 ***,PHILIPPE PAUTRAT,FRA,1905
TDF 1905 ***,HENRI LIGNON,FRA,1905
TDF 1905 ***,FÉLIX BERNARD,FRA,1905
TDF 1905 ***,JEAN-BAPTISTE FISCHER,FRA,1905
TDF 1905 ***,RENÉ POTTIER,FRA,1905
TDF 1905 ***,HIPPOLYTE AUCOUTURIER,FRA,1905
TDF 1905 ***,LOUIS TROUSSELIER,FRA,1905
TDF 1905 ***,JULES CHOSSON,FRA,1905
TDF 1905 ***,JOSEPH DELPORTE,FRA,1905
TDF 1905 ***,CHARLES HABERT,FRA,1905
TDF 1905 ***,GEORGES PASQUIER,FRA,1905
TDF 1905 ***,JULIEN GABORY,FRA,1905
TDF 1905 ***,AUGUSTINN RINGEVAL,FRA,1905
TDF 1905 ***,MAURICE CARRERE,FRA,1905
TDF 1905 ***,GUSTAVE GUILLARME,FRA,1905
TDF 1905 ***,HENRI RICHARD,FRA,1905
TDF 1905 ***,CHARLES PREVOST,FRA,1905
TDF 1905 ***,FRANCIS GOUSPY,FRA,1905
TDF 1905 ***,JEAN DARGASSIES,FRA,1905
TDF 1905 ***,NOËL PREVOST,FRA,1905
TDF 1905 ***,JEAN-BAPTISTE DORTIGNACQ,FRA,1905
TDF 1905 ***,FERNAND LALLEMENT,FRA,1905
TDF 1905 ***,PINCHAU,FRA,1905
TDF 1905 ***,EUGÈNE VENTRESQUE,FRA,1905
TDF 1905 ***,JOSEPH MORVAN,FRA,1905
TDF 1905 ***,HENRI CORNET (GEBOREN JARDY),FRA,1905
TDF 1905 ***,MARTIN SOULIE,FRA,1905
TDF 1905 ***,PIERRE LUC PERICHON,FRA,1905
TDF 1905 ***,CLOVIS LACROIX,FRA,1905
TDF 1905 ***,HENRI GAUBAN,FRA,1905
TDF 1905 ***,MAURICE CHEDEBOIS,FRA,1905
TDF 1905 ***,AUGUSTE DAUMAIN,FRA,1905
TDF 1905 ***,GEORGES SERES,FRA,1905
TDF 1905 ***,LOUIS LAVALETTE,FRA,1905
TDF 1905 ***,HENRI MARCHAND,FRA,1905
TDF 1905 ***,GEORGES BAMONDE,FRA,1905
TDF 1905 ***,AUGUSTE LAPREE,FRA,1905
TDF 1905 ***,EMILE GEORGET,FRA,1905
TDF 1905 ***,GERMAIN FOURCHOTTE,FRA,1905
TDF 1905 ***,PAUL CHAUVET,FRA,1905
TDF 1905 ***,HENRI VIGNE,FRA,1905
TDF 1905 ***,JULIEN MAITRON,FRA,1905
TDF 1905 ***,ANTOINE WATTELIER,FRA,1905
TDF 1905 ***,AUGUSTE THEO,FRA,1905
TDF 1905 ***,LUDO LOOS,BEL,1905
TDF 1905 ***,EDOUARD GRANDSIRE,FRA,1905
TDF 1905 ***,EDOUARD WATTELIER,FRA,1905
TDF 1905 ***,ELIE MONGE,FRA,1905
TDF 1905 ***,ALOIS CATTEAU,BEL,1905
TDF 1905 ***,LÉON HABETS,FRA,1905
TDF 1905 ***,PAUL TRIPPIER,FRA,1905
TDF 1905 ***,JEAN RUFFIN,FRA,1905
TDF 1905 ***,MAURICE DECAUP,FRA,1905
TDF 1905 ***,LUCIEN MAZAN DIT PETIT-BRETON,FRA,1905
TDF 1906 ***,EDOUARD WATTELIER,FRA,1906
TDF 1906 ***,GEORGES SERES,FRA,1906
TDF 1906 ***,FRANÇOIS BEAUGENDRE,FRA,1906
TDF 1906 ***,AUGUSTINN RINGEVAL,FRA,1906
TDF 1906 ***,EUGÈNE CHRISTOPHE,FRA,1906
TDF 1906 ***,ARSÈNE TUALE,FRA,1906
TDF 1906 ***,FRANÇOIS POIRY,FRA,1906
TDF 1906 ***,GASTON CODAM,FRA,1906
TDF 1906 ***,PROSPER RAU,FRA,1906
TDF 1906 ***,PAUL TRIPPIER,FRA,1906
TDF 1906 ***,EMILE BERTRAND,FRA,1906
TDF 1906 ***,PIERRE DESVAGES,FRA,1906
TDF 1906 ***,HENRI TIMMERMANN,BEL,1906
TDF 1906 ***,MARCEL CADOLLE,FRA,1906
TDF 1906 ***,HIPPOLYTE AUCOUTURIER,FRA,1906
TDF 1906 ***,FERNAND GABORIAS,FRA,1906
TDF 1906 ***,ALOIS CATTEAU,BEL,1906
TDF 1906 ***,VICTOR LASCOUTOUNAX,FRA,1906
TDF 1906 ***,JULIEN GABORY,FRA,1906
TDF 1906 ***,HENRI GAUBAN,FRA,1906
TDF 1906 ***,EMILE GEORGET,FRA,1906
TDF 1906 ***,FERDINAND PAYAN,FRA,1906
TDF 1906 ***,MARTIN SOULIE,FRA,1906
TDF 1906 ***,GEORGES DEVILLY,FRA,1906
TDF 1906 ***,FIRMIN PAULOIN,FRA,1906
TDF 1906 ***,CHARLES CRUPELANDT,FRA,1906
TDF 1906 ***,ERNEST RICAUX,FRA,1906
TDF 1906 ***,ANTOINE WATTELIER,FRA,1906
TDF 1906 ***,FERNAND LALLEMENT,FRA,1906
TDF 1906 ***,FRÉDÉRIC SAILLOT,FRA,1906
TDF 1906 ***,LÉON WINANT,FRA,1906
TDF 1906 ***,JULES CHABAS,FRA,1906
TDF 1906 ***,ARTHUR POTTIEZ,FRA,1906
TDF 1906 ***,GEORGES FLEURY,FRA,1906
TDF 1906 ***,PIERRE SCHNEIDER,FRA,1906
TDF 1906 ***,RENÉ POTTIER,FRA,1906
TDF 1906 ***,LOUIS TROUSSELIER,FRA,1906
TDF 1906 ***,GEORGES PASSERIEU,FRA,1906
TDF 1906 ***,MAURICE DECAUP,FRA,1906
TDF 1906 ***,ALBERT BAUDET,FRA,1906
TDF 1906 ***,EUGÈNE DUFFIS,FRA,1906
TDF 1906 ***,EMILE HAEMMERLIN,FRA,1906
TDF 1906 ***,JEAN-BAPTISTE DORTIGNACQ,FRA,1906
TDF 1906 ***,EMILE LAMBOEUF,FRA,1906
TDF 1906 ***,D. GONJEAUD,FRA,1906
TDF 1906 ***,CHARLES PERREARD,FRA,1906
TDF 1906 ***,GEORGES BRONCHARD,FRA,1906
TDF 1906 ***,DAVID DUPONT,FRA,1906
TDF 1906 ***,LÉON GEORGET,FRA,1906
TDF 1906 ***,GASTON TUVACHE,FRA,1906
TDF 1906 ***,HENRI STAR,FRA,1906
TDF 1906 ***,CHRISTOPHE LAURENT,FRA,1906
TDF 1906 ***,HENRI MARCHAND,FRA,1906
TDF 1906 ***,GIOVANNI GERBI,ITA,1906
TDF 1906 ***,FRANÇOIS FABER,LUX,1906
TDF 1906 ***,DIT SAMSON JULIEN LOOTENS,BEL,1906
TDF 1906 ***,LUCIEN MAZAN DIT PETIT-BRETON,FRA,1906
TDF 1906 ***,PIERRE PRIVAT,FRA,1906
TDF 1906 ***,HENRI MENEZ,FRA,1906
TDF 1906 ***,D. COMMUNAL,FRA,1906
TDF 1906 ***,EDOUARD CHAUMARD,FRA,1906
TDF 1906 ***,ROBERT DUBOIS,FRA,1906
TDF 1906 ***,ROBERT WANCOUR,FRA,1906
TDF 1906 ***,ALBERT CHARTIER,FRA,1906
TDF 1906 ***,HENEAU,FRA,1906
TDF 1906 ***,E VERNIMMEN,FRA,1906
TDF 1906 ***,ALFRED BELLEVILLE,FRA,1906
TDF 1906 ***,CHARLES HABERT,FRA,1906
TDF 1906 ***,ALBERT GODEFROY,FRA,1906
TDF 1906 ***,MAURICE CARRERE,FRA,1906
TDF 1906 ***,ALFRED POCARIUS,FRA,1906
TDF 1906 ***,MAXIME MOREL,FRA,1906
TDF 1906 ***,TANCOU,FRA,1906
TDF 1906 ***,HEINI SCHOLL,GER,1906
TDF 1906 ***,FRANÇOIS LAFOURCADE,FRA,1906
TDF 1906 ***,JEAN PERREARD,FRA,1906
TDF 1906 ***,JEAN GIRAN,FRA,1906
TDF 1906 ***,LUDWIG BARTHELMANN,GER,1906
TDF 1907 ***,EDOUARD WATTELIER,FRA,1907
TDF 1907 ***,AUGUSTINN RINGEVAL,FRA,1907
TDF 1907 ***,LUCIEN POTHIER,FRA,1907
TDF 1907 ***,FRANÇOIS FABER,LUX,1907
TDF 1907 ***,CONSTANT MENAGER,FRA,1907
TDF 1907 ***,ALFRED FAURE,FRA,1907
TDF 1907 ***,GASTON TUVACHE,FRA,1907
TDF 1907 ***,ALBERT CHARTIER,FRA,1907
TDF 1907 ***,PROSPER RAU,FRA,1907
TDF 1907 ***,MARCEL CADOLLE,FRA,1907
TDF 1907 ***,LOUIS TROUSSELIER,FRA,1907
TDF 1907 ***,LUCIEN MAZAN DIT PETIT-BRETON,FRA,1907
TDF 1907 ***,HENRI LIGNON,FRA,1907
TDF 1907 ***,MARCEL LEQUATRE,SUI,1907
TDF 1907 ***,ALBERT BAUDET,FRA,1907
TDF 1907 ***,NOËL PREVOST,FRA,1907
TDF 1907 ***,FERDINAND PAYAN,FRA,1907
TDF 1907 ***,ARMAND ROUME,FRA,1907
TDF 1907 ***,BAPTISTE ROUX,FRA,1907
TDF 1907 ***,PAUL ADEH,FRA,1907
TDF 1907 ***,MARCEL DOZOL,FRA,1907
TDF 1907 ***,MARCEL LALLEMENT,FRA,1907
TDF 1907 ***,FERNAND VERCHER,FRA,1907
TDF 1907 ***,GABRIEL MATHONAT,FRA,1907
TDF 1907 ***,LÉON RICHE,FRA,1907
TDF 1907 ***,GEORGES FLEURY,FRA,1907
TDF 1907 ***,GEORGES BRONCHARD,FRA,1907
TDF 1907 ***,HENRI TIMMERMANN,BEL,1907
TDF 1907 ***,DAVID DUPONT,FRA,1907
TDF 1907 ***,HENRI GAUBAN,FRA,1907
TDF 1907 ***,GASTON ANGELI,FRA,1907
TDF 1907 ***,LOUIS LAVALETTE,FRA,1907
TDF 1907 ***,JULES CHABAS,FRA,1907
TDF 1907 ***,LOUIS GARDENT,FRA,1907
TDF 1907 ***,LOUIS LORILLON,FRA,1907
TDF 1907 ***,CARLO GALETTI,ITA,1907
TDF 1907 ***,LUIGI GANNA,ITA,1907
TDF 1907 ***,EBERADO PAVESI,ITA,1907
TDF 1907 ***,LÉON AUMONIER,FRA,1907
TDF 1907 ***,CYRILLE VAN HAUWAERT,BEL,1907
TDF 1907 ***,ALZIR VIVIER,FRA,1907
TDF 1907 ***,FRANÇOIS POIRY,FRA,1907
TDF 1907 ***,MARCEAU NARCY,FRA,1907
TDF 1907 ***,JOSEPH PONTHIEU,FRA,1907
TDF 1907 ***,GEORGES LANDRIEU,FRA,1907
TDF 1907 ***,MARTIN SOULIE,FRA,1907
TDF 1907 ***,HONORÉ GENIN,FRA,1907
TDF 1907 ***,CLAUDE CURSILLAT,FRA,1907
TDF 1907 ***,CHARLES CRUPELANDT,FRA,1907
TDF 1907 ***,ANDRÉ SEVESTRE,FRA,1907
TDF 1907 ***,ALFRED LE BARS,FRA,1907
TDF 1907 ***,JACQUES MENDES,FRA,1907
TDF 1907 ***,HENRI PEPIN,FRA,1907
TDF 1907 ***,MARIUS VILETTE,FRA,1907
TDF 1907 ***,ELOI GUICHARD,FRA,1907
TDF 1907 ***,JULIEN MAITRON,FRA,1907
TDF 1907 ***,ARSÈNE TUALE,FRA,1907
TDF 1907 ***,ALFRED QUENON,FRA,1907
TDF 1907 ***,JEAN DARGASSIES,FRA,1907
TDF 1907 ***,HENRI ANTHOINE,FRA,1907
TDF 1907 ***,LÉON GEORGET,FRA,1907
TDF 1907 ***,GEORGES PASSERIEU,FRA,1907
TDF 1907 ***,GUSTAVE GARRIGOU,FRA,1907
TDF 1907 ***,HENRI CORNET (GEBOREN JARDY),FRA,1907
TDF 1907 ***,EMILE GEORGET,FRA,1907
TDF 1907 ***,JEAN-MICHEL TEYCHENNE,FRA,1907
TDF 1907 ***,GEORGES JEANBLANC,FRA,1907
TDF 1907 ***,JEAN VEZIE,FRA,1907
TDF 1907 ***,GEORGES DEVILLY,FRA,1907
TDF 1907 ***,CHARLES JEANPERIN,FRA,1907
TDF 1907 ***,AUGUSTE DUFOUR,FRA,1907
TDF 1907 ***,OCTAVE NOEL,FRA,1907
TDF 1907 ***,FRANÇOIS LAFOURCADE,FRA,1907
TDF 1907 ***,PIERRE PRIVAT,FRA,1907
TDF 1907 ***,FRANÇOIS BEAUGENDRE,FRA,1907
TDF 1907 ***,PHILIPPE PAUTRAT,FRA,1907
TDF 1907 ***,ALOIS CATTEAU,BEL,1907
TDF 1907 ***,MARCEL LECUYER,FRA,1907
TDF 1907 ***,JULIEN GABORY,FRA,1907
TDF 1907 ***,ERNEST RICAUX,FRA,1907
TDF 1907 ***,MARCEL GODIVIER,FRA,1907
TDF 1907 ***,JULES BERTHOLAT,FRA,1907
TDF 1907 ***,CHRISTOPHE LAURENT,FRA,1907
TDF 1907 ***,JOSEPH ROUAIX,FRA,1907
TDF 1907 ***,EUGÈNE DELHAYE,BEL,1907
TDF 1907 ***,ANSELME MAZAN,FRA,1907
TDF 1907 ***,HENRI STAR,FRA,1907
TDF 1907 ***,RAYMOND ETCHEVERRY,FRA,1907
TDF 1907 ***,ALBERT GERAUD,FRA,1907
TDF 1907 ***,EDOUARD WATTELIER,FRA,1907
TDF 1907 ***,ANTON JAECK,SUI,1907
TDF 1907 ***,PIERRE DESVAGES,FRA,1907
TDF 1907 ***,RENÉ FLEURY,FRA,1907
TDF 1908 ***,EDOUARD WATTELIER,FRA,1908
TDF 1908 ***,LUCIEN MAZAN DIT PETIT-BRETON,FRA,1908
TDF 1908 ***,GUSTAVE GARRIGOU,FRA,1908
TDF 1908 ***,EMILE GEORGET,FRA,1908
TDF 1908 ***,GEORGES PASSERIEU,FRA,1908
TDF 1908 ***,MAURICE BROCCO,FRA,1908
TDF 1908 ***,HENRI CORNET (GEBOREN JARDY),FRA,1908
TDF 1908 ***,JEAN-BAPTISTE DORTIGNACQ,FRA,1908
TDF 1908 ***,GEORGES PAULMIER,FRA,1908
TDF 1908 ***,OMER BEAUGENDRE,FRA,1908
TDF 1908 ***,CHRISTOPHE LAURENT,FRA,1908
TDF 1908 ***,FRANÇOIS AUCOUTURIER,FRA,1908
TDF 1908 ***,GEORGES FLEURY,FRA,1908
TDF 1908 ***,PIERRE PRIVAT,FRA,1908
TDF 1908 ***,MARCEL BERTHET,FRA,1908
TDF 1908 ***,CONSTANT MENAGER,FRA,1908
TDF 1908 ***,JEAN NOVO,FRA,1908
TDF 1908 ***,RENÉ FLEURY,FRA,1908
TDF 1908 ***,HUBERT BAERT,FRA,1908
TDF 1908 ***,ALZIR VIVIER,FRA,1908
TDF 1908 ***,ARMAND ROUME,FRA,1908
TDF 1908 ***,LÉON WINANT,FRA,1908
TDF 1908 ***,MARCEL ROBERT,FRA,1908
TDF 1908 ***,MARCEL DOZOL,FRA,1908
TDF 1908 ***,ALBERT CHARTIER,FRA,1908
TDF 1908 ***,PIERRE DESVAGES,FRA,1908
TDF 1908 ***,ARMAND PERIN,FRA,1908
TDF 1908 ***,LOUIS TROUSSELIER,FRA,1908
TDF 1908 ***,CYRILLE VAN HAUWAERT,BEL,1908
TDF 1908 ***,AUGUSTINN RINGEVAL,FRA,1908
TDF 1908 ***,HENRI LIGNON,FRA,1908
TDF 1908 ***,ANDRÉ POTTIER,FRA,1908
TDF 1908 ***,FRANÇOIS LAFOURCADE,FRA,1908
TDF 1908 ***,MARCEL GODIVIER,FRA,1908
TDF 1908 ***,PAUL DUBOC,FRA,1908
TDF 1908 ***,ANTOINE LOMBRET,FRA,1908
TDF 1908 ***,MARTIN SOULIE,FRA,1908
TDF 1908 ***,EUGÈNE PLATTEAU,BEL,1908
TDF 1908 ***,ALOIS CATTEAU,BEL,1908
TDF 1908 ***,JULES MASSELIS,BEL,1908
TDF 1908 ***,PAUL BOILLAT,SUI,1908
TDF 1908 ***,EUGÈNE FORESTIER,FRA,1908
TDF 1908 ***,NOËL COMBELLES,FRA,1908
TDF 1908 ***,MARCEAU NARCY,FRA,1908
TDF 1908 ***,GEORGES BAMONDE,FRA,1908
TDF 1908 ***,ALEXANDRE BODINIER,FRA,1908
TDF 1908 ***,JULES CHABAS,FRA,1908
TDF 1908 ***,FERNAND HUILLIER,FRA,1908
TDF 1908 ***,FERDINAND PAYAN,FRA,1908
TDF 1908 ***,MARCEL LEQUATRE,SUI,1908
TDF 1908 ***,MOÏSE FUGERE,FRA,1908
TDF 1908 ***,ALBERT LAGARNIER,FRA,1908
TDF 1908 ***,LÉON RABOT,FRA,1908
TDF 1908 ***,PAUL DUNAN,FRA,1908
TDF 1908 ***,RENÉ SALAIS,FRA,1908
TDF 1908 ***,ROBERT LECOINTE,FRA,1908
TDF 1908 ***,PASCAL BONFANTI,FRA,1908
TDF 1908 ***,ACHILLE GERMAIN,FRA,1908
TDF 1908 ***,PIERRE POINET,FRA,1908
TDF 1908 ***,PHILIPPE PAUTRAT,FRA,1908
TDF 1908 ***,GONZALES,FRA,1908
TDF 1908 ***,GIOVANNI GERBI,ITA,1908
TDF 1908 ***,FRANÇOIS FABER,LUX,1908
TDF 1908 ***,GEORGES LORGEOU,FRA,1908
TDF 1908 ***,PAUL CHAUVET,FRA,1908
TDF 1908 ***,LOUIS GARDENT,FRA,1908
TDF 1908 ***,GEORGES WOIRON,FRA,1908
TDF 1908 ***,ERNEST WOIRON,FRA,1908
TDF 1908 ***,BERTUANZA,FRA,1908
TDF 1908 ***,ALDO BETTINI,ITA,1908
TDF 1908 ***,ALBERT DUPONT,BEL,1908
TDF 1908 ***,"ERNEST, DIT ''FABER ERNEST'' PAUL",FRA,1908
TDF 1908 ***,RAYMOND LACOT,FRA,1908
TDF 1908 ***,CARLO GALETTI,ITA,1908
TDF 1908 ***,LOUIS DI MARIA,FRA,1908
TDF 1908 ***,MAURICE PARDON,FRA,1908
TDF 1908 ***,GEORGES BRONCHARD,FRA,1908
TDF 1908 ***,LÉON GEORGET,FRA,1908
