Stages,Leader,Year,Yellow Jersey,Green jersey,White jersey,Polka-dot jersey
1.0,MAURICE GARIN,1903,,,,
2.0,MAURICE GARIN,1903,,,,
3.0,MAURICE GARIN,1903,,,,
4.0,MAURICE GARIN,1903,,,,
5.0,MAURICE GARIN,1903,,,,
6.0,MAURICE GARIN,1903,,,,
1.0,MAURICE GARIN,1904,,,,
2.0,EMILE LOMBARD,1904,,,,
3.0,HENRI CORNET (GEBOREN JARDY),1904,,,,
4.0,FRANÇOIS BEAUGENDRE,1904,,,,
5.0,HENRI CORNET (GEBOREN JARDY),1904,,,,
6.0,HENRI CORNET (GEBOREN JARDY),1904,,,,
1.0,LOUIS TROUSSELIER,1905,,,,
2.0,RENÉ POTTIER,1905,,,,
3.0,LOUIS TROUSSELIER,1905,,,,
4.0,LOUIS TROUSSELIER,1905,,,,
5.0,LOUIS TROUSSELIER,1905,,,,
6.0,LOUIS TROUSSELIER,1905,,,,
7.0,LOUIS TROUSSELIER,1905,,,,
8.0,LOUIS TROUSSELIER,1905,,,,
9.0,LOUIS TROUSSELIER,1905,,,,
10.0,LOUIS TROUSSELIER,1905,,,,
11.0,LOUIS TROUSSELIER,1905,,,,
1.0,EMILE GEORGET,1906,,,,
2.0,RENÉ POTTIER,1906,,,,
3.0,RENÉ POTTIER,1906,,,,
4.0,RENÉ POTTIER,1906,,,,
5.0,RENÉ POTTIER,1906,,,,
6.0,RENÉ POTTIER,1906,,,,
7.0,RENÉ POTTIER,1906,,,,
8.0,RENÉ POTTIER,1906,,,,
9.0,RENÉ POTTIER,1906,,,,
10.0,RENÉ POTTIER,1906,,,,
11.0,RENÉ POTTIER,1906,,,,
12.0,RENÉ POTTIER,1906,,,,
13.1,RENÉ POTTIER,1906,,,,
13.2,RENÉ POTTIER,1906,,,,
1.0,LOUIS TROUSSELIER,1907,,,,
2.0,LOUIS TROUSSELIER,1907,,,,
3.0,EMILE GEORGET,1907,,,,
4.0,EMILE GEORGET,1907,,,,
5.0,EMILE GEORGET,1907,,,,
6.0,EMILE GEORGET,1907,,,,
7.0,EMILE GEORGET,1907,,,,
8.0,EMILE GEORGET,1907,,,,
9.0,EMILE GEORGET,1907,,,,
10.0,LUCIEN MAZAN DIT PETIT-BRETON,1907,,,,
11.0,LUCIEN MAZAN DIT PETIT-BRETON,1907,,,,
