Tour de France 1976

Number of stages 22
Distance (km) 4 017
Average speed 34.518

All about year 1976

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider            Rider No.              Team                  Times            Gap       B P
56    MARC DEMEYER               73         FLANDRIA-VELDA-VLEESBDRIJF    118h 21' 16''  + 01h 58' 53''
57    ALBERT VAN VLIERBERGHE     79         FLANDRIA-VELDA-VLEESBDRIJF    118h 21' 41''  + 01h 59' 18''
58    CHARLY ROUXEL              9          PEUGEOT-ESSO-MICHELIN         118h 21' 49''  + 01h 59' 26''
59    ALESSIO ANTONINI           92         JOLLYCERAMICA                 118h 22' 05''  + 01h 59' 42''
60    SYLVAIN VASSEUR            20         GITANE-CAMPAGNOLO             118h 24' 10''  + 02h 01' 47''
61    PATRICK BEON               2          PEUGEOT-ESSO-MICHELIN         118h 26' 19''  + 02h 03' 56''
62    JOSÉ BEYAERT               72         FLANDRIA-VELDA-VLEESBDRIJF    118h 27' 27''  + 02h 05' 04''
63    PIERINO GAVAZZI            97         JOLLYCERAMICA                 118h 27' 28''  + 02h 05' 05''
64    KNUT KNUDSEN               99         JOLLYCERAMICA                 118h 27' 56''  + 02h 05' 33''
65    ANDRÉ CHALMEL              13         GITANE-CAMPAGNOLO             118h 31' 12''  + 02h 08' 49''
66    MARCELLO OSLER             117        BROOKLYN-GIOS                 118h 32' 16''  + 02h 09' 53''
67    WILLY TEIRLINCK            19         GITANE-CAMPAGNOLO             118h 35' 00''  + 02h 12' 37''
68    SANTIAGO LAZCANO           46         SUPER SER                     118h 35' 47''  + 02h 13' 24''
69    PAUL WELLENS               90         MIKO-DE GRIBALDY-SUPERIA      118h 36' 34''  + 02h 14' 11''
70    JOËL HAUVIEUX              103        LEJEUNE-BP                    118h 36' 48''  + 02h 14' 25''
71    DOMINGO PERURENA           39         KAS-CAMPAGNOLO                118h 37' 06''  + 02h 14' 43''
72    ROLAND BERLAND             42         SUPER SER                     118h 37' 13''  + 02h 14' 50''
73    RÉGIS DELEPINE             22         GAN-MERCIER-HUTCHINSON        118h 37' 45''  + 02h 15' 22''
74    RENÉ DILLEN                15         GITANE-CAMPAGNOLO             118h 38' 36''  + 02h 16' 13''
75    GUY MAINGON                70         JOBO-WOLBER-LA FRANCE         118h 39' 51''  + 02h 17' 28''
76    GÉRARD VIANEN              29         GAN-MERCIER-HUTCHINSON        118h 42' 45''  + 02h 20' 22''
77    FERDINAND BRACKE           102        LEJEUNE-BP                    118h 43' 47''  + 02h 21' 24''
78    ADRIANO PASSUELLO          119        BROOKLYN-GIOS                 118h 51' 09''  + 02h 28' 46''
79    JOSÉ DE CAUWER             52         TI-RALEIGH-CAMPAGNOLO         118h 52' 15''  + 02h 29' 52''
80    JACQUES ESCLASSAN          6          PEUGEOT-ESSO-MICHELIN         118h 52' 36''  + 02h 30' 13''
81    ROLAND SMET                110        LEJEUNE-BP                    118h 53' 32''  + 02h 31' 09''
82    ROGER LOYSCH               87         MIKO-DE GRIBALDY-SUPERIA      118h 54' 48''  + 02h 32' 25''
83    JAN RAAS                   57         TI-RALEIGH-CAMPAGNOLO         119h 02' 04''  + 02h 39' 41''
84    GERBEN KARSTENS            54         TI-RALEIGH-CAMPAGNOLO         119h 06' 50''  + 02h 44' 27''
85    ERIC LALOUETTE             105        LEJEUNE-BP                    119h 12' 26''  + 02h 50' 03''
86    JOSÉ-LUIS URIBEZUBIA       49         SUPER SER                     119h 32' 28''  + 03h 10' 05''
87    AAD VAN DEN HOEK           58         TI-RALEIGH-CAMPAGNOLO         119h 35' 17''  + 03h 12' 54''

Next rankings
