Tour de France 2011

Number of stages 21
Distance (km) 3 630
Average speed 39.788

All about year 2011

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank                 Rider                Rider No.              Team                 Times           Gap       B P
62    DANIEL NAVARRO GARCIA               3          SAXO BANK SUNGARD            88h 05' 44''  + 01h 53' 22''
63    THOMAS DE GENDT                     203        VACANSOLEIL-DCM              88h 06' 33''  + 01h 54' 11''
64    CHRISTIAN KNEES                     115        SKY PROCYCLING               88h 08' 34''  + 01h 56' 12''
65    AMAEL MOINARD                       145        BMC RACING TEAM              88h 11' 05''  + 01h 58' 43''
66    GORKA IZAGUIRRE INSAUSTI            22         EUSKALTEL - EUSKADI          88h 12' 09''  + 01h 59' 47''
67    JENS VOIGT                          19         TEAM LEOPARD-TREK            88h 12' 18''  + 01h 59' 56''
68    THOR HUSHOVD                        51         TEAM GARMIN - CERVELO        88h 15' 37''  + 02h 03' 15''
69    MACIEJ PATERSKI                     96         LIQUIGAS-CANNONDALE          88h 16' 18''  + 02h 03' 56''
70    BAUKE MOLLEMA                       45         RABOBANK CYCLING TEAM        88h 18' 57''  + 02h 06' 35''
71    GRISCHA NIERMANN                    46         RABOBANK CYCLING TEAM        88h 19' 48''  + 02h 07' 26''
72    RICHIE PORTE                        5          SAXO BANK SUNGARD            88h 21' 46''  + 02h 09' 24''
73    EGOR SILIN                          198        KATUSHA TEAM                 88h 22' 27''  + 02h 10' 05''
74    JOHNNY HOOGERLAND                   204        VACANSOLEIL-DCM              88h 24' 13''  + 02h 11' 51''
75    RUBEN PEREZ MORENO                  25         EUSKALTEL - EUSKADI          88h 24' 50''  + 02h 12' 28''
76    DAVID MILLAR                        56         TEAM GARMIN - CERVELO        88h 27' 18''  + 02h 14' 56''
77    GIANNI MEERSMAN                     135        FDJ                          88h 29' 49''  + 02h 17' 27''
78    STUART O'GRADY                      16         TEAM LEOPARD-TREK            88h 30' 20''  + 02h 17' 58''
79    TONY GALLOPIN                       156        COFIDIS LE CREDIT EN LIGNE   88h 30' 41''  + 02h 18' 19''
80    JOSÉ ROJAS                          88         MOVISTAR TEAM                88h 35' 16''  + 02h 22' 54''
81    SERGIO MIGUEL MOREIRA PAULINHO      77         TEAM RADIOSHACK              88h 36' 51''  + 02h 24' 29''
82    TEJAY VAN GARDEREN                  178        HTC - HIGHROAD               88h 38' 11''  + 02h 25' 49''
83    IVAN SANTAROMITA                    148        BMC RACING TEAM              88h 39' 34''  + 02h 27' 12''
84    MARKEL IRIZAR ARRANBURU             73         TEAM RADIOSHACK              88h 39' 35''  + 02h 27' 13''
85    JURGEN ROELANDTS                    35         OMEGA PHARMA - LOTTO         88h 39' 50''  + 02h 27' 28''
86    JÉRÉMY ROY                          138        FDJ                          88h 40' 49''  + 02h 28' 27''
87    KRISTIJAN KOREN                     93         LIQUIGAS-CANNONDALE          88h 41' 46''  + 02h 29' 24''
88    IMANOL ERVITI                       84         MOVISTAR TEAM                88h 42' 09''  + 02h 29' 47''
