Tour de France 1986

Number of stages 23
Distance (km) 4 094
Average speed 37.020

All about year 1986

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider              Rider No.               Team                   Times            Gap       B P
28   BERNARD GAVILLET               46         SYSTEME U                       111h 43' 36''  + 01h 08' 17''
29   PETER STEVENHAAGEN             57         PDM                             111h 45' 59''  + 01h 10' 40''
30   JOKIN MUJIKA                   165        SEAT-ORBEA                      111h 46' 20''  + 01h 11' 01''
31   ANSELMO FUERTE                 126        ZOR-BH                          111h 47' 32''  + 01h 12' 13''
32   PRIMOZ CERIN                   194        MALVOR-BOTTECCHIA-SIDI          111h 49' 59''  + 01h 14' 40''
33   JOSÉ ANTONIO AGUDELO GOMEZ     182        TEKA                            111h 50' 32''  + 01h 15' 13''
34   DAG OTTO LAURITZEN             87         PEUGEOT-SHELL                   111h 51' 06''  + 01h 15' 47''
35   ROBERT FÖRSTER                 85         PEUGEOT-SHELL                   111h 51' 38''  + 01h 16' 19''
36   PELLO RUIZ-CABESTANY           168        SEAT-ORBEA                      111h 51' 41''  + 01h 16' 22''
37   EDDY SCHEPERS                  19         CARRERA JEANS                   111h 53' 39''  + 01h 18' 20''
38   FEDERICO ECHAVE                188        TEKA                            111h 54' 12''  + 01h 18' 53''
39   PHIL ANDERSON                  32         PANASONIC                       111h 55' 00''  + 01h 19' 41''
40   JÉSUS RODRIGUEZ-MAGRO          128        ZOR-BH                          111h 55' 28''  + 01h 20' 09''
41   SILVANO CONTINI                171        GIS-GELATI                      111h 57' 37''  + 01h 22' 18''
42   MARTIN RAMIREZ                 139        FAGOR                           111h 57' 45''  + 01h 22' 26''
43   HENDRIK DEVOS                  113        HITACHI-MARC-SPLENDOR           112h 00' 02''  + 01h 24' 43''
44   CHARLY BERARD                  3          LA VIE CLAIRE-WONDER-RADAR      112h 04' 21''  + 01h 29' 02''
45   DOMINIQUE GARDE                23         KAS-MAVIC                       112h 04' 30''  + 01h 29' 11''
46   MARTIN EARLEY                  135        FAGOR                           112h 05' 49''  + 01h 30' 30''
47   GILLES MAS                     148        RMO-MERAL-MAVIC                 112h 07' 15''  + 01h 31' 56''
48   STEPHEN ROCHE                  11         CARRERA JEANS                   112h 07' 49''  + 01h 32' 30''
49   ERICH MAECHLER                 16         CARRERA JEANS                   112h 08' 04''  + 01h 32' 45''
50   RIGOBERTO URAN URAN            160        POSTOBON                        112h 11' 54''  + 01h 36' 35''
51   JAN NEVENS                     108        JOKER-EMERXIL-EDDY MERCKX       112h 12' 34''  + 01h 37' 15''
52   JOHAN VAN DER VELDE            38         PANASONIC                       112h 13' 14''  + 01h 37' 55''
53   CARLOS HERNANDEZ               77         REYNOLDS-TS BATTERIES           112h 13' 32''  + 01h 38' 13''
54   GUY NULENS                     35         PANASONIC                       112h 14' 27''  + 01h 39' 08''
55   CARLOS JARAMILLO               154        POSTOBON                        112h 15' 07''  + 01h 39' 48''
56   JEAN-CLAUDE LECLERCQ           27         KAS-MAVIC                       112h 16' 02''  + 01h 40' 43''
57   JEAN-CLAUDE GARDE              24         KAS-MAVIC                       112h 16' 16''  + 01h 40' 57''
