Tour de France 1979

Number of stages 24
Distance (km) 3 765
Average speed 36.513

All about year 1979

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider             Rider No.           Team               Times            Gap        B P
1    BERNARD HINAULT              1          RENAULT-GITANE          103h 06' 50''
2    JOOP ZOETEMELK               11         MIKO-MERCIER            103h 19' 57''  + 00h 13' 07''
3    JOAQUIM AGOSTINHO            21         FLANDRIA-CA VA SEUL     103h 33' 43''  + 00h 26' 53''
4    HENNIE KUIPER                61         PEUGEOT-ESSO            103h 34' 52''  + 00h 28' 02''
5    JEAN-RENÉ BERNAUDEAU         4          RENAULT-GITANE          103h 39' 33''  + 00h 32' 43''
6    GIOVANNI BATTAGLIN           131        INOXPRAN                103h 45' 02''  + 00h 38' 12''
7    JO MAAS                      124        DAF TRUCKS              103h 45' 28''  + 00h 38' 38''
8    PAUL WELLENS                 39         RALEIGH-McGREGOR        103h 45' 56''  + 00h 39' 06''
9    CLAUDE CRIQUIELION           44         KAS                     103h 47' 28''  + 00h 40' 38''
10   DIETRICH THURAU              91         IJSBOERKE-WARNCKE       103h 51' 25''  + 00h 44' 35''
11   LUCIEN VAN IMPE              41         KAS                     103h 54' 16''  + 00h 47' 26''
12   SVEN-AKE NILSSON             19         MIKO-MERCIER            103h 55' 06''  + 00h 48' 16''
13   PIERRE-RAYMOND VILLEMIANE    10         RENAULT-GITANE          104h 05' 59''  + 00h 59' 09''
14   JOHAN VAN DER VELDE          37         RALEIGH-McGREGOR        104h 06' 03''  + 00h 59' 13''
15   EDDY SCHEPERS                121        DAF TRUCKS              104h 06' 41''  + 00h 59' 51''
16   MARIANO MARTINEZ             51         LA REDOUTE-MOTOBECANE   104h 08' 26''  + 01h 01' 36''
17   YVES HEZARD                  67         PEUGEOT-ESSO            104h 09' 55''  + 01h 03' 05''
18   HENK LUBBERDING              32         RALEIGH-McGREGOR        104h 09' 59''  + 01h 03' 09''
19   ROBERT ALBAN                 81         FIAT-LA FRANCE          104h 13' 39''  + 01h 06' 49''
20   BERNARD VALLET               60         LA REDOUTE-MOTOBECANE   104h 15' 15''  + 01h 08' 25''
21   JOS DE SCHOENMACKER          26         FLANDRIA-CA VA SEUL     104h 16' 22''  + 01h 09' 32''
22   CHRISTIAN SEZNEC             20         MIKO-MERCIER            104h 16' 42''  + 01h 09' 52''
23   RUDY PEVENAGE                98         IJSBOERKE-WARNCKE       104h 18' 14''  + 01h 11' 24''
24   RAYMOND MARTIN               16         MIKO-MERCIER            104h 21' 20''  + 01h 14' 30''
25   RENÉ MARTENS                 27         FLANDRIA-CA VA SEUL     104h 21' 36''  + 01h 14' 46''
26   RENÉ BITTINGER               22         FLANDRIA-CA VA SEUL     104h 26' 47''  + 01h 19' 57''
27   KNUT KNUDSEN                 114        BIANCHI-FAEMA           104h 31' 28''  + 01h 24' 38''
28   FRANCISCO GALDOS             46         KAS                     104h 33' 39''  + 01h 26' 49''
29   LUCIEN DIDIER                8          RENAULT-GITANE          104h 34' 18''  + 01h 27' 28''
30   GERRIE KNETEMANN             31         RALEIGH-McGREGOR        104h 46' 03''  + 01h 39' 13''
31   HENDRIK DEVOS                25         FLANDRIA-CA VA SEUL     104h 46' 50''  + 01h 40' 00''
32   ALESSANDRO POZZI             117        BIANCHI-FAEMA           104h 49' 26''  + 01h 42' 36''
33   PIERRE BAZZO                 52         LA REDOUTE-MOTOBECANE   104h 49' 57''  + 01h 43' 07''
34   ALAIN MESLET                 88         FIAT-LA FRANCE          104h 52' 29''  + 01h 45' 39''
35   JEAN CHASSANG                6          RENAULT-GITANE          104h 53' 36''  + 01h 46' 46''
36   LUDO PEETERS                 97         IJSBOERKE-WARNCKE       104h 59' 20''  + 01h 52' 30''
37   MICHEL LAURENT               68         PEUGEOT-ESSO            105h 00' 15''  + 01h 53' 25''
38   SEAN KELLY                   106        SPLENDOR-EURO SOAP      105h 01' 26''  + 01h 54' 36''
39   LUDO DELCROIX                93         IJSBOERKE-WARNCKE       105h 02' 48''  + 01h 55' 58''
40   JACQUES MICHAUD              28         FLANDRIA-CA VA SEUL     105h 04' 03''  + 01h 57' 13''
41   DIDIER VANOVERSCHEDE         59         LA REDOUTE-MOTOBECANE   105h 06' 12''  + 01h 59' 22''
42   BERNARD BECAAS               3          RENAULT-GITANE          105h 06' 16''  + 01h 59' 26''
43   JOSEPH BORGUET               43         KAS                     105h 06' 57''  + 02h 00' 07''
44   BERT PRONK                   34         RALEIGH-McGREGOR        105h 07' 56''  + 02h 01' 06''
45   JOS JACOBS                   96         IJSBOERKE-WARNCKE       105h 10' 07''  + 02h 03' 17''
46   GILBERT DUCLOS-LASSALLE      65         PEUGEOT-ESSO            105h 16' 57''  + 02h 10' 07''
47   MAURICE LE GUILLOUX          9          RENAULT-GITANE          105h 17' 39''  + 02h 10' 49''
48   FEDOR DEN HERTOG             94         IJSBOERKE-WARNCKE       105h 18' 19''  + 02h 11' 29''
49   HUBERT MATHIS                17         MIKO-MERCIER            105h 20' 28''  + 02h 13' 38''
50   JEAN-LOUIS GAUTHIER          14         MIKO-MERCIER            105h 22' 13''  + 02h 15' 23''
51   CHRISTIAN LEVAVASSEUR        15         MIKO-MERCIER            105h 22' 20''  + 02h 15' 30''
52   FERDINAND JULIEN             86         FIAT-LA FRANCE          105h 22' 55''  + 02h 16' 05''
53   PATRICK FRIOU                12         MIKO-MERCIER            105h 23' 27''  + 02h 16' 37''
54   GLAUCO SANTONI               118        BIANCHI-FAEMA           105h 24' 11''  + 02h 17' 21''
55   ALAIN DE CARVALHO            85         FIAT-LA FRANCE          105h 29' 22''  + 02h 22' 32''
56   WILLY TEIRLINCK              48         KAS                     105h 30' 10''  + 02h 23' 20''
57   MARC DEMEYER                 24         FLANDRIA-CA VA SEUL     105h 30' 39''  + 02h 23' 49''
58   GUIDO VAN CALSTER            129        DAF TRUCKS              105h 31' 19''  + 02h 24' 29''
59   ANDRÉ CHALMEL                5          RENAULT-GITANE          105h 34' 21''  + 02h 27' 31''
60   JACQUES BOSSIS               62         PEUGEOT-ESSO            105h 35' 48''  + 02h 28' 58''
61   RENÉ DILLEN                  45         KAS                     105h 36' 35''  + 02h 29' 45''
62   PATRICK BONNET               23         FLANDRIA-CA VA SEUL     105h 37' 25''  + 02h 30' 35''
63   ROGER LEGEAY                 69         PEUGEOT-ESSO            105h 38' 56''  + 02h 32' 06''
64   DORINO VANZO                 140        INOXPRAN                105h 40' 40''  + 02h 33' 50''
65   MICHEL BALBUENA              82         FIAT-LA FRANCE          105h 41' 13''  + 02h 34' 23''
66   SERGIO PARSANI               116        BIANCHI-FAEMA           105h 44' 35''  + 02h 37' 45''
67   JOËL GALLOPIN                13         MIKO-MERCIER            105h 48' 56''  + 02h 42' 06''
68   CHRISTIAN JOURDAN            53         LA REDOUTE-MOTOBECANE   105h 50' 21''  + 02h 43' 31''
69   PATRICE THEVENARD            29         FLANDRIA-CA VA SEUL     105h 50' 29''  + 02h 43' 39''
70   ANDRÉ MOLLET                 18         MIKO-MERCIER            105h 53' 22''  + 02h 46' 32''
71   POL VERSCHUERE               30         FLANDRIA-CA VA SEUL     105h 53' 43''  + 02h 46' 53''
72   JEAN-MARIE MICHEL            55         LA REDOUTE-MOTOBECANE   105h 54' 52''  + 02h 48' 02''
73   JEAN-FRANÇOIS PESCHEUX       57         LA REDOUTE-MOTOBECANE   105h 55' 02''  + 02h 48' 12''
74   HUBERT ARBES                 2          RENAULT-GITANE          105h 56' 33''  + 02h 49' 43''
75   STEFAN MUTTER                33         RALEIGH-McGREGOR        105h 59' 19''  + 02h 52' 29''
76   WIM MYNGHEER                 109        SPLENDOR-EURO SOAP      106h 01' 50''  + 02h 55' 00''
77   BRUNO LEALI                  135        INOXPRAN                106h 03' 49''  + 02h 56' 59''
78   BERNARDO ALFONSEL            42         KAS                     106h 07' 02''  + 03h 00' 12''
79   BERNARD BOURREAU             63         PEUGEOT-ESSO            106h 08' 54''  + 03h 02' 04''
80   GILBERT LE LAY               87         FIAT-LA FRANCE          106h 09' 12''  + 03h 02' 22''
81   PAUL SHERWEN                 90         FIAT-LA FRANCE          106h 10' 36''  + 03h 03' 46''
82   MAURIZIO BELLET              122        DAF TRUCKS              106h 16' 15''  + 03h 09' 25''
83   ANDRES OLIVA                 77         TEKA                    106h 18' 04''  + 03h 11' 14''
84   DOMINIQUE SANDERS            79         TEKA                    106h 20' 48''  + 03h 13' 58''
85   JOSÉ DE CAUWER               64         PEUGEOT-ESSO            106h 27' 18''  + 03h 20' 28''
86   EULALIO GARCIA               73         TEKA                    106h 34' 04''  + 03h 27' 14''
87   SERGE BEUCHERIE              83         FIAT-LA FRANCE          106h 45' 44''  + 03h 38' 54''
88   ALEX VAN LINDEN              119        BIANCHI-FAEMA           106h 56' 47''  + 03h 49' 57''
89   GERHARD SCHONBACHER          127        DAF TRUCKS              107h 26' 11''  + 04h 19' 21''

Next rankings
