TDF 1997

Number of stages 21
Distance (km) 3 950
Average speed 39.237

All about year 1997

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider             Rider No.                Team                   Times            Gap       B P
104  GEORGE HINCAPIE               196        U.S POSTAL SERVICE               03h 40' 17''   + 03h 31' 08''
105  ARNAUD PRETOT                 95         GAN                              03h 41' 16''   + 03h 32' 07''
106  FLAVIO VANZELLA               79         LA FRANCAISE DES JEUX            03h 42' 01''   + 03h 32' 52''
107  SERVAIS KNAVEN                105        TVM                              03h 44' 01''   + 03h 34' 52''
108  FRANCISCO CABELLO             174        KELME-COSTA BLANCA-EUROSPORT     03h 44' 51''   + 03h 35' 42''
109  STUART O'GRADY                93         GAN                              03h 45' 05''   + 03h 35' 56''
110  NICOLA LODA                   46         MG.TECHNOGYM                     03h 48' 19''   + 03h 39' 10''
111  FRÉDÉRIC GUESDON              72         LA FRANCAISE DES JEUX            03h 50' 13''   + 03h 41' 04''
112  BRUNO CENGHIALTA              143        BATIK-DEL MONTE                  03h 50' 15''   + 03h 41' 06''
113  SERGUEI OUTSCHAKOV            58         Team POLTI                       03h 51' 57''   + 03h 42' 48''
114  FRÉDÉRIC MONCASSIN            92         GAN                              03h 54' 12''   + 03h 45' 03''
115  CHRISTOPHE RINERO             68         COFIDIS                          03h 54' 23''   + 03h 45' 14''
116  GILBERTO SIMONI               48         MG.TECHNOGYM                     03h 54' 42''   + 03h 45' 33''
117  ROBBIE MC EWEN                126        RABOBANK                         03h 54' 56''   + 03h 45' 47''
118  GIOVANNI LOMBARDI             6          TEAM DEUTSCHE TELEKOM            03h 55' 08''   + 03h 45' 59''
119  ADRIANO BAFFI                 192        U.S POSTAL SERVICE               03h 56' 04''   + 03h 46' 55''
120  LUCA SCINTO                   47         MG.TECHNOGYM                     03h 57' 13''   + 03h 48' 04''
121  MARCELINO GARCIA              34         ONCE                             03h 58' 42''   + 03h 49' 33''
122  NICOLA MINALI                 146        BATIK-DEL MONTE                  04h 00' 35''   + 03h 51' 26''
123  MIRCO CREPALDI                54         Team POLTI                       04h 00' 58''   + 03h 51' 49''
124  LAURI AUS                     133        CASINO "C'est votre équipe"      04h 01' 40''   + 03h 52' 31''
125  GERRIT DE VRIES               55         Team POLTI                       04h 03' 14''   + 03h 54' 05''
126  JEROEN BLIJLEVENS             102        TVM                              04h 03' 19''   + 03h 54' 10''
127  LAURENT DESBIENS              63         COFIDIS                          04h 03' 41''   + 03h 54' 32''
128  TRISTAN HOFFMAN               104        TVM                              04h 03' 58''   + 03h 54' 49''
129  CARLO FINCO                   43         MG.TECHNOGYM                     04h 06' 36''   + 03h 57' 27''
130  ROSSANO BRASI                 52         Team POLTI                       04h 11' 20''   + 04h 02' 11''
131  PASCAL DERAME                 194        U.S POSTAL SERVICE               04h 14' 06''   + 04h 04' 57''
132  MATTEO TOSATTO                49         MG.TECHNOGYM                     04h 15' 14''   + 04h 06' 05''
133  GIANLUCA PIEROBON             148        BATIK-DEL MONTE                  04h 16' 02''   + 04h 06' 53''
134  EROS POLI                     94         GAN                              04h 20' 31''   + 04h 11' 22''
135  NICOLAS JALABERT              65         COFIDIS                          04h 20' 40''   + 04h 11' 31''
136  TORSTEN SCHMIDT               86         ROSLOTTO-ZG MOBILI               04h 24' 57''   + 04h 15' 48''
137  PHILIPP BUSCHOR               112        SAECO-ESTRO                      04h 26' 44''   + 04h 17' 35''
138  STÉPHANE CUEFF                203        LA MUTUELLE DE SEINE ET MARNE    04h 27' 27''   + 04h 18' 18''
139  PHILIPPE GAUMONT              64         COFIDIS                          04h 35' 18''   + 04h 26' 09''

Next rankings
