Tour de France 1994

Number of stages 21
Distance (km) 3 978
Average speed 38.383

All about year 1994

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank              Rider             Rider No.            Team                Times            Gap       B P
1     MIGUEL INDURAIN               1          BANESTO                   103h 38' 38''
2     PIOTR UGRUMOV                 48         GEWISS-BALLAN             103h 44' 17''  + 00h 05' 39''
3     MARCO PANTANI                 56         CARRERA JEANS-TASSONI     103h 45' 57''  + 00h 07' 19''
4     LUC LEBLANC                   91         FESTINA-ANDORRA           103h 48' 41''  + 00h 10' 03''
5     RICHARD VIRENQUE              99         FESTINA-ANDORRA           103h 48' 48''  + 00h 10' 10''
6     ROBERTO CONTI                 72         LAMPRE-PANARIA            103h 51' 07''  + 00h 12' 29''
7     ALBERTO ELLI                  24         GB-MG TECHNOGYM           103h 58' 55''  + 00h 20' 17''
8     ALEX ZULLE                    61         ONCE                      103h 59' 13''  + 00h 20' 35''
9     UDO BÖLTS                     134        TELECOM                   104h 03' 57''  + 00h 25' 19''
10    VLADIMIR POULNIKOV            57         CARRERA JEANS-TASSONI     104h 04' 06''  + 00h 25' 28''
11    PASCAL LINO                   95         FESTINA-ANDORRA           104h 04' 39''  + 00h 26' 01''
12    FERNANDO ESCARTIN             15         MAPEI-CLAS                104h 09' 16''  + 00h 30' 38''
13    GIANLUCA BORTOLAMI            12         MAPEI-CLAS                104h 11' 13''  + 00h 32' 35''
14    BJARNE RIIS                   41         GEWISS-BALLAN             104h 12' 10''  + 00h 33' 32''
15    OSCAR PELLICIOLI              106        TEAM POLTI                104h 13' 33''  + 00h 34' 55''
16    NELSON RODRIGUEZ              148        ZG MOBILI-SELLE ITALIA    104h 13' 56''  + 00h 35' 18''
17    JEAN-FRANÇOIS BERNARD         4          BANESTO                   104h 15' 22''  + 00h 36' 44''
18    HERNÁN BUENAHORA GUTIERREZ    172        KELME-AVIANCA             104h 16' 38''  + 00h 38' 00''
19    ROLF SORENSEN                 27         GB-MG TECHNOGYM           104h 21' 17''  + 00h 42' 39''
