Tour de France 1970

Number of stages 23
Distance (km) 4 254
Average speed 35.589

All about year 1970

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank              Rider               Rider No.                 Team                     Times            Gap       B P
26   JAN JANSSEN                      84         BIC                                 120h 28' 18''  + 00h 56' 29''
27   HENRI RABAUTE                    29         FAGOR-MERCIER-HUTCHINSON            120h 30' 36''  + 00h 58' 47''
28   PRIMO MORI                       38         SALVARANI                           120h 31' 28''  + 00h 59' 39''
29   WALTER GODEFROOT                 34         SALVARANI                           120h 34' 25''  + 01h 02' 36''
30   JOSEPH HUYSMANS                  4          FAEMA-FAEMINO                       120h 37' 13''  + 01h 05' 24''
31   LUIS OCANA                       87         BIC                                 120h 38' 48''  + 01h 06' 59''
32   EVERT DOLMAN                     51         WILLEM II-GAZELLE                   120h 42' 08''  + 01h 10' 19''
33   BERNARD LABOURDETTE              24         FAGOR-MERCIER-HUTCHINSON            120h 43' 11''  + 01h 11' 22''
34   VICENTE LOPEZ-CARRIL             47         KAS-KASKOL                          120h 44' 10''  + 01h 12' 21''
35   BERNARD THEVENET                 20         PEUGEOT-BP-MICHELIN                 120h 45' 14''  + 01h 13' 25''
36   THOMAS PETTERSON                 135        FERRETTI                            120h 45' 17''  + 01h 13' 28''
37   ROLF WOLFSHOHL                   30         FAGOR-MERCIER-HUTCHINSON            120h 47' 27''  + 01h 15' 38''
38   EDDY SCHUTZ                      68         MOLTENI                             120h 47' 54''  + 01h 16' 05''
39   GUERRINO TOSELLO                 69         MOLTENI                             120h 48' 32''  + 01h 16' 43''
40   ALAIN VASSEUR                    89         BIC                                 120h 49' 13''  + 01h 17' 24''
41   ROBERT BOULOUX                   11         PEUGEOT-BP-MICHELIN                 120h 50' 10''  + 01h 18' 21''
42   PIERRE GAUTIER                   74         FRIMATIC-DE GRIBALDY-VIVA-WOLBER    120h 50' 23''  + 01h 18' 34''
43   RONALD DE WITTE                  103        MANN-GRUNDIG                        120h 51' 45''  + 01h 19' 56''
44   JOS VAN DER VLEUTEN              58         WILLEM II-GAZELLE                   120h 54' 35''  + 01h 22' 46''
45   HARRY STEEVENS                   127        CABALLERO-LAURENS                   120h 55' 10''  + 01h 23' 21''
46   JOSEPH SPRUYT                    6          FAEMA-FAEMINO                       120h 58' 19''  + 01h 26' 30''
47   GÉRARD VIANEN                    128        CABALLERO-LAURENS                   120h 58' 53''  + 01h 27' 04''
48   FLORENT VAN VLIERBERGHE          139        FERRETTI                            121h 02' 54''  + 01h 31' 05''
49   GIACINTO SANTAMBROGIO            67         MOLTENI                             121h 05' 42''  + 01h 33' 53''
51   WALTER RICCI                     97         SONOLOR-LEJEUNE-WOLBER              121h 07' 48''  + 01h 35' 59''
52   CHRISTIAN RAYMOND                19         PEUGEOT-BP-MICHELIN                 121h 08' 16''  + 01h 36' 27''
53   FRANCO MORI                      65         MOLTENI                             121h 09' 01''  + 01h 37' 12''
54   ANDRÉ POPPE                      106        MANN-GRUNDIG                        121h 10' 16''  + 01h 38' 27''
55   MARIO ANNI                       61         MOLTENI                             121h 10' 38''  + 01h 38' 49''
56   JOSÉ-ANTONIO GONZALEZ-LINARES    45         KAS-KASKOL                          121h 10' 50''  + 01h 39' 01''
57   JOS DE SCHOENMACKER              102        MANN-GRUNDIG                        121h 12' 06''  + 01h 40' 17''
58   JEAN-PIERRE PARENTEAU            17         PEUGEOT-BP-MICHELIN                 121h 12' 56''  + 01h 41' 07''
59   MORGENS FREY                     73         FRIMATIC-DE GRIBALDY-VIVA-WOLBER    121h 12' 59''  + 01h 41' 10''
60   ATTILIO BENFATTO                 142        SCIC                                121h 17' 20''  + 01h 45' 31''
