Tour de France 1980

Number of stages 22
Distance (km) 3 842
Average speed 35.144

All about year 1980

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank                  Rider                  Rider No.                Team                   Times            Gap       B P
58   ALAIN VIGNERON                          110        BOSTON-MAVIC-AMIS DU TOUR        110h 44' 37''  + 01h 25' 23''
59   JACQUES BOSSIS                          32         PEUGEOT-ESSO-MICHELIN            110h 44' 44''  + 01h 25' 30''
60   JOS JACOBS                              95         IJSBOERKE-WARNCKE-KOGA MIYATA    110h 44' 58''  + 01h 25' 44''
61   DIDIER LEBAUD                           76         MIKO-MERCIER-VIVAGEL             110h 45' 58''  + 01h 26' 44''
62   HANS-PETER JAKST                        25         PUCH-SEM                         110h 47' 13''  + 01h 27' 59''
63   HENDRIK DEVOS                           42         DAF TRUCKS-LEJEUNE               110h 48' 03''  + 01h 28' 49''
64   MARCEL LAURENS                          66         MARC-IWC-VRD                     110h 48' 50''  + 01h 29' 36''
65   POL VERSCHUERE                          98         IJSBOERKE-WARNCKE-KOGA MIYATA    110h 49' 19''  + 01h 30' 05''
66   JOS DE SCHOENMACKER                     62         MARC-IWC-VRD                     110h 50' 17''  + 01h 31' 03''
67   DIRK WAYENBERG                          99         IJSBOERKE-WARNCKE-KOGA MIYATA    110h 50' 21''  + 01h 31' 07''
68   LUDWIG WIJNANTS                         100        IJSBOERKE-WARNCKE-KOGA MIYATA    110h 50' 23''  + 01h 31' 09''
69   JAN JONKERS                             104        BOSTON-MAVIC-AMIS DU TOUR        110h 51' 50''  + 01h 32' 36''
70   PIERRE-RAYMOND VILLEMIANE               10         RENAULT-GITANE                   110h 52' 13''  + 01h 32' 59''
71   PATRICK PERRET                          39         PEUGEOT-ESSO-MICHELIN            110h 57' 25''  + 01h 38' 11''
72   JACQUES MICHAUD                         26         PUCH-SEM                         111h 00' 50''  + 01h 41' 36''
73   ETRIC VAN DE WIELE                      94         IJSBOERKE-WARNCKE-KOGA MIYATA    111h 00' 52''  + 01h 41' 38''
74   JEAN CHASSANG                           7          RENAULT-GITANE                   111h 03' 48''  + 01h 44' 34''
75   FRÉDERIC BRUN                           33         PEUGEOT-ESSO-MICHELIN            111h 04' 05''  + 01h 44' 51''
76   BERNARD BECAAS                          3          RENAULT-GITANE                   111h 04' 23''  + 01h 45' 09''
77   JOËL GALLOPIN                           74         MIKO-MERCIER-VIVAGEL             111h 05' 26''  + 01h 46' 12''
78   JOSÉ BEYAERT                            52         SPLENDOR-ADMIRAL-TV EKSPRES      111h 07' 33''  + 01h 48' 19''
79   PATRICK PEVENAGE                        47         DAF TRUCKS-LEJEUNE               111h 09' 08''  + 01h 49' 54''
80   JORGE FORTIA                            125        KELME                            111h 11' 36''  + 01h 52' 22''
81   MAURICE LE GUILLOUX                     8          RENAULT-GITANE                   111h 12' 23''  + 01h 53' 09''
82   WILLIAM TACKAERT                        50         DAF TRUCKS-LEJEUNE               111h 16' 22''  + 01h 57' 08''
83   JOS SCHIPPER                            69         MARC-IWC-VRD                     111h 18' 43''  + 01h 59' 29''
84   ROGER LEGEAY                            37         PEUGEOT-ESSO-MICHELIN            111h 18' 54''  + 01h 59' 40''
85   GERHARD SCHONBACHER                     70         MARC-IWC-VRD                     111h 30' 06''  + 02h 10' 52''

Next rankings
