Tour de France 1988

Number of stages 22
Distance (km) 3 286
Average speed 38.909

All about year 1988

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider              Rider No.                 Team                    Times           Gap       B P
36   GILBERT DUCLOS-LASSALLE        126        Z-PEUGEOT                          85h 25' 14''  + 00h 57' 21''
37   JEAN-PHILIPPE VANDENBRANDE     87         HITACHI-BOSAL-B.C.E                85h 25' 50''  + 00h 57' 57''
38   GUY NULENS                     114        PANASONIC-ISOSTAR                  85h 27' 06''  + 00h 59' 13''
39   JEAN-CLAUDE BAGOT              102        FAGOR                              85h 27' 40''  + 00h 59' 47''
40   CHARLY BERARD                  103        FAGOR                              85h 28' 01''  + 01h 00' 08''
41   EDGAR CORREDOR                 45         CAFÉ DE COLOMBIA                   85h 29' 13''  + 01h 01' 20''
42   JULIO-CÉSAR CADENA             43         CAFÉ DE COLOMBIA                   85h 29' 21''  + 01h 01' 28''
43   NIKI RUTTIMAN                  191        WEINMANN-LA SUISSE-S.M.M. USTER    85h 29' 36''  + 01h 01' 43''
44   HENRI ABADIE                   122        Z-PEUGEOT                          85h 29' 52''  + 01h 01' 59''
45   GÉRARD VELDSCHOLTEN            195        WEINMANN-LA SUISSE-S.M.M. USTER    85h 30' 25''  + 01h 02' 32''
46   SEAN KELLY                     141        KAS-CANAL 10-MAVIC                 85h 30' 47''  + 01h 02' 54''
47   MIGUEL INDURAIN                177        REYNOLDS                           85h 31' 08''  + 01h 03' 15''
48   DOMINIQUE ARNAUD               172        REYNOLDS                           85h 35' 24''  + 01h 07' 31''
49   ISRAËL CORREDOR                46         CAFÉ DE COLOMBIA                   85h 35' 43''  + 01h 07' 50''
50   MICHAËL WILSON                 197        WEINMANN-LA SUISSE-S.M.M. USTER    85h 37' 24''  + 01h 09' 31''
51   PATROCINIO JIMENEZ             47         CAFÉ DE COLOMBIA                   85h 37' 48''  + 01h 09' 55''
52   JÉSUS RODRIGUEZ-MAGRO          179        REYNOLDS                           85h 39' 10''  + 01h 11' 17''
53   JON UNZAGA                     148        KAS-CANAL 10-MAVIC                 85h 40' 10''  + 01h 12' 17''
54   JOHNNY WELTZ                   108        FAGOR                              85h 40' 42''  + 01h 12' 49''
55   JEAN-CLAUDE COLOTTI            155        RMO-LIBERIA-MAVIC                  85h 42' 53''  + 01h 15' 00''
56   JOS HAEX                       84         HITACHI-BOSAL-B.C.E                85h 43' 09''  + 01h 15' 16''
57   MARIANO SANCHEZ                139        TEKA                               85h 43' 59''  + 01h 16' 06''
58   JEAN-CLAUDE LECLERCQ           193        WEINMANN-LA SUISSE-S.M.M. USTER    85h 45' 14''  + 01h 17' 21''
59   SEAN YATES                     109        FAGOR                              85h 45' 18''  + 01h 17' 25''
60   JULIAN GOROSPE                 175        REYNOLDS                           85h 45' 26''  + 01h 17' 33''
61   JAN NEVENS                     216        SIGMA-FINA-DIAMANT                 85h 46' 04''  + 01h 18' 11''
62   GIANNI BUGNO                   91         CHATEAU D'AX                       85h 47' 02''  + 01h 19' 09''
63   JOKIN MUJIKA                   76         CAJA RURAL-ORBEA                   85h 47' 08''  + 01h 19' 15''
64   ENRIQUE ALBERTO AJA CAGIGAS    132        TEKA                               85h 47' 45''  + 01h 19' 52''
65   PHILIPPE LELEU                 27         TOSHIBA                            85h 49' 44''  + 01h 21' 51''
66   MARC MADIOT                    28         TOSHIBA                            85h 50' 27''  + 01h 22' 34''
67   CHRISTOPHE LAVAINNE            35         SYSTEME U                          85h 50' 27''  + 01h 22' 34''
68   TONY ROMINGER                  96         CHATEAU D'AX                       85h 51' 34''  + 01h 23' 41''
69   RON KIEFEL                     63         SEVEN ELEVEN-HOONVED               85h 51' 51''  + 01h 23' 58''
70   ROLAND LE CLERC                75         CAJA RURAL-ORBEA                   85h 53' 10''  + 01h 25' 17''
71   MARTIAL GAYANT                 23         TOSHIBA                            85h 53' 23''  + 01h 25' 30''
72   JACQUES DECRION                33         SYSTEME U                          85h 54' 37''  + 01h 26' 44''
73   MARCO-ANTONIO LEON             48         CAFÉ DE COLOMBIA                   85h 54' 51''  + 01h 26' 58''
74   ERIC VAN LANCKER               117        PANASONIC-ISOSTAR                  85h 56' 30''  + 01h 28' 37''
75   VICENTE BELDA                  182        KELME                              85h 57' 22''  + 01h 29' 29''
76   MARC VAN ORSOUW                19         P.D.M                              85h 58' 29''  + 01h 30' 36''
77   MASSIMO GHIROTTO               4          CARRERA JEANS-VAGABOND             85h 58' 43''  + 01h 30' 50''
