Tour de France 1993

Number of stages 20
Distance (km) 3 714
Average speed 38.709

All about year 1993

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider             Rider No.            Team                Times            Gap        B P
65   MAURO-ANTONIO SANTAROMITA    169        TDF 1993 ARI              97h 49' 33''   + 01h 52' 24''
66   LAURENT PILLON               87         GB-MG-MAGLIFICIO          97h 49' 51''   + 01h 52' 42''
67   GUY NULENS                   116        NOVEMAIL-LASER COMPUTER   97h 50' 49''   + 01h 53' 40''
68   PASCAL LANCE                 97         GAN                       97h 51' 52''   + 01h 54' 43''
69   MARC SERGEANT                118        NOVEMAIL-LASER COMPUTER   97h 52' 30''   + 01h 55' 21''
70   ROLF SORENSEN                18         CARRERA JEANS-TASSONI     97h 53' 59''   + 01h 56' 50''
71   MAXIMILIAN SCIANDRI          38         MOTOROLA                  97h 54' 23''   + 01h 57' 14''
72   MARINO ALONSO                2          BANESTO                   97h 55' 13''   + 01h 58' 04''
73   GIANLUCA BORTOLAMI           182        LAMPRE-POLTI              97h 56' 23''   + 01h 59' 14''
74   JULIAN GOROSPE               6          BANESTO                   97h 57' 31''   + 02h 00' 22''
75   PASCAL CHANTEUR              194        CHAZAL-VETTA MBK          97h 57' 51''   + 02h 00' 42''
76   DJAMOLIDINE ABDOUJAPAROV     181        LAMPRE-POLTI              98h 00' 42''   + 02h 03' 33''
77   BRIAN HOLM                   77         TELECOM                   98h 02' 04''   + 02h 04' 55''
78   INAKI GASTON                 134        CLAS-CAJASTUR             98h 02' 41''   + 02h 05' 32''
79   FABIAN JEKER                 126        CASTORAMA                 98h 04' 21''   + 02h 07' 12''
80   JOHN VAN DEN AKKER           69         ZG MOBILI-SIDI            98h 04' 26''   + 02h 07' 17''
81   DOMINIQUE ARNOULD            121        CASTORAMA                 98h 04' 49''   + 02h 07' 40''
82   JUAN-CARLOS MARTIN           155        AMAYA SEGUROS             98h 06' 02''   + 02h 08' 53''
83   LUC ROOSEN                   176        LOTTO-BELGACOM            98h 06' 25''   + 02h 09' 16''
84   PHIL ANDERSON                32         MOTOROLA                  98h 07' 54''   + 02h 10' 45''
85   FABIO ROSCIOLI               16         CARRERA JEANS-TASSONI     98h 08' 40''   + 02h 11' 31''
86   WILFRIED PEETERS             86         GB-MG-MAGLIFICIO          98h 09' 04''   + 02h 11' 55''
87   CHRISTIAN HENN               75         TELECOM                   98h 09' 22''   + 02h 12' 13''
88   SEAN YATES                   39         MOTOROLA                  98h 13' 47''   + 02h 16' 38''
89   FRANKIE ANDREU               33         MOTOROLA                  98h 14' 19''   + 02h 17' 10''
90   DAG OTTO LAURITZEN           106        TVM-BISON                 98h 14' 49''   + 02h 17' 40''
91   MAARTEN DEN BAKKER           104        TVM-BISON                 98h 15' 41''   + 02h 18' 32''
92   MARIO CHIESA                 13         CARRERA JEANS-TASSONI     98h 15' 51''   + 02h 18' 42''
93   FRANK PINEAU                 199        CHAZAL-VETTA MBK          98h 16' 04''   + 02h 18' 55''
94   JOSÉ-RAMON URIARTE           9          BANESTO                   98h 16' 53''   + 02h 19' 44''
95   JAVIER MURGUIALDAY           157        AMAYA SEGUROS             98h 17' 02''   + 02h 19' 53''
96   DAVIDE BRAMATI               183        LAMPRE-POLTI              98h 19' 27''   + 02h 22' 18''
97   SERGUEI OUTSCHAKOV           186        LAMPRE-POLTI              98h 20' 17''   + 02h 23' 08''
98   UWE RAAB                     79         TELECOM                   98h 20' 33''   + 02h 23' 24''
99   GERD AUDEHM                  73         TELECOM                   98h 21' 18''   + 02h 24' 09''
100  NELSON RODRIGUEZ             67         ZG MOBILI-SIDI            98h 21' 22''   + 02h 24' 13''
101  STEVE BAUER                  35         MOTOROLA                  98h 22' 55''   + 02h 25' 46''
102  HERMINIO DIAZ ZABALA         53         ONCE                      98h 23' 06''   + 02h 25' 57''
103  LAURENT BIONDI               192        CHAZAL-VETTA MBK          98h 24' 08''   + 02h 26' 59''
104  STEFANO ZANATTA              29         GATORADE-MEGA DRIVE       98h 24' 46''   + 02h 27' 37''
106  FRANS MAASSEN                143        WORDPERFECT               98h 26' 04''   + 02h 28' 55''
107  MARC WAUTERS                 179        LOTTO-BELGACOM            98h 27' 42''   + 02h 30' 33''
108  JEAN-PIERRE DELPHIS          195        CHAZAL-VETTA MBK          98h 29' 59''   + 02h 32' 50''
109  LAURENT DESBIENS             124        CASTORAMA                 98h 30' 14''   + 02h 33' 05''
110  SERGE BAGUET                 172        LOTTO-BELGACOM            98h 31' 54''   + 02h 34' 45''
111  MARIO KUMMER                 78         TELECOM                   98h 32' 31''   + 02h 35' 22''
112  FRÉDÉRIC MONCASSIN           144        WORDPERFECT               98h 32' 44''   + 02h 35' 35''
113  MICHEL VERMOTE               48         FESTINA                   98h 34' 03''   + 02h 36' 54''
114  HERMAN FRISON                175        LOTTO-BELGACOM            98h 34' 07''   + 02h 36' 58''
115  CHRISTOPHE CAPELLE           92         GAN                       98h 34' 32''   + 02h 37' 23''
116  MICHEL DERNIES               36         MOTOROLA                  98h 34' 46''   + 02h 37' 37''
117  JÉSUS MONTOYA                156        AMAYA SEGUROS             98h 35' 19''   + 02h 38' 10''
118  TOM CORDES                   152        AMAYA SEGUROS             98h 37' 21''   + 02h 40' 12''
119  PATRICE ESNAULT              196        CHAZAL-VETTA MBK          98h 37' 56''   + 02h 40' 47''
120  MARIO SCIREA                 27         GATORADE-MEGA DRIVE       98h 38' 02''   + 02h 40' 53''
121  JACKY DURAND                 125        CASTORAMA                 98h 38' 06''   + 02h 40' 57''
122  JOHN TALEN                   109        TVM-BISON                 98h 39' 20''   + 02h 42' 11''
123  PHILIPPE CASADO              93         GAN                       98h 40' 11''   + 02h 43' 02''
124  JEAN-PIERRE BOURGEOT         193        CHAZAL-VETTA MBK          98h 41' 14''   + 02h 44' 05''
125  GIOVANNI FIDANZA             23         GATORADE-MEGA DRIVE       98h 42' 40''   + 02h 45' 31''
126  PRUDENCIO INDURAIN           7          BANESTO                   98h 50' 58''   + 02h 53' 49''
127  GERT JAKOBS                  44         FESTINA                   98h 52' 57''   + 02h 55' 48''
128  ANDREA TAFI                  19         CARRERA JEANS-TASSONI     98h 53' 27''   + 02h 56' 18''
129  HENK NIJDAM                  146        WORDPERFECT               98h 54' 01''   + 02h 56' 52''
130  DANNY NELISSEN               107        TVM-BISON                 98h 57' 18''   + 03h 00' 09''
131  DIETER RUNKEL                147        WORDPERFECT               98h 59' 08''   + 03h 01' 59''
132  PETER DECLERCQ               173        LOTTO-BELGACOM            99h 02' 30''   + 03h 05' 21''
133  JEAN-CLAUDE COLOTTI          95         GAN                       99h 02' 49''   + 03h 05' 40''
134  ROB MULDERS                  145        WORDPERFECT               99h 03' 15''   + 03h 06' 06''
135  PETER FARAZIJN               174        LOTTO-BELGACOM            99h 08' 52''   + 03h 11' 43''
136  EDWIG VAN HOOYDONCK          148        WORDPERFECT               99h 27' 24''   + 03h 30' 15''

Next rankings
