Tour de France 2016

Number of stages 21
Distance (km) 3 525
Average speed 39.571

All about year 2016

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider              Rider No.              Team                  Times           Gap       B P
31   DANIEL MORENO FERNANDEZ        18         MOVISTAR TEAM                 90h 25' 48''  + 01h 21' 00''
32   WILCO KELDERMAN                51         TEAM LOTTO NL - JUMBO         90h 29' 26''  + 01h 24' 38''
33   DOMENICO POZZOVIVO             48         AG2R LA MONDIALE              90h 30' 02''  + 01h 25' 14''
34   FRANK SCHLECK                  65         TREK - SEGAFREDO              90h 32' 27''  + 01h 27' 39''
35   MIKEL LANDA MEANA              4          TEAM SKY                      90h 37' 07''  + 01h 32' 19''
36   STEVE MORABITO                 124        FDJ                           90h 43' 18''  + 01h 38' 30''
37   DIEGO ROSA                     27         ASTANA PRO TEAM               90h 51' 24''  + 01h 46' 36''
38   DARYL IMPEY                    205        ORICA-BIKEEXCHANGE            90h 55' 39''  + 01h 50' 51''
39   BARTOSZ HUZARSKI               136        BORA-ARGON 18                 91h 00' 16''  + 01h 55' 28''
40   THOMAS DE GENDT                163        LOTTO SOUDAL                  91h 03' 33''  + 01h 58' 45''
41   JULIAN ALAPHILIPPE             182        ETIXX-QUICK STEP              91h 04' 57''  + 02h 00' 09''
42   SERGE PAUWELS                  107        TEAM DIMENSION DATA           91h 05' 26''  + 02h 00' 38''
43   SYLVAIN CHAVANEL               172        DIRECT ENERGIE                91h 07' 41''  + 02h 02' 53''
44   GREG VAN AVERMAET              98         BMC RACING TEAM               91h 11' 01''  + 02h 06' 13''
45   AMAEL MOINARD                  96         BMC RACING TEAM               91h 11' 24''  + 02h 06' 36''
46   PETER STETINA                  66         TREK - SEGAFREDO              91h 12' 10''  + 02h 07' 22''
47   JON IZAGUIRRE INSAUSTI         17         MOVISTAR TEAM                 91h 14' 37''  + 02h 09' 49''
48   LUIS LEÓN SANCHEZ              28         ASTANA PRO TEAM               91h 15' 13''  + 02h 10' 25''
49   RUI ALBERTO FARIA DA COSTA     151        LAMPRE - MERIDA               91h 16' 30''  + 02h 11' 42''
50   JAN BAKELANTS                  42         AG2R LA MONDIALE              91h 18' 35''  + 02h 13' 47''
51   KRISTIJAN ÐURASEK              155        LAMPRE - MERIDA               91h 20' 04''  + 02h 15' 16''
52   JAKOB FUGLSANG                 23         ASTANA PRO TEAM               91h 22' 04''  + 02h 17' 16''
53   GEORGE BENNETT                 52         TEAM LOTTO NL - JUMBO         91h 22' 53''  + 02h 18' 05''
54   JAN POLANC                     159        LAMPRE - MERIDA               91h 23' 12''  + 02h 18' 24''
55   LUIS ANGEL MATE MARDONES       198        COFIDIS, SOLUTIONS CREDITS    91h 26' 05''  + 02h 21' 17''
56   GEORG PREIDLER                 116        TEAM GIANT-ALPECIN            91h 30' 33''  + 02h 25' 45''
57   MIKAEL CHEREL                  43         AG2R LA MONDIALE              91h 32' 33''  + 02h 27' 45''
58   ROBERT KIŠERLOVSKI             35         TINKOFF                       91h 32' 54''  + 02h 28' 06''
59   EDUARDO SEPULVEDA              211        FORTUNEO - VITAL CONCEPT      91h 33' 15''  + 02h 28' 27''
60   FABRICE JEANDESBOZ             175        DIRECT ENERGIE                91h 44' 05''  + 02h 39' 17''
61   BEN GASTAUER                   45         AG2R LA MONDIALE              91h 45' 53''  + 02h 41' 05''
62   ALEXEY LUTSENKO                26         ASTANA PRO TEAM               91h 46' 40''  + 02h 41' 52''
63   ANTHONY ROUX                   127        FDJ                           91h 48' 39''  + 02h 43' 51''
64   MARTIN ELMIGER                 74         IAM CYCLING                   91h 48' 49''  + 02h 44' 01''
65   PATRICK KONRAD                 137        BORA-ARGON 18                 91h 51' 20''  + 02h 46' 32''
66   SIMON GESCHKE                  115        TEAM GIANT-ALPECIN            91h 52' 20''  + 02h 47' 32''
67   ALBERTO LOSADA ALGUACIL        145        TEAM KATUSHA                  91h 52' 50''  + 02h 48' 02''
68   CYRIL GAUTIER                  46         AG2R LA MONDIALE              91h 54' 37''  + 02h 49' 49''
69   WINNER ANDREW ANACONA GOMEZ    13         MOVISTAR TEAM                 91h 55' 11''  + 02h 50' 23''
70   BRICE FEILLU                   214        FORTUNEO - VITAL CONCEPT      91h 55' 37''  + 02h 50' 49''
71   TONY GALLOPIN                  165        LOTTO SOUDAL                  91h 56' 11''  + 02h 51' 23''
72   RUBEN PLAZA MOLINA             208        ORICA-BIKEEXCHANGE            91h 57' 58''  + 02h 53' 10''
73   LAURENS TEN DAM                118        TEAM GIANT-ALPECIN            91h 58' 10''  + 02h 53' 22''
74   PAOLO TIRALONGO                29         ASTANA PRO TEAM               92h 03' 00''  + 02h 58' 12''
75   JÉRÔME COPPEL                  73         IAM CYCLING                   92h 03' 36''  + 02h 58' 48''
76   MICHAEL SCHÄR                  97         BMC RACING TEAM               92h 05' 42''  + 03h 00' 54''
77   MICHAEL VALGREN ANDERSEN       39         TINKOFF                       92h 06' 10''  + 03h 01' 22''
78   ARTHUR VICHOT                  129        FDJ                           92h 06' 58''  + 03h 02' 10''
79   THOMAS VOECKLER                179        DIRECT ENERGIE                92h 07' 23''  + 03h 02' 35''
80   NELSON OLIVEIRA                19         MOVISTAR TEAM                 92h 09' 41''  + 03h 04' 53''
81   ROMAIN SICARD                  177        DIRECT ENERGIE                92h 13' 59''  + 03h 09' 11''
82   TOM-JELTE SLAGTER              88         CANNONDALE DRAPAC TEAM        92h 14' 07''  + 03h 09' 19''
83   OLIVER NAESEN                  78         IAM CYCLING                   92h 16' 16''  + 03h 11' 28''
84   CHRIS ANKER SORENSEN           218        FORTUNEO - VITAL CONCEPT      92h 17' 40''  + 03h 12' 52''
85   DANIEL TEKLEHAIMANOT           109        TEAM DIMENSION DATA           92h 18' 55''  + 03h 14' 07''
86   ANDREY GRIVKO                  24         ASTANA PRO TEAM               92h 19' 19''  + 03h 14' 31''
87   ARNOLD JEANNESSON              195        COFIDIS, SOLUTIONS CREDITS    92h 23' 02''  + 03h 18' 14''
88   JAN BARTA                      133        BORA-ARGON 18                 92h 24' 32''  + 03h 19' 44''
89   MARCUS BURGHARDT               93         BMC RACING TEAM               92h 25' 10''  + 03h 20' 22''
90   ANTHONY DELAPLACE              213        FORTUNEO - VITAL CONCEPT      92h 25' 57''  + 03h 21' 09''
91   DYLAN VAN BAARLE               89         CANNONDALE DRAPAC TEAM        92h 28' 03''  + 03h 23' 15''
92   TSGABU GEBREMARYAM GRMAY       156        LAMPRE - MERIDA               92h 28' 05''  + 03h 23' 17''
93   PIERRE-LUC PERICHON            217        FORTUNEO - VITAL CONCEPT      92h 29' 24''  + 03h 24' 36''
94   BERT JAN LINDEMAN              54         TEAM LOTTO NL - JUMBO         92h 31' 07''  + 03h 26' 19''
95   PETER SAGAN                    32         TINKOFF                       92h 31' 57''  + 03h 27' 09''
96   JÉRÉMY ROY                     128        FDJ                           92h 32' 03''  + 03h 27' 15''
97   RETO HOLLENSTEIN               76         IAM CYCLING                   92h 33' 21''  + 03h 28' 33''
98   PAUL MARTENS                   55         TEAM LOTTO NL - JUMBO         92h 38' 17''  + 03h 33' 29''
99   JASPER STUYVEN                 67         TREK - SEGAFREDO              92h 38' 17''  + 03h 33' 29''
100  ADAM JAMES HANSEN              166        LOTTO SOUDAL                  92h 39' 14''  + 03h 34' 26''
101  PAUL VOSS                      139        BORA-ARGON 18                 92h 41' 13''  + 03h 36' 25''
