Tour de France 1969

Number of stages 22
Distance (km) 4 117
Average speed 35.409

All about year 1969

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider            Rider No.                 Team                     Times            Gap       B P
58    JOSÉ GOMEZ-LUCAS            35         KAS-KASKOL                          119h 02' 14''  + 02h 46' 12''
59    PIETRO SCANDELLI            54         FAEMA                               119h 02' 44''  + 02h 46' 42''
60    JACQUES DE BOEVER           44         FLANDRIA-DE CLERCK-KRUGER           119h 03' 13''  + 02h 47' 11''
61    NEMESIO JIMENEZ             37         KAS-KASKOL                          119h 04' 01''  + 02h 47' 59''
62    JEAN-LOUIS BODIN            82         FRIMATIC-DE GRIBALDY-VIVA-WOLBER    119h 05' 34''  + 02h 49' 32''
63    CEES HAAST                  92         WILLEM II-GAZELLE                   119h 07' 11''  + 02h 51' 09''
64    JULES VAN DER FLAES         98         WILLEM II-GAZELLE                   119h 07' 46''  + 02h 51' 44''
65    GERBEN KARSTENS             26         PEUGEOT-BP-MICHELIN                 119h 08' 19''  + 02h 52' 17''
66    JOSÉ CATIEAU                62         SONOLOR-LEJEUNE-WOLBER              119h 09' 48''  + 02h 53' 46''
67    BARRY HOBAN                 74         MERCIER-BP-HUTCHINSON               119h 10' 08''  + 02h 54' 06''
68    JEAN-PIERRE GENET           73         MERCIER-BP-HUTCHINSON               119h 10' 17''  + 02h 54' 15''
69    MARIO ANNI                  111        MOLTENI                             119h 10' 20''  + 02h 54' 18''
70    EDOUARD DELBERGHE           63         SONOLOR-LEJEUNE-WOLBER              119h 11' 00''  + 02h 54' 58''
71    MICHAËL WRIGHT              10         BIC                                 119h 11' 49''  + 02h 55' 47''
72    JULIEN STEVENS              56         FAEMA                               119h 14' 40''  + 02h 58' 38''
73    GIACINTO SANTAMBROGIO       117        MOLTENI                             119h 16' 29''  + 03h 00' 27''
74    MICHEL COULON               41         FLANDRIA-DE CLERCK-KRUGER           119h 21' 03''  + 03h 05' 01''
75    WILLY IN'T VEN              14         MANN-GRUNDIG                        119h 21' 04''  + 03h 05' 02''
76    FRANS MINTJENS              52         FAEMA                               119h 22' 08''  + 03h 06' 06''
77    GUIDO REYBROECK             53         FAEMA                               119h 23' 02''  + 03h 07' 00''
78    HARM OTTENBROS              94         WILLEM II-GAZELLE                   119h 23' 12''  + 03h 07' 10''
79    ERIC LEMAN                  46         FLANDRIA-DE CLERCK-KRUGER           119h 27' 15''  + 03h 11' 13''
80    RAYMOND RIOTTE              79         MERCIER-BP-HUTCHINSON               119h 27' 39''  + 03h 11' 37''
81    PIETRO GUERRA               126        SALVARANI                           119h 30' 55''  + 03h 14' 53''
82    MARC DE BLOCK               43         FLANDRIA-DE CLERCK-KRUGER           119h 36' 17''  + 03h 20' 15''
83    EDDY BEUGELS                71         MERCIER-BP-HUTCHINSON               119h 36' 54''  + 03h 20' 52''
84    ROGER COOREMAN              11         MANN-GRUNDIG                        119h 49' 39''  + 03h 33' 37''
85    PIERRE MATIGNON             88         FRIMATIC-DE GRIBALDY-VIVA-WOLBER    120h 00' 25''  + 03h 44' 23''
86    ANDRÉ WILHELM               69         SONOLOR-LEJEUNE-WOLBER              120h 06' 55''  + 03h 50' 53''

Next rankings
