Tour de France 1982

Number of stages 21
Distance (km) 3 507
Average speed 38.059

All about year 1982

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank                  Rider                  Rider No.                Team                   Times           Gap       B P
56   HUBERT LINARD                           48         PEUGEOT-SHELL-MICHELIN           93h 25' 50''  + 01h 17' 04''
57   ISMAËL LEJARETTA                        117        TEKA                             93h 29' 07''  + 01h 20' 21''
58   LUCIANO LORO                            147        INOXPRAN-PENTOLE-POSATE          93h 31' 35''  + 01h 22' 49''
59   PIERRE LE BIGAULT                       106        COOP-MERCIER-MAVIC               93h 31' 46''  + 01h 23' 00''
60   GILBERT DUCLOS-LASSALLE                 46         PEUGEOT-SHELL-MICHELIN           93h 31' 50''  + 01h 23' 04''
61   LUDO DE KEULENAER                       23         TI-RALEIGH-CAMPAGNOLO            93h 33' 41''  + 01h 24' 55''
62   MARC DURANT                             124        WOLBER-SPIDEL                    93h 36' 09''  + 01h 27' 23''
63   RONALD DE WITTE                         35         CAPRI SONNE-CAMPAGNOLO-MERCKX    93h 36' 42''  + 01h 27' 56''
64   DOMINIQUE GARDE                         78         SEM-FRANCE LOIRE-CAMPAGNOLO      93h 38' 00''  + 01h 29' 14''
65   ANTONIO FERRETTI                        154        CILO-AUFINA                      93h 38' 53''  + 01h 30' 07''
66   FRÉDERIC BRUN                           44         PEUGEOT-SHELL-MICHELIN           93h 39' 42''  + 01h 30' 56''
67   BERNARDO ALFONSEL                       112        TEKA                             93h 39' 46''  + 01h 31' 00''
68   ETRIC VAN DE WIELE                      38         CAPRI SONNE-CAMPAGNOLO-MERCKX    93h 40' 07''  + 01h 31' 21''
69   JOSEPH WEHRLI                           140        PUCH-EOROTEX-CAMPAGNOLO          93h 40' 07''  + 01h 31' 21''
70   ANTONIO COLL PONTANILLA                 115        TEKA                             93h 40' 48''  + 01h 32' 02''
71   MARC GOMEZ                              125        WOLBER-SPIDEL                    93h 41' 46''  + 01h 33' 00''
72   SERGE DEMIERRE                          153        CILO-AUFINA                      93h 42' 42''  + 01h 33' 56''
73   RUDY PEVENAGE                           37         CAPRI SONNE-CAMPAGNOLO-MERCKX    93h 44' 09''  + 01h 35' 23''
74   JEAN-FRNÇOIS RAULT                      127        WOLBER-SPIDEL                    93h 50' 41''  + 01h 41' 55''
75   LUDWIG WIJNANTS                         90         SUNAIR-COLNAGO-CAMPAGNOLO        93h 51' 05''  + 01h 42' 19''
76   BRUNO LEALI                             146        INOXPRAN-PENTOLE-POSATE          93h 51' 36''  + 01h 42' 50''
77   PATRICK CLERC                           76         SEM-FRANCE LOIRE-CAMPAGNOLO      93h 51' 51''  + 01h 43' 05''
78   HARALD MAIER                            137        PUCH-EOROTEX-CAMPAGNOLO          93h 52' 36''  + 01h 43' 50''
79   MIKE GUTMAN                             133        PUCH-EOROTEX-CAMPAGNOLO          93h 52' 44''  + 01h 43' 58''
80   JEAN CHASSANG                           123        WOLBER-SPIDEL                    93h 53' 07''  + 01h 44' 21''
81   POL VERSCHUERE                          70         VERMEER THIJS-GIOS               93h 55' 35''  + 01h 46' 49''
82   CEDRIC ROSSIER                          158        CILO-AUFINA                      93h 55' 54''  + 01h 47' 08''
83   PATRICK MOERLEN                         157        CILO-AUFINA                      93h 56' 53''  + 01h 48' 07''
84   DANNY SCHOONBAERT                       67         VERMEER THIJS-GIOS               93h 57' 43''  + 01h 48' 57''
85   MARC DIERICKX                           93         DAF TRUCKS-TEVE BLAD-ROSSIN      94h 00' 03''  + 01h 51' 17''
86   HUBERT ARBES                            2          RENAULT-GITANE                   94h 00' 52''  + 01h 52' 06''
86   ERIC McKENZIE                           36         CAPRI SONNE-CAMPAGNOLO-MERCKX    94h 03' 17''  + 01h 54' 31''
88   HENDRIK DEVOS                           92         DAF TRUCKS-TEVE BLAD-ROSSIN      94h 03' 25''  + 01h 54' 39''
89   CLAUDE VINCENDEAU                       130        WOLBER-SPIDEL                    94h 05' 19''  + 01h 56' 33''
90   KLAUS-PETER THALER                      139        PUCH-EOROTEX-CAMPAGNOLO          94h 05' 28''  + 01h 56' 42''
91   LUDO DELCROIX                           33         CAPRI SONNE-CAMPAGNOLO-MERCKX    94h 07' 22''  + 01h 58' 36''
92   LOUIS LUYTEN                            66         VERMEER THIJS-GIOS               94h 08' 13''  + 01h 59' 27''
93   ROGER DE CNIJF                          62         VERMEER THIJS-GIOS               94h 08' 44''  + 01h 59' 58''
94   PATRICK VERSLUYS                        88         SUNAIR-COLNAGO-CAMPAGNOLO        94h 14' 19''  + 02h 05' 33''
95   ERWIN LIENHARD                          136        PUCH-EOROTEX-CAMPAGNOLO          94h 16' 37''  + 02h 07' 51''
96   PASCAL GUYOT                            15         LA REDOUTE-MOTOBECANE            94h 17' 46''  + 02h 09' 00''
97   EUGÈNE URBANY                           57         SPLENDOR- WICKES-BOUWMARKT       94h 18' 01''  + 02h 09' 15''
98   JULIUS THALMAN                          160        CILO-AUFINA                      94h 19' 32''  + 02h 10' 46''
99   JAN VAN HOUWELINGEN                     69         VERMEER THIJS-GIOS               94h 20' 05''  + 02h 11' 19''
100  MARCEL LAURENS                          94         DAF TRUCKS-TEVE BLAD-ROSSIN      94h 20' 37''  + 02h 11' 51''
101  GUY JANISZEWSKI                         85         SUNAIR-COLNAGO-CAMPAGNOLO        94h 21' 59''  + 02h 13' 13''
102  ADRI VAN DER POEL                       99         DAF TRUCKS-TEVE BLAD-ROSSIN      94h 23' 28''  + 02h 14' 42''
103  SIEGFRIED HEKIMI                        134        PUCH-EOROTEX-CAMPAGNOLO          94h 23' 46''  + 02h 15' 00''
104  JEAN-LOUIS GAUTHIER                     105        COOP-MERCIER-MAVIC               94h 24' 19''  + 02h 15' 33''
105  GILBERT GLAUS                           155        CILO-AUFINA                      94h 24' 21''  + 02h 15' 35''
106  ANTONIO BEVILACQUA                      163        HOONVED-BOTTECCHIA               94h 24' 44''  + 02h 15' 58''
107  HUBERT GRAIGNIC                         79         SEM-FRANCE LOIRE-CAMPAGNOLO      94h 25' 47''  + 02h 17' 01''
108  FRANS VAN VLIERBERGHE                   86         SUNAIR-COLNAGO-CAMPAGNOLO        94h 26' 53''  + 02h 18' 07''
109  ALFREDO CHINETTI                        144        INOXPRAN-PENTOLE-POSATE          94h 28' 12''  + 02h 19' 26''
110  FELIPE YANEZ                            120        TEKA                             94h 30' 59''  + 02h 22' 13''
111  PAUL SHERWEN                            17         LA REDOUTE-MOTOBECANE            94h 31' 40''  + 02h 22' 54''
112  THIERRY BOLLE                           152        CILO-AUFINA                      94h 35' 27''  + 02h 26' 41''
113  FIORENZO ALIVERTI                       162        HOONVED-BOTTECCHIA               94h 36' 20''  + 02h 27' 34''
114  ANDRÉ CHAPPUIS                          74         SEM-FRANCE LOIRE-CAMPAGNOLO      94h 37' 05''  + 02h 28' 19''
115  ANDRÉ CHALMEL                           45         PEUGEOT-SHELL-MICHELIN           94h 42' 35''  + 02h 33' 49''
116  CARLO TONON                             150        INOXPRAN-PENTOLE-POSATE          94h 43' 19''  + 02h 34' 33''
117  DIRK WAYENBERG                          39         CAPRI SONNE-CAMPAGNOLO-MERCKX    94h 47' 08''  + 02h 38' 22''
118  BENNY VAN BRABANT                       58         SPLENDOR- WICKES-BOUWMARKT       94h 47' 43''  + 02h 38' 57''
119  MARCEL RUSSENBERGER                     159        CILO-AUFINA                      94h 48' 18''  + 02h 39' 32''
120  GIULIANO BIATTA                         142        INOXPRAN-PENTOLE-POSATE          94h 53' 56''  + 02h 45' 10''
121  ENZO SERPELLONI                         168        HOONVED-BOTTECCHIA               94h 55' 04''  + 02h 46' 18''
122  JUAN-CARLOS ALONSO-DETEANO              114        TEKA                             95h 00' 08''  + 02h 51' 22''
123  ALAIN DE ROO                            82         SUNAIR-COLNAGO-CAMPAGNOLO        95h 00' 24''  + 02h 51' 38''
124  YVON BERTIN                             103        COOP-MERCIER-MAVIC               95h 04' 14''  + 02h 55' 28''
125  WERNER DEVOS                            83         SUNAIR-COLNAGO-CAMPAGNOLO        95h 13' 30''  + 03h 04' 44''

Next rankings
