Tour de France 1974

Number of stages 22
Distance (km) 4 098
Average speed 35.241

All about year 1974

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider            Rider No.                Team                   Times            Gap       B P
1     EDDY MERCKX                1          MOLTENI                          116h 16' 58''
2     RAYMOND POULIDOR           61         GAN-MERCIER                      116h 25' 02''  + 00h 08' 04''
3     VICENTE LOPEZ-CARRIL       34         KAS                              116h 25' 07''  + 00h 08' 09''
4     WLADIMIRO PANIZZA          91         BROOKLYN                         116h 27' 57''  + 00h 10' 59''
5     GONZALO AJA                32         KAS                              116h 28' 22''  + 00h 11' 24''
6     JOAQUIM AGOSTINHO          11         BIC                              116h 31' 22''  + 00h 14' 24''
7     MICHEL POLLENTIER          116        CARPENTER-CONFORTLUXE            116h 30' 32''  + 00h 13' 34''
8     MARIANO MARTINEZ           44         SONOLOR-GITANE                   116h 35' 31''  + 00h 18' 33''
9     ALAIN SANTY                69         GAN-MERCIER                      116h 36' 53''  + 00h 19' 55''
10    HERMAN VANSPRINGEL         51         MIC-DE GRIBALDY-LUDO             116h 41' 09''  + 00h 24' 11''
11    ROGER PINGEON              101        LEJEUNE-JOBO                     116h 43' 05''  + 00h 26' 07''
12    RAYMOND DELISLE            24         PEUGEOT-BP                       116h 45' 57''  + 00h 28' 59''
13    JEAN-PIERRE DANGUILLAUME   23         PEUGEOT-BP                       116h 46' 41''  + 00h 29' 43''
14    JUAN ZURANO                80         LA CASERA-BAHAMONTES             116h 47' 18''  + 00h 30' 20''
15    ANDRÉ ROMERO               110        LEJEUNE-JOBO                     116h 48' 33''  + 00h 31' 35''
16    MICHEL PERIN               67         GAN-MERCIER                      116h 48' 55''  + 00h 31' 57''
17    MIGUEL-MARIA LASA          31         KAS                              116h 49' 54''  + 00h 32' 56''
18    LUCIEN VAN IMPE            41         SONOLOR-GITANE                   116h 53' 33''  + 00h 36' 35''
19    ANDRES OLIVA               75         LA CASERA-BAHAMONTES             116h 54' 46''  + 00h 37' 48''
20    BERNARD LABOURDETTE        16         BIC                              116h 55' 00''  + 00h 38' 02''
21    JOSEPH BRUYERE             2          MOLTENI                          116h 58' 46''  + 00h 41' 48''
22    JAN JANSSEN                6          MOLTENI                          117h 01' 45''  + 00h 44' 47''
23    FAUSTO BERTOGLIO           93         BROOKLYN                         117h 02' 41''  + 00h 45' 43''
24    WILLY VAN NESTE            49         SONOLOR-GITANE                   117h 03' 48''  + 00h 46' 50''
25    RONALD DE WITTE            111        CARPENTER-CONFORTLUXE            117h 04' 08''  + 00h 47' 10''
26    GIANCARLO BELLINI          92         BROOKLYN                         117h 05' 44''  + 00h 48' 46''
27    FEDOR DEN HERTOG           121        FRISOL                           117h 07' 26''  + 00h 50' 28''
28    JOSÉ CATIEAU               13         BIC                              117h 08' 09''  + 00h 51' 11''
29    JOSÉ PESARRODONA           39         KAS                              117h 10' 59''  + 00h 54' 01''
30    GEORGES PINTENS            55         MIC-DE GRIBALDY-LUDO             117h 12' 41''  + 00h 55' 43''
31    JOËL MILLARD               85         FLANDRIA-SHIMANO-MERLIN PLAGE    117h 14' 06''  + 00h 57' 08''
32    FERDINAND JULIEN           43         SONOLOR-GITANE                   117h 17' 04''  + 01h 00' 06''
33    ROLAND BERLAND             12         BIC                              117h 18' 11''  + 01h 01' 13''
34    RÉGIS OVION                27         PEUGEOT-BP                       117h 22' 20''  + 01h 05' 22''
35    MARC LIEVENS               7          MOLTENI                          117h 26' 14''  + 01h 09' 16''
36    VICTOR VAN SCHIL           10         MOLTENI                          117h 29' 45''  + 01h 12' 47''
37    BARRY HOBAN                64         GAN-MERCIER                      117h 30' 09''  + 01h 13' 11''
38    GERRIE KNETEMANN           65         GAN-MERCIER                      117h 31' 13''  + 01h 14' 15''
39    FRANCIS CAMPANER           104        LEJEUNE-JOBO                     117h 33' 17''  + 01h 16' 19''
40    ANTONIO MARTOS             35         KAS                              117h 35' 00''  + 01h 18' 02''
41    MARC DEMEYER               115        CARPENTER-CONFORTLUXE            117h 35' 26''  + 01h 18' 28''
42    LUIS ZUBERO                40         KAS                              117h 36' 10''  + 01h 19' 12''
43    ARTHURO PECCHELIAN         98         BROOKLYN                         117h 36' 13''  + 01h 19' 15''
44    DOMINGO PERURENA           38         KAS                              117h 36' 16''  + 01h 19' 18''
45    JOS DE SCHOENMACKER        4          MOLTENI                          117h 36' 51''  + 01h 19' 53''
46    JÉSUS MANZANEQUE           71         LA CASERA-BAHAMONTES             117h 36' 52''  + 01h 19' 54''
47    WILFRIED MISAC             86         FLANDRIA-SHIMANO-MERLIN PLAGE    117h 39' 24''  + 01h 22' 26''
48    CHRISTIAN BLAIN            102        LEJEUNE-JOBO                     117h 39' 50''  + 01h 22' 52''
49    CARLOS MELERO              36         KAS                              117h 42' 15''  + 01h 25' 17''
50    JOSEPH SPRUYT              9          MOLTENI                          117h 42' 39''  + 01h 25' 41''
51    SYLVAIN VASSEUR            20         BIC                              117h 43' 35''  + 01h 26' 37''
52    BERNARD BOURREAU           22         PEUGEOT-BP                       117h 44' 05''  + 01h 27' 07''
53    JAN VAN DE WIELE           57         MIC-DE GRIBALDY-LUDO             117h 45' 23''  + 01h 28' 25''
54    ANTONIO MENENDEZ           37         KAS                              117h 47' 41''  + 01h 30' 43''
55    ANDRÉ DIERICKX             84         FLANDRIA-SHIMANO-MERLIN PLAGE    117h 49' 16''  + 01h 32' 18''
56    GÉRARD VIANEN              70         GAN-MERCIER                      117h 53' 25''  + 01h 36' 27''
57    MICHAËL WRIGHT             50         SONOLOR-GITANE                   117h 55' 09''  + 01h 38' 11''
58    LUDO DELCROIX              3          MOLTENI                          117h 55' 11''  + 01h 38' 13''
59    ANDRÉ MOLLET               26         PEUGEOT-BP                       117h 55' 38''  + 01h 38' 40''
60    JOSE-LUIS ABILLEIRA        72         LA CASERA-BAHAMONTES             117h 56' 10''  + 01h 39' 12''
61    GERBEN KARSTENS            15         BIC                              117h 56' 17''  + 01h 39' 19''
62    DAMASO TORRES              78         LA CASERA-BAHAMONTES             117h 56' 19''  + 01h 39' 21''
63    GUSTAVE VAN ROESBROECK     59         MIC-DE GRIBALDY-LUDO             117h 57' 19''  + 01h 40' 21''
64    ALAIN NOGUES               46         SONOLOR-GITANE                   117h 59' 15''  + 01h 42' 17''
65    WILLY TEIRLINCK            47         SONOLOR-GITANE                   118h 04' 09''  + 01h 47' 11''
66    JOSEPH HUYSMANS            5          MOLTENI                          118h 05' 58''  + 01h 49' 00''
67    JEAN-PIERRE GENET          63         GAN-MERCIER                      118h 06' 00''  + 01h 49' 02''
68    JEAN JACQUES SANQUER       89         FLANDRIA-SHIMANO-MERLIN PLAGE    118h 07' 27''  + 01h 50' 29''
69    VALERIO LUALDI             96         BROOKLYN                         118h 08' 20''  + 01h 51' 22''
70    NOËL VAN CLOOSTER          56         MIC-DE GRIBALDY-LUDO             118h 08' 22''  + 01h 51' 24''
71    GUY SIBILLE                30         PEUGEOT-BP                       118h 09' 42''  + 01h 52' 44''
72    GÉRARD MONEYRON            87         FLANDRIA-SHIMANO-MERLIN PLAGE    118h 10' 50''  + 01h 53' 52''
73    WILFRIED WESEMAEL          60         MIC-DE GRIBALDY-LUDO             118h 11' 07''  + 01h 54' 09''
74    CHARLY ROUXEL              29         PEUGEOT-BP                       118h 11' 20''  + 01h 54' 22''
75    JACQUES ESCLASSAN          25         PEUGEOT-BP                       118h 13' 45''  + 01h 56' 47''
76    CHRISTIAN RAYMOND          68         GAN-MERCIER                      118h 14' 35''  + 01h 57' 37''
77    DANIEL REBILLARD           88         FLANDRIA-SHIMANO-MERLIN PLAGE    118h 15' 01''  + 01h 58' 03''
78    WIM PRINSEN                129        FRISOL                           118h 16' 05''  + 01h 59' 07''
79    RAYMOND RIOTTE             28         PEUGEOT-BP                       118h 16' 49''  + 01h 59' 51''
80    JACKY MOURIOUX             66         GAN-MERCIER                      118h 17' 04''  + 02h 00' 06''
81    ALAIN VASSEUR              19         BIC                              118h 18' 26''  + 02h 01' 28''
82    CLAUDE MAGNI               108        LEJEUNE-JOBO                     118h 23' 01''  + 02h 06' 03''
83    FRANS MINTJENS             8          MOLTENI                          118h 23' 11''  + 02h 06' 13''
84    HENK PRINSEN               128        FRISOL                           118h 27' 07''  + 02h 10' 09''
85    JEAN-PIERRE GUILLEMOT      107        LEJEUNE-JOBO                     118h 28' 10''  + 02h 11' 12''
86    JACQUES BOTHEREL           42         SONOLOR-GITANE                   118h 28' 52''  + 02h 11' 54''
87    ROBERT MINTKIEWICZ         45         SONOLOR-GITANE                   118h 33' 03''  + 02h 16' 05''
88    RONNY VAN MARCKE           58         MIC-DE GRIBALDY-LUDO             118h 34' 32''  + 02h 17' 34''
89    PATRICK SERCU              100        BROOKLYN                         118h 35' 56''  + 02h 18' 58''
90    DANIEL DUCREUX             106        LEJEUNE-JOBO                     118h 36' 18''  + 02h 19' 20''
91    GIANNI DI LORENZO          94         BROOKLYN                         118h 37' 50''  + 02h 20' 52''
92    BERNARD CROYET             14         BIC                              118h 38' 55''  + 02h 21' 57''
93    DIRK BAERT                 52         MIC-DE GRIBALDY-LUDO             118h 41' 43''  + 02h 24' 45''
94    FERNANDO PLAZA             76         LA CASERA-BAHAMONTES             118h 45' 17''  + 02h 28' 19''
95    MICHEL COROLLER            82         FLANDRIA-SHIMANO-MERLIN PLAGE    118h 54' 14''  + 02h 37' 16''
96    ARTHUR VAN DE VIJVER       117        CARPENTER-CONFORTLUXE            118h 55' 40''  + 02h 38' 42''
97    ALDO PARECCHINI            97         BROOKLYN                         118h 58' 09''  + 02h 41' 11''
98    ALAIN CIGANA               105        LEJEUNE-JOBO                     118h 59' 22''  + 02h 42' 24''
99    FRANS VAN LOOY             118        CARPENTER-CONFORTLUXE            119h 03' 01''  + 02h 46' 03''
100   DANIEL VERPLANCKE          119        CARPENTER-CONFORTLUXE            119h 03' 36''  + 02h 46' 38''
101   RÉGIS DELEPINE             83         FLANDRIA-SHIMANO-MERLIN PLAGE    119h 12' 40''  + 02h 55' 42''
102   PIET VAN KATWIJK           130        FRISOL                           119h 15' 37''  + 02h 58' 39''
103   DONALD JOHN ALLAN          123        FRISOL                           119h 33' 51''  + 03h 16' 53''
104   BERNARD MASSON             109        LEJEUNE-JOBO                     119h 33' 54''  + 03h 16' 56''
105   LORENZO ALAIMO             122        FRISOL                           120h 12' 44''  + 03h 55' 46''

Next rankings
