Tour de France 1989

Number of stages 21
Distance (km) 3 285
Average speed 37.487

All about year 1989

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider             Rider No.                Team                    Times           Gap       B P
42   HELMUT WECHSELBERGER          119        PATERNINA-MARCOS-EQUIZABAL        88h 59' 46''  + 01h 21' 11''
43   LAURENT BEZAULT               181        TOSHIBA                           89h 00' 44''  + 01h 22' 09''
44   MARTIN EARLEY                 15         PDM                               89h 05' 20''  + 01h 26' 45''
45   SEAN YATES                    108        SEVEN ELEVEN-AMERICAN AIRLINES    89h 05' 39''  + 01h 27' 04''
46   ATLE KVALSVOLL                64         Z-PEUGEOT                         89h 05' 43''  + 01h 27' 08''
47   YVON MADIOT                   186        TOSHIBA                           89h 06' 05''  + 01h 27' 30''
48   JAVIER MURGUIALDAY            78         B.H.                              89h 06' 12''  + 01h 27' 37''
49   SAMUEL CABRERA                52         CAFÉ DE COLOMBIA                  89h 06' 32''  + 01h 27' 57''
50   PETER STEVENHAAGEN            37         HELVETIA-LA SUISSE                89h 06' 53''  + 01h 28' 18''
51   PATRICK ROBEET                198        DOMEX-WEINMANN-EDDY MERCKX        89h 07' 22''  + 01h 28' 47''
52   DOMINIQUE GARDE               43         SUPER U                           89h 07' 28''  + 01h 28' 53''
54   GILLES SANDERS                138        RMO- MAVIC-LIBERIA                89h 10' 06''  + 01h 31' 31''
55   GUY NULENS                    84         PANASONIC-ISOSTAR                 89h 12' 04''  + 01h 33' 29''
57   FRANK PINEAU                  137        RMO- MAVIC-LIBERIA                89h 12' 34''  + 01h 33' 59''
58   RONAN PENSEC                  68         Z-PEUGEOT                         89h 13' 37''  + 01h 35' 02''
59   PHILIPPE LOUVIOT              66         Z-PEUGEOT                         89h 14' 54''  + 01h 36' 19''
60   GÉRARD ZADROBILEK             109        SEVEN ELEVEN-AMERICAN AIRLINES    89h 15' 59''  + 01h 37' 24''
61   MARC SERGEANT                 98         HITACHI-VTM                       89h 17' 16''  + 01h 38' 41''
62   JULIAN GOROSPE                3          REYNOLDS-BANESTO                  89h 18' 06''  + 01h 39' 31''
63   LUDO PEETERS                  118        PATERNINA-MARCOS-EQUIZABAL        89h 18' 33''  + 01h 39' 58''
64   CHRISTOPHE LAVAINNE           45         SUPER U                           89h 18' 50''  + 01h 40' 15''
65   VINCENT LAVENU                157        FAGOR                             89h 20' 21''  + 01h 41' 46''
66   DIRK DE WOLF                  93         HITACHI-VTM                       89h 20' 25''  + 01h 41' 50''
67   JEAN-CLAUDE COLOTTI           134        RMO- MAVIC-LIBERIA                89h 21' 03''  + 01h 42' 28''
68   JEAN-CLAUDE LECLERCQ          33         HELVETIA-LA SUISSE                89h 22' 01''  + 01h 43' 26''
69   MICHAËL WILSON                39         HELVETIA-LA SUISSE                89h 22' 40''  + 01h 44' 05''
71   PASCAL POISSON                188        TOSHIBA                           89h 26' 27''  + 01h 47' 52''
72   THIERRY MARIE                 46         SUPER U                           89h 26' 57''  + 01h 48' 22''
73   RON KIEFEL                    103        SEVEN ELEVEN-AMERICAN AIRLINES    89h 27' 13''  + 01h 48' 38''
74   JURE PAVLIC                   128        CARRERA JEANS-VAGABOND            89h 27' 43''  + 01h 49' 08''
75   ROBERT FÖRSTER                155        FAGOR                             89h 28' 14''  + 01h 49' 39''
76   JULIO-CÉSAR CADENA            53         CAFÉ DE COLOMBIA                  89h 28' 32''  + 01h 49' 57''
