Tour de France 1995

Number of stages 20
Distance (km) 3 635
Average speed 39.193

All about year 1995

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider             Rider No.            Team                Times           Gap        B P
1    MIGUEL INDURAIN               1          BANESTO                   92h 44' 59''
2    ALEX ZULLE                    69         ONCE                      92h 49' 34''  + 00h 04' 35''
3    BJARNE RIIS                   18         GEWISS-BALLAN             92h 51' 46''  + 00h 06' 47''
4    LAURENT JALABERT              61         ONCE                      92h 53' 23''  + 00h 08' 24''
5    IVAN GOTTI                    17         GEWISS-BALLAN             92h 56' 32''  + 00h 11' 33''
6    MELCHOR MAURI                 65         ONCE                      93h 00' 19''  + 00h 15' 20''
7    FERNANDO ESCARTIN             44         MAPEI-GB                  93h 00' 48''  + 00h 15' 49''
8    TONY ROMINGER                 41         MAPEI-GB                  93h 01' 45''  + 00h 16' 46''
9    RICHARD VIRENQUE              51         FESTINA WATCHES           93h 02' 30''  + 00h 17' 31''
10   HERNÁN BUENAHORA GUTIERREZ    103        KELME-AVIANCA             93h 03' 49''  + 00h 18' 50''
11   CLAUDIO CHIAPPUCCI            24         CARRERA-TASSONI           93h 03' 54''  + 00h 18' 55''
12   LAURENT MADOUAS               144        CASTORAMA                 93h 05' 36''  + 00h 20' 37''
13   MARCO PANTANI                 21         CARRERA-TASSONI           93h 11' 19''  + 00h 26' 20''
14   PAOLO LANFRANCHI              193        BRESCIALAT                93h 14' 40''  + 00h 29' 41''
15   BRUNO CENGHIALTA              14         GEWISS-BALLAN             93h 14' 54''  + 00h 29' 55''
16   ALVARO MEJIA                  115        MOTOROLA                  93h 18' 39''  + 00h 33' 40''
17   BO HAMBURGER                  121        TVM-POLIS DIRECT          93h 19' 48''  + 00h 34' 49''
18   VJATCESLAV EKIMOV             164        NOVELL                    93h 24' 50''  + 00h 39' 51''
19   LAURENT DUFAUX                54         FESTINA WATCHES           93h 30' 54''  + 00h 45' 55''
20   ERIK BREUKINK                 62         ONCE                      93h 32' 26''  + 00h 47' 27''
21   VICENTE APARICIO VILA         3          BANESTO                   93h 37' 53''  + 00h 52' 54''
22   JEAN-CYRIL ROBIN              59         FESTINA WATCHES           93h 41' 00''  + 00h 56' 01''
23   ARSENIO GONZALEZ              45         MAPEI-GB                  93h 41' 17''  + 00h 56' 18''
24   FEDERICO MUNOZ                108        KELME-AVIANCA             93h 46' 02''  + 01h 01' 03''
25   VLADIMIR POULNIKOV            205        TELECOM-ZG-SELLE ITALIA   93h 46' 30''  + 01h 01' 31''
26   MASSIMO PODENZANA             191        BRESCIALAT                93h 46' 53''  + 01h 01' 54''
27   LAUDELINO CUBINO GONZALEZ     101        KELME-AVIANCA             93h 47' 26''  + 01h 02' 27''
28   LAURENT BROCHARD              53         FESTINA WATCHES           93h 47' 44''  + 01h 02' 45''
29   BEAT ZBERG                    29         CARRERA-TASSONI           93h 52' 07''  + 01h 07' 08''
30   YVON LEDANOIS                 85         GAN                       93h 59' 03''  + 01h 14' 04''
31   JOHAN BRUYNEEL                63         ONCE                      94h 03' 13''  + 01h 18' 14''
32   OSCAR PELLICIOLI              98         TEAM POLTI                94h 05' 12''  + 01h 20' 13''
33   ALBERTO ELLI                  154        MG-TECHNOGYM              94h 06' 33''  + 01h 21' 34''
34   JEAN-FRANÇOIS BERNARD         182        CHAZAL-MBK-KONIG          94h 08' 10''  + 01h 23' 11''
35   HERMINIO DIAZ ZABALA          64         ONCE                      94h 08' 26''  + 01h 23' 27''
36   LANCE ARMSTRONG               111        MOTOROLA                  94h 13' 05''  + 01h 28' 06''
37   GEORG TOTSCHNIG               91         TEAM POLTI                94h 15' 46''  + 01h 30' 47''
38   UDO BÖLTS                     202        TELECOM-ZG-SELLE ITALIA   94h 16' 15''  + 01h 31' 16''
39   ANDREA TAFI                   49         MAPEI-GB                  94h 21' 48''  + 01h 36' 49''
40   THOMAS DAVY                   4          BANESTO                   94h 23' 03''  + 01h 38' 04''
41   GÉRARD RUE                    8          BANESTO                   94h 23' 10''  + 01h 38' 11''
42   ENRICO ZAINA                  28         CARRERA-TASSONI           94h 23' 27''  + 01h 38' 28''
43   MASSIMILIANO LELLI            175        MERCATONE UNO-SAECO       94h 24' 42''  + 01h 39' 43''
44   ANDREA PERON                  117        MOTOROLA                  94h 27' 17''  + 01h 42' 18''
45   EDDY BOUWMANS                 162        NOVELL                    94h 29' 08''  + 01h 44' 09''
46   ZENON JASKULA                 31         AKI-GIPIEMME              94h 38' 45''  + 01h 53' 46''
47   MAXIMILIAN SCIANDRI           157        MG-TECHNOGYM              94h 40' 09''  + 01h 55' 10''
48   FRANCO VONA                   159        MG-TECHNOGYM              94h 40' 34''  + 01h 55' 35''
49   JESPER SKIBBY                 127        TVM-POLIS DIRECT          94h 40' 42''  + 01h 55' 43''
50   LEONARDO SIERRA               27         CARRERA-TASSONI           94h 41' 16''  + 01h 56' 17''
51   GABRIELE COLOMBO              15         GEWISS-BALLAN             94h 42' 13''  + 01h 57' 14''
52   MAARTEN DEN BAKKER            123        TVM-POLIS DIRECT          94h 43' 24''  + 01h 58' 25''
53   GIANNI BUGNO                  151        MG-TECHNOGYM              94h 43' 46''  + 01h 58' 47''
54   ANDREA FERRIGATO              208        TELECOM-ZG-SELLE ITALIA   94h 49' 50''  + 02h 04' 51''
55   DIDIER ROUS                   88         GAN                       94h 52' 38''  + 02h 07' 39''
56   DJAMOLIDINE ABDOUJAPAROV      161        NOVELL                    94h 53' 54''  + 02h 08' 55''
57   CARMELO MIRANDA               7          BANESTO                   94h 53' 56''  + 02h 08' 57''
58   ROLF ALDAG                    201        TELECOM-ZG-SELLE ITALIA   94h 58' 40''  + 02h 13' 41''
59   FRANÇOIS SIMON                147        CASTORAMA                 95h 00' 15''  + 02h 15' 16''
