Tour de France 2013

Number of stages 21
Distance (km) 3 404
Average speed 40.542

All about year 2013

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank                 Rider                Rider No.              Team                 Times           Gap       B P
61    GUILLAUME LEVARLET                  136        COFIDIS, SOLUTIONS CREDITS   86h 03' 41''  + 02h 07' 01''
62    PHILIPPE GILBERT                    34         BMC RACING TEAM              86h 03' 51''  + 02h 07' 11''
63    JÉRÔME COPPEL                       133        COFIDIS, SOLUTIONS CREDITS   86h 05' 53''  + 02h 09' 13''
64    BRAM TANKINK                        166        BELKIN PRO CYCLING           86h 06' 52''  + 02h 10' 12''
65    THOMAS VOECKLER                     59         TEAM EUROPCAR                86h 09' 28''  + 02h 12' 48''
66    ARTHUR VICHOT                       79         FDJ.FR                       86h 11' 46''  + 02h 15' 06''
67    JENS VOIGT                          48         RADIOSHACK LEOPARD           86h 11' 49''  + 02h 15' 09''
68    SIMON CLARKE                        183        ORICA GREENEDGE              86h 16' 54''  + 02h 20' 14''
69    JON IZAGUIRRE INSAUSTI              114        EUSKALTEL - EUSKADI          86h 18' 12''  + 02h 21' 32''
70    RYDER HESJEDAL                      171        GARMIN - SHARP               86h 18' 21''  + 02h 21' 41''
71    ALESSANDRO DE MARCHI                13         CANNONDALE                   86h 19' 51''  + 02h 23' 11''
72    ADAM JAMES HANSEN                   25         LOTTO-BELISOL                86h 19' 55''  + 02h 23' 15''
73    RUDY MOLARD                         138        COFIDIS, SOLUTIONS CREDITS   86h 22' 05''  + 02h 25' 25''
74    DARYL IMPEY                         185        ORICA GREENEDGE              86h 23' 17''  + 02h 26' 37''
75    SIMON GESCHKE                       196        TEAM ARGOS-SHIMANO           86h 24' 22''  + 02h 27' 42''
76    MANUELE MORI                        147        LAMPRE - MERIDA              86h 24' 59''  + 02h 28' 19''
77    PETER KENNAUGH                      3          SKY PROCYCLING               86h 30' 26''  + 02h 33' 46''
78    JUAN JOSÉ OROZ UGALDE               117        EUSKALTEL - EUSKADI          86h 30' 35''  + 02h 33' 55''
79    JOSÉ ROJAS                          129        MOVISTAR TEAM                86h 30' 45''  + 02h 34' 05''
80    SIMON GERRANS                       181        ORICA GREENEDGE              86h 31' 16''  + 02h 34' 36''
81    JULIEN EL FARES                     213        SOJASUN                      86h 33' 08''  + 02h 36' 28''
82    PETER SAGAN                         11         CANNONDALE                   86h 35' 31''  + 02h 38' 51''
83    SERGEY LAGUTIN                      206        VACANSOLEIL-DCM              86h 35' 35''  + 02h 38' 55''
84    FRANCESCO GAVAZZI                   65         ASTANA PRO TEAM              86h 35' 48''  + 02h 39' 08''
85    MANUEL QUINZIATO                    37         BMC RACING TEAM              86h 36' 14''  + 02h 39' 34''
86    MICHAEL ALBASINI                    182        ORICA GREENEDGE              86h 37' 02''  + 02h 40' 22''
87    JULIEN SIMON                        218        SOJASUN                      86h 38' 04''  + 02h 41' 24''
88    LUIS ANGEL MATE MARDONES            137        COFIDIS, SOLUTIONS CREDITS   86h 40' 08''  + 02h 43' 28''
89    ANTHONY DELAPLACE                   212        SOJASUN                      86h 40' 53''  + 02h 44' 13''
