Tour de France 1962

Number of stages 22
Distance (km) 4 274
Average speed 37.317

All about year 1962

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider           Rider No.                    Team                       Times            Gap       B P
84    ROBERTO FALASCHI          127        G.S. PHILCO                              117h 36' 53''  + 03h 04' 59''
85    MARC HUIART               39         LIBERIA-GRAMMONT-CLEMENT                 118h 02' 20''  + 03h 30' 26''
86    LUIGI SARTI               27         G.S. GHIZZI                              118h 03' 45''  + 03h 31' 51''
87    GIOVANNI BETTINELLI       112        LEGNANO-PIRELLI                          118h 12' 02''  + 03h 40' 08''
88    GIUSEPPE TONUCCI          19         MOSCHETTIERI-IGNIS                       118h 14' 53''  + 03h 42' 59''
89    JEAN SELIC                40         LIBERIA-GRAMMONT-CLEMENT                 118h 15' 37''  + 03h 43' 43''
90    DINO BRUNI                41         G.S. GAZZOLA-FIORELLI-HUTCHINSON         118h 15' 46''  + 03h 43' 52''
91    EMILIO CIOLLI             114        LEGNANO-PIRELLI                          118h 16' 35''  + 03h 44' 41''
92    JEAN LE LAN               7          ACBB-SAINT RAPHAEL-HELYETT-HUTCHINSON    118h 16' 56''  + 03h 45' 02''
93    CARLO GUARGUAGLINI        14         MOSCHETTIERI-IGNIS                       118h 40' 03''  + 04h 08' 09''
94    AUGUSTO MARCALETTI        15         MOSCHETTIERI-IGNIS                       119h 01' 22''  + 04h 29' 28''

Next rankings
