Tour de France 2008

Number of stages 21
Distance (km) 3 559
Average speed 40.492

All about year 2008

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank              Rider              Rider No.               Team                   Times           Gap       B P
61   SYLVAIN CHAVANEL                181        COFIDIS CREDIT PAR TELEPHONE    89h 47' 17''  + 01h 54' 25''
62   LUIS LEÓN SANCHEZ               39         CAISSE D'EPARGNE                89h 48' 31''  + 01h 55' 39''
63   PIETER WEENING                  139        RABOBANK                        89h 48' 44''  + 01h 55' 52''
64   NICOLAS VOGONDY                 129        AGRITUBEL                       89h 48' 56''  + 01h 56' 04''
65   FABIAN CANCELLARA               13         TEAM CSC SAXO BANK              89h 50' 01''  + 01h 57' 09''
66   NICOLAS PORTAL                  38         CAISSE D'EPARGNE                89h 51' 08''  + 01h 58' 16''
67   FILIPPO POZZATO                 61         LIQUIGAS                        89h 52' 05''  + 01h 59' 13''
68   DAVID MILLAR                    198        GARMIN CHIPOTLE                 89h 52' 31''  + 01h 59' 39''
69   JOOST POSTHUMA                  136        RABOBANK                        89h 58' 02''  + 02h 05' 10''
70   OSCAR FREIRE                    133        RABOBANK                        89h 58' 38''  + 02h 05' 46''
71   MARTIN ELMIGER                  105        AG2R-LA MONDIALE                89h 59' 13''  + 02h 06' 21''
72   JOSÉ LUIS ARRIETA               102        AG2R-LA MONDIALE                90h 00' 25''  + 02h 07' 33''
73   GORKA VERDUGO                   29         EUSKALTEL - EUSKADI             90h 01' 15''  + 02h 08' 23''
74   YOANN LE BOULANGER              167        FRANCAISE DES JEUX              90h 01' 42''  + 02h 08' 50''
75   SEBASTIAN LANG                  117        GEROLSTEINER                    90h 02' 15''  + 02h 09' 23''
76   MURILO ANTONIO FISCHER          64         LIQUIGAS                        90h 05' 55''  + 02h 13' 03''
77   TRENT LOWE                      196        GARMIN CHIPOTLE                 90h 06' 33''  + 02h 13' 41''
78   JURGEN VAN DE WALLE             99         QUICK STEP                      90h 06' 42''  + 02h 13' 50''
79   SIMON GERRANS                   86         CREDIT AGRICOLE                 90h 07' 17''  + 02h 14' 25''
80   RÉMI PAURIOL                    88         CREDIT AGRICOLE                 90h 09' 25''  + 02h 16' 33''
81   DAVID LE LAY                    127        AGRITUBEL                       90h 09' 35''  + 02h 16' 43''
82   BENOÎT VAUGRENARD               169        FRANCAISE DES JEUX              90h 12' 25''  + 02h 19' 33''
83   DARIO DAVID CIONI               4          SILENCE - LOTTO                 90h 13' 41''  + 02h 20' 49''
84   CHRIS FROOME                    57         BARLOWORLD                      90h 15' 25''  + 02h 22' 33''
85   GEOFFROY LEQUATRE               128        AGRITUBEL                       90h 15' 56''  + 02h 23' 04''
86   LAURENT LEFEVRE                 144        BOUYGUES TELECOM                90h 16' 08''  + 02h 23' 16''
87   JOHAN VAN SUMMEREN              8          SILENCE - LOTTO                 90h 19' 56''  + 02h 27' 04''
88   GIANPAOLO CHEULA                54         BARLOWORLD                      90h 23' 04''  + 02h 30' 12''
89   CARLOS BARREDO                  92         QUICK STEP                      90h 23' 28''  + 02h 30' 36''
90   STEF CLEMENT                    142        BOUYGUES TELECOM                90h 25' 11''  + 02h 32' 19''
91   RUBEN PEREZ MORENO              26         EUSKALTEL - EUSKADI             90h 26' 47''  + 02h 33' 55''
92   MARCO MARZANO                   75         LAMPRE                          90h 27' 00''  + 02h 34' 08''
93   RONNY SCHOLZ                    118        GEROLSTEINER                    90h 27' 04''  + 02h 34' 12''
94   ALESSANDRO BALLAN               72         LAMPRE                          90h 28' 00''  + 02h 35' 08''
95   DANNY PATE                      199        GARMIN CHIPOTLE                 90h 29' 21''  + 02h 36' 29''
96   MATTEO TOSATTO                  98         QUICK STEP                      90h 30' 59''  + 02h 38' 07''
97   THOMAS VOECKLER                 149        BOUYGUES TELECOM                90h 31' 05''  + 02h 38' 13''
98   SÉBASTIEN ROSSELER              96         QUICK STEP                      90h 32' 50''  + 02h 39' 58''
99   THOR HUSHOVD                    81         CREDIT AGRICOLE                 90h 38' 12''  + 02h 45' 20''
100  BJÖRN SCHRÖDER                  156        TEAM MILRAM                     90h 41' 25''  + 02h 48' 33''
101  XAVIER FLORENCIO                143        BOUYGUES TELECOM                90h 46' 43''  + 02h 53' 51''
102  WILLIAM BONNET                  82         CREDIT AGRICOLE                 90h 48' 21''  + 02h 55' 29''
103  JUAN JOSÉ OROZ UGALDE           25         EUSKALTEL - EUSKADI             90h 49' 04''  + 02h 56' 12''
104  INAKI ISASI                     23         EUSKALTEL - EUSKADI             90h 50' 36''  + 02h 57' 44''
105  MARTIN MÜLLER                   155        TEAM MILRAM                     90h 51' 23''  + 02h 58' 31''
106  GERALD CIOLEK                   44         TEAM COLUMBIA                   90h 51' 26''  + 02h 58' 34''
107  ROBERT HUNTER                   58         BARLOWORLD                      90h 56' 54''  + 03h 04' 02''
108  ADAM JAMES HANSEN               46         TEAM COLUMBIA                   90h 57' 44''  + 03h 04' 52''
109  STUART O'GRADY                  15         TEAM CSC SAXO BANK              91h 00' 38''  + 03h 07' 46''
110  JULIAN DEAN                     193        GARMIN CHIPOTLE                 91h 00' 49''  + 03h 07' 57''
111  GERT STEEGMANS                  97         QUICK STEP                      91h 01' 15''  + 03h 08' 23''
112  PHILIPPE GILBERT                165        FRANCAISE DES JEUX              91h 02' 48''  + 03h 09' 56''
113  FREDERIK WILLEMS                69         LIQUIGAS                        91h 06' 30''  + 03h 13' 38''
114  SAMUEL DUMOULIN                 185        COFIDIS CREDIT PAR TELEPHONE    91h 07' 29''  + 03h 14' 37''
115  ARNAUD COYOT                    33         CAISSE D'EPARGNE                91h 08' 45''  + 03h 15' 53''
116  ROBERT FÖRSTER                  112        GEROLSTEINER                    91h 09' 03''  + 03h 16' 11''
117  MATTEO BONO                     73         LAMPRE                          91h 09' 28''  + 03h 16' 36''
