Tour de France 1973

Number of stages 20
Distance (km) 4 090
Average speed 33.407

All about year 1973

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank              Rider               Rider No.              Team                  Times            Gap       B P
54   JÉSUS ESPERANZA                  124        LA CASERA-BAHAMONTES          124h 40' 23''  + 02h 14' 49''
55   DANIEL DUCREUX                   28         CARPENTER-SHIMANO-FLANDRIA    124h 40' 55''  + 02h 15' 21''
56   ROBERT BOULOUX                   34         PEUGEOT-BP                    124h 41' 29''  + 02h 15' 55''
57   MICHAËL WRIGHT                   87         GITANE-FRIGECREME             124h 48' 55''  + 02h 23' 21''
58   CHRISTIAN BLAIN                  102        DE KOVA-LEJEUNE               124h 49' 09''  + 02h 23' 35''
59   GÉRARD VIANEN                    86         GITANE-FRIGECREME             124h 49' 55''  + 02h 24' 21''
60   WILLY TEIRLINCK                  19         SONOLOR                       124h 50' 18''  + 02h 24' 44''
61   GÉRARD BESNARD                   12         SONOLOR                       124h 53' 59''  + 02h 28' 25''
62   JEAN JACQUES SANQUER             32         CARPENTER-SHIMANO-FLANDRIA    124h 54' 39''  + 02h 29' 05''
63   ALAIN NOGUES                     85         GITANE-FRIGECREME             124h 58' 15''  + 02h 32' 41''
64   JOAQUIM ANDRADE                  78         GITANE-FRIGECREME             124h 59' 41''  + 02h 34' 07''
65   WALTER GODEFROOT                 29         CARPENTER-SHIMANO-FLANDRIA    125h 00' 23''  + 02h 34' 49''
66   GUSTAVE VAN ROESBROECK           75         ROKADO                        125h 03' 36''  + 02h 38' 02''
67   CHARLY GROSSKOST                 5          GAN-MERCIER                   125h 04' 16''  + 02h 38' 42''
68   JACQUES ESCLASSAN                37         PEUGEOT-BP                    125h 07' 37''  + 02h 42' 03''
69   ANDRÉ MOLLET                     39         PEUGEOT-BP                    125h 08' 39''  + 02h 43' 05''
70   THÉO VAN DER LEEUW               98         CANADA DRY-GAZELLE            125h 09' 12''  + 02h 43' 38''
71   JACQUES BOTHEREL                 13         SONOLOR                       125h 11' 19''  + 02h 45' 45''
72   MARC DEMEYER                     26         CARPENTER-SHIMANO-FLANDRIA    125h 11' 42''  + 02h 46' 08''
73   FRANCIS CAMPANER                 80         GITANE-FRIGECREME             125h 12' 55''  + 02h 47' 21''
74   WILFRIED DAVID                   23         CARPENTER-SHIMANO-FLANDRIA    125h 16' 07''  + 02h 50' 33''
75   JAN KREKELS                      92         CANADA DRY-GAZELLE            125h 20' 13''  + 02h 54' 39''
76   JACKY MOURIOUX                   10         GAN-MERCIER                   125h 24' 55''  + 02h 59' 21''
77   GUY SANTY                        53         BIC                           122h 30' 33''  + 00h 04' 59''
78   RAYMOND RIOTTE                   16         SONOLOR                       125h 29' 58''  + 03h 04' 24''
79   GÉRARD MONEYRON                  9          GAN-MERCIER                   125h 30' 54''  + 03h 05' 20''
80   ROBERT MINTKIEWICZ               15         SONOLOR                       125h 33' 30''  + 03h 07' 56''
81   ALFRED GAIDA                     68         ROKADO                        125h 37' 55''  + 03h 12' 21''
82   RÉGIS DELEPINE                   2          GAN-MERCIER                   125h 39' 35''  + 03h 14' 01''
83   CHARLES GENTHON                  108        DE KOVA-LEJEUNE               125h 07' 54''  + 02h 42' 20''
84   NOËL GENESTE                     107        DE KOVA-LEJEUNE               125h 43' 05''  + 03h 17' 31''
85   JEAN-CLAUDE BAUD                 101        DE KOVA-LEJEUNE               125h 58' 43''  + 03h 33' 09''
86   JEAN-CLAUDE BLOCHER              103        DE KOVA-LEJEUNE               126h 03' 30''  + 03h 37' 56''
87   JACQUES HOCHART                  109        DE KOVA-LEJEUNE               126h 17' 43''  + 03h 52' 09''

Next rankings
