Tour de France 1959

Number of stages 22
Distance (km) 4 358
Average speed 35.474

All about year 1959

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank         Rider          Rider No.          Team               Times            Gap        B P
54   EDOUARD DELBERGHE      164        PARIS-NORD EST        126h 13' 17''   + 02h 26' 32''
55   ERNST TRAXEL           107        SUISSE-ALLEMAGNE      126h 20' 03''   + 02h 33' 18''
56   JOSEPH GROUSSARD       184        OUEST-SUD OUEST       126h 20' 21''   + 02h 33' 36''
57   WLADIMIRO BARTOLOZZI   43         ITALIE                126h 20' 52''   + 02h 34' 07''
58   JUAN CAMPILLO GARCIA   83         ESPAGNE               126h 20' 54''   + 02h 34' 09''
59   LOUIS ROSTOLLAN        152        CENTRE-MIDI           126h 25' 25''   + 02h 38' 40''
60   PIERINO BAFFI          41         ITALIE                126h 30' 53''   + 02h 44' 08''
61   KAMIEL BUYSSE          23         BELGIQUE              126h 33' 21''   + 02h 46' 36''
62   TINO SABBADINI         191        OUEST-SUD OUEST       126h 40' 00''   + 02h 53' 15''
63   MAX BLENEAU            181        OUEST-SUD OUEST       126h 41' 13''   + 02h 54' 28''
64   DINO BRUNI             44         ITALIE                126h 51' 58''   + 03h 05' 13''
65   LOUIS BISILLIAT        144        CENTRE-MIDI           126h 59' 20''   + 03h 12' 35''

Next rankings
