Tour de France 1965

Number of stages 22
Distance (km) 4 188
Average speed 35.886

All about year 1965

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider           Rider No.                 Team                    Times            Gap       B P
60    HENRI DEWOLF              63         SOLO-SUPERIA                       117h 55' 51''  + 01h 13' 45''
61    FRANS AERENHOUTS          21         MERCIER-BP-HUTCHINSON              117h 56' 16''  + 01h 14' 10''
62    JACQUES BACHELOT          11         MARGNAT-PALOMA-INURI-DUNLOP        117h 57' 10''  + 01h 15' 04''
63    AMBROGIO PORTALUPI        119        MOLTENI-IGNIS                      117h 59' 00''  + 01h 16' 54''
64    ROBERT CAZALA             23         MERCIER-BP-HUTCHINSON              118h 01' 24''  + 01h 19' 18''
65    ESTEBAN MARTIN            95         FERRYS                             118h 01' 57''  + 01h 19' 51''
66    ANATOLE NOVAK             9          FORD-FRANCE-GITANE-DUNLOP          118h 03' 14''  + 01h 21' 08''
67    KEES LUTE                 7          FORD-FRANCE-GITANE-DUNLOP          118h 03' 28''  + 01h 21' 22''
68    JOSEPH TIMMERMANN         78         WIELS-GROENE LEEUW                 118h 05' 55''  + 01h 23' 49''
69    ITALO MAZZACURATI         124        SALVARANI                          118h 06' 53''  + 01h 24' 47''
70    GILBERTO VENDEMIATI       129        SALVARANI                          118h 06' 56''  + 01h 24' 50''
71    JEAN GAINCHE              25         MERCIER-BP-HUTCHINSON              118h 08' 26''  + 01h 26' 20''
72    NOËL DEPAUW               62         SOLO-SUPERIA                       118h 08' 55''  + 01h 26' 49''
73    ADRIANO DURANTE           117        MOLTENI-IGNIS                      118h 09' 15''  + 01h 27' 09''
74    REMO STEFANONI            120        MOLTENI-IGNIS                      118h 09' 21''  + 01h 27' 15''
75    JEAN-PIERRE GENET         26         MERCIER-BP-HUTCHINSON              118h 12' 17''  + 01h 30' 11''
76    ROGELIO HERNANDEZ         94         FERRYS                             118h 12' 45''  + 01h 30' 39''
77    JO DE HAAN                81         TELEVIZIER                         118h 18' 22''  + 01h 36' 16''
78    AMBROGIO COLOMBO          116        MOLTENI-IGNIS                      118h 18' 32''  + 01h 36' 26''
79    VITTORIO ADORNI           121        SALVARANI                          118h 21' 49''  + 01h 39' 43''
80    GUILLAUME VAN TONGERLOO   60         FLANDRIA-ROMEO                     118h 22' 34''  + 01h 40' 28''
81    YVO MOLENAERS             55         FLANDRIA-ROMEO                     118h 22' 48''  + 01h 40' 42''
82    MICHEL GRAIN              5          FORD-FRANCE-GITANE-DUNLOP          118h 24' 32''  + 01h 42' 26''
83    JEAN-CLAUDE LEFEBVRE      37         PELFORTH-SAUVAGE-LEJEUNE-WOLBER    118h 24' 32''  + 01h 42' 26''
84    EDGARD SORGELOOS          66         SOLO-SUPERIA                       118h 24' 57''  + 01h 42' 51''
85    ANTONIO BERTRAN PANADES   92         FERRYS                             118h 26' 36''  + 01h 44' 30''
86    DIEGO RONCHINI            126        SALVARANI                          118h 27' 38''  + 01h 45' 32''
87    VIC DENSON                3          FORD-FRANCE-GITANE-DUNLOP          118h 27' 42''  + 01h 45' 36''
