Tour de France 1951

Number of stages 24
Distance (km) 4 690
Average speed 32.949

All about year 1951

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank         Rider          Rider No.        Team             Times            Gap        B P
24   GEORGES AESCHLIMANN    1          SUISSE            143h 59' 59''   + 01h 39' 45''
25   ANDRÉ ROSSEEL          33         BELGIQUE          144h 02' 36''   + 01h 42' 22''
26   BERNARD GAUTHIER       40         FRANCE            144h 11' 23''   + 01h 51' 09''
27   JEAN ROBIC             84         PARIS             144h 15' 49''   + 01h 55' 35''
28   HANS SOMMERS           6          SUISSE            144h 19' 01''   + 01h 58' 47''
29   FRANCO FRANCHI         17         ITALIE            144h 19' 27''   + 01h 59' 13''
30   ROGER LEVEQUE          115        OUEST-SUD OUEST   144h 22' 05''   + 02h 01' 51''
31   LUCIEN TEISSEIRE       48         FRANCE            144h 28' 19''   + 02h 08' 05''
32   ADOLPHE DELEDDA        103        EST-SUD EST       144h 29' 43''   + 02h 09' 29''
33   VINCENT VITETTA        108        EST-SUD EST       144h 29' 59''   + 02h 09' 45''
34   PAUL GIGUET            105        EST-SUD EST       144h 32' 37''   + 02h 12' 23''
35   MARCEL HUBER           2          SUISSE            144h 33' 50''   + 02h 13' 36''
36   PIERRE BRAMBILLA       99         EST-SUD EST       144h 38' 43''   + 02h 18' 29''
37   LOUIS DEPREZ           88         ILE DE FRANCE     144h 45' 58''   + 02h 25' 44''
38   ANDRÉA CARREA          16         ITALIE            144h 48' 15''   + 02h 28' 01''
39   ROGER BUCHONNET        100        EST-SUD EST       144h 51' 47''   + 02h 31' 33''
40   ARMAND BAEYENS         25         BELGIQUE          144h 54' 18''   + 02h 34' 04''
41   EDOUARD MULLER         46         FRANCE            144h 55' 16''   + 02h 35' 02''
42   HILAIRE COUVREUR       26         BELGIQUE          145h 03' 15''   + 02h 43' 01''
43   GERMAIN DE RIJCKE      31         BELGIQUE          145h 03' 30''   + 02h 43' 16''
44   MANUEL RODRIGUEZ       70         ESPAGNE           145h 05' 53''   + 02h 45' 39''
45   ANDRÉ LABEYLIE         89         ILE DE FRANCE     145h 09' 52''   + 02h 49' 38''
46   JOSEPH MIRANDO         106        EST-SUD EST       145h 10' 20''   + 02h 50' 06''
47   LUCIANO PEZZI          22         ITALIE            145h 14' 43''   + 02h 54' 29''
48   JOSEPH MORVAN          118        OUEST-SUD OUEST   145h 14' 52''   + 02h 54' 38''
49   LOUIS CAPUT            75         PARIS             145h 15' 25''   + 02h 55' 11''
50   GOTTFRIED WEILENMANN   7          SUISSE            145h 17' 29''   + 02h 57' 15''
51   GINO SCIARDIS          96         ILE DE FRANCE     145h 25' 14''   + 03h 05' 00''
52   ETTORE MILANO          20         ITALIE            145h 27' 17''   + 03h 07' 03''
53   ANGELO COLINELLI       102        EST-SUD EST       145h 28' 12''   + 03h 07' 58''
54   VIRGILIO SALIMBENI     23         ITALIE            145h 28' 37''   + 03h 08' 23''
55   WILLY KEMP             54         LUXEMBOURG        145h 35' 16''   + 03h 15' 02''
56   JEAN BALDASSARI        37         FRANCE            145h 36' 54''   + 03h 16' 40''
57   ROGER WALKOWIAK        120        OUEST-SUD OUEST   145h 37' 44''   + 03h 17' 30''
58   DALMACIO LANGARICA     67         ESPAGNE           145h 40' 38''   + 03h 20' 24''
59   FRANCISCO MASSIP       68         ESPAGNE           145h 56' 27''   + 03h 36' 13''
60   LÉO WEILENMANN         8          SUISSE            146h 04' 46''   + 03h 44' 32''
61   JEAN GUEGUEN           42         FRANCE            146h 06' 01''   + 03h 45' 47''
62   ALOIS VAN STEENKISTE   35         BELGIQUE          146h 12' 19''   + 03h 52' 05''
63   JEAN CARLE             76         PARIS             146h 25' 07''   + 04h 04' 53''
64   EMILE BAFFERT          97         EST-SUD EST       147h 01' 40''   + 04h 41' 26''
65   JEAN MAYEN             125        AFRIQUE DU NORD   147h 13' 13''   + 04h 52' 59''
66   ABDEL-KADER ZAAF       127        AFRIQUE DU NORD   147h 14' 32''   + 04h 54' 18''

Next rankings
